source,target,reaction,cell_type
STAT3_p,SP1_p,R1,Bcell
SMAD1,SMAD4_p,R2,Bcell
CTNNB1,PRKCA_p,R3,Bcell
CTNNB1,PRKCA_p,R4,Bcell
PRKCA_p,RHO,R5,Bcell
PRKCA_p,RHO,R6,Bcell
SP1,PRKCZ_p,R7,Bcell
SP1,PRKCZ_p,R8,Bcell
PANX1,SRC_p,R9,Bcell
PANX1,SRC_p,R10,Bcell
JAK2_p,JAK2,R11,Bcell
JAK2_p,JAK2,R12,Bcell
PTPN6,PRKCA_p,R13,Bcell
PTPN6,PRKCA_p,R14,Bcell
NCF1,PRKCA_p,R15,Bcell
NCF1,PRKCA_p,R16,Bcell
NCF1,PRKCZ_p,R17,Bcell
NCF1,PRKCZ_p,R18,Bcell
KDR,KDR_p,R19,Bcell
KDR,KDR_p,R20,Bcell
SRC,SRC_p,R21,Bcell
SRC,SRC_p,R22,Bcell
CTNNB1,JAK3_p,R23,Bcell
CTNNB1,JAK3_p,R24,Bcell
FYN_p,PTPN6,R25,Bcell
FYN_p,PTPN6,R26,Bcell
CTNNB1,KIT_p,R27,Bcell
CTNNB1,KIT_p,R28,Bcell
INSR_p,INSR,R29,Bcell
INSR_p,INSR,R30,Bcell
PRKCZ_p,NR1H4,R31,Bcell
PRKCZ_p,NR1H4,R32,Bcell
PKN1,PKN1_p,R33,Bcell
PKN1,PKN1_p,R34,Bcell
KIT,KIT_p,R35,Bcell
KIT,KIT_p,R36,Bcell
PRKCA,PRKCA_p,R37,Bcell
PRKCA,PRKCA_p,R38,Bcell
SRC_p,TRAF6,R39,Bcell
SRC_p,TRAF6,R40,Bcell
PRKCA_p,KIT,R41,Bcell
PRKCA_p,KIT,R42,Bcell
FYN_p,CD79A,R43,Bcell
FYN_p,CD79A,R44,Bcell
STK4_p,STK4,R45,Bcell
STK4_p,STK4,R46,Bcell
PRKCA_p,SRC,R47,Bcell
PRKCA_p,SRC,R48,Bcell
PRKCA_p,JAK2,R49,Bcell
PRKCA_p,JAK2,R50,Bcell
FYN_p,FYN,R51,Bcell
FYN_p,FYN,R52,Bcell
PRKCA_p,INSR,R53,Bcell
PRKCA_p,INSR,R54,Bcell
PRKCZ_p,PRKCZ,R55,Bcell
PRKCZ_p,PRKCZ,R56,Bcell
TEK_p,TEK,R57,Bcell
TEK_p,TEK,R58,Bcell
ALK_p,ALK,R59,Bcell
ALK_p,ALK,R60,Bcell
JAK3_p,JAK3,R61,Bcell
JAK3_p,JAK3,R62,Bcell
SRC_p,KRT19,R63,Bcell
SRC_p,KRT19,R64,Bcell
PRKCA_p,NR1H4,R65,Bcell
PRKCA_p,NR1H4,R66,Bcell
SRC_p,CLTC,R67,Bcell
SRC_p,CLTC,R68,Bcell
STK4_p,PIK3CA,R69,Bcell
STK4_p,PIK3CA,R70,Bcell
STK4_p,IRF3,R71,Bcell
STK4_p,IRF3,R72,Bcell
SMAD4,SMAD1,R73,Bcell
SMAD4,SMAD1,R74,Bcell
NPHS1,PRKCA_p,R75,Bcell
NPHS1,PRKCA_p,R76,Bcell
MRTFA,PKN1_p,R77,Bcell
MRTFA,PKN1_p,R78,Bcell
PRKCA_p,BAD,R79,Bcell
PRKCA_p,BAD,R80,Bcell
NPHS1,SRC_p,R81,Bcell
NPHS1,SRC_p,R82,Bcell
STK4_p,AR,R83,Bcell
STK4_p,AR,R84,Bcell
STK4_p,PRKCA,R85,Bcell
STK4_p,PRKCA,R86,Bcell
CDH1,SRC_p,R87,Bcell
CDH1,SRC_p,R88,Bcell
CTNNB1,PRKCZ_p,R89,Bcell
CTNNB1,PRKCZ_p,R90,Bcell
AR,PKN1_p,R91,Bcell
AR,PKN1_p,R92,Bcell
SRC_p,KIT,R93,Bcell
SRC_p,KIT,R94,Bcell
CTNNB1,SRC_p,R95,Bcell
CTNNB1,SRC_p,R96,Bcell
ALK_p,STAT3,R97,Bcell
ALK_p,STAT3,R98,Bcell
IRF3,SRC_p,R99,Bcell
IRF3,SRC_p,R100,Bcell
FYN_p,NPHS1,R101,Bcell
FYN_p,NPHS1,R102,Bcell
INSR_p,FABP4,R103,Bcell
INSR_p,FABP4,R104,Bcell
PKM_p,STAT3,R105,Bcell
PKM_p,STAT3,R106,Bcell
AR,SRC_p,R107,Bcell
AR,SRC_p,R108,Bcell
PTPN6,INSR_p,R109,Bcell
PTPN6,INSR_p,R110,Bcell
JAK2_p,STAT3,R111,Bcell
JAK2_p,STAT3,R112,Bcell
STK4_p,PRDX1,R113,Bcell
STK4_p,PRDX1,R114,Bcell
STAT3,SRC_p,R115,Bcell
STAT3,SRC_p,R116,Bcell
