source,target,reaction,cell_type
SMAD4_p,SMAD3_p,R1,ConnectingTubule
JUN_p,SMAD4_p,R2,ConnectingTubule
SMAD1,SMAD4_p,R3,ConnectingTubule
JUN_p,SMAD3_p,R4,ConnectingTubule
JUN_p,FOS_p,R5,ConnectingTubule
HIF1A,MAPK1_p,R6,ConnectingTubule
HIF1A,MAPK1_p,R7,ConnectingTubule
NR3C1,MAPK1_p,R8,ConnectingTubule
NR3C1,MAPK1_p,R9,ConnectingTubule
RPS6KA3,MAPK1_p,R10,ConnectingTubule
RPS6KA3,MAPK1_p,R11,ConnectingTubule
FOXO1,AKT1_p,R12,ConnectingTubule
FOXO1,AKT1_p,R13,ConnectingTubule
SRC_p,RPS6KA3,R14,ConnectingTubule
SRC_p,RPS6KA3,R15,ConnectingTubule
SMAD1,MAPK1_p,R16,ConnectingTubule
SMAD1,MAPK1_p,R17,ConnectingTubule
TP53,SRC_p,R18,ConnectingTubule
TP53,SRC_p,R19,ConnectingTubule
PRKAA1,AKT1_p,R20,ConnectingTubule
PRKAA1,AKT1_p,R21,ConnectingTubule
EGFR_p,EGFR,R22,ConnectingTubule
EGFR_p,EGFR,R23,ConnectingTubule
JAK2_p,JAK2,R24,ConnectingTubule
JAK2_p,JAK2,R25,ConnectingTubule
CDKN1B,MAPK1_p,R26,ConnectingTubule
CDKN1B,MAPK1_p,R27,ConnectingTubule
SMAD4,MAPK1_p,R28,ConnectingTubule
SMAD4,MAPK1_p,R29,ConnectingTubule
JUN,MAPK1_p,R30,ConnectingTubule
JUN,MAPK1_p,R31,ConnectingTubule
NR4A1,AKT1_p,R32,ConnectingTubule
NR4A1,AKT1_p,R33,ConnectingTubule
JAK2_p,MAP3K5,R34,ConnectingTubule
JAK2_p,MAP3K5,R35,ConnectingTubule
FOS,MAPK1_p,R36,ConnectingTubule
FOS,MAPK1_p,R37,ConnectingTubule
SRC,SRC_p,R38,ConnectingTubule
SRC,SRC_p,R39,ConnectingTubule
TLR3,SRC_p,R40,ConnectingTubule
TLR3,SRC_p,R41,ConnectingTubule
CTNNB1,KIT_p,R42,ConnectingTubule
CTNNB1,KIT_p,R43,ConnectingTubule
STAT1,JAK1_p,R44,ConnectingTubule
STAT1,JAK1_p,R45,ConnectingTubule
DUSP1,MAPK1_p,R46,ConnectingTubule
DUSP1,MAPK1_p,R47,ConnectingTubule
HSPB1,AKT1_p,R48,ConnectingTubule
HSPB1,AKT1_p,R49,ConnectingTubule
PKN1,PKN1_p,R50,ConnectingTubule
PKN1,PKN1_p,R51,ConnectingTubule
AKT1_p,CDKN1A,R52,ConnectingTubule
AKT1_p,CDKN1A,R53,ConnectingTubule
AKT1,SRC_p,R54,ConnectingTubule
AKT1,SRC_p,R55,ConnectingTubule
EIF2AK3,JAK1_p,R56,ConnectingTubule
EIF2AK3,JAK1_p,R57,ConnectingTubule
SPHK1,MAPK1_p,R58,ConnectingTubule
SPHK1,MAPK1_p,R59,ConnectingTubule
KIT,KIT_p,R60,ConnectingTubule
KIT,KIT_p,R61,ConnectingTubule
RHOA,MAPK1_p,R62,ConnectingTubule
RHOA,MAPK1_p,R63,ConnectingTubule
JAK2_p,EPOR,R64,ConnectingTubule
JAK2_p,EPOR,R65,ConnectingTubule
FOXO1,MAPK1_p,R66,ConnectingTubule
FOXO1,MAPK1_p,R67,ConnectingTubule
JAK2_p,STAT1,R68,ConnectingTubule
JAK2_p,STAT1,R69,ConnectingTubule
EGFR,SRC_p,R70,ConnectingTubule
EGFR,SRC_p,R71,ConnectingTubule
STAT1,SRC_p,R72,ConnectingTubule
STAT1,SRC_p,R73,ConnectingTubule
SMAD3,MAPK1_p,R74,ConnectingTubule
SMAD3,MAPK1_p,R75,ConnectingTubule
ERN1_p,ERN1,R76,ConnectingTubule
ERN1_p,ERN1,R77,ConnectingTubule
DEPTOR,RPS6KA3_p,R78,ConnectingTubule
DEPTOR,RPS6KA3_p,R79,ConnectingTubule
RPS6KA3_p,MAP3K5,R80,ConnectingTubule
RPS6KA3_p,MAP3K5,R81,ConnectingTubule
CDKN1B,AKT1_p,R82,ConnectingTubule
CDKN1B,AKT1_p,R83,ConnectingTubule
SRC_p,IGF1R,R84,ConnectingTubule
SRC_p,IGF1R,R85,ConnectingTubule
IGF1R_p,IGF1R,R88,ConnectingTubule
IGF1R_p,IGF1R,R89,ConnectingTubule
FOXO1,SGK1,R90,ConnectingTubule
FOXO1,SGK1,R91,ConnectingTubule
CDKN1B,SGK1,R92,ConnectingTubule
CDKN1B,SGK1,R93,ConnectingTubule
RPS6KA3_p,CREB1,R94,ConnectingTubule
RPS6KA3_p,CREB1,R95,ConnectingTubule
EGFR,MAPK1_p,R96,ConnectingTubule
EGFR,MAPK1_p,R97,ConnectingTubule
PTEN,SRC_p,R98,ConnectingTubule
PTEN,SRC_p,R99,ConnectingTubule
EIF2AK3_p,EIF2AK3,R100,ConnectingTubule
EIF2AK3_p,EIF2AK3,R101,ConnectingTubule
MAP3K5,MAP3K5_p,R102,ConnectingTubule
MAP3K5,MAP3K5_p,R103,ConnectingTubule
VIM,AKT1_p,R104,ConnectingTubule
VIM,AKT1_p,R105,ConnectingTubule
ILK_p,AKT1,R106,ConnectingTubule
ILK_p,AKT1,R107,ConnectingTubule
SP1,MAPK1_p,R108,ConnectingTubule
SP1,MAPK1_p,R109,ConnectingTubule
PTEN,ROCK1,R110,ConnectingTubule
PTEN,ROCK1,R111,ConnectingTubule
CDKN1A,MAPK1_p,R112,ConnectingTubule
CDKN1A,MAPK1_p,R113,ConnectingTubule
PRKAA1,FOXO1,R114,ConnectingTubule
PRKAA1,FOXO1,R115,ConnectingTubule
JAK2,MAPK1_p,R116,ConnectingTubule
JAK2,MAPK1_p,R117,ConnectingTubule
PCNA,IGF1R_p,R118,ConnectingTubule
PCNA,IGF1R_p,R119,ConnectingTubule
CASP9,AKT1_p,R120,ConnectingTubule
CASP9,AKT1_p,R121,ConnectingTubule
AKT1_p,NR3C1,R122,ConnectingTubule
AKT1_p,NR3C1,R123,ConnectingTubule
SRC_p,CLTC,R124,ConnectingTubule
SRC_p,CLTC,R125,ConnectingTubule
STAT6,JAK2_p,R126,ConnectingTubule
STAT6,JAK2_p,R127,ConnectingTubule
NFKB2,MAP3K14_p,R128,ConnectingTubule
NFKB2,MAP3K14_p,R129,ConnectingTubule
FOXO1,PKN1_p,R130,ConnectingTubule
FOXO1,PKN1_p,R131,ConnectingTubule
CASP9,MAPK1_p,R132,ConnectingTubule
CASP9,MAPK1_p,R133,ConnectingTubule
MAP3K14,MAP3K14_p,R134,ConnectingTubule
MAP3K14,MAP3K14_p,R135,ConnectingTubule
STAT6,JAK1_p,R136,ConnectingTubule
STAT6,JAK1_p,R137,ConnectingTubule
YAP1,AKT1_p,R138,ConnectingTubule
YAP1,AKT1_p,R139,ConnectingTubule
JAK2_p,CDKN1B,R140,ConnectingTubule
JAK2_p,CDKN1B,R141,ConnectingTubule
SMAD4,SMAD1,R142,ConnectingTubule
SMAD4,SMAD1,R143,ConnectingTubule
RPS6KA3_p,FOS,R144,ConnectingTubule
RPS6KA3_p,FOS,R145,ConnectingTubule
RPS6KA3,AKT1_p,R146,ConnectingTubule
RPS6KA3,AKT1_p,R147,ConnectingTubule
STAT1,KIT_p,R148,ConnectingTubule
STAT1,KIT_p,R149,ConnectingTubule
RPS6KA3_p,RPS6KA3,R150,ConnectingTubule
RPS6KA3_p,RPS6KA3,R151,ConnectingTubule
CTNNB1,AKT1_p,R152,ConnectingTubule
CTNNB1,AKT1_p,R153,ConnectingTubule
NR4A1,RPS6KA3_p,R154,ConnectingTubule
NR4A1,RPS6KA3_p,R155,ConnectingTubule
TP53,ROCK1,R156,ConnectingTubule
TP53,ROCK1,R157,ConnectingTubule
RUNX2,AKT1_p,R158,ConnectingTubule
RUNX2,AKT1_p,R159,ConnectingTubule
MAPK1,MAPK1_p,R160,ConnectingTubule
MAPK1,MAPK1_p,R161,ConnectingTubule
RRAS,MAPK1_p,R162,ConnectingTubule
RRAS,MAPK1_p,R163,ConnectingTubule
CDH1,SRC_p,R164,ConnectingTubule
CDH1,SRC_p,R165,ConnectingTubule
ZFP36,MAPK1_p,R166,ConnectingTubule
ZFP36,MAPK1_p,R167,ConnectingTubule
RCAN1,MAPK1_p,R168,ConnectingTubule
RCAN1,MAPK1_p,R169,ConnectingTubule
EGFR,JAK2_p,R170,ConnectingTubule
EGFR,JAK2_p,R171,ConnectingTubule
EGFR,PKN1_p,R172,ConnectingTubule
EGFR,PKN1_p,R173,ConnectingTubule
MAP3K5,AKT1_p,R174,ConnectingTubule
MAP3K5,AKT1_p,R175,ConnectingTubule
AKT1_p,PARK7,R176,ConnectingTubule
AKT1_p,PARK7,R177,ConnectingTubule
SRC_p,KIT,R178,ConnectingTubule
SRC_p,KIT,R179,ConnectingTubule
SP1,SGK1,R180,ConnectingTubule
SP1,SGK1,R181,ConnectingTubule
PROM1,SRC_p,R182,ConnectingTubule
PROM1,SRC_p,R183,ConnectingTubule
CTNNB1,SRC_p,R184,ConnectingTubule
CTNNB1,SRC_p,R185,ConnectingTubule
MAPK1,SGK1,R186,ConnectingTubule
MAPK1,SGK1,R187,ConnectingTubule
JAK2_p,GHR,R188,ConnectingTubule
JAK2_p,GHR,R189,ConnectingTubule
PRKAA1,DDIT3,R190,ConnectingTubule
PRKAA1,DDIT3,R191,ConnectingTubule
TP53,RPS6KA3_p,R192,ConnectingTubule
TP53,RPS6KA3_p,R193,ConnectingTubule
MYD88,SRC_p,R194,ConnectingTubule
MYD88,SRC_p,R195,ConnectingTubule
XBP1,MAPK1_p,R196,ConnectingTubule
XBP1,MAPK1_p,R197,ConnectingTubule
SGK1,NR3C1,R198,ConnectingTubule
SGK1,NR3C1,R199,ConnectingTubule
JAK2_p,LEPR,R200,ConnectingTubule
JAK2_p,LEPR,R201,ConnectingTubule
AKT1,AKT1_p,R202,ConnectingTubule
AKT1,AKT1_p,R203,ConnectingTubule
EGFR_p,STAT1,R204,ConnectingTubule
EGFR_p,STAT1,R205,ConnectingTubule
EGFR_p,PCNA,R206,ConnectingTubule
EGFR_p,PCNA,R207,ConnectingTubule
PRKAA1,MFF,R208,ConnectingTubule
PRKAA1,MFF,R209,ConnectingTubule
CDKN1B,SRC_p,R210,ConnectingTubule
CDKN1B,SRC_p,R211,ConnectingTubule
CREB1,AKT1_p,R212,ConnectingTubule
CREB1,AKT1_p,R213,ConnectingTubule
SLC9A3,SGK1,R214,ConnectingTubule
SLC9A3,SGK1,R215,ConnectingTubule
MAPK1,AKT1_p,R216,ConnectingTubule
MAPK1,AKT1_p,R217,ConnectingTubule
ROCK1,VIM,R218,ConnectingTubule
ROCK1,VIM,R219,ConnectingTubule
TP53,ATR,R220,ConnectingTubule
TP53,ATR,R221,ConnectingTubule
ATR,CREB1,R222,ConnectingTubule
ATR,CREB1,R223,ConnectingTubule
EGFR_p,TLR3,R224,ConnectingTubule
EGFR_p,TLR3,R225,ConnectingTubule
RRAS,SRC_p,R226,ConnectingTubule
RRAS,SRC_p,R227,ConnectingTubule
ERN1,MAP3K5_p,R228,ConnectingTubule
ERN1,MAP3K5_p,R229,ConnectingTubule
TP53,MAPK1_p,R230,ConnectingTubule
TP53,MAPK1_p,R231,ConnectingTubule
PRKAA1,NFE2L2,R232,ConnectingTubule
PRKAA1,NFE2L2,R233,ConnectingTubule
STAT1,SGK1,R236,ConnectingTubule
STAT1,SGK1,R237,ConnectingTubule
ERN1_p,XBP1,R238,ConnectingTubule
ERN1_p,XBP1,R239,ConnectingTubule
ILK_p,ILK,R240,ConnectingTubule
ILK_p,ILK,R241,ConnectingTubule
RHOA,SRC_p,R242,ConnectingTubule
RHOA,SRC_p,R243,ConnectingTubule
VHL,SRC_p,R244,ConnectingTubule
VHL,SRC_p,R245,ConnectingTubule
ENG,SRC_p,R246,ConnectingTubule
ENG,SRC_p,R247,ConnectingTubule
MAP3K5_p,CDKN1A,R248,ConnectingTubule
MAP3K5_p,CDKN1A,R249,ConnectingTubule
EGFR_p,CTNNB1,R250,ConnectingTubule
EGFR_p,CTNNB1,R251,ConnectingTubule
SRC_p,SMAD3,R252,ConnectingTubule
SRC_p,SMAD3,R253,ConnectingTubule
SRC_p,CASP9,R254,ConnectingTubule
SRC_p,CASP9,R255,ConnectingTubule
SMURF1,AKT1_p,R256,ConnectingTubule
SMURF1,AKT1_p,R257,ConnectingTubule
MAPK6_p,MAPK6,R258,ConnectingTubule
MAPK6_p,MAPK6,R259,ConnectingTubule
NR4A1,MAPK1_p,R260,ConnectingTubule
NR4A1,MAPK1_p,R261,ConnectingTubule
PTPN6,SRC_p,R262,ConnectingTubule
PTPN6,SRC_p,R263,ConnectingTubule
EGFR_p,ABCA1,R264,ConnectingTubule
EGFR_p,ABCA1,R265,ConnectingTubule
TXNIP,MAPK1_p,R266,ConnectingTubule
TXNIP,MAPK1_p,R267,ConnectingTubule
EGFR_p,PKM,R268,ConnectingTubule
EGFR_p,PKM,R269,ConnectingTubule
AKT1_p,BAX,R270,ConnectingTubule
AKT1_p,BAX,R271,ConnectingTubule
PRKAA1,CDKN1B,R272,ConnectingTubule
PRKAA1,CDKN1B,R273,ConnectingTubule
TP53,PRKAA1,R274,ConnectingTubule
TP53,PRKAA1,R275,ConnectingTubule
PTPN6_p,JAK2_p,R276,ConnectingTubule
PTPN6_p,JAK2_p,R277,ConnectingTubule
PTPN6_p,EGFR_p,R278,ConnectingTubule
PTPN6_p,EGFR_p,R279,ConnectingTubule
PTEN_p,SRC_p,R280,ConnectingTubule
PTEN_p,SRC_p,R281,ConnectingTubule
PTPN6_p,PKM_p,R282,ConnectingTubule
PTPN6_p,PKM_p,R283,ConnectingTubule
DUSP1_p,MAPK1_p,R284,ConnectingTubule
DUSP1_p,MAPK1_p,R285,ConnectingTubule
PTPN6_p,SRC_p,R286,ConnectingTubule
PTPN6_p,SRC_p,R287,ConnectingTubule
PTPN6_p,JAK1_p,R288,ConnectingTubule
PTPN6_p,JAK1_p,R289,ConnectingTubule
PTEN_p,SP1_p,R290,ConnectingTubule
PTEN_p,SP1_p,R291,ConnectingTubule
RUNX2_p,DUSP1_p,R294,ConnectingTubule
RUNX2_p,DUSP1_p,R295,ConnectingTubule
PTEN_p,CREB1_p,R296,ConnectingTubule
PTEN_p,CREB1_p,R297,ConnectingTubule
JUN_p,DUSP1_p,R298,ConnectingTubule
JUN_p,DUSP1_p,R299,ConnectingTubule
PTPN6_p,CTNNB1_p,R300,ConnectingTubule
PTPN6_p,CTNNB1_p,R301,ConnectingTubule
MYLIP,LDLR,R302,ConnectingTubule
MYLIP,LDLR,R303,ConnectingTubule
VLDLR,MYLIP,R304,ConnectingTubule
VLDLR,MYLIP,R305,ConnectingTubule
HIF1A,RNF7,R306,ConnectingTubule
HIF1A,RNF7,R307,ConnectingTubule
DEPTOR,RNF7,R308,ConnectingTubule
DEPTOR,RNF7,R309,ConnectingTubule
SMURF1_p,SMAD1,R310,ConnectingTubule
SMURF1_p,SMAD1,R311,ConnectingTubule
CDKN1B,RNF7,R312,ConnectingTubule
CDKN1B,RNF7,R313,ConnectingTubule
SMURF1_p,RUNX2,R314,ConnectingTubule
SMURF1_p,RUNX2,R315,ConnectingTubule
SMURF1_p,SMAD4,R316,ConnectingTubule
SMURF1_p,SMAD4,R317,ConnectingTubule
JUN,RNF7,R320,ConnectingTubule
JUN,RNF7,R321,ConnectingTubule
NOTCH1,NUMB,R322,ConnectingTubule
NOTCH1,NUMB,R323,ConnectingTubule
RNF7,CASP3,R324,ConnectingTubule
RNF7,CASP3,R325,ConnectingTubule
SP1_p,JUN_p,R326,ConnectingTubule
JUN_p,TGFB1_g,R326,ConnectingTubule
SP1_p,JUN_p,R327,ConnectingTubule
JUN_p,TGFB1_g,R327,ConnectingTubule
CDKN1A_g,TP53_p,R329,ConnectingTubule
CDKN1A_g,TP53_p,R330,ConnectingTubule
CCL2_g,HIF1A_p,R332,ConnectingTubule
CCL2_g,HIF1A_p,R333,ConnectingTubule
GDF15_g,ATF3,R335,ConnectingTubule
GDF15_g,ATF3,R336,ConnectingTubule
BAX_g,TP53_p,R338,ConnectingTubule
BAX_g,TP53_p,R339,ConnectingTubule
FOXO1_p,CDKN1B_g,R341,ConnectingTubule
FOXO1_p,CDKN1B_g,R342,ConnectingTubule
CAT_g,NFE2L2_p,R344,ConnectingTubule
CAT_g,NFE2L2_p,R345,ConnectingTubule
GCLC_g,NFE2L2_p,R347,ConnectingTubule
GCLC_g,NFE2L2_p,R348,ConnectingTubule
FAS_g,TP53_p,R350,ConnectingTubule
FAS_g,TP53_p,R351,ConnectingTubule
KDM6B_g,HIF1A_p,R353,ConnectingTubule
KDM6B_g,HIF1A_p,R354,ConnectingTubule
FOXO1_p,SMURF1_g,R356,ConnectingTubule
FOXO1_p,SMURF1_g,R357,ConnectingTubule
KLF9_g,NR3C1_p,R359,ConnectingTubule
KLF9_g,NR3C1_p,R360,ConnectingTubule
GPX4_g,NFE2L2_p,R362,ConnectingTubule
GPX4_g,NFE2L2_p,R363,ConnectingTubule
TGFB1,COL1A1_g,R365,ConnectingTubule
TGFB1,COL1A1_g,R366,ConnectingTubule
GCLM_g,NFE2L2_p,R368,ConnectingTubule
GCLM_g,NFE2L2_p,R369,ConnectingTubule
AIFM1_g,TP53_p,R371,ConnectingTubule
AIFM1_g,TP53_p,R372,ConnectingTubule
JUN_g,NR3C1_p,R374,ConnectingTubule
