source,target,reaction,cell_type
SMAD4_p,SMAD3_p,R1,DCT
SMAD1,SMAD4_p,R2,DCT
PIK3CA,PIK3R1_p,R3,DCT
PANX1,SRC_p,R4,DCT
PANX1,SRC_p,R5,DCT
IKBKB,IKBKB_p,R6,DCT
IKBKB,IKBKB_p,R7,DCT
PTPN6,PRKCA_p,R8,DCT
PTPN6,PRKCA_p,R9,DCT
PDPK1_p,IKBKB,R10,DCT
PDPK1_p,IKBKB,R11,DCT
SIRT2,SRC_p,R12,DCT
SIRT2,SRC_p,R13,DCT
KDR,KDR_p,R14,DCT
KDR,KDR_p,R15,DCT
SRC,SRC_p,R16,DCT
SRC,SRC_p,R17,DCT
FYN_p,PTPN6,R18,DCT
FYN_p,PTPN6,R19,DCT
CDK5_p,NOS3,R20,DCT
CDK5_p,NOS3,R21,DCT
INSR_p,INSR,R22,DCT
INSR_p,INSR,R23,DCT
PRKCA,PRKCA_p,R26,DCT
PRKCA,PRKCA_p,R27,DCT
PDPK1_p,SGK1,R28,DCT
PDPK1_p,SGK1,R29,DCT
PRKCA_p,CDKN1A,R30,DCT
PRKCA_p,CDKN1A,R31,DCT
ERN1_p,ERN1,R32,DCT
ERN1_p,ERN1,R33,DCT
STK4_p,STK4,R34,DCT
STK4_p,STK4,R35,DCT
PRKCA_p,SRC,R36,DCT
PRKCA_p,SRC,R37,DCT
HIPK2_p,HIPK2,R38,DCT
HIPK2_p,HIPK2,R39,DCT
PDPK1_p,PDPK1,R40,DCT
PDPK1_p,PDPK1,R41,DCT
PDPK1,SRC_p,R42,DCT
PDPK1,SRC_p,R43,DCT
FYN_p,FYN,R44,DCT
FYN_p,FYN,R45,DCT
PRKCA_p,INSR,R46,DCT
PRKCA_p,INSR,R47,DCT
ALK_p,ALK,R50,DCT
ALK_p,ALK,R51,DCT
SRC_p,ANXA1,R52,DCT
SRC_p,ANXA1,R53,DCT
CDK5_p,SRC,R54,DCT
CDK5_p,SRC,R55,DCT
PTPRJ,SRC_p,R56,DCT
PTPRJ,SRC_p,R57,DCT
SRC_p,RAPGEF1,R58,DCT
SRC_p,RAPGEF1,R59,DCT
PRKCA_p,NR1H4,R60,DCT
PRKCA_p,NR1H4,R61,DCT
PRKCA_p,ANXA1,R62,DCT
PRKCA_p,ANXA1,R63,DCT
SRC_p,CLTC,R64,DCT
SRC_p,CLTC,R65,DCT
STK4_p,PIK3CA,R66,DCT
STK4_p,PIK3CA,R67,DCT
SRC_p,IKBKB,R68,DCT
SRC_p,IKBKB,R69,DCT
MAP3K14,MAP3K14_p,R70,DCT
MAP3K14,MAP3K14_p,R71,DCT
SMAD4,SMAD1,R72,DCT
SMAD4,SMAD1,R73,DCT
