source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,Endothelial
SMAD4_p,SMAD3_p,R2,Endothelial
JUN_p,SMAD4_p,R3,Endothelial
STAT3_p,SP1_p,R4,Endothelial
STAT5A_p,NR3C1,R5,Endothelial
SMAD1,SMAD4_p,R6,Endothelial
JUN_p,SMAD3_p,R7,Endothelial
STAT3_p,STAT1_p,R8,Endothelial
JUN_p,FOS_p,R9,Endothelial
TGFBR1,SMAD2,R10,Endothelial
TGFBR1,SMAD2,R11,Endothelial
EP300,MAPK1_p,R12,Endothelial
EP300,MAPK1_p,R13,Endothelial
NR3C1,MAPK1_p,R14,Endothelial
NR3C1,MAPK1_p,R15,Endothelial
RPS6KA3,MAPK1_p,R16,Endothelial
RPS6KA3,MAPK1_p,R17,Endothelial
CTNNB1,PRKCA_p,R18,Endothelial
CTNNB1,PRKCA_p,R19,Endothelial
SMAD1,MAPK1_p,R20,Endothelial
SMAD1,MAPK1_p,R21,Endothelial
SP1,PRKCZ_p,R22,Endothelial
SP1,PRKCZ_p,R23,Endothelial
SNAI1,PRKCZ_p,R24,Endothelial
SNAI1,PRKCZ_p,R25,Endothelial
EGFR_p,EGFR,R26,Endothelial
EGFR_p,EGFR,R27,Endothelial
IKBKB,IKBKB_p,R28,Endothelial
IKBKB,IKBKB_p,R29,Endothelial
PRKCA_p,VIM,R30,Endothelial
PRKCA_p,VIM,R31,Endothelial
SMAD4,MAPK1_p,R32,Endothelial
SMAD4,MAPK1_p,R33,Endothelial
STK11,MAPK1_p,R34,Endothelial
STK11,MAPK1_p,R35,Endothelial
JUN,MAPK1_p,R36,Endothelial
JUN,MAPK1_p,R37,Endothelial
MAPK8_p,IRS1,R38,Endothelial
MAPK8_p,IRS1,R39,Endothelial
FOS,MAPK1_p,R40,Endothelial
FOS,MAPK1_p,R41,Endothelial
EGFR,PRKCA_p,R42,Endothelial
EGFR,PRKCA_p,R43,Endothelial
STK11_p,STK11,R44,Endothelial
STK11_p,STK11,R45,Endothelial
KDR,KDR_p,R46,Endothelial
KDR,KDR_p,R47,Endothelial
MAPK8_p,BCL2,R48,Endothelial
MAPK8_p,BCL2,R49,Endothelial
TP53,MAPK9_p,R50,Endothelial
TP53,MAPK9_p,R51,Endothelial
SMAD2,MAPK1_p,R52,Endothelial
SMAD2,MAPK1_p,R53,Endothelial
CTNNB1,KIT_p,R54,Endothelial
CTNNB1,KIT_p,R55,Endothelial
RORA,MAPK1_p,R56,Endothelial
RORA,MAPK1_p,R57,Endothelial
JUN,MAPK9_p,R58,Endothelial
JUN,MAPK9_p,R59,Endothelial
BCL2,MAPK1_p,R60,Endothelial
BCL2,MAPK1_p,R61,Endothelial
INSR_p,INSR,R62,Endothelial
INSR_p,INSR,R63,Endothelial
GJA1,MAPK1_p,R64,Endothelial
GJA1,MAPK1_p,R65,Endothelial
IRS1,INSR_p,R66,Endothelial
IRS1,INSR_p,R67,Endothelial
SREBF1,MAPK1_p,R68,Endothelial
SREBF1,MAPK1_p,R69,Endothelial
DUSP1,MAPK1_p,R70,Endothelial
DUSP1,MAPK1_p,R71,Endothelial
NR3C2,MAPK1_p,R72,Endothelial
NR3C2,MAPK1_p,R73,Endothelial
HMGN1,RPS6KA3_p,R74,Endothelial
HMGN1,RPS6KA3_p,R75,Endothelial
PKN1,PKN1_p,R76,Endothelial
PKN1,PKN1_p,R77,Endothelial
SNAI1,PRKAA1_p,R78,Endothelial
SNAI1,PRKAA1_p,R79,Endothelial
IRS1,IKBKB_p,R80,Endothelial
IRS1,IKBKB_p,R81,Endothelial
MAPK8_p,MAPK9,R82,Endothelial
MAPK8_p,MAPK9,R83,Endothelial
TP53,MAPK8_p,R84,Endothelial
TP53,MAPK8_p,R85,Endothelial
IRS1,MAPK9_p,R86,Endothelial
IRS1,MAPK9_p,R87,Endothelial
KIT,KIT_p,R88,Endothelial
KIT,KIT_p,R89,Endothelial
EGFR_p,CALM1,R90,Endothelial
EGFR_p,CALM1,R91,Endothelial
MAPK8_p,NR3C1,R92,Endothelial
MAPK8_p,NR3C1,R93,Endothelial
PRKCA,PRKCA_p,R94,Endothelial
PRKCA,PRKCA_p,R95,Endothelial
SMAD3,MAPK1_p,R96,Endothelial
SMAD3,MAPK1_p,R97,Endothelial
TFEB,MAPK1_p,R98,Endothelial
TFEB,MAPK1_p,R99,Endothelial
HMGN1,PRKCA_p,R100,Endothelial
HMGN1,PRKCA_p,R101,Endothelial
INSR_p,CALM1,R102,Endothelial
INSR_p,CALM1,R103,Endothelial
PRKCA_p,CDKN1A,R104,Endothelial
PRKCA_p,CDKN1A,R105,Endothelial
GJA1,PRKCA_p,R106,Endothelial
GJA1,PRKCA_p,R107,Endothelial
DEPTOR,RPS6KA3_p,R108,Endothelial
DEPTOR,RPS6KA3_p,R109,Endothelial
PRKCA_p,KIT,R110,Endothelial
PRKCA_p,KIT,R111,Endothelial
IRS1,PRKCZ_p,R112,Endothelial
IRS1,PRKCZ_p,R113,Endothelial
ATR,MDM2,R114,Endothelial
ATR,MDM2,R115,Endothelial
YAP1,PRKCZ_p,R116,Endothelial
YAP1,PRKCZ_p,R117,Endothelial
MAPK8_p,CTNNB1,R120,Endothelial
MAPK8_p,CTNNB1,R121,Endothelial
PINK1,UBC,R122,Endothelial
PINK1,UBC,R123,Endothelial
PPARA,MAPK1_p,R124,Endothelial
PPARA,MAPK1_p,R125,Endothelial
PRKCZ_p,VIM,R126,Endothelial
PRKCZ_p,VIM,R127,Endothelial
PTEN,STK11_p,R128,Endothelial
PTEN,STK11_p,R129,Endothelial
RPS6KA3_p,CREB1,R130,Endothelial
RPS6KA3_p,CREB1,R131,Endothelial
PRKAA1_p,NOS3,R132,Endothelial
PRKAA1_p,NOS3,R133,Endothelial
PKM,MAPK8_p,R134,Endothelial
PKM,MAPK8_p,R135,Endothelial
PRKAA1,PRKCA_p,R136,Endothelial
PRKAA1,PRKCA_p,R137,Endothelial
EGFR,MAPK1_p,R138,Endothelial
EGFR,MAPK1_p,R139,Endothelial
STAT6,MAPK8_p,R140,Endothelial
STAT6,MAPK8_p,R141,Endothelial
PRKCA_p,INSR,R142,Endothelial
PRKCA_p,INSR,R143,Endothelial
PRKCZ_p,PRKCZ,R144,Endothelial
PRKCZ_p,PRKCZ,R145,Endothelial
SP1,MAPK1_p,R146,Endothelial
SP1,MAPK1_p,R147,Endothelial
MAPK8_p,CDKN1A,R148,Endothelial
MAPK8_p,CDKN1A,R149,Endothelial
PRKCZ_p,STK11,R150,Endothelial
PRKCZ_p,STK11,R151,Endothelial
STAT5A,MAPK1_p,R152,Endothelial
STAT5A,MAPK1_p,R153,Endothelial
CDKN1A,MAPK1_p,R154,Endothelial
CDKN1A,MAPK1_p,R155,Endothelial
MAPK8_p,JUN,R156,Endothelial
MAPK8_p,JUN,R157,Endothelial
PRKCA_p,HES1,R158,Endothelial
PRKCA_p,HES1,R159,Endothelial
MAPK8_p,YAP1,R160,Endothelial
MAPK8_p,YAP1,R161,Endothelial
SMAD4,STK11_p,R162,Endothelial
SMAD4,STK11_p,R163,Endothelial
PRKCA_p,ANXA1,R164,Endothelial
PRKCA_p,ANXA1,R165,Endothelial
MAPK8_p,SP1,R166,Endothelial
MAPK8_p,SP1,R167,Endothelial
TP53,PLK2,R168,Endothelial
TP53,PLK2,R169,Endothelial
SMAD4,SMAD1,R170,Endothelial
SMAD4,SMAD1,R171,Endothelial
RPS6KA3_p,FOS,R172,Endothelial
RPS6KA3_p,FOS,R173,Endothelial
STAT1,KIT_p,R174,Endothelial
STAT1,KIT_p,R175,Endothelial
RPS6KA3_p,RPS6KA3,R176,Endothelial
RPS6KA3_p,RPS6KA3,R177,Endothelial
PRKAA1_p,EP300,R178,Endothelial
PRKAA1_p,EP300,R179,Endothelial
IRS1,MAPK1_p,R180,Endothelial
IRS1,MAPK1_p,R181,Endothelial
SREBF1,PRKAA1_p,R182,Endothelial
SREBF1,PRKAA1_p,R183,Endothelial
MAPK8_p,JUNB,R184,Endothelial
MAPK8_p,JUNB,R185,Endothelial
NR4A1,RPS6KA3_p,R186,Endothelial
NR4A1,RPS6KA3_p,R187,Endothelial
MAPK12_p,TP53,R188,Endothelial
MAPK12_p,TP53,R189,Endothelial
YAP1,STK11_p,R190,Endothelial
YAP1,STK11_p,R191,Endothelial
MAPK1,MAPK1_p,R192,Endothelial
MAPK1,MAPK1_p,R193,Endothelial
MAPK8_p,SMAD3,R194,Endothelial
MAPK8_p,SMAD3,R195,Endothelial
SNAI1,PKN1_p,R196,Endothelial
SNAI1,PKN1_p,R197,Endothelial
LYN,LYN_p,R198,Endothelial
LYN,LYN_p,R199,Endothelial
ZFP36,MAPK1_p,R200,Endothelial
ZFP36,MAPK1_p,R201,Endothelial
RCAN1,MAPK1_p,R202,Endothelial
RCAN1,MAPK1_p,R203,Endothelial
EGFR,PKN1_p,R204,Endothelial
EGFR,PKN1_p,R205,Endothelial
CTNNB1,PRKCZ_p,R206,Endothelial
CTNNB1,PRKCZ_p,R207,Endothelial
PRKCA_p,OCLN,R208,Endothelial
PRKCA_p,OCLN,R209,Endothelial
TP53,RPS6KA3_p,R210,Endothelial
TP53,RPS6KA3_p,R211,Endothelial
INSR_p,FABP4,R214,Endothelial
INSR_p,FABP4,R215,Endothelial
PKM_p,STAT3,R216,Endothelial
PKM_p,STAT3,R217,Endothelial
MAPK12_p,BCL2,R218,Endothelial
MAPK12_p,BCL2,R219,Endothelial
TP53,PINK1,R220,Endothelial
TP53,PINK1,R221,Endothelial
EGFR_p,STAT1,R222,Endothelial
EGFR_p,STAT1,R223,Endothelial
PTEN,INSR_p,R224,Endothelial
PTEN,INSR_p,R225,Endothelial
TP53,STK11_p,R226,Endothelial
TP53,STK11_p,R227,Endothelial
