source,target,reaction,cell_type
JUN_p,SMAD4_p,R1,Fibroblast
STAT3_p,SP1_p,R2,Fibroblast
STAT3_p,STAT1_p,R3,Fibroblast
JUN_p,FOS_p,R5,Fibroblast
PIK3CA,PIK3R1_p,R6,Fibroblast
EP300,MAPK1_p,R7,Fibroblast
EP300,MAPK1_p,R8,Fibroblast
HIF1A,MAPK1_p,R9,Fibroblast
HIF1A,MAPK1_p,R10,Fibroblast
NR3C1,MAPK1_p,R11,Fibroblast
NR3C1,MAPK1_p,R12,Fibroblast
RPS6KA3,MAPK1_p,R13,Fibroblast
RPS6KA3,MAPK1_p,R14,Fibroblast
PRDX6,MAPK1_p,R15,Fibroblast
PRDX6,MAPK1_p,R16,Fibroblast
CTNNB1,PRKCA_p,R17,Fibroblast
CTNNB1,PRKCA_p,R18,Fibroblast
AKT1_p,MDM2,R19,Fibroblast
AKT1_p,MDM2,R20,Fibroblast
PRKAA1,AKT1_p,R21,Fibroblast
PRKAA1,AKT1_p,R22,Fibroblast
EGFR_p,EGFR,R23,Fibroblast
EGFR_p,EGFR,R24,Fibroblast
PRKCA_p,VIM,R25,Fibroblast
PRKCA_p,VIM,R26,Fibroblast
CDKN1B,MAPK1_p,R27,Fibroblast
CDKN1B,MAPK1_p,R28,Fibroblast
SMAD4,MAPK1_p,R29,Fibroblast
SMAD4,MAPK1_p,R30,Fibroblast
ESR1,MAPK1_p,R31,Fibroblast
ESR1,MAPK1_p,R32,Fibroblast
ROCK1,DNM1L,R33,Fibroblast
ROCK1,DNM1L,R34,Fibroblast
STK11,MAPK1_p,R35,Fibroblast
STK11,MAPK1_p,R36,Fibroblast
JUN,MAPK1_p,R37,Fibroblast
JUN,MAPK1_p,R38,Fibroblast
NR4A1,AKT1_p,R39,Fibroblast
NR4A1,AKT1_p,R40,Fibroblast
FOS,MAPK1_p,R41,Fibroblast
FOS,MAPK1_p,R42,Fibroblast
EGFR,PRKCA_p,R43,Fibroblast
EGFR,PRKCA_p,R44,Fibroblast
STK11_p,STK11,R45,Fibroblast
STK11_p,STK11,R46,Fibroblast
AR,AKT1_p,R47,Fibroblast
AR,AKT1_p,R48,Fibroblast
PRKCA_p,F3,R49,Fibroblast
PRKCA_p,F3,R50,Fibroblast
RORA,MAPK1_p,R51,Fibroblast
RORA,MAPK1_p,R52,Fibroblast
BCL2,MAPK1_p,R53,Fibroblast
BCL2,MAPK1_p,R54,Fibroblast
INSR_p,INSR,R55,Fibroblast
INSR_p,INSR,R56,Fibroblast
BAD,AKT1_p,R57,Fibroblast
BAD,AKT1_p,R58,Fibroblast
JAK1,STAT1,R59,Fibroblast
JAK1,STAT1,R60,Fibroblast
DUSP1,MAPK1_p,R61,Fibroblast
DUSP1,MAPK1_p,R62,Fibroblast
HSPB1,AKT1_p,R63,Fibroblast
HSPB1,AKT1_p,R64,Fibroblast
HMGN1,RPS6KA3_p,R65,Fibroblast
HMGN1,RPS6KA3_p,R66,Fibroblast
PKN1,PKN1_p,R67,Fibroblast
PKN1,PKN1_p,R68,Fibroblast
AKT1_p,CDKN1A,R69,Fibroblast
AKT1_p,CDKN1A,R70,Fibroblast
PRKCA_p,AQP1,R71,Fibroblast
PRKCA_p,AQP1,R72,Fibroblast
ESR1,AKT1_p,R73,Fibroblast
ESR1,AKT1_p,R74,Fibroblast
TSC2,MAPK1_p,R75,Fibroblast
TSC2,MAPK1_p,R76,Fibroblast
RHOA,MAPK1_p,R79,Fibroblast
RHOA,MAPK1_p,R80,Fibroblast
EGFR_p,CALM1,R81,Fibroblast
EGFR_p,CALM1,R82,Fibroblast
PRKCA,PRKCA_p,R83,Fibroblast
PRKCA,PRKCA_p,R84,Fibroblast
HMGN1,PRKCA_p,R85,Fibroblast
HMGN1,PRKCA_p,R86,Fibroblast
INSR_p,CALM1,R87,Fibroblast
INSR_p,CALM1,R88,Fibroblast
PRKCA_p,CDKN1A,R89,Fibroblast
PRKCA_p,CDKN1A,R90,Fibroblast
ERN1_p,ERN1,R91,Fibroblast
ERN1_p,ERN1,R92,Fibroblast
DEPTOR,RPS6KA3_p,R93,Fibroblast
DEPTOR,RPS6KA3_p,R94,Fibroblast
CDKN1B,AKT1_p,R95,Fibroblast
CDKN1B,AKT1_p,R96,Fibroblast
ATR,MDM2,R97,Fibroblast
ATR,MDM2,R98,Fibroblast
RPS6KA3_p,BAD,R101,Fibroblast
RPS6KA3_p,BAD,R102,Fibroblast
RAC1,AKT1_p,R103,Fibroblast
RAC1,AKT1_p,R104,Fibroblast
PTEN,STK11_p,R105,Fibroblast
PTEN,STK11_p,R106,Fibroblast
HIPK2_p,HIPK2,R107,Fibroblast
HIPK2_p,HIPK2,R108,Fibroblast
CDKN1B,SGK1,R109,Fibroblast
CDKN1B,SGK1,R110,Fibroblast
RPS6KA3_p,CREB1,R111,Fibroblast
RPS6KA3_p,CREB1,R112,Fibroblast
TSC2,AKT1_p,R113,Fibroblast
TSC2,AKT1_p,R114,Fibroblast
PRKAA1,PRKCA_p,R115,Fibroblast
PRKAA1,PRKCA_p,R116,Fibroblast
EP300,AKT1_p,R117,Fibroblast
EP300,AKT1_p,R118,Fibroblast
EGFR,MAPK1_p,R119,Fibroblast
EGFR,MAPK1_p,R120,Fibroblast
PRKCA_p,INSR,R121,Fibroblast
PRKCA_p,INSR,R122,Fibroblast
VIM,AKT1_p,R125,Fibroblast
VIM,AKT1_p,R126,Fibroblast
AXL,AXL_p,R127,Fibroblast
AXL,AXL_p,R128,Fibroblast
DNMT1,PRKAA1_p,R129,Fibroblast
DNMT1,PRKAA1_p,R130,Fibroblast
ILK_p,AKT1,R131,Fibroblast
ILK_p,AKT1,R132,Fibroblast
SP1,MAPK1_p,R133,Fibroblast
SP1,MAPK1_p,R134,Fibroblast
PTEN,ROCK1,R135,Fibroblast
PTEN,ROCK1,R136,Fibroblast
BAD,MAPK1_p,R137,Fibroblast
BAD,MAPK1_p,R138,Fibroblast
CDKN1A,MAPK1_p,R139,Fibroblast
CDKN1A,MAPK1_p,R140,Fibroblast
JAK1,STAT3,R141,Fibroblast
JAK1,STAT3,R142,Fibroblast
AKT1_p,NR3C1,R143,Fibroblast
AKT1_p,NR3C1,R144,Fibroblast
PRKCA_p,HES1,R145,Fibroblast
PRKCA_p,HES1,R146,Fibroblast
SMAD4,STK11_p,R149,Fibroblast
SMAD4,STK11_p,R150,Fibroblast
PRKCA_p,ANXA1,R151,Fibroblast
PRKCA_p,ANXA1,R152,Fibroblast
EGFR,AXL_p,R153,Fibroblast
EGFR,AXL_p,R154,Fibroblast
STAT6,JAK1,R155,Fibroblast
STAT6,JAK1,R156,Fibroblast
TSC2,SGK1,R157,Fibroblast
TSC2,SGK1,R158,Fibroblast
YAP1,AKT1_p,R159,Fibroblast
YAP1,AKT1_p,R160,Fibroblast
RPS6KA3_p,FOS,R163,Fibroblast
RPS6KA3_p,FOS,R164,Fibroblast
RPS6KA3,AKT1_p,R165,Fibroblast
RPS6KA3,AKT1_p,R166,Fibroblast
DNMT1,AKT1_p,R167,Fibroblast
DNMT1,AKT1_p,R168,Fibroblast
RPS6KA3_p,RPS6KA3,R169,Fibroblast
RPS6KA3_p,RPS6KA3,R170,Fibroblast
PRKAA1_p,EP300,R171,Fibroblast
PRKAA1_p,EP300,R172,Fibroblast
MECP2,HIPK2_p,R173,Fibroblast
MECP2,HIPK2_p,R174,Fibroblast
CTNNB1,AKT1_p,R175,Fibroblast
CTNNB1,AKT1_p,R176,Fibroblast
PRKCA_p,CYBA,R177,Fibroblast
PRKCA_p,CYBA,R178,Fibroblast
RPS6KA3_p,ESR1,R179,Fibroblast
RPS6KA3_p,ESR1,R180,Fibroblast
NR4A1,RPS6KA3_p,R181,Fibroblast
NR4A1,RPS6KA3_p,R182,Fibroblast
PRKCA_p,BAD,R183,Fibroblast
PRKCA_p,BAD,R184,Fibroblast
YAP1,STK11_p,R185,Fibroblast
YAP1,STK11_p,R186,Fibroblast
MAPK1,MAPK1_p,R187,Fibroblast
MAPK1,MAPK1_p,R188,Fibroblast
PRKAA1_p,TSC2,R189,Fibroblast
PRKAA1_p,TSC2,R190,Fibroblast
ZFP36,MAPK1_p,R191,Fibroblast
ZFP36,MAPK1_p,R192,Fibroblast
RCAN1,MAPK1_p,R193,Fibroblast
RCAN1,MAPK1_p,R194,Fibroblast
EGFR,PKN1_p,R195,Fibroblast
EGFR,PKN1_p,R196,Fibroblast
AEBP1,MAPK1_p,R197,Fibroblast
AEBP1,MAPK1_p,R198,Fibroblast
EGFR_p,ESR1,R199,Fibroblast
EGFR_p,ESR1,R200,Fibroblast
AR,PKN1_p,R201,Fibroblast
AR,PKN1_p,R202,Fibroblast
AKT1_p,PARK7,R203,Fibroblast
AKT1_p,PARK7,R204,Fibroblast
SP1,SGK1,R205,Fibroblast
SP1,SGK1,R206,Fibroblast
PRKAA1_p,HIPK2,R207,Fibroblast
PRKAA1_p,HIPK2,R208,Fibroblast
DNM1L,MAPK1_p,R209,Fibroblast
DNM1L,MAPK1_p,R210,Fibroblast
MAPK1,SGK1,R211,Fibroblast
MAPK1,SGK1,R212,Fibroblast
DDIT3,PRKAA1_p,R213,Fibroblast
DDIT3,PRKAA1_p,R214,Fibroblast
ROCK1,BECN1,R215,Fibroblast
ROCK1,BECN1,R216,Fibroblast
XBP1,MAPK1_p,R217,Fibroblast
XBP1,MAPK1_p,R218,Fibroblast
EP300,HIPK2_p,R219,Fibroblast
EP300,HIPK2_p,R220,Fibroblast
SGK1,NR3C1,R221,Fibroblast
SGK1,NR3C1,R222,Fibroblast
INSR_p,FABP4,R223,Fibroblast
INSR_p,FABP4,R224,Fibroblast
AR,MAPK1_p,R225,Fibroblast
AR,MAPK1_p,R226,Fibroblast
PKM,STAT3,R227,Fibroblast
PKM,STAT3,R228,Fibroblast
AKT1,AKT1_p,R229,Fibroblast
AKT1,AKT1_p,R230,Fibroblast
JAK1,PTPN11,R231,Fibroblast
JAK1,PTPN11,R232,Fibroblast
EGFR_p,STAT1,R233,Fibroblast
EGFR_p,STAT1,R234,Fibroblast
PTEN,INSR_p,R235,Fibroblast
PTEN,INSR_p,R236,Fibroblast
PIK3R1,INSR_p,R237,Fibroblast
PIK3R1,INSR_p,R238,Fibroblast
PRKAA1_p,MFF,R239,Fibroblast
PRKAA1_p,MFF,R240,Fibroblast
ADD3,PRKCA_p,R241,Fibroblast
ADD3,PRKCA_p,R242,Fibroblast
PIK3CA,AKT1,R243,Fibroblast
PIK3CA,AKT1,R244,Fibroblast
CREB1,AKT1_p,R245,Fibroblast
CREB1,AKT1_p,R246,Fibroblast
MAPK1,AKT1_p,R247,Fibroblast
MAPK1,AKT1_p,R248,Fibroblast
ROCK1,VIM,R249,Fibroblast
ROCK1,VIM,R250,Fibroblast
PRKCA_p,NFE2L2,R251,Fibroblast
PRKCA_p,NFE2L2,R252,Fibroblast
F2R,STK11_p,R253,Fibroblast
F2R,STK11_p,R254,Fibroblast
ATR,CREB1,R255,Fibroblast
ATR,CREB1,R256,Fibroblast
EGFR_p,AGO2,R257,Fibroblast
EGFR_p,AGO2,R258,Fibroblast
PRKAA1,STK11_p,R259,Fibroblast
PRKAA1,STK11_p,R260,Fibroblast
RPS6KA3_p,TSC2,R261,Fibroblast
RPS6KA3_p,TSC2,R262,Fibroblast
EGFR_p,ANXA1,R263,Fibroblast
EGFR_p,ANXA1,R264,Fibroblast
PRKCA_p,BCL2,R265,Fibroblast
PRKCA_p,BCL2,R266,Fibroblast
EGFR_p,STAT3,R267,Fibroblast
EGFR_p,STAT3,R268,Fibroblast
PTPN11,PRKCA_p,R269,Fibroblast
PTPN11,PRKCA_p,R270,Fibroblast
EGFR_p,BECN1,R271,Fibroblast
EGFR_p,BECN1,R272,Fibroblast
PRKAA1_p,NFE2L2,R273,Fibroblast
PRKAA1_p,NFE2L2,R274,Fibroblast
CDKN1B,HIPK2_p,R275,Fibroblast
CDKN1B,HIPK2_p,R276,Fibroblast
PRKAA1,PRKAA1_p,R277,Fibroblast
PRKAA1,PRKAA1_p,R278,Fibroblast
RPS6KA3_p,STK11,R279,Fibroblast
RPS6KA3_p,STK11,R280,Fibroblast
STAT1,SGK1,R281,Fibroblast
STAT1,SGK1,R282,Fibroblast
ERN1_p,XBP1,R283,Fibroblast
ERN1_p,XBP1,R284,Fibroblast
ILK_p,ILK,R285,Fibroblast
ILK_p,ILK,R286,Fibroblast
PRKCA_p,RORA,R287,Fibroblast
PRKCA_p,RORA,R288,Fibroblast
EGFR_p,CTNNB1,R289,Fibroblast
EGFR_p,CTNNB1,R290,Fibroblast
EGFR_p,PTPN11,R291,Fibroblast
EGFR_p,PTPN11,R292,Fibroblast
HIPK2_p,MDM2,R293,Fibroblast
HIPK2_p,MDM2,R294,Fibroblast
EP300,ROCK2,R295,Fibroblast
EP300,ROCK2,R296,Fibroblast
STAT3,MAPK1_p,R297,Fibroblast
STAT3,MAPK1_p,R298,Fibroblast
BECN1,AKT1_p,R299,Fibroblast
BECN1,AKT1_p,R300,Fibroblast
EGFR_p,AXL,R301,Fibroblast
EGFR_p,AXL,R302,Fibroblast
NR4A1,MAPK1_p,R303,Fibroblast
NR4A1,MAPK1_p,R304,Fibroblast
EGFR_p,ABCA1,R305,Fibroblast
EGFR_p,ABCA1,R306,Fibroblast
TXNIP,MAPK1_p,R307,Fibroblast
TXNIP,MAPK1_p,R308,Fibroblast
STK11_p,CDKN1A,R309,Fibroblast
STK11_p,CDKN1A,R310,Fibroblast
EGFR_p,PKM,R311,Fibroblast
EGFR_p,PKM,R312,Fibroblast
PIK3CA,PIK3R1,R313,Fibroblast
PIK3CA,PIK3R1,R314,Fibroblast
AKT1_p,BAX,R315,Fibroblast
AKT1_p,BAX,R316,Fibroblast
CDKN1B,PRKAA1_p,R317,Fibroblast
CDKN1B,PRKAA1_p,R318,Fibroblast
CREB1,HIPK2_p,R319,Fibroblast
CREB1,HIPK2_p,R320,Fibroblast
PTEN_p,AR_p,R321,Fibroblast
PTEN_p,AR_p,R322,Fibroblast
EGFR_p,PTPN11_p,R323,Fibroblast
EGFR_p,PTPN11_p,R324,Fibroblast
DUSP1_p,MAPK1_p,R325,Fibroblast
DUSP1_p,MAPK1_p,R326,Fibroblast
PTEN_p,SP1_p,R327,Fibroblast
PTEN_p,SP1_p,R328,Fibroblast
PTPN11_p,CDKN1B_p,R331,Fibroblast
PTPN11_p,CDKN1B_p,R332,Fibroblast
PTEN_p,IRF3_p,R333,Fibroblast
