source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,GlomerularCapillary
SMAD4_p,SMAD3_p,R2,GlomerularCapillary
SMAD1,SMAD4_p,R3,GlomerularCapillary
PIK3CA,PIK3R1_p,R4,GlomerularCapillary
TGFBR1,SMAD2,R5,GlomerularCapillary
TGFBR1,SMAD2,R6,GlomerularCapillary
EP300,MAPK1_p,R7,GlomerularCapillary
EP300,MAPK1_p,R8,GlomerularCapillary
HIF1A,MAPK1_p,R9,GlomerularCapillary
HIF1A,MAPK1_p,R10,GlomerularCapillary
NR3C1,MAPK1_p,R11,GlomerularCapillary
NR3C1,MAPK1_p,R12,GlomerularCapillary
RPS6KA3,MAPK1_p,R13,GlomerularCapillary
RPS6KA3,MAPK1_p,R14,GlomerularCapillary
CTNNB1,PRKCA_p,R15,GlomerularCapillary
CTNNB1,PRKCA_p,R16,GlomerularCapillary
SMAD1,MAPK1_p,R17,GlomerularCapillary
SMAD1,MAPK1_p,R18,GlomerularCapillary
AKT1_p,MDM2,R19,GlomerularCapillary
AKT1_p,MDM2,R20,GlomerularCapillary
NOS3,AKT1_p,R21,GlomerularCapillary
NOS3,AKT1_p,R22,GlomerularCapillary
PRKAA1,AKT1_p,R23,GlomerularCapillary
PRKAA1,AKT1_p,R24,GlomerularCapillary
EGFR_p,EGFR,R25,GlomerularCapillary
EGFR_p,EGFR,R26,GlomerularCapillary
PRKCA_p,VIM,R29,GlomerularCapillary
PRKCA_p,VIM,R30,GlomerularCapillary
SMAD4,MAPK1_p,R31,GlomerularCapillary
SMAD4,MAPK1_p,R32,GlomerularCapillary
ROCK1,DNM1L,R33,GlomerularCapillary
ROCK1,DNM1L,R34,GlomerularCapillary
NR4A1,AKT1_p,R35,GlomerularCapillary
NR4A1,AKT1_p,R36,GlomerularCapillary
EGFR,PRKCA_p,R37,GlomerularCapillary
EGFR,PRKCA_p,R38,GlomerularCapillary
KDR,KDR_p,R39,GlomerularCapillary
KDR,KDR_p,R40,GlomerularCapillary
AR,AKT1_p,R41,GlomerularCapillary
AR,AKT1_p,R42,GlomerularCapillary
SMAD2,MAPK1_p,R43,GlomerularCapillary
SMAD2,MAPK1_p,R44,GlomerularCapillary
INSR_p,INSR,R45,GlomerularCapillary
INSR_p,INSR,R46,GlomerularCapillary
BAD,AKT1_p,R47,GlomerularCapillary
BAD,AKT1_p,R48,GlomerularCapillary
STAT1,JAK1_p,R49,GlomerularCapillary
STAT1,JAK1_p,R50,GlomerularCapillary
DUSP1,MAPK1_p,R51,GlomerularCapillary
DUSP1,MAPK1_p,R52,GlomerularCapillary
HSPB1,AKT1_p,R53,GlomerularCapillary
HSPB1,AKT1_p,R54,GlomerularCapillary
HMGN1,RPS6KA3_p,R55,GlomerularCapillary
HMGN1,RPS6KA3_p,R56,GlomerularCapillary
PKN1,PKN1_p,R57,GlomerularCapillary
PKN1,PKN1_p,R58,GlomerularCapillary
AKT1_p,CDKN1A,R59,GlomerularCapillary
AKT1_p,CDKN1A,R60,GlomerularCapillary
PRKCA_p,AQP1,R61,GlomerularCapillary
PRKCA_p,AQP1,R62,GlomerularCapillary
TP53,MAPK8_p,R63,GlomerularCapillary
TP53,MAPK8_p,R64,GlomerularCapillary
TSC2,MAPK1_p,R65,GlomerularCapillary
TSC2,MAPK1_p,R66,GlomerularCapillary
MAPK8_p,MFN2,R67,GlomerularCapillary
MAPK8_p,MFN2,R68,GlomerularCapillary
MAPK8_p,NR3C1,R71,GlomerularCapillary
MAPK8_p,NR3C1,R72,GlomerularCapillary
PRKCA,PRKCA_p,R73,GlomerularCapillary
PRKCA,PRKCA_p,R74,GlomerularCapillary
PPARG,MAPK1_p,R75,GlomerularCapillary
PPARG,MAPK1_p,R76,GlomerularCapillary
SMAD3,MAPK1_p,R77,GlomerularCapillary
SMAD3,MAPK1_p,R78,GlomerularCapillary
HMGN1,PRKCA_p,R79,GlomerularCapillary
HMGN1,PRKCA_p,R80,GlomerularCapillary
PRKCA_p,CDKN1A,R81,GlomerularCapillary
PRKCA_p,CDKN1A,R82,GlomerularCapillary
ERN1_p,ERN1,R83,GlomerularCapillary
ERN1_p,ERN1,R84,GlomerularCapillary
MAPK8_p,AKT1,R85,GlomerularCapillary
MAPK8_p,AKT1,R86,GlomerularCapillary
ATR,MDM2,R87,GlomerularCapillary
ATR,MDM2,R88,GlomerularCapillary
RPS6KA3_p,BAD,R89,GlomerularCapillary
RPS6KA3_p,BAD,R90,GlomerularCapillary
MAPK8_p,CTNNB1,R91,GlomerularCapillary
MAPK8_p,CTNNB1,R92,GlomerularCapillary
PINK1,UBC,R93,GlomerularCapillary
PINK1,UBC,R94,GlomerularCapillary
RAC1,AKT1_p,R95,GlomerularCapillary
RAC1,AKT1_p,R96,GlomerularCapillary
IGF1R_p,IGF1R,R97,GlomerularCapillary
IGF1R_p,IGF1R,R98,GlomerularCapillary
RPS6KA3_p,CREB1,R99,GlomerularCapillary
RPS6KA3_p,CREB1,R100,GlomerularCapillary
PRKAA1,NOS3,R101,GlomerularCapillary
PRKAA1,NOS3,R102,GlomerularCapillary
TSC2,AKT1_p,R103,GlomerularCapillary
TSC2,AKT1_p,R104,GlomerularCapillary
PKM,MAPK8_p,R105,GlomerularCapillary
PKM,MAPK8_p,R106,GlomerularCapillary
PRKAA1,PRKCA_p,R107,GlomerularCapillary
PRKAA1,PRKCA_p,R108,GlomerularCapillary
EP300,AKT1_p,R109,GlomerularCapillary
EP300,AKT1_p,R110,GlomerularCapillary
EGFR,MAPK1_p,R111,GlomerularCapillary
EGFR,MAPK1_p,R112,GlomerularCapillary
STAT6,MAPK8_p,R113,GlomerularCapillary
STAT6,MAPK8_p,R114,GlomerularCapillary
PRKCA_p,INSR,R115,GlomerularCapillary
PRKCA_p,INSR,R116,GlomerularCapillary
VIM,AKT1_p,R119,GlomerularCapillary
VIM,AKT1_p,R120,GlomerularCapillary
ILK_p,AKT1,R121,GlomerularCapillary
ILK_p,AKT1,R122,GlomerularCapillary
PPARG,MAPK8_p,R123,GlomerularCapillary
PPARG,MAPK8_p,R124,GlomerularCapillary
SP1,MAPK1_p,R125,GlomerularCapillary
SP1,MAPK1_p,R126,GlomerularCapillary
PTEN,ROCK1,R127,GlomerularCapillary
PTEN,ROCK1,R128,GlomerularCapillary
MAPK8_p,CDKN1A,R129,GlomerularCapillary
MAPK8_p,CDKN1A,R130,GlomerularCapillary
BAD,MAPK1_p,R131,GlomerularCapillary
BAD,MAPK1_p,R132,GlomerularCapillary
CDKN1A,MAPK1_p,R133,GlomerularCapillary
CDKN1A,MAPK1_p,R134,GlomerularCapillary
AKT1S1,AKT1_p,R135,GlomerularCapillary
AKT1S1,AKT1_p,R136,GlomerularCapillary
MAPK8_p,BAD,R137,GlomerularCapillary
MAPK8_p,BAD,R138,GlomerularCapillary
AKT1_p,NR3C1,R139,GlomerularCapillary
AKT1_p,NR3C1,R140,GlomerularCapillary
PRKCA_p,HES1,R141,GlomerularCapillary
PRKCA_p,HES1,R142,GlomerularCapillary
MAPK8_p,YAP1,R143,GlomerularCapillary
MAPK8_p,YAP1,R144,GlomerularCapillary
PRKCA_p,ANXA1,R145,GlomerularCapillary
PRKCA_p,ANXA1,R146,GlomerularCapillary
MAPK8_p,SP1,R147,GlomerularCapillary
MAPK8_p,SP1,R148,GlomerularCapillary
EGFR_p,PPARG,R149,GlomerularCapillary
EGFR_p,PPARG,R150,GlomerularCapillary
TP53,PLK2,R151,GlomerularCapillary
TP53,PLK2,R152,GlomerularCapillary
STAT6,JAK1_p,R153,GlomerularCapillary
STAT6,JAK1_p,R154,GlomerularCapillary
YAP1,AKT1_p,R155,GlomerularCapillary
YAP1,AKT1_p,R156,GlomerularCapillary
SMAD4,SMAD1,R159,GlomerularCapillary
SMAD4,SMAD1,R160,GlomerularCapillary
RPS6KA3,AKT1_p,R161,GlomerularCapillary
RPS6KA3,AKT1_p,R162,GlomerularCapillary
RPS6KA3_p,RPS6KA3,R163,GlomerularCapillary
RPS6KA3_p,RPS6KA3,R164,GlomerularCapillary
PRKAA1,EP300,R165,GlomerularCapillary
PRKAA1,EP300,R166,GlomerularCapillary
CTNNB1,AKT1_p,R167,GlomerularCapillary
CTNNB1,AKT1_p,R168,GlomerularCapillary
MAP4K2_p,MAP4K2,R169,GlomerularCapillary
MAP4K2_p,MAP4K2,R170,GlomerularCapillary
NR4A1,RPS6KA3_p,R171,GlomerularCapillary
NR4A1,RPS6KA3_p,R172,GlomerularCapillary
PRKAA1,SIRT1,R173,GlomerularCapillary
