source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,InterCellA
JUN_p,SMAD4_p,R2,InterCellA
NR3C1_p,STAT5A_p,R3,InterCellA
SMAD1,SMAD4_p,R4,InterCellA
JUN_p,FOS_p,R5,InterCellA
HIF1A,MAPK1_p,R6,InterCellA
HIF1A,MAPK1_p,R7,InterCellA
NR3C1,MAPK1_p,R8,InterCellA
NR3C1,MAPK1_p,R9,InterCellA
RPS6KA3,MAPK1_p,R10,InterCellA
RPS6KA3,MAPK1_p,R11,InterCellA
SRC_p,RPS6KA3,R12,InterCellA
SRC_p,RPS6KA3,R13,InterCellA
SMAD1,MAPK1_p,R14,InterCellA
SMAD1,MAPK1_p,R15,InterCellA
PTPN11,KIT_p,R16,InterCellA
PTPN11,KIT_p,R17,InterCellA
JAK2_p,STAT5A,R18,InterCellA
JAK2_p,STAT5A,R19,InterCellA
RPS6KB1,MAPK1_p,R20,InterCellA
RPS6KB1,MAPK1_p,R21,InterCellA
IRS1,IGF1R_p,R22,InterCellA
IRS1,IGF1R_p,R23,InterCellA
TP53,SRC_p,R24,InterCellA
TP53,SRC_p,R25,InterCellA
EGFR_p,EGFR,R26,InterCellA
EGFR_p,EGFR,R27,InterCellA
JAK2_p,JAK2,R28,InterCellA
JAK2_p,JAK2,R29,InterCellA
CDKN1B,MAPK1_p,R30,InterCellA
CDKN1B,MAPK1_p,R31,InterCellA
SMAD4,MAPK1_p,R32,InterCellA
SMAD4,MAPK1_p,R33,InterCellA
IRS1,RPS6KB1_p,R34,InterCellA
IRS1,RPS6KB1_p,R35,InterCellA
PDPK1_p,RPS6KB1,R36,InterCellA
PDPK1_p,RPS6KB1,R37,InterCellA
JUN,MAPK1_p,R38,InterCellA
JUN,MAPK1_p,R39,InterCellA
JAK2_p,MAP3K5,R40,InterCellA
JAK2_p,MAP3K5,R41,InterCellA
FOS,MAPK1_p,R42,InterCellA
FOS,MAPK1_p,R43,InterCellA
SRC,SRC_p,R44,InterCellA
SRC,SRC_p,R45,InterCellA
TLR3,SRC_p,R46,InterCellA
TLR3,SRC_p,R47,InterCellA
SMAD2,MAPK1_p,R48,InterCellA
SMAD2,MAPK1_p,R49,InterCellA
CTNNB1,KIT_p,R50,InterCellA
CTNNB1,KIT_p,R51,InterCellA
RORA,MAPK1_p,R52,InterCellA
