source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,InterCellB
JUN_p,SMAD4_p,R2,InterCellB
SMAD1,SMAD4_p,R3,InterCellB
JUN_p,FOS_p,R4,InterCellB
PIK3CA,PIK3R1_p,R5,InterCellB
EP300,MAPK1_p,R6,InterCellB
EP300,MAPK1_p,R7,InterCellB
HIF1A,MAPK1_p,R8,InterCellB
HIF1A,MAPK1_p,R9,InterCellB
RPS6KA3,MAPK1_p,R10,InterCellB
RPS6KA3,MAPK1_p,R11,InterCellB
FOXO1,AKT1_p,R12,InterCellB
FOXO1,AKT1_p,R13,InterCellB
PRDX6,MAPK1_p,R14,InterCellB
PRDX6,MAPK1_p,R15,InterCellB
CTNNB1,PRKCA_p,R16,InterCellB
CTNNB1,PRKCA_p,R17,InterCellB
SMAD1,MAPK1_p,R18,InterCellB
SMAD1,MAPK1_p,R19,InterCellB
PTPN11,KIT_p,R20,InterCellB
PTPN11,KIT_p,R21,InterCellB
AKT1_p,MDM2,R22,InterCellB
AKT1_p,MDM2,R23,InterCellB
PRKAA1,AKT1_p,R24,InterCellB
PRKAA1,AKT1_p,R25,InterCellB
EGFR_p,EGFR,R26,InterCellB
EGFR_p,EGFR,R27,InterCellB
PRKCA_p,VIM,R28,InterCellB
PRKCA_p,VIM,R29,InterCellB
CDKN1B,MAPK1_p,R30,InterCellB
CDKN1B,MAPK1_p,R31,InterCellB
SMAD4,MAPK1_p,R32,InterCellB
SMAD4,MAPK1_p,R33,InterCellB
STK11,MAPK1_p,R34,InterCellB
STK11,MAPK1_p,R35,InterCellB
JUN,MAPK1_p,R36,InterCellB
JUN,MAPK1_p,R37,InterCellB
NR4A1,AKT1_p,R38,InterCellB
NR4A1,AKT1_p,R39,InterCellB
MAPK8_p,IRS1,R40,InterCellB
MAPK8_p,IRS1,R41,InterCellB
FOS,MAPK1_p,R42,InterCellB
FOS,MAPK1_p,R43,InterCellB
EGFR,PRKCA_p,R44,InterCellB
EGFR,PRKCA_p,R45,InterCellB
STK11_p,STK11,R46,InterCellB
STK11_p,STK11,R47,InterCellB
MAPK8_p,BCL2,R48,InterCellB
MAPK8_p,BCL2,R49,InterCellB
TP53,MAPK9_p,R50,InterCellB
TP53,MAPK9_p,R51,InterCellB
SMAD2,MAPK1_p,R52,InterCellB
SMAD2,MAPK1_p,R53,InterCellB
PRKCA_p,F3,R54,InterCellB
PRKCA_p,F3,R55,InterCellB
CTNNB1,KIT_p,R56,InterCellB
CTNNB1,KIT_p,R57,InterCellB
JUN,MAPK9_p,R58,InterCellB
JUN,MAPK9_p,R59,InterCellB
BCL2,MAPK1_p,R60,InterCellB
BCL2,MAPK1_p,R61,InterCellB
PPARGC1A,PRKAA1_p,R62,InterCellB
PPARGC1A,PRKAA1_p,R63,InterCellB
INSR_p,INSR,R64,InterCellB
INSR_p,INSR,R65,InterCellB
IRS1,INSR_p,R66,InterCellB
IRS1,INSR_p,R67,InterCellB
DUSP1,MAPK1_p,R68,InterCellB
DUSP1,MAPK1_p,R69,InterCellB
HSPB1,AKT1_p,R70,InterCellB
HSPB1,AKT1_p,R71,InterCellB
NR3C2,MAPK1_p,R72,InterCellB
NR3C2,MAPK1_p,R73,InterCellB
HMGN1,RPS6KA3_p,R74,InterCellB
HMGN1,RPS6KA3_p,R75,InterCellB
AKT1_p,CDKN1A,R76,InterCellB
AKT1_p,CDKN1A,R77,InterCellB
STK4_p,FOXO1,R78,InterCellB
STK4_p,FOXO1,R79,InterCellB
MAPK8_p,MAPK9,R80,InterCellB
MAPK8_p,MAPK9,R81,InterCellB
TP53,MAPK8_p,R82,InterCellB
TP53,MAPK8_p,R83,InterCellB
TSC2,MAPK1_p,R84,InterCellB
TSC2,MAPK1_p,R85,InterCellB
IRS1,MAPK9_p,R86,InterCellB
IRS1,MAPK9_p,R87,InterCellB
KIT,KIT_p,R88,InterCellB
KIT,KIT_p,R89,InterCellB
PPARGC1A,AKT1_p,R92,InterCellB
PPARGC1A,AKT1_p,R93,InterCellB
FOXO1,MAPK1_p,R94,InterCellB
FOXO1,MAPK1_p,R95,InterCellB
MAPK8_p,FOXO1,R96,InterCellB
MAPK8_p,FOXO1,R97,InterCellB
PRKCA,PRKCA_p,R98,InterCellB
PRKCA,PRKCA_p,R99,InterCellB
PPARG,MAPK1_p,R100,InterCellB
PPARG,MAPK1_p,R101,InterCellB
HMGN1,PRKCA_p,R102,InterCellB
HMGN1,PRKCA_p,R103,InterCellB
PRKCA_p,CDKN1A,R104,InterCellB
PRKCA_p,CDKN1A,R105,InterCellB
PRKCA_p,KIT,R106,InterCellB
PRKCA_p,KIT,R107,InterCellB
MAPK8_p,AKT1,R108,InterCellB
MAPK8_p,AKT1,R109,InterCellB
CDKN1B,AKT1_p,R110,InterCellB
CDKN1B,AKT1_p,R111,InterCellB
MAPK8_p,CTNNB1,R114,InterCellB
MAPK8_p,CTNNB1,R115,InterCellB
PINK1,UBC,R116,InterCellB
PINK1,UBC,R117,InterCellB
STK4_p,STK4,R118,InterCellB
STK4_p,STK4,R119,InterCellB
PTEN,STK11_p,R120,InterCellB
PTEN,STK11_p,R121,InterCellB
FOXO1,SGK1,R122,InterCellB
FOXO1,SGK1,R123,InterCellB
HIPK2_p,HIPK2,R124,InterCellB
HIPK2_p,HIPK2,R125,InterCellB
CDKN1B,SGK1,R126,InterCellB
CDKN1B,SGK1,R127,InterCellB
RPS6KA3_p,CREB1,R128,InterCellB
RPS6KA3_p,CREB1,R129,InterCellB
TSC2,AKT1_p,R130,InterCellB
TSC2,AKT1_p,R131,InterCellB
PRKAA1,PRKCA_p,R132,InterCellB
PRKAA1,PRKCA_p,R133,InterCellB
EP300,AKT1_p,R134,InterCellB
EP300,AKT1_p,R135,InterCellB
EGFR,MAPK1_p,R136,InterCellB
EGFR,MAPK1_p,R137,InterCellB
STAT6,MAPK8_p,R138,InterCellB
STAT6,MAPK8_p,R139,InterCellB
PRKCA_p,INSR,R140,InterCellB
PRKCA_p,INSR,R141,InterCellB
VIM,AKT1_p,R142,InterCellB
VIM,AKT1_p,R143,InterCellB
PRKAA1_p,SIRT7,R144,InterCellB
PRKAA1_p,SIRT7,R145,InterCellB
DNMT1,PRKAA1_p,R146,InterCellB
DNMT1,PRKAA1_p,R147,InterCellB
PPARG,MAPK8_p,R148,InterCellB
PPARG,MAPK8_p,R149,InterCellB
SP1,MAPK1_p,R150,InterCellB
SP1,MAPK1_p,R151,InterCellB
PTEN,ROCK1,R152,InterCellB
PTEN,ROCK1,R153,InterCellB
MAPK8_p,CDKN1A,R154,InterCellB
MAPK8_p,CDKN1A,R155,InterCellB
CDKN1A,MAPK1_p,R156,InterCellB
CDKN1A,MAPK1_p,R157,InterCellB
AKT1S1,AKT1_p,R158,InterCellB
AKT1S1,AKT1_p,R159,InterCellB
FOXO1,PRKAA1_p,R160,InterCellB
FOXO1,PRKAA1_p,R161,InterCellB
MAPK8_p,JUN,R162,InterCellB
MAPK8_p,JUN,R163,InterCellB
PARP1,MAPK1_p,R164,InterCellB
PARP1,MAPK1_p,R165,InterCellB
MAPK8_p,YAP1,R166,InterCellB
MAPK8_p,YAP1,R167,InterCellB
SMAD4,STK11_p,R168,InterCellB
SMAD4,STK11_p,R169,InterCellB
MAPK8_p,SP1,R170,InterCellB
MAPK8_p,SP1,R171,InterCellB
EGFR_p,PPARG,R172,InterCellB
EGFR_p,PPARG,R173,InterCellB
STK4_p,PIK3CA,R174,InterCellB
STK4_p,PIK3CA,R175,InterCellB
TSC2,SGK1,R176,InterCellB
TSC2,SGK1,R177,InterCellB
YAP1,AKT1_p,R178,InterCellB
YAP1,AKT1_p,R179,InterCellB
STK4_p,IRF3,R182,InterCellB
