source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,M2machrophage
JUN_p,SMAD4_p,R2,M2machrophage
NFKB1,RELA_p,R3,M2machrophage
NR3C1_p,STAT5A_p,R4,M2machrophage
STAT3_p,STAT1_p,R5,M2machrophage
JUN_p,FOS_p,R7,M2machrophage
PIK3CA,PIK3R1_p,R8,M2machrophage
TGFBR1,SMAD2,R9,M2machrophage
TGFBR1,SMAD2,R10,M2machrophage
EP300,MAPK1_p,R11,M2machrophage
EP300,MAPK1_p,R12,M2machrophage
HIF1A,MAPK1_p,R13,M2machrophage
HIF1A,MAPK1_p,R14,M2machrophage
NR3C1,MAPK1_p,R15,M2machrophage
NR3C1,MAPK1_p,R16,M2machrophage
RPS6KA3,MAPK1_p,R17,M2machrophage
RPS6KA3,MAPK1_p,R18,M2machrophage
PRDX6,MAPK1_p,R19,M2machrophage
PRDX6,MAPK1_p,R20,M2machrophage
JAK2_p,STAT5A,R21,M2machrophage
JAK2_p,STAT5A,R22,M2machrophage
AKT1_p,MDM2,R23,M2machrophage
AKT1_p,MDM2,R24,M2machrophage
JAK2_p,JAK2,R27,M2machrophage
JAK2_p,JAK2,R28,M2machrophage
CDKN1B,MAPK1_p,R29,M2machrophage
CDKN1B,MAPK1_p,R30,M2machrophage
SMAD4,MAPK1_p,R31,M2machrophage
SMAD4,MAPK1_p,R32,M2machrophage
ROCK1,DNM1L,R33,M2machrophage
ROCK1,DNM1L,R34,M2machrophage
STK11,MAPK1_p,R35,M2machrophage
STK11,MAPK1_p,R36,M2machrophage
JUN,MAPK1_p,R37,M2machrophage
JUN,MAPK1_p,R38,M2machrophage
NR4A1,AKT1_p,R41,M2machrophage
NR4A1,AKT1_p,R42,M2machrophage
JAK2_p,MAP3K5,R43,M2machrophage
JAK2_p,MAP3K5,R44,M2machrophage
FOS,MAPK1_p,R45,M2machrophage
FOS,MAPK1_p,R46,M2machrophage
STK11_p,STK11,R47,M2machrophage
STK11_p,STK11,R48,M2machrophage
MAPK8_p,BCL2,R49,M2machrophage
MAPK8_p,BCL2,R50,M2machrophage
SMAD2,MAPK1_p,R51,M2machrophage
SMAD2,MAPK1_p,R52,M2machrophage
BCL2,MAPK1_p,R53,M2machrophage
BCL2,MAPK1_p,R54,M2machrophage
INSR_p,INSR,R55,M2machrophage
INSR_p,INSR,R56,M2machrophage
NCF1,MAPK1_p,R57,M2machrophage
NCF1,MAPK1_p,R58,M2machrophage
SREBF1,MAPK1_p,R61,M2machrophage
SREBF1,MAPK1_p,R62,M2machrophage
STAT1,JAK1_p,R63,M2machrophage
STAT1,JAK1_p,R64,M2machrophage
DUSP1,MAPK1_p,R65,M2machrophage
DUSP1,MAPK1_p,R66,M2machrophage
HSPB1,AKT1_p,R67,M2machrophage
HSPB1,AKT1_p,R68,M2machrophage
NCF1,AKT1_p,R69,M2machrophage
NCF1,AKT1_p,R70,M2machrophage
HMGN1,RPS6KA3_p,R71,M2machrophage
HMGN1,RPS6KA3_p,R72,M2machrophage
PKN1,PKN1_p,R73,M2machrophage
PKN1,PKN1_p,R74,M2machrophage
AKT1_p,CDKN1A,R75,M2machrophage
AKT1_p,CDKN1A,R76,M2machrophage
TP53,MAPK8_p,R77,M2machrophage
TP53,MAPK8_p,R78,M2machrophage
RHOA,MAPK1_p,R81,M2machrophage
RHOA,MAPK1_p,R82,M2machrophage
MAPK8_p,NR3C1,R83,M2machrophage
MAPK8_p,NR3C1,R84,M2machrophage
JAK2_p,STAT1,R85,M2machrophage
JAK2_p,STAT1,R86,M2machrophage
INSR_p,CALM1,R87,M2machrophage
INSR_p,CALM1,R88,M2machrophage
RPS6KA3_p,MAP3K5,R89,M2machrophage
RPS6KA3_p,MAP3K5,R90,M2machrophage
MAPK8_p,AKT1,R91,M2machrophage
MAPK8_p,AKT1,R92,M2machrophage
CDKN1B,AKT1_p,R93,M2machrophage
CDKN1B,AKT1_p,R94,M2machrophage
MAPK8_p,NLRP3,R95,M2machrophage
MAPK8_p,NLRP3,R96,M2machrophage
MAPK8_p,CTNNB1,R99,M2machrophage
MAPK8_p,CTNNB1,R100,M2machrophage
PINK1,UBC,R101,M2machrophage
PINK1,UBC,R102,M2machrophage
RAC1,AKT1_p,R103,M2machrophage
RAC1,AKT1_p,R104,M2machrophage
STK4_p,STK4,R105,M2machrophage
STK4_p,STK4,R106,M2machrophage
PTEN,STK11_p,R107,M2machrophage
PTEN,STK11_p,R108,M2machrophage
HIPK2_p,HIPK2,R109,M2machrophage
HIPK2_p,HIPK2,R110,M2machrophage
JAK2_p,BECN1,R111,M2machrophage
JAK2_p,BECN1,R112,M2machrophage
CDKN1B,SGK1,R113,M2machrophage
CDKN1B,SGK1,R114,M2machrophage
RPS6KA3_p,CREB1,R115,M2machrophage
RPS6KA3_p,CREB1,R116,M2machrophage
PKM,MAPK8_p,R117,M2machrophage
PKM,MAPK8_p,R118,M2machrophage
EP300,AKT1_p,R119,M2machrophage
EP300,AKT1_p,R120,M2machrophage
IRAK1_p,IRAK1,R121,M2machrophage
IRAK1_p,IRAK1,R122,M2machrophage
STAT6,MAPK8_p,R123,M2machrophage
STAT6,MAPK8_p,R124,M2machrophage
MAP3K5,MAP3K5_p,R125,M2machrophage
MAP3K5,MAP3K5_p,R126,M2machrophage
VIM,AKT1_p,R127,M2machrophage
VIM,AKT1_p,R128,M2machrophage
AXL,AXL_p,R129,M2machrophage
AXL,AXL_p,R130,M2machrophage
NFKB1,IKBKB,R131,M2machrophage
NFKB1,IKBKB,R132,M2machrophage
ILK_p,AKT1,R133,M2machrophage
ILK_p,AKT1,R134,M2machrophage
BTK,AKT1_p,R135,M2machrophage
BTK,AKT1_p,R136,M2machrophage
PTEN,ROCK1,R137,M2machrophage
PTEN,ROCK1,R138,M2machrophage
MAPK8_p,CDKN1A,R139,M2machrophage
MAPK8_p,CDKN1A,R140,M2machrophage
STAT5A,MAPK1_p,R141,M2machrophage
STAT5A,MAPK1_p,R142,M2machrophage
CDKN1A,MAPK1_p,R143,M2machrophage
CDKN1A,MAPK1_p,R144,M2machrophage
IL6R,JAK2,R145,M2machrophage
IL6R,JAK2,R146,M2machrophage
JAK2,MAPK1_p,R147,M2machrophage
JAK2,MAPK1_p,R148,M2machrophage
MAPK8_p,JUN,R149,M2machrophage
MAPK8_p,JUN,R150,M2machrophage
STAT3,JAK1_p,R151,M2machrophage
STAT3,JAK1_p,R152,M2machrophage
PARP1,MAPK1_p,R153,M2machrophage
PARP1,MAPK1_p,R154,M2machrophage
AKT1_p,NR3C1,R155,M2machrophage
AKT1_p,NR3C1,R156,M2machrophage
SMAD4,STK11_p,R157,M2machrophage
SMAD4,STK11_p,R158,M2machrophage
STAT6,JAK2_p,R159,M2machrophage
STAT6,JAK2_p,R160,M2machrophage
STK4_p,PIK3CA,R161,M2machrophage
STK4_p,PIK3CA,R162,M2machrophage
STAT6,JAK1_p,R163,M2machrophage
STAT6,JAK1_p,R164,M2machrophage
BTK_p,STAT3,R167,M2machrophage
BTK_p,STAT3,R168,M2machrophage
STK4_p,IRF3,R169,M2machrophage
STK4_p,IRF3,R170,M2machrophage
JAK2_p,CDKN1B,R171,M2machrophage
JAK2_p,CDKN1B,R172,M2machrophage
RPS6KA3_p,FOS,R173,M2machrophage
RPS6KA3_p,FOS,R174,M2machrophage
RPS6KA3,AKT1_p,R175,M2machrophage
RPS6KA3,AKT1_p,R176,M2machrophage
DNMT1,AKT1_p,R177,M2machrophage
DNMT1,AKT1_p,R178,M2machrophage
STK11_p,SIRT1,R179,M2machrophage
STK11_p,SIRT1,R180,M2machrophage
RPS6KA3_p,RPS6KA3,R181,M2machrophage
RPS6KA3_p,RPS6KA3,R182,M2machrophage
MECP2,HIPK2_p,R183,M2machrophage
MECP2,HIPK2_p,R184,M2machrophage
CTNNB1,AKT1_p,R185,M2machrophage
CTNNB1,AKT1_p,R186,M2machrophage
STK4,AKT1_p,R187,M2machrophage
STK4,AKT1_p,R188,M2machrophage
MAPK8_p,JUNB,R189,M2machrophage
MAPK8_p,JUNB,R190,M2machrophage
NR4A1,RPS6KA3_p,R191,M2machrophage
NR4A1,RPS6KA3_p,R192,M2machrophage
IRAK1,AKT1_p,R193,M2machrophage
IRAK1,AKT1_p,R194,M2machrophage
TP53,ROCK1,R195,M2machrophage
TP53,ROCK1,R196,M2machrophage
BTK_p,RELA,R197,M2machrophage
BTK_p,RELA,R198,M2machrophage
MAPK1,MAPK1_p,R199,M2machrophage
MAPK1,MAPK1_p,R200,M2machrophage
BTK_p,BTK,R201,M2machrophage
BTK_p,BTK,R202,M2machrophage
LYN,LYN_p,R203,M2machrophage
LYN,LYN_p,R204,M2machrophage
ZFP36,MAPK1_p,R205,M2machrophage
ZFP36,MAPK1_p,R206,M2machrophage
MAPKAP1,AKT1_p,R207,M2machrophage
MAPKAP1,AKT1_p,R208,M2machrophage
MAP3K5,AKT1_p,R209,M2machrophage
MAP3K5,AKT1_p,R210,M2machrophage
MAPK8_p,SIRT1,R211,M2machrophage
MAPK8_p,SIRT1,R212,M2machrophage
AKT1_p,PARK7,R213,M2machrophage
AKT1_p,PARK7,R214,M2machrophage
MAPK8_p,IRF3,R215,M2machrophage
MAPK8_p,IRF3,R216,M2machrophage
HMOX1,AKT1_p,R217,M2machrophage
HMOX1,AKT1_p,R218,M2machrophage
DNM1L,MAPK1_p,R219,M2machrophage
DNM1L,MAPK1_p,R220,M2machrophage
INSR_p,IRS2,R221,M2machrophage
INSR_p,IRS2,R222,M2machrophage
MAPK1,SGK1,R223,M2machrophage
MAPK1,SGK1,R224,M2machrophage
TP53,RPS6KA3_p,R225,M2machrophage
TP53,RPS6KA3_p,R226,M2machrophage
ROCK1,BECN1,R227,M2machrophage
ROCK1,BECN1,R228,M2machrophage
PIK3CA,BTK,R229,M2machrophage
PIK3CA,BTK,R230,M2machrophage
EP300,HIPK2_p,R233,M2machrophage
EP300,HIPK2_p,R234,M2machrophage
SGK1,NR3C1,R235,M2machrophage
SGK1,NR3C1,R236,M2machrophage
PKM_p,STAT3,R237,M2machrophage
PKM_p,STAT3,R238,M2machrophage
AKT1,AKT1_p,R239,M2machrophage
AKT1,AKT1_p,R240,M2machrophage
PTPN6,INSR_p,R241,M2machrophage
PTPN6,INSR_p,R242,M2machrophage
PTPN11,JAK1_p,R243,M2machrophage
PTPN11,JAK1_p,R244,M2machrophage
TP53,PINK1,R245,M2machrophage
TP53,PINK1,R246,M2machrophage
JAK2_p,STAT3,R247,M2machrophage
JAK2_p,STAT3,R248,M2machrophage
PTEN,INSR_p,R249,M2machrophage
PTEN,INSR_p,R250,M2machrophage
TP53,STK11_p,R251,M2machrophage
TP53,STK11_p,R252,M2machrophage
STK4_p,BECN1,R253,M2machrophage
STK4_p,BECN1,R254,M2machrophage
PIK3R1,INSR_p,R255,M2machrophage
PIK3R1,INSR_p,R256,M2machrophage
STK4_p,PRDX1,R257,M2machrophage
STK4_p,PRDX1,R258,M2machrophage
MAPK8_p,STAT3,R259,M2machrophage
MAPK8_p,STAT3,R260,M2machrophage
GLO1,LYN_p,R261,M2machrophage
GLO1,LYN_p,R262,M2machrophage
PIK3CA,AKT1,R263,M2machrophage
PIK3CA,AKT1,R264,M2machrophage
CREB1,AKT1_p,R265,M2machrophage
CREB1,AKT1_p,R266,M2machrophage
MAPK8_p,STK4,R267,M2machrophage
MAPK8_p,STK4,R268,M2machrophage
MAPK1,AKT1_p,R269,M2machrophage
MAPK1,AKT1_p,R270,M2machrophage
RELA,IKBKB,R271,M2machrophage
RELA,IKBKB,R272,M2machrophage
ROCK1,VIM,R273,M2machrophage
ROCK1,VIM,R274,M2machrophage
MAPK8_p,STAT1,R275,M2machrophage
MAPK8_p,STAT1,R276,M2machrophage
STK4_p,SIRT1,R277,M2machrophage
STK4_p,SIRT1,R278,M2machrophage
CDKN1B,LYN_p,R279,M2machrophage
CDKN1B,LYN_p,R280,M2machrophage
TP53,IKBKB,R281,M2machrophage
TP53,IKBKB,R282,M2machrophage
NR4A1,MAPK8_p,R283,M2machrophage
NR4A1,MAPK8_p,R284,M2machrophage
JAK2_p,PTPN11,R285,M2machrophage
JAK2_p,PTPN11,R286,M2machrophage
PTGS2,LYN_p,R287,M2machrophage
PTGS2,LYN_p,R288,M2machrophage
BTK,LYN_p,R289,M2machrophage
BTK,LYN_p,R290,M2machrophage
TP53,MAPK1_p,R291,M2machrophage
TP53,MAPK1_p,R292,M2machrophage
STAT3,LYN_p,R293,M2machrophage
STAT3,LYN_p,R294,M2machrophage
CDKN1B,HIPK2_p,R295,M2machrophage
CDKN1B,HIPK2_p,R296,M2machrophage
TP53,HIPK2_p,R297,M2machrophage
TP53,HIPK2_p,R298,M2machrophage
ROCK1,MAPK8,R299,M2machrophage
ROCK1,MAPK8,R300,M2machrophage
RPS6KA3_p,STK11,R301,M2machrophage
RPS6KA3_p,STK11,R302,M2machrophage
STAT1,SGK1,R303,M2machrophage
STAT1,SGK1,R304,M2machrophage
DNM1L,PINK1,R305,M2machrophage
DNM1L,PINK1,R306,M2machrophage
MAPK1,TLR4,R307,M2machrophage
MAPK1,TLR4,R308,M2machrophage
ILK_p,ILK,R309,M2machrophage
ILK_p,ILK,R310,M2machrophage
SOCS1,LYN_p,R311,M2machrophage
SOCS1,LYN_p,R312,M2machrophage
JAK2_p,BTK,R313,M2machrophage
JAK2_p,BTK,R314,M2machrophage
MAP3K5_p,CDKN1A,R315,M2machrophage
MAP3K5_p,CDKN1A,R316,M2machrophage
HIPK2_p,MDM2,R317,M2machrophage
HIPK2_p,MDM2,R318,M2machrophage
EP300,ROCK2,R319,M2machrophage
EP300,ROCK2,R320,M2machrophage
STAT3,MAPK1_p,R321,M2machrophage
STAT3,MAPK1_p,R322,M2machrophage
BTK_p,STAT5A,R323,M2machrophage
BTK_p,STAT5A,R324,M2machrophage
BECN1,AKT1_p,R325,M2machrophage
BECN1,AKT1_p,R326,M2machrophage
IRAK1_p,STAT3,R327,M2machrophage
IRAK1_p,STAT3,R328,M2machrophage
NR4A1,MAPK1_p,R329,M2machrophage
NR4A1,MAPK1_p,R330,M2machrophage
PTEN,PINK1,R331,M2machrophage
