source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,MaculaDensa
SMAD4_p,SMAD3_p,R2,MaculaDensa
JUN_p,SMAD4_p,R3,MaculaDensa
NR3C1_p,STAT5A_p,R4,MaculaDensa
JUN_p,SMAD3_p,R5,MaculaDensa
JUN_p,FOS_p,R6,MaculaDensa
EP300,MAPK1_p,R7,MaculaDensa
EP300,MAPK1_p,R8,MaculaDensa
HIF1A,MAPK1_p,R9,MaculaDensa
HIF1A,MAPK1_p,R10,MaculaDensa
NR3C1,MAPK1_p,R11,MaculaDensa
NR3C1,MAPK1_p,R12,MaculaDensa
FOXO1,AKT1_p,R13,MaculaDensa
FOXO1,AKT1_p,R14,MaculaDensa
PRDX6,MAPK1_p,R15,MaculaDensa
PRDX6,MAPK1_p,R16,MaculaDensa
SP1,PRKCZ_p,R17,MaculaDensa
SP1,PRKCZ_p,R18,MaculaDensa
RPS6KB1,MAPK1_p,R19,MaculaDensa
RPS6KB1,MAPK1_p,R20,MaculaDensa
PRKAA1,AKT1_p,R21,MaculaDensa
PRKAA1,AKT1_p,R22,MaculaDensa
EGFR_p,EGFR,R23,MaculaDensa
EGFR_p,EGFR,R24,MaculaDensa
IKBKB,IKBKB_p,R25,MaculaDensa
IKBKB,IKBKB_p,R26,MaculaDensa
CDKN1B,MAPK1_p,R27,MaculaDensa
CDKN1B,MAPK1_p,R28,MaculaDensa
SMAD4,MAPK1_p,R29,MaculaDensa
SMAD4,MAPK1_p,R30,MaculaDensa
ESR1,MAPK1_p,R31,MaculaDensa
ESR1,MAPK1_p,R32,MaculaDensa
STK11,MAPK1_p,R33,MaculaDensa
STK11,MAPK1_p,R34,MaculaDensa
JUN,MAPK1_p,R35,MaculaDensa
JUN,MAPK1_p,R36,MaculaDensa
NR4A1,AKT1_p,R37,MaculaDensa
NR4A1,AKT1_p,R38,MaculaDensa
FOS,MAPK1_p,R39,MaculaDensa
FOS,MAPK1_p,R40,MaculaDensa
STK11_p,STK11,R41,MaculaDensa
STK11_p,STK11,R42,MaculaDensa
SRC,SRC_p,R43,MaculaDensa
SRC,SRC_p,R44,MaculaDensa
TLR3,SRC_p,R45,MaculaDensa
TLR3,SRC_p,R46,MaculaDensa
SMAD2,MAPK1_p,R47,MaculaDensa
SMAD2,MAPK1_p,R48,MaculaDensa
RORA,MAPK1_p,R49,MaculaDensa
RORA,MAPK1_p,R50,MaculaDensa
PPARGC1A,PRKAA1_p,R51,MaculaDensa
PPARGC1A,PRKAA1_p,R52,MaculaDensa
INSR_p,INSR,R53,MaculaDensa
INSR_p,INSR,R54,MaculaDensa
STAT1,JAK1_p,R55,MaculaDensa
STAT1,JAK1_p,R56,MaculaDensa
DUSP1,MAPK1_p,R57,MaculaDensa
DUSP1,MAPK1_p,R58,MaculaDensa
HSPB1,AKT1_p,R59,MaculaDensa
HSPB1,AKT1_p,R60,MaculaDensa
HSPB1,RPS6KB1_p,R61,MaculaDensa
HSPB1,RPS6KB1_p,R62,MaculaDensa
AKT1_p,CDKN1A,R63,MaculaDensa
AKT1_p,CDKN1A,R64,MaculaDensa
AKT1,SRC_p,R65,MaculaDensa
AKT1,SRC_p,R66,MaculaDensa
EIF2AK3,JAK1_p,R67,MaculaDensa
EIF2AK3,JAK1_p,R68,MaculaDensa
ESR1,AKT1_p,R69,MaculaDensa
ESR1,AKT1_p,R70,MaculaDensa
RHOA,MAPK1_p,R71,MaculaDensa
RHOA,MAPK1_p,R72,MaculaDensa
EGFR_p,CALM1,R73,MaculaDensa
EGFR_p,CALM1,R74,MaculaDensa
PPARGC1A,AKT1_p,R75,MaculaDensa
PPARGC1A,AKT1_p,R76,MaculaDensa
FOXO1,MAPK1_p,R77,MaculaDensa
FOXO1,MAPK1_p,R78,MaculaDensa
EGFR,SRC_p,R79,MaculaDensa
EGFR,SRC_p,R80,MaculaDensa
STAT1,SRC_p,R81,MaculaDensa
STAT1,SRC_p,R82,MaculaDensa
SMAD3,MAPK1_p,R83,MaculaDensa
SMAD3,MAPK1_p,R84,MaculaDensa
TFEB,MAPK1_p,R85,MaculaDensa
TFEB,MAPK1_p,R86,MaculaDensa
INSR_p,CALM1,R87,MaculaDensa
INSR_p,CALM1,R88,MaculaDensa
ERN1_p,ERN1,R89,MaculaDensa
ERN1_p,ERN1,R90,MaculaDensa
SRC_p,TRAF6,R91,MaculaDensa
SRC_p,TRAF6,R92,MaculaDensa
CDKN1B,AKT1_p,R93,MaculaDensa
CDKN1B,AKT1_p,R94,MaculaDensa
PRKCZ_p,BAX,R95,MaculaDensa
PRKCZ_p,BAX,R96,MaculaDensa
YAP1,PRKCZ_p,R97,MaculaDensa
YAP1,PRKCZ_p,R98,MaculaDensa
PPARA,MAPK1_p,R101,MaculaDensa
PPARA,MAPK1_p,R102,MaculaDensa
PRKCZ_p,VIM,R103,MaculaDensa
PRKCZ_p,VIM,R104,MaculaDensa
PTEN,STK11_p,R105,MaculaDensa
PTEN,STK11_p,R106,MaculaDensa
FOXO1,SGK1,R107,MaculaDensa
FOXO1,SGK1,R108,MaculaDensa
CDKN1B,SGK1,R109,MaculaDensa
CDKN1B,SGK1,R110,MaculaDensa
EP300,AKT1_p,R111,MaculaDensa
EP300,AKT1_p,R112,MaculaDensa
FOXO1,IKBKB_p,R113,MaculaDensa
FOXO1,IKBKB_p,R114,MaculaDensa
EGFR,MAPK1_p,R115,MaculaDensa
EGFR,MAPK1_p,R116,MaculaDensa
PTEN,SRC_p,R117,MaculaDensa
PTEN,SRC_p,R118,MaculaDensa
EIF2AK3_p,EIF2AK3,R119,MaculaDensa
EIF2AK3_p,EIF2AK3,R120,MaculaDensa
RPS6KB1_p,ESR1,R121,MaculaDensa
RPS6KB1_p,ESR1,R122,MaculaDensa
VIM,AKT1_p,R123,MaculaDensa
VIM,AKT1_p,R124,MaculaDensa
PRKCZ_p,PRKCZ,R125,MaculaDensa
PRKCZ_p,PRKCZ,R126,MaculaDensa
DNMT1,PRKAA1_p,R127,MaculaDensa
DNMT1,PRKAA1_p,R128,MaculaDensa
ILK_p,AKT1,R129,MaculaDensa
ILK_p,AKT1,R130,MaculaDensa
SP1,MAPK1_p,R131,MaculaDensa
SP1,MAPK1_p,R132,MaculaDensa
PRKCZ_p,STK11,R133,MaculaDensa
PRKCZ_p,STK11,R134,MaculaDensa
STAT5A,MAPK1_p,R135,MaculaDensa
STAT5A,MAPK1_p,R136,MaculaDensa
PTPRJ,SRC_p,R137,MaculaDensa
PTPRJ,SRC_p,R138,MaculaDensa
CDKN1A,MAPK1_p,R139,MaculaDensa
CDKN1A,MAPK1_p,R140,MaculaDensa
FOXO1,PRKAA1_p,R141,MaculaDensa
FOXO1,PRKAA1_p,R142,MaculaDensa
SRC_p,RAPGEF1,R143,MaculaDensa
SRC_p,RAPGEF1,R144,MaculaDensa
SRC_p,KRT19,R145,MaculaDensa
SRC_p,KRT19,R146,MaculaDensa
CASP9,AKT1_p,R147,MaculaDensa
CASP9,AKT1_p,R148,MaculaDensa
AKT1_p,NR3C1,R149,MaculaDensa
AKT1_p,NR3C1,R150,MaculaDensa
SMAD4,STK11_p,R151,MaculaDensa
SMAD4,STK11_p,R152,MaculaDensa
PRKCZ_p,CASP9,R153,MaculaDensa
PRKCZ_p,CASP9,R154,MaculaDensa
CASP9,MAPK1_p,R155,MaculaDensa
CASP9,MAPK1_p,R156,MaculaDensa
SRC_p,IKBKB,R157,MaculaDensa
SRC_p,IKBKB,R158,MaculaDensa
RICTOR,RPS6KB1_p,R159,MaculaDensa
RICTOR,RPS6KB1_p,R160,MaculaDensa
STAT6,JAK1_p,R161,MaculaDensa
STAT6,JAK1_p,R162,MaculaDensa
YAP1,AKT1_p,R163,MaculaDensa
YAP1,AKT1_p,R164,MaculaDensa
DNMT1,AKT1_p,R165,MaculaDensa
DNMT1,AKT1_p,R166,MaculaDensa
PRKAA1_p,EP300,R167,MaculaDensa
PRKAA1_p,EP300,R168,MaculaDensa
CTNNB1,AKT1_p,R169,MaculaDensa
CTNNB1,AKT1_p,R170,MaculaDensa
