source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,Mesengial
JUN_p,SMAD4_p,R2,Mesengial
STAT3_p,SP1_p,R3,Mesengial
STAT3_p,STAT1_p,R4,Mesengial
JUN_p,FOS_p,R6,Mesengial
PIK3R1_p,PIK3CA_u,R7,Mesengial
EP300,MAPK1_p,R8,Mesengial
EP300,MAPK1_p,R9,Mesengial
HIF1A,MAPK1_p,R10,Mesengial
HIF1A,MAPK1_p,R11,Mesengial
NR3C1,MAPK1_p,R12,Mesengial
NR3C1,MAPK1_p,R13,Mesengial
PRDX6,MAPK1_p,R14,Mesengial
PRDX6,MAPK1_p,R15,Mesengial
PTPN11,KIT_p,R16,Mesengial
PTPN11,KIT_p,R17,Mesengial
EGFR_p,EGFR,R18,Mesengial
EGFR_p,EGFR,R19,Mesengial
CDKN1B,MAPK1_p,R20,Mesengial
CDKN1B,MAPK1_p,R21,Mesengial
SMAD4,MAPK1_p,R22,Mesengial
SMAD4,MAPK1_p,R23,Mesengial
JUN,MAPK1_p,R24,Mesengial
JUN,MAPK1_p,R25,Mesengial
FOS,MAPK1_p,R26,Mesengial
FOS,MAPK1_p,R27,Mesengial
KDR,KDR_p,R28,Mesengial
KDR,KDR_p,R29,Mesengial
MAPK8_p,BCL2,R30,Mesengial
MAPK8_p,BCL2,R31,Mesengial
SMAD2,MAPK1_p,R32,Mesengial
SMAD2,MAPK1_p,R33,Mesengial
CTNNB1,KIT_p,R34,Mesengial
CTNNB1,KIT_p,R35,Mesengial
RORA,MAPK1_p,R36,Mesengial
RORA,MAPK1_p,R37,Mesengial
JUN,MAPK9_p,R38,Mesengial
JUN,MAPK9_p,R39,Mesengial
BCL2,MAPK1_p,R40,Mesengial
BCL2,MAPK1_p,R41,Mesengial
SREBF1,MAPK1_p,R42,Mesengial
SREBF1,MAPK1_p,R43,Mesengial
STAT1,JAK1_p,R44,Mesengial
STAT1,JAK1_p,R45,Mesengial
DUSP1,MAPK1_p,R46,Mesengial
DUSP1,MAPK1_p,R47,Mesengial
NR3C2,MAPK1_p,R48,Mesengial
NR3C2,MAPK1_p,R49,Mesengial
MAPK8_p,MAPK9,R50,Mesengial
MAPK8_p,MAPK9,R51,Mesengial
TSC2,MAPK1_p,R52,Mesengial
TSC2,MAPK1_p,R53,Mesengial
KIT,KIT_p,R54,Mesengial
KIT,KIT_p,R55,Mesengial
RHOA,MAPK1_p,R56,Mesengial
RHOA,MAPK1_p,R57,Mesengial
PARP1,ATR,R58,Mesengial
PARP1,ATR,R59,Mesengial
MAPK8_p,NR3C1,R60,Mesengial
MAPK8_p,NR3C1,R61,Mesengial
PPARG,MAPK1_p,R62,Mesengial
PPARG,MAPK1_p,R63,Mesengial
TFEB,MAPK1_p,R64,Mesengial
TFEB,MAPK1_p,R65,Mesengial
ATR,MDM2,R66,Mesengial
ATR,MDM2,R67,Mesengial
MAPK8_p,CTNNB1,R70,Mesengial
MAPK8_p,CTNNB1,R71,Mesengial
HIPK2_p,HIPK2,R72,Mesengial
HIPK2_p,HIPK2,R73,Mesengial
PKM,MAPK8_p,R74,Mesengial
PKM,MAPK8_p,R75,Mesengial
EGFR,MAPK1_p,R76,Mesengial
EGFR,MAPK1_p,R77,Mesengial
STAT6,MAPK8_p,R78,Mesengial
STAT6,MAPK8_p,R79,Mesengial
PRKAA1,DNMT1,R80,Mesengial
PRKAA1,DNMT1,R81,Mesengial
TEK_p,TEK,R82,Mesengial
TEK_p,TEK,R83,Mesengial
PPARG,MAPK8_p,R84,Mesengial
PPARG,MAPK8_p,R85,Mesengial
SP1,MAPK1_p,R86,Mesengial
SP1,MAPK1_p,R87,Mesengial
MAPK8_p,CDKN1A,R88,Mesengial
MAPK8_p,CDKN1A,R89,Mesengial
CDKN1A,MAPK1_p,R90,Mesengial
CDKN1A,MAPK1_p,R91,Mesengial
MAPK8_p,JUN,R92,Mesengial
MAPK8_p,JUN,R93,Mesengial
STAT3,JAK1_p,R94,Mesengial
STAT3,JAK1_p,R95,Mesengial
PARP1,MAPK1_p,R96,Mesengial
PARP1,MAPK1_p,R97,Mesengial
MAPK8_p,SP1,R100,Mesengial
MAPK8_p,SP1,R101,Mesengial
EGFR_p,PPARG,R102,Mesengial
EGFR_p,PPARG,R103,Mesengial
CASP9,MAPK1_p,R104,Mesengial
CASP9,MAPK1_p,R105,Mesengial
STAT6,JAK1_p,R106,Mesengial
STAT6,JAK1_p,R107,Mesengial
STAT1,KIT_p,R108,Mesengial
STAT1,KIT_p,R109,Mesengial
PRKAA1,EP300,R110,Mesengial
PRKAA1,EP300,R111,Mesengial
MAP4K2_p,MAP4K2,R112,Mesengial
MAP4K2_p,MAP4K2,R113,Mesengial
PRKAA1,SREBF1,R114,Mesengial
PRKAA1,SREBF1,R115,Mesengial
MAPK8_p,JUNB,R116,Mesengial
MAPK8_p,JUNB,R117,Mesengial
MAPK1,MAPK1_p,R118,Mesengial
MAPK1,MAPK1_p,R119,Mesengial
PRKAA1,TSC2,R120,Mesengial
PRKAA1,TSC2,R121,Mesengial
LYN,LYN_p,R122,Mesengial
LYN,LYN_p,R123,Mesengial
ZFP36,MAPK1_p,R124,Mesengial
ZFP36,MAPK1_p,R125,Mesengial
PRKAA1,HIPK2,R126,Mesengial
PRKAA1,HIPK2,R127,Mesengial
EP300,HIPK2_p,R130,Mesengial
EP300,HIPK2_p,R131,Mesengial
AR,MAPK1_p,R132,Mesengial
AR,MAPK1_p,R133,Mesengial
PKM_p,STAT3,R134,Mesengial
PKM_p,STAT3,R135,Mesengial
PTPN11,JAK1_p,R136,Mesengial
PTPN11,JAK1_p,R137,Mesengial
EGFR_p,STAT1,R138,Mesengial
EGFR_p,STAT1,R139,Mesengial
PRKAA1,MFF,R140,Mesengial
PRKAA1,MFF,R141,Mesengial
MAPK8_p,STAT3,R142,Mesengial
MAPK8_p,STAT3,R143,Mesengial
EGFR_p,PARP1,R144,Mesengial
EGFR_p,PARP1,R145,Mesengial
MAPK8_p,STAT1,R148,Mesengial
MAPK8_p,STAT1,R149,Mesengial
CDKN1B,LYN_p,R150,Mesengial
CDKN1B,LYN_p,R151,Mesengial
NR4A1,MAPK8_p,R152,Mesengial
NR4A1,MAPK8_p,R153,Mesengial
ATR,CREB1,R154,Mesengial
ATR,CREB1,R155,Mesengial
EGFR_p,AGO2,R156,Mesengial
EGFR_p,AGO2,R157,Mesengial
EGFR_p,LYN,R158,Mesengial
EGFR_p,LYN,R159,Mesengial
EGFR_p,ANXA1,R160,Mesengial
EGFR_p,ANXA1,R161,Mesengial
CTNNB1,MAPK9_p,R162,Mesengial
CTNNB1,MAPK9_p,R163,Mesengial
EGFR_p,STAT3,R164,Mesengial
EGFR_p,STAT3,R165,Mesengial
STAT3,LYN_p,R166,Mesengial
STAT3,LYN_p,R167,Mesengial
PRKAA1,NFE2L2,R168,Mesengial
PRKAA1,NFE2L2,R169,Mesengial
CDKN1B,HIPK2_p,R170,Mesengial
CDKN1B,HIPK2_p,R171,Mesengial
LEPR,STAT3,R174,Mesengial
LEPR,STAT3,R175,Mesengial
SOCS1,LYN_p,R176,Mesengial
SOCS1,LYN_p,R177,Mesengial
TEK_p,STAT1,R178,Mesengial
TEK_p,STAT1,R179,Mesengial
EGFR,LYN_p,R180,Mesengial
EGFR,LYN_p,R181,Mesengial
EGFR_p,CTNNB1,R182,Mesengial
EGFR_p,CTNNB1,R183,Mesengial
EGFR_p,PTPN11,R184,Mesengial
EGFR_p,PTPN11,R185,Mesengial
HIPK2_p,MDM2,R186,Mesengial
HIPK2_p,MDM2,R187,Mesengial
EP300,ROCK2,R188,Mesengial
EP300,ROCK2,R189,Mesengial
STAT3,MAPK1_p,R190,Mesengial
STAT3,MAPK1_p,R191,Mesengial
MAPK6_p,MAPK6,R192,Mesengial
MAPK6_p,MAPK6,R193,Mesengial
NR4A1,MAPK1_p,R194,Mesengial
NR4A1,MAPK1_p,R195,Mesengial
EGFR_p,ABCA1,R196,Mesengial
EGFR_p,ABCA1,R197,Mesengial
STAT3,MAPK9_p,R198,Mesengial
STAT3,MAPK9_p,R199,Mesengial
EGFR_p,PKM,R200,Mesengial
EGFR_p,PKM,R201,Mesengial
PIK3R1,PIK3CA_u,R202,Mesengial
PIK3R1,PIK3CA_u,R203,Mesengial
PRKAA1,CDKN1B,R204,Mesengial
PRKAA1,CDKN1B,R205,Mesengial
CREB1,HIPK2_p,R206,Mesengial
CREB1,HIPK2_p,R207,Mesengial
PTPN2,KDR_p,R208,Mesengial
PTPN2,KDR_p,R209,Mesengial
PTEN,AR_p,R210,Mesengial
PTEN,AR_p,R211,Mesengial
DUSP1_p,MAPK9_p,R212,Mesengial
DUSP1_p,MAPK9_p,R213,Mesengial
EGFR_p,PTPN11_p,R214,Mesengial
EGFR_p,PTPN11_p,R215,Mesengial
DUSP1_p,MAPK1_p,R216,Mesengial
DUSP1_p,MAPK1_p,R217,Mesengial
PTPN2,JAK1_p,R218,Mesengial
PTPN2,JAK1_p,R219,Mesengial
EGFR_p,PTPN2,R220,Mesengial
EGFR_p,PTPN2,R221,Mesengial
PTEN,SP1_p,R222,Mesengial
PTEN,SP1_p,R223,Mesengial
STAT3_p,PTPN2,R224,Mesengial
STAT3_p,PTPN2,R225,Mesengial
STAT6_p,PTPN2,R226,Mesengial
STAT6_p,PTPN2,R227,Mesengial
TEK_p,PTPRB,R228,Mesengial
TEK_p,PTPRB,R229,Mesengial
MAPK8_p,DUSP1_p,R230,Mesengial
MAPK8_p,DUSP1_p,R231,Mesengial
PTPRB,MAPK1_p,R232,Mesengial
PTPRB,MAPK1_p,R233,Mesengial
PTEN,PTEN_p,R234,Mesengial
PTEN,PTEN_p,R235,Mesengial
STAT1_p,PTPN2,R236,Mesengial
STAT1_p,PTPN2,R237,Mesengial
PTPN11_p,CDKN1B_p,R238,Mesengial
PTPN11_p,CDKN1B_p,R239,Mesengial
PTPRB,KDR_p,R240,Mesengial
PTPRB,KDR_p,R241,Mesengial
STAT1_p,PTPN11_p,R242,Mesengial
STAT1_p,PTPN11_p,R243,Mesengial
PTEN,CREB1_p,R244,Mesengial
PTEN,CREB1_p,R245,Mesengial
JUN_p,DUSP1_p,R246,Mesengial
JUN_p,DUSP1_p,R247,Mesengial
STAT3_p,PTPN11_p,R248,Mesengial
STAT3_p,PTPN11_p,R249,Mesengial
TRAF6_u,STAT3,R250,Mesengial
TRAF6_u,STAT3,R251,Mesengial
TRAF6_u,TRAF6,R252,Mesengial
TRAF6_u,TRAF6,R253,Mesengial
HIF1A,MDM2,R254,Mesengial
HIF1A,MDM2,R255,Mesengial
NUMB,MDM2,R256,Mesengial
NUMB,MDM2,R257,Mesengial
PPARG,MDM2,R258,Mesengial
PPARG,MDM2,R259,Mesengial
PIK3CA,TRAF6_u,R260,Mesengial
PIK3CA,TRAF6_u,R261,Mesengial
NOTCH4,MDM2,R262,Mesengial
NOTCH4,MDM2,R263,Mesengial
RHOA,CUL3,R264,Mesengial
RHOA,CUL3,R265,Mesengial
STAT3_p,SOCS3_g,R266,Mesengial
SOCS3_g,STAT1_p,R266,Mesengial
STAT3_p,SOCS3_g,R267,Mesengial
SOCS3_g,STAT1_p,R267,Mesengial
PKM_g,SREBF1_p,R269,Mesengial
PKM_g,SREBF1_p,R270,Mesengial
CTNNB1_p,CCND1_g,R272,Mesengial
CTNNB1_p,CCND1_g,R273,Mesengial
CAT_g,NFE2L2_p,R275,Mesengial
CAT_g,NFE2L2_p,R276,Mesengial
STAT3_p,VEGFA_g,R278,Mesengial
VEGFA_g,HIF1A_p,R278,Mesengial
STAT3_p,VEGFA_g,R279,Mesengial
VEGFA_g,HIF1A_p,R279,Mesengial
GCLC_g,NFE2L2_p,R281,Mesengial
GCLC_g,NFE2L2_p,R282,Mesengial
STAT3_p,SP1_p,R284,Mesengial
SP1_p,HGF_g,R284,Mesengial
STAT3_p,SP1_p,R285,Mesengial
SP1_p,HGF_g,R285,Mesengial
KDM6B_g,HIF1A_p,R287,Mesengial
KDM6B_g,HIF1A_p,R288,Mesengial
KLF9_g,NR3C1,R290,Mesengial
KLF9_g,NR3C1,R291,Mesengial
CREB1_p,IRS2_g,R293,Mesengial
CREB1_p,IRS2_g,R294,Mesengial
STAT6_p,SOCS1_g,R296,Mesengial
STAT6_p,SOCS1_g,R297,Mesengial
GCLM_g,NFE2L2_p,R299,Mesengial
GCLM_g,NFE2L2_p,R300,Mesengial
SOD2_g,NFE2L2_p,R302,Mesengial
SOD2_g,NFE2L2_p,R303,Mesengial
STAT3_p,STAT1_g,R305,Mesengial
STAT3_p,STAT1_g,R306,Mesengial
FOS_g,ETS1,R308,Mesengial
FOS_g,ETS1,R309,Mesengial
HES1,NR3C1_g,R311,Mesengial
EGR1,HES1,R314,Mesengial
HES1,PPARG_g,R314,Mesengial
