source,target,reaction,cell_type
STAT3_p,SP1_p,R1,MonocyteDerivedCell
STAT3_p,STAT1_p,R2,MonocyteDerivedCell
JUN_p,FOS_p,R4,MonocyteDerivedCell
PIK3CA,PIK3R1_p,R5,MonocyteDerivedCell
TGFBR1,SMAD2,R6,MonocyteDerivedCell
TGFBR1,SMAD2,R7,MonocyteDerivedCell
EP300,MAPK1_p,R8,MonocyteDerivedCell
EP300,MAPK1_p,R9,MonocyteDerivedCell
HIF1A,MAPK1_p,R10,MonocyteDerivedCell
HIF1A,MAPK1_p,R11,MonocyteDerivedCell
RPS6KA3,MAPK1_p,R12,MonocyteDerivedCell
RPS6KA3,MAPK1_p,R13,MonocyteDerivedCell
PRDX6,MAPK1_p,R14,MonocyteDerivedCell
PRDX6,MAPK1_p,R15,MonocyteDerivedCell
FYN_p,STK11,R16,MonocyteDerivedCell
FYN_p,STK11,R17,MonocyteDerivedCell
JAK2_p,STAT5A,R18,MonocyteDerivedCell
JAK2_p,STAT5A,R19,MonocyteDerivedCell
AKT1_p,MDM2,R20,MonocyteDerivedCell
AKT1_p,MDM2,R21,MonocyteDerivedCell
JAK2_p,CTLA4,R22,MonocyteDerivedCell
JAK2_p,CTLA4,R23,MonocyteDerivedCell
IKBKB,IKBKB_p,R24,MonocyteDerivedCell
IKBKB,IKBKB_p,R25,MonocyteDerivedCell
JAK2_p,JAK2,R26,MonocyteDerivedCell
JAK2_p,JAK2,R27,MonocyteDerivedCell
ROCK1,DNM1L,R28,MonocyteDerivedCell
ROCK1,DNM1L,R29,MonocyteDerivedCell
STK11,MAPK1_p,R30,MonocyteDerivedCell
STK11,MAPK1_p,R31,MonocyteDerivedCell
JUN,MAPK1_p,R32,MonocyteDerivedCell
JUN,MAPK1_p,R33,MonocyteDerivedCell
PDPK1_p,IKBKB,R36,MonocyteDerivedCell
PDPK1_p,IKBKB,R37,MonocyteDerivedCell
FYN_p,CTLA4,R38,MonocyteDerivedCell
FYN_p,CTLA4,R39,MonocyteDerivedCell
NR4A1,AKT1_p,R40,MonocyteDerivedCell
NR4A1,AKT1_p,R41,MonocyteDerivedCell
JAK2_p,MAP3K5,R42,MonocyteDerivedCell
JAK2_p,MAP3K5,R43,MonocyteDerivedCell
FOS,MAPK1_p,R44,MonocyteDerivedCell
FOS,MAPK1_p,R45,MonocyteDerivedCell
STK11_p,STK11,R46,MonocyteDerivedCell
STK11_p,STK11,R47,MonocyteDerivedCell
CTNNB1,JAK3_p,R48,MonocyteDerivedCell
CTNNB1,JAK3_p,R49,MonocyteDerivedCell
FYN_p,PTPN6,R50,MonocyteDerivedCell
FYN_p,PTPN6,R51,MonocyteDerivedCell
TP53,MAPK9_p,R52,MonocyteDerivedCell
TP53,MAPK9_p,R53,MonocyteDerivedCell
SMAD2,MAPK1_p,R54,MonocyteDerivedCell
SMAD2,MAPK1_p,R55,MonocyteDerivedCell
CTNNB1,KIT_p,R56,MonocyteDerivedCell
CTNNB1,KIT_p,R57,MonocyteDerivedCell
JUN,MAPK9_p,R58,MonocyteDerivedCell
JUN,MAPK9_p,R59,MonocyteDerivedCell
BCL2,MAPK1_p,R60,MonocyteDerivedCell
BCL2,MAPK1_p,R61,MonocyteDerivedCell
INSR_p,INSR,R62,MonocyteDerivedCell
INSR_p,INSR,R63,MonocyteDerivedCell
BAD,AKT1_p,R64,MonocyteDerivedCell
BAD,AKT1_p,R65,MonocyteDerivedCell
NCF1,MAPK1_p,R66,MonocyteDerivedCell
NCF1,MAPK1_p,R67,MonocyteDerivedCell
STAT1,JAK1_p,R68,MonocyteDerivedCell
STAT1,JAK1_p,R69,MonocyteDerivedCell
DUSP1,MAPK1_p,R70,MonocyteDerivedCell
DUSP1,MAPK1_p,R71,MonocyteDerivedCell
NCF1,AKT1_p,R72,MonocyteDerivedCell
NCF1,AKT1_p,R73,MonocyteDerivedCell
PKN1,PKN1_p,R74,MonocyteDerivedCell
PKN1,PKN1_p,R75,MonocyteDerivedCell
AKT1_p,CDKN1A,R76,MonocyteDerivedCell
AKT1_p,CDKN1A,R77,MonocyteDerivedCell
JAK3_p,STAT5A,R78,MonocyteDerivedCell
JAK3_p,STAT5A,R79,MonocyteDerivedCell
JAK1,JAK3_p,R80,MonocyteDerivedCell
JAK1,JAK3_p,R81,MonocyteDerivedCell
KIT,KIT_p,R82,MonocyteDerivedCell
KIT,KIT_p,R83,MonocyteDerivedCell
RHOA,MAPK1_p,R86,MonocyteDerivedCell
RHOA,MAPK1_p,R87,MonocyteDerivedCell
JAK2_p,EPOR,R88,MonocyteDerivedCell
JAK2_p,EPOR,R89,MonocyteDerivedCell
PPARGC1A,AKT1_p,R90,MonocyteDerivedCell
PPARGC1A,AKT1_p,R91,MonocyteDerivedCell
PARP1,ATR,R92,MonocyteDerivedCell
PARP1,ATR,R93,MonocyteDerivedCell
JAK2_p,STAT1,R94,MonocyteDerivedCell
JAK2_p,STAT1,R95,MonocyteDerivedCell
TFEB,MAPK1_p,R96,MonocyteDerivedCell
TFEB,MAPK1_p,R97,MonocyteDerivedCell
PDPK1_p,SGK1,R98,MonocyteDerivedCell
PDPK1_p,SGK1,R99,MonocyteDerivedCell
ERN1_p,ERN1,R100,MonocyteDerivedCell
ERN1_p,ERN1,R101,MonocyteDerivedCell
DEPTOR,RPS6KA3_p,R102,MonocyteDerivedCell
DEPTOR,RPS6KA3_p,R103,MonocyteDerivedCell
RPS6KA3_p,MAP3K5,R104,MonocyteDerivedCell
RPS6KA3_p,MAP3K5,R105,MonocyteDerivedCell
ATR,MDM2,R106,MonocyteDerivedCell
ATR,MDM2,R107,MonocyteDerivedCell
RPS6KA3_p,BAD,R110,MonocyteDerivedCell
RPS6KA3_p,BAD,R111,MonocyteDerivedCell
CTNNB1,MAPK9_p,R112,MonocyteDerivedCell
CTNNB1,MAPK9_p,R113,MonocyteDerivedCell
PINK1,UBC,R114,MonocyteDerivedCell
PINK1,UBC,R115,MonocyteDerivedCell
RAC1,AKT1_p,R116,MonocyteDerivedCell
RAC1,AKT1_p,R117,MonocyteDerivedCell
PDPK1_p,AKT1,R118,MonocyteDerivedCell
PDPK1_p,AKT1,R119,MonocyteDerivedCell
STK4_p,STK4,R120,MonocyteDerivedCell
STK4_p,STK4,R121,MonocyteDerivedCell
PTEN,STK11_p,R122,MonocyteDerivedCell
PTEN,STK11_p,R123,MonocyteDerivedCell
HIPK2_p,HIPK2,R124,MonocyteDerivedCell
HIPK2_p,HIPK2,R125,MonocyteDerivedCell
JAK2_p,BECN1,R126,MonocyteDerivedCell
JAK2_p,BECN1,R127,MonocyteDerivedCell
PDPK1_p,PDPK1,R128,MonocyteDerivedCell
PDPK1_p,PDPK1,R129,MonocyteDerivedCell
EP300,AKT1_p,R130,MonocyteDerivedCell
EP300,AKT1_p,R131,MonocyteDerivedCell
FYN_p,FYN,R132,MonocyteDerivedCell
FYN_p,FYN,R133,MonocyteDerivedCell
IRAK1_p,IRAK1,R134,MonocyteDerivedCell
IRAK1_p,IRAK1,R135,MonocyteDerivedCell
MAP3K5,MAP3K5_p,R138,MonocyteDerivedCell
MAP3K5,MAP3K5_p,R139,MonocyteDerivedCell
NFKB1,IKBKB_p,R140,MonocyteDerivedCell
NFKB1,IKBKB_p,R141,MonocyteDerivedCell
ILK_p,AKT1,R142,MonocyteDerivedCell
ILK_p,AKT1,R143,MonocyteDerivedCell
BTK,AKT1_p,R144,MonocyteDerivedCell
BTK,AKT1_p,R145,MonocyteDerivedCell
SP1,MAPK1_p,R146,MonocyteDerivedCell
SP1,MAPK1_p,R147,MonocyteDerivedCell
PTEN,ROCK1,R148,MonocyteDerivedCell
PTEN,ROCK1,R149,MonocyteDerivedCell
STAT5A,MAPK1_p,R150,MonocyteDerivedCell
STAT5A,MAPK1_p,R151,MonocyteDerivedCell
BAD,MAPK1_p,R152,MonocyteDerivedCell
BAD,MAPK1_p,R153,MonocyteDerivedCell
PDPK1_p,RPS6KA3,R154,MonocyteDerivedCell
PDPK1_p,RPS6KA3,R155,MonocyteDerivedCell
CDKN1A,MAPK1_p,R156,MonocyteDerivedCell
CDKN1A,MAPK1_p,R157,MonocyteDerivedCell
AKT1S1,AKT1_p,R158,MonocyteDerivedCell
AKT1S1,AKT1_p,R159,MonocyteDerivedCell
JAK3_p,JAK3,R160,MonocyteDerivedCell
JAK3_p,JAK3,R161,MonocyteDerivedCell
IL6R,JAK2,R162,MonocyteDerivedCell
IL6R,JAK2,R163,MonocyteDerivedCell
JAK2,MAPK1_p,R164,MonocyteDerivedCell
JAK2,MAPK1_p,R165,MonocyteDerivedCell
STAT3,JAK1_p,R166,MonocyteDerivedCell
STAT3,JAK1_p,R167,MonocyteDerivedCell
PARP1,MAPK1_p,R168,MonocyteDerivedCell
PARP1,MAPK1_p,R169,MonocyteDerivedCell
FYN_p,PTGS2,R170,MonocyteDerivedCell
FYN_p,PTGS2,R171,MonocyteDerivedCell
STK4_p,PIK3CA,R172,MonocyteDerivedCell
STK4_p,PIK3CA,R173,MonocyteDerivedCell
BTK_p,STAT3,R176,MonocyteDerivedCell
BTK_p,STAT3,R177,MonocyteDerivedCell
STK4_p,IRF3,R178,MonocyteDerivedCell
STK4_p,IRF3,R179,MonocyteDerivedCell
RPS6KA3_p,FOS,R180,MonocyteDerivedCell
RPS6KA3_p,FOS,R181,MonocyteDerivedCell
RPS6KA3,AKT1_p,R182,MonocyteDerivedCell
RPS6KA3,AKT1_p,R183,MonocyteDerivedCell
STAT1,KIT_p,R184,MonocyteDerivedCell
STAT1,KIT_p,R185,MonocyteDerivedCell
DNMT1,AKT1_p,R186,MonocyteDerivedCell
DNMT1,AKT1_p,R187,MonocyteDerivedCell
STK11_p,SIRT1,R188,MonocyteDerivedCell
STK11_p,SIRT1,R189,MonocyteDerivedCell
RPS6KA3_p,RPS6KA3,R190,MonocyteDerivedCell
RPS6KA3_p,RPS6KA3,R191,MonocyteDerivedCell
CTNNB1,AKT1_p,R192,MonocyteDerivedCell
CTNNB1,AKT1_p,R193,MonocyteDerivedCell
STK4,AKT1_p,R194,MonocyteDerivedCell
STK4,AKT1_p,R195,MonocyteDerivedCell
NR4A1,RPS6KA3_p,R196,MonocyteDerivedCell
NR4A1,RPS6KA3_p,R197,MonocyteDerivedCell
IRAK1,AKT1_p,R198,MonocyteDerivedCell
IRAK1,AKT1_p,R199,MonocyteDerivedCell
TP53,ROCK1,R200,MonocyteDerivedCell
TP53,ROCK1,R201,MonocyteDerivedCell
MAPK1,MAPK1_p,R202,MonocyteDerivedCell
