source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,NKT
JUN_p,SMAD4_p,R2,NKT
NFKB1,RELA,R3,NKT
STAT3_p,SP1_p,R4,NKT
STAT3_p,STAT1_p,R5,NKT
JUN_p,FOS_p,R7,NKT
TGFBR1,SMAD2,R8,NKT
TGFBR1,SMAD2,R9,NKT
EP300,MAPK1_p,R10,NKT
EP300,MAPK1_p,R11,NKT
HIF1A,MAPK1_p,R12,NKT
HIF1A,MAPK1_p,R13,NKT
RPS6KA3,MAPK1_p,R14,NKT
RPS6KA3,MAPK1_p,R15,NKT
PRDX6,MAPK1_p,R16,NKT
PRDX6,MAPK1_p,R17,NKT
FYN_p,STK11,R18,NKT
FYN_p,STK11,R19,NKT
AKT1_p,MDM2,R20,NKT
AKT1_p,MDM2,R21,NKT
RPS6KB1,MAPK1_p,R22,NKT
RPS6KB1,MAPK1_p,R23,NKT
PRKAA1,AKT1_p,R24,NKT
PRKAA1,AKT1_p,R25,NKT
CDKN1B,MAPK1_p,R26,NKT
CDKN1B,MAPK1_p,R27,NKT
SMAD4,MAPK1_p,R28,NKT
SMAD4,MAPK1_p,R29,NKT
ROCK1,DNM1L,R30,NKT
ROCK1,DNM1L,R31,NKT
STK11,MAPK1_p,R32,NKT
STK11,MAPK1_p,R33,NKT
PDPK1_p,RPS6KB1,R34,NKT
PDPK1_p,RPS6KB1,R35,NKT
JUN,MAPK1_p,R36,NKT
JUN,MAPK1_p,R37,NKT
NR4A1,AKT1_p,R38,NKT
NR4A1,AKT1_p,R39,NKT
FOS,MAPK1_p,R40,NKT
FOS,MAPK1_p,R41,NKT
STK11_p,STK11,R42,NKT
STK11_p,STK11,R43,NKT
CTNNB1,JAK3_p,R44,NKT
CTNNB1,JAK3_p,R45,NKT
FYN_p,PTPN6,R46,NKT
FYN_p,PTPN6,R47,NKT
TP53,MAPK9_p,R48,NKT
TP53,MAPK9_p,R49,NKT
SMAD2,MAPK1_p,R50,NKT
SMAD2,MAPK1_p,R51,NKT
RORA,MAPK1_p,R52,NKT
RORA,MAPK1_p,R53,NKT
JUN,MAPK9_p,R54,NKT
JUN,MAPK9_p,R55,NKT
BCL2,MAPK1_p,R56,NKT
BCL2,MAPK1_p,R57,NKT
BAD,AKT1_p,R58,NKT
BAD,AKT1_p,R59,NKT
NCF1,MAPK1_p,R60,NKT
NCF1,MAPK1_p,R61,NKT
STAT1,JAK1_p,R62,NKT
STAT1,JAK1_p,R63,NKT
DUSP1,MAPK1_p,R64,NKT
DUSP1,MAPK1_p,R65,NKT
HSPB1,AKT1_p,R66,NKT
HSPB1,AKT1_p,R67,NKT
NCF1,AKT1_p,R68,NKT
NCF1,AKT1_p,R69,NKT
HMGN1,RPS6KA3_p,R70,NKT
HMGN1,RPS6KA3_p,R71,NKT
PKN1,PKN1_p,R72,NKT
PKN1,PKN1_p,R73,NKT
HSPB1,RPS6KB1_p,R74,NKT
HSPB1,RPS6KB1_p,R75,NKT
JAK1,JAK3_p,R76,NKT
JAK1,JAK3_p,R77,NKT
RHOA,MAPK1_p,R78,NKT
RHOA,MAPK1_p,R79,NKT
TFEB,MAPK1_p,R80,NKT
TFEB,MAPK1_p,R81,NKT
ERN1_p,ERN1,R82,NKT
ERN1_p,ERN1,R83,NKT
CDKN1B,AKT1_p,R84,NKT
CDKN1B,AKT1_p,R85,NKT
RPS6KA3_p,BAD,R88,NKT
RPS6KA3_p,BAD,R89,NKT
CTNNB1,MAPK9_p,R90,NKT
CTNNB1,MAPK9_p,R91,NKT
RAC1,AKT1_p,R92,NKT
RAC1,AKT1_p,R93,NKT
PDPK1_p,AKT1,R94,NKT
PDPK1_p,AKT1,R95,NKT
STK4_p,STK4,R96,NKT
STK4_p,STK4,R97,NKT
PTEN,STK11_p,R98,NKT
PTEN,STK11_p,R99,NKT
HIPK2_p,HIPK2,R100,NKT
HIPK2_p,HIPK2,R101,NKT
PDPK1_p,PDPK1,R102,NKT
PDPK1_p,PDPK1,R103,NKT
RPS6KA3_p,CREB1,R104,NKT
RPS6KA3_p,CREB1,R105,NKT
EP300,AKT1_p,R106,NKT
EP300,AKT1_p,R107,NKT
FYN_p,FYN,R108,NKT
FYN_p,FYN,R109,NKT
IRAK1_p,IRAK1,R110,NKT
IRAK1_p,IRAK1,R111,NKT
VIM,AKT1_p,R112,NKT
VIM,AKT1_p,R113,NKT
PRKAA1_p,SIRT7,R114,NKT
PRKAA1_p,SIRT7,R115,NKT
DNMT1,PRKAA1_p,R116,NKT
DNMT1,PRKAA1_p,R117,NKT
ILK_p,AKT1,R118,NKT
ILK_p,AKT1,R119,NKT
SP1,MAPK1_p,R120,NKT
SP1,MAPK1_p,R121,NKT
PTEN,ROCK1,R122,NKT
PTEN,ROCK1,R123,NKT
BAD,MAPK1_p,R124,NKT
BAD,MAPK1_p,R125,NKT
PDPK1_p,RPS6KA3,R126,NKT
PDPK1_p,RPS6KA3,R127,NKT
JAK3_p,JAK3,R128,NKT
JAK3_p,JAK3,R129,NKT
STIM1,MAPK1_p,R130,NKT
STIM1,MAPK1_p,R131,NKT
STAT3,JAK1_p,R132,NKT
STAT3,JAK1_p,R133,NKT
PARP1,MAPK1_p,R134,NKT
PARP1,MAPK1_p,R135,NKT
SMAD4,STK11_p,R136,NKT
SMAD4,STK11_p,R137,NKT
RICTOR,RPS6KB1_p,R138,NKT
RICTOR,RPS6KB1_p,R139,NKT
STAT6,JAK1_p,R140,NKT
STAT6,JAK1_p,R141,NKT
RPS6KA3_p,FOS,R142,NKT
