source,target,reaction,cell_type
CTNNB1,PRKCA_p,R1,PT
CTNNB1,PRKCA_p,R2,PT
SP1,PRKCZ_p,R3,PT
SP1,PRKCZ_p,R4,PT
IKBKB,IKBKB_p,R5,PT
IKBKB,IKBKB_p,R6,PT
JAK2_p,JAK2,R7,PT
JAK2_p,JAK2,R8,PT
PTPN6,PRKCA_p,R9,PT
PTPN6,PRKCA_p,R10,PT
PDPK1_p,IKBKB,R11,PT
PDPK1_p,IKBKB,R12,PT
INSR_p,INSR,R13,PT
INSR_p,INSR,R14,PT
PRKCZ_p,NR1H4,R15,PT
PRKCZ_p,NR1H4,R16,PT
STAT1,JAK1_p,R17,PT
STAT1,JAK1_p,R18,PT
STK4_p,FOXO1,R19,PT
STK4_p,FOXO1,R20,PT
JAK2_p,EPOR,R21,PT
JAK2_p,EPOR,R22,PT
JAK2_p,STAT1,R23,PT
JAK2_p,STAT1,R24,PT
PRKCA,PRKCA_p,R25,PT
PRKCA,PRKCA_p,R26,PT
HMGN1,PRKCA_p,R27,PT
HMGN1,PRKCA_p,R28,PT
PDPK1_p,SGK1,R29,PT
PDPK1_p,SGK1,R30,PT
INSR_p,CALM1,R31,PT
INSR_p,CALM1,R32,PT
PRKCA_p,CDKN1A,R33,PT
PRKCA_p,CDKN1A,R34,PT
ERN1_p,ERN1,R35,PT
ERN1_p,ERN1,R36,PT
GJA1,PRKCA_p,R37,PT
GJA1,PRKCA_p,R38,PT
PRKCZ_p,BAX,R39,PT
PRKCZ_p,BAX,R40,PT
YAP1,PRKCZ_p,R41,PT
YAP1,PRKCZ_p,R42,PT
PINK1,UBC,R43,PT
PINK1,UBC,R44,PT
STK4_p,STK4,R45,PT
STK4_p,STK4,R46,PT
SGK1_p,FOXO1,R47,PT
SGK1_p,FOXO1,R48,PT
PRKCA_p,JAK2,R49,PT
PRKCA_p,JAK2,R50,PT
PDPK1_p,PDPK1,R51,PT
PDPK1_p,PDPK1,R52,PT
CDKN1B,SGK1_p,R53,PT
CDKN1B,SGK1_p,R54,PT
FOXO1,IKBKB_p,R55,PT
FOXO1,IKBKB_p,R56,PT
IRAK1_p,IRAK1,R57,PT
IRAK1_p,IRAK1,R58,PT
PRKCA_p,INSR,R59,PT
PRKCA_p,INSR,R60,PT
AXL,AXL_p,R61,PT
AXL,AXL_p,R62,PT
PRKCZ_p,PRKCZ,R63,PT
PRKCZ_p,PRKCZ,R64,PT
NFKB1,IKBKB_p,R65,PT
NFKB1,IKBKB_p,R66,PT
PTEN,ROCK1,R67,PT
PTEN,ROCK1,R68,PT
IL6R,JAK2,R69,PT
IL6R,JAK2,R70,PT
PRKCA_p,NR1H4,R71,PT
PRKCA_p,NR1H4,R72,PT
PRKCA_p,ANXA1,R73,PT
PRKCA_p,ANXA1,R74,PT
STAT6,JAK2_p,R75,PT
STAT6,JAK2_p,R76,PT
TP53,PLK2,R77,PT
TP53,PLK2,R78,PT
STAT6,JAK1_p,R79,PT
STAT6,JAK1_p,R80,PT
STK4_p,IRF3,R81,PT
STK4_p,IRF3,R82,PT
JAK2_p,CDKN1B,R83,PT
JAK2_p,CDKN1B,R84,PT
NPHS1,PRKCA_p,R85,PT
NPHS1,PRKCA_p,R86,PT
PRKCA_p,CYBA,R87,PT
PRKCA_p,CYBA,R88,PT
TP53,ROCK1,R89,PT
TP53,ROCK1,R90,PT
STK4_p,AR,R91,PT
STK4_p,AR,R92,PT
STK4_p,PRKCA,R93,PT
STK4_p,PRKCA,R94,PT
LYN,LYN_p,R95,PT
LYN,LYN_p,R96,PT
CTNNB1,PRKCZ_p,R97,PT
CTNNB1,PRKCZ_p,R98,PT
PRKCA_p,OCLN,R99,PT
PRKCA_p,OCLN,R100,PT
SP1,SGK1_p,R101,PT
SP1,SGK1_p,R102,PT
JAK2_p,GHR,R103,PT
JAK2_p,GHR,R104,PT
JAK2_p,LEPR,R105,PT
JAK2_p,LEPR,R106,PT
PTPN6,INSR_p,R107,PT
PTPN6,INSR_p,R108,PT
PTPN11,JAK1_p,R109,PT
PTPN11,JAK1_p,R110,PT
TP53,PINK1,R111,PT
TP53,PINK1,R112,PT
PTEN,INSR_p,R113,PT
PTEN,INSR_p,R114,PT
PRKCA_p,NFE2L2,R115,PT
PRKCA_p,NFE2L2,R116,PT
PRKCZ_p,IKBKB,R117,PT
PRKCZ_p,IKBKB,R118,PT
JAK2_p,ESR1,R119,PT
JAK2_p,ESR1,R120,PT
CDKN1B,LYN_p,R121,PT
CDKN1B,LYN_p,R122,PT
TP53,IKBKB_p,R123,PT
TP53,IKBKB_p,R124,PT
JAK2_p,PTPN11,R125,PT
JAK2_p,PTPN11,R126,PT
TP53,ATR,R127,PT
TP53,ATR,R128,PT
ATR,CREB1,R129,PT
ATR,CREB1,R130,PT
PRKCA_p,BCL2,R131,PT
PRKCA_p,BCL2,R132,PT
PTPN11,PRKCA_p,R133,PT
PTPN11,PRKCA_p,R134,PT
SGK1_p,STAT1,R135,PT
SGK1_p,STAT1,R136,PT
PDPK1_p,PRKCA,R137,PT
PDPK1_p,PRKCA,R138,PT
PRKCA_p,RORA,R139,PT
PRKCA_p,RORA,R140,PT
ROCK1,PDPK1,R141,PT
ROCK1,PDPK1,R142,PT
JAK2_p,EZH2,R143,PT
JAK2_p,EZH2,R144,PT
PDPK1_p,PRKCZ,R145,PT
PDPK1_p,PRKCZ,R146,PT
PTEN,PINK1,R147,PT
PTEN,PINK1,R148,PT
TP53,PRKCA_p,R149,PT
TP53,PRKCA_p,R150,PT
PTPN6,LYN_p,R151,PT
PTPN6,LYN_p,R152,PT
PTPN6_p,JAK2_p,R153,PT
