source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,ParietalCell
SMAD4_p,SMAD3_p,R2,ParietalCell
JUN_p,SMAD4_p,R3,ParietalCell
NFKB1,RELA,R4,ParietalCell
STAT3_p,SP1_p,R5,ParietalCell
JUN_p,SMAD3_p,R6,ParietalCell
STAT3_p,STAT1_p,R7,ParietalCell
JUN_p,FOS_p,R9,ParietalCell
TGFBR1,SMAD2,R10,ParietalCell
TGFBR1,SMAD2,R11,ParietalCell
EP300,MAPK1_p,R12,ParietalCell
EP300,MAPK1_p,R13,ParietalCell
HIF1A,MAPK1_p,R14,ParietalCell
HIF1A,MAPK1_p,R15,ParietalCell
NR3C1,MAPK1_p,R16,ParietalCell
NR3C1,MAPK1_p,R17,ParietalCell
RPS6KA3,MAPK1_p,R18,ParietalCell
RPS6KA3,MAPK1_p,R19,ParietalCell
PRDX6,MAPK1_p,R20,ParietalCell
PRDX6,MAPK1_p,R21,ParietalCell
AKT1_p,MDM2,R22,ParietalCell
AKT1_p,MDM2,R23,ParietalCell
PRKAA1,AKT1_p,R24,ParietalCell
PRKAA1,AKT1_p,R25,ParietalCell
EGFR_p,EGFR,R26,ParietalCell
EGFR_p,EGFR,R27,ParietalCell
SMAD4,MAPK1_p,R28,ParietalCell
SMAD4,MAPK1_p,R29,ParietalCell
ROCK1,DNM1L,R30,ParietalCell
ROCK1,DNM1L,R31,ParietalCell
STK11,MAPK1_p,R32,ParietalCell
STK11,MAPK1_p,R33,ParietalCell
JUN,MAPK1_p,R34,ParietalCell
JUN,MAPK1_p,R35,ParietalCell
NR4A1,AKT1_p,R36,ParietalCell
NR4A1,AKT1_p,R37,ParietalCell
FOS,MAPK1_p,R38,ParietalCell
FOS,MAPK1_p,R39,ParietalCell
STK11_p,STK11,R40,ParietalCell
STK11_p,STK11,R41,ParietalCell
AR,AKT1_p,R42,ParietalCell
AR,AKT1_p,R43,ParietalCell
SMAD2,MAPK1_p,R44,ParietalCell
SMAD2,MAPK1_p,R45,ParietalCell
RORA,MAPK1_p,R46,ParietalCell
RORA,MAPK1_p,R47,ParietalCell
BCL2,MAPK1_p,R48,ParietalCell
BCL2,MAPK1_p,R49,ParietalCell
INSR_p,INSR,R50,ParietalCell
INSR_p,INSR,R51,ParietalCell
BAD,AKT1_p,R52,ParietalCell
BAD,AKT1_p,R53,ParietalCell
GJA1,MAPK1_p,R54,ParietalCell
GJA1,MAPK1_p,R55,ParietalCell
STAT1,JAK1_p,R56,ParietalCell
STAT1,JAK1_p,R57,ParietalCell
DUSP1,MAPK1_p,R58,ParietalCell
DUSP1,MAPK1_p,R59,ParietalCell
HSPB1,AKT1_p,R60,ParietalCell
HSPB1,AKT1_p,R61,ParietalCell
HMGN1,RPS6KA3_p,R62,ParietalCell
HMGN1,RPS6KA3_p,R63,ParietalCell
PKN1,PKN1_p,R64,ParietalCell
PKN1,PKN1_p,R65,ParietalCell
TSC2,MAPK1_p,R66,ParietalCell
TSC2,MAPK1_p,R67,ParietalCell
RHOA,MAPK1_p,R68,ParietalCell
RHOA,MAPK1_p,R69,ParietalCell
EGFR_p,CALM1,R70,ParietalCell
EGFR_p,CALM1,R71,ParietalCell
SMAD3,MAPK1_p,R72,ParietalCell
SMAD3,MAPK1_p,R73,ParietalCell
INSR_p,CALM1,R74,ParietalCell
INSR_p,CALM1,R75,ParietalCell
ATR,MDM2,R76,ParietalCell
ATR,MDM2,R77,ParietalCell
RPS6KA3_p,BAD,R80,ParietalCell
RPS6KA3_p,BAD,R81,ParietalCell
PINK1,UBC,R82,ParietalCell
PINK1,UBC,R83,ParietalCell
RAC1,AKT1_p,R84,ParietalCell
RAC1,AKT1_p,R85,ParietalCell
STK4_p,STK4,R86,ParietalCell
STK4_p,STK4,R87,ParietalCell
IGF1R_p,IGF1R,R88,ParietalCell
IGF1R_p,IGF1R,R89,ParietalCell
PTEN,STK11_p,R90,ParietalCell
PTEN,STK11_p,R91,ParietalCell
HIPK2_p,HIPK2,R92,ParietalCell
HIPK2_p,HIPK2,R93,ParietalCell
RPS6KA3_p,CREB1,R94,ParietalCell
RPS6KA3_p,CREB1,R95,ParietalCell
TSC2,AKT1_p,R96,ParietalCell
TSC2,AKT1_p,R97,ParietalCell
