source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,Pericyte
JUN_p,SMAD4_p,R2,Pericyte
STAT3_p,SP1_p,R3,Pericyte
STAT3_p,STAT1_p,R4,Pericyte
JUN_p,FOS_p,R6,Pericyte
PIK3R1_p,PIK3CA_u,R7,Pericyte
EP300,MAPK1_p,R8,Pericyte
EP300,MAPK1_p,R9,Pericyte
HIF1A,MAPK1_p,R10,Pericyte
HIF1A,MAPK1_p,R11,Pericyte
NR3C1,MAPK1_p,R12,Pericyte
NR3C1,MAPK1_p,R13,Pericyte
PRDX6,MAPK1_p,R14,Pericyte
PRDX6,MAPK1_p,R15,Pericyte
PTPN11,KIT_p,R16,Pericyte
PTPN11,KIT_p,R17,Pericyte
EGFR_p,EGFR,R18,Pericyte
EGFR_p,EGFR,R19,Pericyte
CDKN1B,MAPK1_p,R20,Pericyte
CDKN1B,MAPK1_p,R21,Pericyte
SMAD4,MAPK1_p,R22,Pericyte
SMAD4,MAPK1_p,R23,Pericyte
JUN,MAPK1_p,R24,Pericyte
JUN,MAPK1_p,R25,Pericyte
FOS,MAPK1_p,R26,Pericyte
FOS,MAPK1_p,R27,Pericyte
KDR,KDR_p,R28,Pericyte
KDR,KDR_p,R29,Pericyte
MAPK8_p,BCL2,R30,Pericyte
MAPK8_p,BCL2,R31,Pericyte
SMAD2,MAPK1_p,R32,Pericyte
SMAD2,MAPK1_p,R33,Pericyte
CTNNB1,KIT_p,R34,Pericyte
CTNNB1,KIT_p,R35,Pericyte
RORA,MAPK1_p,R36,Pericyte
RORA,MAPK1_p,R37,Pericyte
JUN,MAPK9_p,R38,Pericyte
JUN,MAPK9_p,R39,Pericyte
BCL2,MAPK1_p,R40,Pericyte
BCL2,MAPK1_p,R41,Pericyte
SREBF1,MAPK1_p,R42,Pericyte
SREBF1,MAPK1_p,R43,Pericyte
STAT1,JAK1_p,R44,Pericyte
STAT1,JAK1_p,R45,Pericyte
DUSP1,MAPK1_p,R46,Pericyte
DUSP1,MAPK1_p,R47,Pericyte
NR3C2,MAPK1_p,R48,Pericyte
NR3C2,MAPK1_p,R49,Pericyte
MAPK8_p,MAPK9,R50,Pericyte
MAPK8_p,MAPK9,R51,Pericyte
TSC2,MAPK1_p,R52,Pericyte
TSC2,MAPK1_p,R53,Pericyte
KIT,KIT_p,R54,Pericyte
KIT,KIT_p,R55,Pericyte
RHOA,MAPK1_p,R56,Pericyte
RHOA,MAPK1_p,R57,Pericyte
PARP1,ATR,R58,Pericyte
PARP1,ATR,R59,Pericyte
MAPK8_p,NR3C1,R60,Pericyte
MAPK8_p,NR3C1,R61,Pericyte
PPARG,MAPK1_p,R62,Pericyte
PPARG,MAPK1_p,R63,Pericyte
TFEB,MAPK1_p,R64,Pericyte
TFEB,MAPK1_p,R65,Pericyte
ATR,MDM2,R66,Pericyte
ATR,MDM2,R67,Pericyte
MAPK8_p,CTNNB1,R70,Pericyte
MAPK8_p,CTNNB1,R71,Pericyte
HIPK2_p,HIPK2,R72,Pericyte
HIPK2_p,HIPK2,R73,Pericyte
PKM,MAPK8_p,R74,Pericyte
PKM,MAPK8_p,R75,Pericyte
EGFR,MAPK1_p,R76,Pericyte
EGFR,MAPK1_p,R77,Pericyte
STAT6,MAPK8_p,R78,Pericyte
STAT6,MAPK8_p,R79,Pericyte
PRKAA1,DNMT1,R80,Pericyte
PRKAA1,DNMT1,R81,Pericyte
TEK_p,TEK,R82,Pericyte
TEK_p,TEK,R83,Pericyte
PPARG,MAPK8_p,R84,Pericyte
PPARG,MAPK8_p,R85,Pericyte
SP1,MAPK1_p,R86,Pericyte
SP1,MAPK1_p,R87,Pericyte
MAPK8_p,CDKN1A,R88,Pericyte
MAPK8_p,CDKN1A,R89,Pericyte
CDKN1A,MAPK1_p,R90,Pericyte
CDKN1A,MAPK1_p,R91,Pericyte
MAPK8_p,JUN,R92,Pericyte
MAPK8_p,JUN,R93,Pericyte
STAT3,JAK1_p,R94,Pericyte
STAT3,JAK1_p,R95,Pericyte
PARP1,MAPK1_p,R96,Pericyte
PARP1,MAPK1_p,R97,Pericyte
MAPK8_p,SP1,R100,Pericyte
MAPK8_p,SP1,R101,Pericyte
EGFR_p,PPARG,R102,Pericyte
EGFR_p,PPARG,R103,Pericyte
CASP9,MAPK1_p,R104,Pericyte
CASP9,MAPK1_p,R105,Pericyte
STAT6,JAK1_p,R106,Pericyte
STAT6,JAK1_p,R107,Pericyte
