source,target,reaction,cell_type
STAT3_p,STAT1_p,R1,PlasmaCell
AKT1_p,MDM2,R3,PlasmaCell
AKT1_p,MDM2,R4,PlasmaCell
PRKAA1,AKT1_p,R5,PlasmaCell
PRKAA1,AKT1_p,R6,PlasmaCell
NR4A1,AKT1_p,R7,PlasmaCell
NR4A1,AKT1_p,R8,PlasmaCell
CTNNB1,JAK3_p,R9,PlasmaCell
CTNNB1,JAK3_p,R10,PlasmaCell
INSR_p,INSR,R11,PlasmaCell
INSR_p,INSR,R12,PlasmaCell
BAD,AKT1_p,R13,PlasmaCell
BAD,AKT1_p,R14,PlasmaCell
STAT1,JAK1_p,R15,PlasmaCell
STAT1,JAK1_p,R16,PlasmaCell
HSPB1,AKT1_p,R17,PlasmaCell
HSPB1,AKT1_p,R18,PlasmaCell
NCF1,AKT1_p,R19,PlasmaCell
NCF1,AKT1_p,R20,PlasmaCell
AKT1_p,CDKN1A,R21,PlasmaCell
AKT1_p,CDKN1A,R22,PlasmaCell
EIF2AK3,JAK1_p,R23,PlasmaCell
EIF2AK3,JAK1_p,R24,PlasmaCell
JAK1,JAK3_p,R25,PlasmaCell
JAK1,JAK3_p,R26,PlasmaCell
INSR_p,CALM1,R27,PlasmaCell
INSR_p,CALM1,R28,PlasmaCell
ERN1_p,ERN1,R29,PlasmaCell
ERN1_p,ERN1,R30,PlasmaCell
CDKN1B,AKT1_p,R31,PlasmaCell
CDKN1B,AKT1_p,R32,PlasmaCell
PINK1,UBC,R33,PlasmaCell
PINK1,UBC,R34,PlasmaCell
RAC1,AKT1_p,R35,PlasmaCell
RAC1,AKT1_p,R36,PlasmaCell
STK4_p,STK4,R37,PlasmaCell
STK4_p,STK4,R38,PlasmaCell
HIPK2_p,HIPK2,R39,PlasmaCell
HIPK2_p,HIPK2,R40,PlasmaCell
IRAK1_p,IRAK1,R41,PlasmaCell
IRAK1_p,IRAK1,R42,PlasmaCell
EIF2AK3_p,EIF2AK3,R43,PlasmaCell
EIF2AK3_p,EIF2AK3,R44,PlasmaCell
VIM,AKT1_p,R45,PlasmaCell
VIM,AKT1_p,R46,PlasmaCell
BTK,AKT1_p,R47,PlasmaCell
BTK,AKT1_p,R48,PlasmaCell
JAK3_p,JAK3,R49,PlasmaCell
JAK3_p,JAK3,R50,PlasmaCell
STAT3,JAK1_p,R51,PlasmaCell
