source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,Podocyte
JUN_p,SMAD4_p,R2,Podocyte
STAT3_p,SP1_p,R3,Podocyte
SMAD1,SMAD4_p,R4,Podocyte
STAT3_p,STAT1_p,R5,Podocyte
JUN_p,FOS_p,R7,Podocyte
PIK3CA,PIK3R1_p,R8,Podocyte
EP300,MAPK1_p,R9,Podocyte
EP300,MAPK1_p,R10,Podocyte
HIF1A,MAPK1_p,R11,Podocyte
HIF1A,MAPK1_p,R12,Podocyte
NR3C1,MAPK1_p,R13,Podocyte
NR3C1,MAPK1_p,R14,Podocyte
PRDX6,MAPK1_p,R15,Podocyte
PRDX6,MAPK1_p,R16,Podocyte
FYN_p,STK11,R17,Podocyte
FYN_p,STK11,R18,Podocyte
CTNNB1,PRKCA_p,R19,Podocyte
CTNNB1,PRKCA_p,R20,Podocyte
SMAD1,MAPK1_p,R21,Podocyte
SMAD1,MAPK1_p,R22,Podocyte
AKT1_p,MDM2,R23,Podocyte
AKT1_p,MDM2,R24,Podocyte
PRKAA1,AKT1_p,R25,Podocyte
PRKAA1,AKT1_p,R26,Podocyte
PRKCA_p,VIM,R27,Podocyte
PRKCA_p,VIM,R28,Podocyte
JAK2_p,JAK2,R29,Podocyte
JAK2_p,JAK2,R30,Podocyte
CDKN1B,MAPK1_p,R31,Podocyte
CDKN1B,MAPK1_p,R32,Podocyte
SMAD4,MAPK1_p,R33,Podocyte
SMAD4,MAPK1_p,R34,Podocyte
ROCK1,DNM1L,R35,Podocyte
ROCK1,DNM1L,R36,Podocyte
STK11,MAPK1_p,R37,Podocyte
STK11,MAPK1_p,R38,Podocyte
JUN,MAPK1_p,R39,Podocyte
JUN,MAPK1_p,R40,Podocyte
NR4A1,AKT1_p,R41,Podocyte
NR4A1,AKT1_p,R42,Podocyte
FOS,MAPK1_p,R43,Podocyte
FOS,MAPK1_p,R44,Podocyte
STK11_p,STK11,R45,Podocyte
STK11_p,STK11,R46,Podocyte
KDR,KDR_p,R47,Podocyte
KDR,KDR_p,R48,Podocyte
SMAD2,MAPK1_p,R49,Podocyte
SMAD2,MAPK1_p,R50,Podocyte
PRKCA_p,F3,R51,Podocyte
PRKCA_p,F3,R52,Podocyte
INSR_p,INSR,R53,Podocyte
INSR_p,INSR,R54,Podocyte
BAD,AKT1_p,R55,Podocyte
BAD,AKT1_p,R56,Podocyte
GJA1,MAPK1_p,R57,Podocyte
GJA1,MAPK1_p,R58,Podocyte
SREBF1,MAPK1_p,R59,Podocyte
SREBF1,MAPK1_p,R60,Podocyte
STAT1,JAK1_p,R61,Podocyte
STAT1,JAK1_p,R62,Podocyte
DUSP1,MAPK1_p,R63,Podocyte
DUSP1,MAPK1_p,R64,Podocyte
HSPB1,AKT1_p,R65,Podocyte
HSPB1,AKT1_p,R66,Podocyte
NR3C2,MAPK1_p,R67,Podocyte
NR3C2,MAPK1_p,R68,Podocyte
PKN1,PKN1_p,R69,Podocyte
PKN1,PKN1_p,R70,Podocyte
PRKCA_p,AQP1,R71,Podocyte
PRKCA_p,AQP1,R72,Podocyte
TSC2,MAPK1_p,R73,Podocyte
TSC2,MAPK1_p,R74,Podocyte
RHOA,MAPK1_p,R77,Podocyte
RHOA,MAPK1_p,R78,Podocyte
JAK2_p,STAT1,R79,Podocyte
JAK2_p,STAT1,R80,Podocyte
PRKCA,PRKCA_p,R81,Podocyte
PRKCA,PRKCA_p,R82,Podocyte
HMGN1,PRKCA_p,R83,Podocyte
HMGN1,PRKCA_p,R84,Podocyte
INSR_p,CALM1,R85,Podocyte
INSR_p,CALM1,R86,Podocyte
GJA1,PRKCA_p,R87,Podocyte
GJA1,PRKCA_p,R88,Podocyte
CDKN1B,AKT1_p,R89,Podocyte
CDKN1B,AKT1_p,R90,Podocyte
PINK1,UBC,R93,Podocyte
PINK1,UBC,R94,Podocyte
RAC1,AKT1_p,R95,Podocyte
RAC1,AKT1_p,R96,Podocyte
IGF1R_p,IGF1R,R97,Podocyte
IGF1R_p,IGF1R,R98,Podocyte
PTEN,STK11_p,R99,Podocyte
PTEN,STK11_p,R100,Podocyte
HIPK2_p,HIPK2,R101,Podocyte
HIPK2_p,HIPK2,R102,Podocyte
PRKCA_p,JAK2,R103,Podocyte
PRKCA_p,JAK2,R104,Podocyte
CDKN1B,SGK1,R105,Podocyte
CDKN1B,SGK1,R106,Podocyte
TSC2,AKT1_p,R107,Podocyte
TSC2,AKT1_p,R108,Podocyte
PRKAA1,PRKCA_p,R109,Podocyte
PRKAA1,PRKCA_p,R110,Podocyte
EP300,AKT1_p,R111,Podocyte
EP300,AKT1_p,R112,Podocyte
