source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,PrincipalCell
SMAD4_p,SMAD3_p,R2,PrincipalCell
JUN_p,SMAD4_p,R3,PrincipalCell
SMAD1,SMAD4_p,R4,PrincipalCell
JUN_p,SMAD3_p,R5,PrincipalCell
JUN_p,FOS_p,R6,PrincipalCell
PIK3CA,PIK3R1_p,R7,PrincipalCell
EP300,MAPK1_p,R8,PrincipalCell
EP300,MAPK1_p,R9,PrincipalCell
HIF1A,MAPK1_p,R10,PrincipalCell
HIF1A,MAPK1_p,R11,PrincipalCell
NR3C1,MAPK1_p,R12,PrincipalCell
NR3C1,MAPK1_p,R13,PrincipalCell
RPS6KA3,MAPK1_p,R14,PrincipalCell
RPS6KA3,MAPK1_p,R15,PrincipalCell
FOXO1,AKT1_p,R16,PrincipalCell
FOXO1,AKT1_p,R17,PrincipalCell
PRDX6,MAPK1_p,R18,PrincipalCell
PRDX6,MAPK1_p,R19,PrincipalCell
SRC_p,RPS6KA3,R20,PrincipalCell
SRC_p,RPS6KA3,R21,PrincipalCell
SMAD1,MAPK1_p,R22,PrincipalCell
SMAD1,MAPK1_p,R23,PrincipalCell
AKT1_p,MDM2,R24,PrincipalCell
AKT1_p,MDM2,R25,PrincipalCell
RPS6KB1,MAPK1_p,R26,PrincipalCell
RPS6KB1,MAPK1_p,R27,PrincipalCell
PANX1,SRC_p,R28,PrincipalCell
PANX1,SRC_p,R29,PrincipalCell
TP53,SRC_p,R30,PrincipalCell
TP53,SRC_p,R31,PrincipalCell
PRKAA1,AKT1_p,R32,PrincipalCell
PRKAA1,AKT1_p,R33,PrincipalCell
EGFR_p,EGFR,R34,PrincipalCell
EGFR_p,EGFR,R35,PrincipalCell
IKBKB,IKBKB_p,R36,PrincipalCell
IKBKB,IKBKB_p,R37,PrincipalCell
JAK2_p,JAK2,R38,PrincipalCell
JAK2_p,JAK2,R39,PrincipalCell
CDKN1B,MAPK1_p,R40,PrincipalCell
CDKN1B,MAPK1_p,R41,PrincipalCell
SMAD4,MAPK1_p,R42,PrincipalCell
SMAD4,MAPK1_p,R43,PrincipalCell
JUN,MAPK1_p,R44,PrincipalCell
JUN,MAPK1_p,R45,PrincipalCell
NR4A1,AKT1_p,R46,PrincipalCell
NR4A1,AKT1_p,R47,PrincipalCell
SIRT2,SRC_p,R48,PrincipalCell
SIRT2,SRC_p,R49,PrincipalCell
JAK2_p,MAP3K5,R50,PrincipalCell
JAK2_p,MAP3K5,R51,PrincipalCell
FOS,MAPK1_p,R52,PrincipalCell
FOS,MAPK1_p,R53,PrincipalCell
SRC,SRC_p,R54,PrincipalCell
SRC,SRC_p,R55,PrincipalCell
TLR3,SRC_p,R56,PrincipalCell
TLR3,SRC_p,R57,PrincipalCell
TP53,MAPK9_p,R58,PrincipalCell
TP53,MAPK9_p,R59,PrincipalCell
SMAD2,MAPK1_p,R60,PrincipalCell
SMAD2,MAPK1_p,R61,PrincipalCell
JUN,MAPK9_p,R62,PrincipalCell
JUN,MAPK9_p,R63,PrincipalCell
INSR_p,INSR,R64,PrincipalCell
INSR_p,INSR,R65,PrincipalCell
STAT1,JAK1_p,R66,PrincipalCell
STAT1,JAK1_p,R67,PrincipalCell
DUSP1,MAPK1_p,R68,PrincipalCell
DUSP1,MAPK1_p,R69,PrincipalCell
NR3C2,MAPK1_p,R70,PrincipalCell
NR3C2,MAPK1_p,R71,PrincipalCell
HMGN1,RPS6KA3_p,R72,PrincipalCell
HMGN1,RPS6KA3_p,R73,PrincipalCell
PKN1,PKN1_p,R74,PrincipalCell
PKN1,PKN1_p,R75,PrincipalCell
AKT1_p,CDKN1A,R76,PrincipalCell
AKT1_p,CDKN1A,R77,PrincipalCell
AKT1,SRC_p,R78,PrincipalCell
AKT1,SRC_p,R79,PrincipalCell
EIF2AK3,JAK1_p,R80,PrincipalCell
EIF2AK3,JAK1_p,R81,PrincipalCell
STK4_p,FOXO1,R82,PrincipalCell
STK4_p,FOXO1,R83,PrincipalCell
TSC2,MAPK1_p,R84,PrincipalCell
TSC2,MAPK1_p,R85,PrincipalCell
JAK2_p,EPOR,R88,PrincipalCell
JAK2_p,EPOR,R89,PrincipalCell
FOXO1,MAPK1_p,R90,PrincipalCell
FOXO1,MAPK1_p,R91,PrincipalCell
PARP1,ATR,R92,PrincipalCell
PARP1,ATR,R93,PrincipalCell
JAK2_p,STAT1,R94,PrincipalCell
JAK2_p,STAT1,R95,PrincipalCell
EGFR,SRC_p,R96,PrincipalCell
EGFR,SRC_p,R97,PrincipalCell
PPARG,MAPK1_p,R98,PrincipalCell
PPARG,MAPK1_p,R99,PrincipalCell
STAT1,SRC_p,R100,PrincipalCell
STAT1,SRC_p,R101,PrincipalCell
SMAD3,MAPK1_p,R102,PrincipalCell
SMAD3,MAPK1_p,R103,PrincipalCell
DEPTOR,RPS6KA3_p,R104,PrincipalCell
DEPTOR,RPS6KA3_p,R105,PrincipalCell
RPS6KA3_p,MAP3K5,R106,PrincipalCell
RPS6KA3_p,MAP3K5,R107,PrincipalCell
CDKN1B,AKT1_p,R108,PrincipalCell
CDKN1B,AKT1_p,R109,PrincipalCell
ATR,MDM2,R110,PrincipalCell
ATR,MDM2,R111,PrincipalCell
CTNNB1,MAPK9_p,R114,PrincipalCell
CTNNB1,MAPK9_p,R115,PrincipalCell
STK4_p,STK4,R116,PrincipalCell
STK4_p,STK4,R117,PrincipalCell
FOXO1,SGK1,R118,PrincipalCell
FOXO1,SGK1,R119,PrincipalCell
HIPK2_p,HIPK2,R120,PrincipalCell
HIPK2_p,HIPK2,R121,PrincipalCell
FOXO1,MAPK9_p,R122,PrincipalCell
FOXO1,MAPK9_p,R123,PrincipalCell
DEPTOR,RPS6KB1_p,R124,PrincipalCell
DEPTOR,RPS6KB1_p,R125,PrincipalCell
CDKN1B,SGK1,R126,PrincipalCell
CDKN1B,SGK1,R127,PrincipalCell
RPS6KA3_p,CREB1,R128,PrincipalCell
RPS6KA3_p,CREB1,R129,PrincipalCell
TSC2,AKT1_p,R130,PrincipalCell
TSC2,AKT1_p,R131,PrincipalCell
EP300,AKT1_p,R132,PrincipalCell
EP300,AKT1_p,R133,PrincipalCell
FOXO1,IKBKB_p,R134,PrincipalCell
FOXO1,IKBKB_p,R135,PrincipalCell
EGFR,MAPK1_p,R136,PrincipalCell
EGFR,MAPK1_p,R137,PrincipalCell
PTEN,SRC_p,R138,PrincipalCell
PTEN,SRC_p,R139,PrincipalCell
EIF2AK3_p,EIF2AK3,R140,PrincipalCell
EIF2AK3_p,EIF2AK3,R141,PrincipalCell
MAP3K5,MAP3K5_p,R142,PrincipalCell
MAP3K5,MAP3K5_p,R143,PrincipalCell
PRKAA1,SIRT7,R144,PrincipalCell
PRKAA1,SIRT7,R145,PrincipalCell
SP1,MAPK1_p,R146,PrincipalCell
SP1,MAPK1_p,R147,PrincipalCell
PTEN,ROCK1,R148,PrincipalCell
PTEN,ROCK1,R149,PrincipalCell
CDKN1A,MAPK1_p,R150,PrincipalCell
CDKN1A,MAPK1_p,R151,PrincipalCell
PRKAA1,FOXO1,R152,PrincipalCell
PRKAA1,FOXO1,R153,PrincipalCell
IL6R,JAK2,R154,PrincipalCell
IL6R,JAK2,R155,PrincipalCell
JAK2,MAPK1_p,R156,PrincipalCell
JAK2,MAPK1_p,R157,PrincipalCell
SRC_p,RAPGEF1,R158,PrincipalCell
SRC_p,RAPGEF1,R159,PrincipalCell
CASP9,AKT1_p,R160,PrincipalCell
CASP9,AKT1_p,R161,PrincipalCell
PARP1,MAPK1_p,R162,PrincipalCell
PARP1,MAPK1_p,R163,PrincipalCell
AKT1_p,NR3C1,R164,PrincipalCell
AKT1_p,NR3C1,R165,PrincipalCell
YAP1,MAPK9_p,R166,PrincipalCell
YAP1,MAPK9_p,R167,PrincipalCell
SRC_p,CLTC,R168,PrincipalCell
SRC_p,CLTC,R169,PrincipalCell
STAT6,JAK2_p,R170,PrincipalCell
STAT6,JAK2_p,R171,PrincipalCell
FOXO1,PKN1_p,R172,PrincipalCell
FOXO1,PKN1_p,R173,PrincipalCell
EGFR_p,PPARG,R174,PrincipalCell
EGFR_p,PPARG,R175,PrincipalCell
CASP9,MAPK1_p,R176,PrincipalCell
CASP9,MAPK1_p,R177,PrincipalCell
STK4_p,PIK3CA,R178,PrincipalCell
STK4_p,PIK3CA,R179,PrincipalCell
SRC_p,IKBKB,R180,PrincipalCell
SRC_p,IKBKB,R181,PrincipalCell
RICTOR,RPS6KB1_p,R182,PrincipalCell
RICTOR,RPS6KB1_p,R183,PrincipalCell
TP53,PLK2,R184,PrincipalCell
TP53,PLK2,R185,PrincipalCell
STAT6,JAK1_p,R186,PrincipalCell
STAT6,JAK1_p,R187,PrincipalCell
TSC2,SGK1,R188,PrincipalCell
TSC2,SGK1,R189,PrincipalCell
YAP1,AKT1_p,R190,PrincipalCell
YAP1,AKT1_p,R191,PrincipalCell
JAK2_p,CDKN1B,R194,PrincipalCell
JAK2_p,CDKN1B,R195,PrincipalCell
SMAD4,SMAD1,R196,PrincipalCell
SMAD4,SMAD1,R197,PrincipalCell
RPS6KA3_p,FOS,R198,PrincipalCell
RPS6KA3_p,FOS,R199,PrincipalCell
RPS6KA3,AKT1_p,R200,PrincipalCell
RPS6KA3,AKT1_p,R201,PrincipalCell
RPS6KA3_p,RPS6KA3,R202,PrincipalCell
RPS6KA3_p,RPS6KA3,R203,PrincipalCell
PRKAA1,EP300,R204,PrincipalCell
PRKAA1,EP300,R205,PrincipalCell
PRKAA1,HDAC4,R206,PrincipalCell
PRKAA1,HDAC4,R207,PrincipalCell
CTNNB1,AKT1_p,R208,PrincipalCell
CTNNB1,AKT1_p,R209,PrincipalCell
STK4,AKT1_p,R210,PrincipalCell
STK4,AKT1_p,R211,PrincipalCell
NR4A1,RPS6KA3_p,R212,PrincipalCell
NR4A1,RPS6KA3_p,R213,PrincipalCell
PRKAA1,SIRT1,R214,PrincipalCell
PRKAA1,SIRT1,R215,PrincipalCell
TP53,ROCK1,R216,PrincipalCell
TP53,ROCK1,R217,PrincipalCell
MAPK1,MAPK1_p,R218,PrincipalCell
MAPK1,MAPK1_p,R219,PrincipalCell
SMAD3,MAPK9_p,R220,PrincipalCell
SMAD3,MAPK9_p,R221,PrincipalCell
