source,target,reaction,cell_type
STAT3_p,SP1_p,R1,TAL
STAT3_p,STAT1_p,R2,TAL
TGFBR1,SMAD2,R4,TAL
TGFBR1,SMAD2,R5,TAL
FOXO1,AKT1_p,R6,TAL
FOXO1,AKT1_p,R7,TAL
JAK2_p,STAT5A,R8,TAL
JAK2_p,STAT5A,R9,TAL
IKBKB,IKBKB_p,R10,TAL
IKBKB,IKBKB_p,R11,TAL
JAK2_p,JAK2,R12,TAL
JAK2_p,JAK2,R13,TAL
AKT1_p,EZH2,R14,TAL
AKT1_p,EZH2,R15,TAL
PDPK1_p,IKBKB,R16,TAL
PDPK1_p,IKBKB,R17,TAL
NR4A1,AKT1_p,R18,TAL
NR4A1,AKT1_p,R19,TAL
FYN_p,PTPN6,R20,TAL
FYN_p,PTPN6,R21,TAL
INSR_p,INSR,R22,TAL
INSR_p,INSR,R23,TAL
STAT1,JAK1_p,R24,TAL
STAT1,JAK1_p,R25,TAL
HSPB1,AKT1_p,R26,TAL
HSPB1,AKT1_p,R27,TAL
PKN1,PKN1_p,R28,TAL
PKN1,PKN1_p,R29,TAL
AKT1_p,CDKN1A,R30,TAL
AKT1_p,CDKN1A,R31,TAL
CDKN2A,IKBKB_p,R32,TAL
CDKN2A,IKBKB_p,R33,TAL
TP53,MAPK8_p,R34,TAL
TP53,MAPK8_p,R35,TAL
MAPK8_p,MFN2,R36,TAL
MAPK8_p,MFN2,R37,TAL
PARP1,ATR,R38,TAL
PARP1,ATR,R39,TAL
MAPK8_p,FOXO1,R40,TAL
MAPK8_p,FOXO1,R41,TAL
JAK2_p,STAT1,R42,TAL
JAK2_p,STAT1,R43,TAL
PDPK1_p,SGK1,R44,TAL
PDPK1_p,SGK1,R45,TAL
INSR_p,CALM1,R46,TAL
INSR_p,CALM1,R47,TAL
ERN1_p,ERN1,R48,TAL
ERN1_p,ERN1,R49,TAL
MAPK8_p,AKT1,R50,TAL
MAPK8_p,AKT1,R51,TAL
CDKN1B,AKT1_p,R52,TAL
CDKN1B,AKT1_p,R53,TAL
MAPK8_p,CTNNB1,R54,TAL
MAPK8_p,CTNNB1,R55,TAL
PINK1,UBC,R56,TAL
PINK1,UBC,R57,TAL
PDPK1_p,AKT1,R58,TAL
PDPK1_p,AKT1,R59,TAL
IGF1R_p,IGF1R,R60,TAL
IGF1R_p,IGF1R,R61,TAL
SGK1_p,FOXO1,R62,TAL
SGK1_p,FOXO1,R63,TAL
HIPK2_p,HIPK2,R64,TAL
HIPK2_p,HIPK2,R65,TAL
PDPK1_p,PDPK1,R66,TAL
PDPK1_p,PDPK1,R67,TAL
CDKN1B,SGK1_p,R68,TAL
CDKN1B,SGK1_p,R69,TAL
FOXO1,IKBKB_p,R70,TAL
FOXO1,IKBKB_p,R71,TAL
FYN_p,FYN,R72,TAL
FYN_p,FYN,R73,TAL
STAT6,MAPK8_p,R74,TAL
STAT6,MAPK8_p,R75,TAL
VIM,AKT1_p,R76,TAL
VIM,AKT1_p,R77,TAL
AXL,AXL_p,R78,TAL
AXL,AXL_p,R79,TAL
TP53,CDK5_p,R80,TAL
TP53,CDK5_p,R81,TAL
MAPK8_p,CDKN1A,R82,TAL
MAPK8_p,CDKN1A,R83,TAL
AKT1S1,AKT1_p,R84,TAL
AKT1S1,AKT1_p,R85,TAL
MAPK8_p,JUN,R86,TAL
MAPK8_p,JUN,R87,TAL
STAT3,JAK1_p,R88,TAL
STAT3,JAK1_p,R89,TAL
IGF1R_p,PDPK1,R90,TAL
IGF1R_p,PDPK1,R91,TAL
STAT6,JAK2_p,R92,TAL
STAT6,JAK2_p,R93,TAL
FOXO1,PKN1_p,R94,TAL
FOXO1,PKN1_p,R95,TAL
MAPK8_p,SP1,R96,TAL
MAPK8_p,SP1,R97,TAL
TP53,PLK2,R98,TAL
TP53,PLK2,R99,TAL
STAT6,JAK1_p,R100,TAL
STAT6,JAK1_p,R101,TAL
IGF1R_p,IRS2,R102,TAL
IGF1R_p,IRS2,R103,TAL
JAK2_p,CDKN1B,R104,TAL
JAK2_p,CDKN1B,R105,TAL
MECP2,HIPK2_p,R106,TAL
MECP2,HIPK2_p,R107,TAL
CTNNB1,AKT1_p,R108,TAL
CTNNB1,AKT1_p,R109,TAL
MAPK8_p,JUNB,R110,TAL
MAPK8_p,JUNB,R111,TAL
PARP1,CDK5_p,R112,TAL
PARP1,CDK5_p,R113,TAL
LYN,LYN_p,R114,TAL
LYN,LYN_p,R115,TAL
MAPKAP1,AKT1_p,R116,TAL
MAPKAP1,AKT1_p,R117,TAL
FYN_p,PTPRJ,R118,TAL
FYN_p,PTPRJ,R119,TAL
AKT1_p,PARK7,R120,TAL
AKT1_p,PARK7,R121,TAL
SP1,SGK1_p,R122,TAL
SP1,SGK1_p,R123,TAL
PDPK1_p,PKN1,R124,TAL
PDPK1_p,PKN1,R125,TAL
INSR_p,IRS2,R126,TAL
INSR_p,IRS2,R127,TAL
JAK2_p,GHR,R128,TAL
JAK2_p,GHR,R129,TAL
NOTCH1,CDK5_p,R130,TAL
NOTCH1,CDK5_p,R131,TAL
CREB1,CDK5_p,R132,TAL
CREB1,CDK5_p,R133,TAL
JAK2_p,LEPR,R134,TAL
JAK2_p,LEPR,R135,TAL
PIK3C3,CDK5_p,R136,TAL
PIK3C3,CDK5_p,R137,TAL
AKT1,AKT1_p,R138,TAL
AKT1,AKT1_p,R139,TAL
PTPN6,INSR_p,R140,TAL
PTPN6,INSR_p,R141,TAL
TP53,PINK1,R142,TAL
TP53,PINK1,R143,TAL
JAK2_p,STAT3,R144,TAL
JAK2_p,STAT3,R145,TAL
PTEN,INSR_p,R146,TAL
PTEN,INSR_p,R147,TAL
PIK3R1,INSR_p,R148,TAL
PIK3R1,INSR_p,R149,TAL
MAPK8_p,STAT3,R150,TAL
MAPK8_p,STAT3,R151,TAL
GLO1,LYN_p,R152,TAL
GLO1,LYN_p,R153,TAL
CDK5_p,STAT3,R154,TAL
CDK5_p,STAT3,R155,TAL
CREB1,AKT1_p,R156,TAL
CREB1,AKT1_p,R157,TAL
PINK1,MFN2,R158,TAL
PINK1,MFN2,R159,TAL
MAPK8_p,STAT1,R160,TAL
MAPK8_p,STAT1,R161,TAL
CDK5,FYN_p,R162,TAL
CDK5,FYN_p,R163,TAL
CDKN1B,LYN_p,R164,TAL
CDKN1B,LYN_p,R165,TAL
TP53,IKBKB_p,R166,TAL
TP53,IKBKB_p,R167,TAL
NR4A1,MAPK8_p,R168,TAL
NR4A1,MAPK8_p,R169,TAL
TP53,ATR,R170,TAL
TP53,ATR,R171,TAL
ATR,CREB1,R172,TAL
ATR,CREB1,R173,TAL
FYN_p,CTNNB1,R174,TAL
FYN_p,CTNNB1,R175,TAL
STAT3,LYN_p,R176,TAL
STAT3,LYN_p,R177,TAL
CDKN1B,HIPK2_p,R178,TAL
CDKN1B,HIPK2_p,R179,TAL
TP53,HIPK2_p,R180,TAL
TP53,HIPK2_p,R181,TAL
SGK1_p,STAT1,R182,TAL
SGK1_p,STAT1,R183,TAL
LEPR_p,STAT3,R184,TAL
LEPR_p,STAT3,R185,TAL
CDKN1B,CDK5_p,R186,TAL
CDKN1B,CDK5_p,R187,TAL
VIM,CDK5_p,R188,TAL
VIM,CDK5_p,R189,TAL
HIF1A,CDK5_p,R190,TAL
HIF1A,CDK5_p,R191,TAL
CTNNB1,CDK5_p,R192,TAL
CTNNB1,CDK5_p,R193,TAL
SIRT2,CDK5_p,R194,TAL
SIRT2,CDK5_p,R195,TAL
JAK2_p,EZH2,R196,TAL
JAK2_p,EZH2,R197,TAL
PTEN,PINK1,R198,TAL
PTEN,PINK1,R199,TAL
MAPK8,TLR4,R200,TAL
MAPK8,TLR4,R201,TAL
AKT1_p,BAX,R202,TAL
AKT1_p,BAX,R203,TAL
PTPN6,LYN_p,R206,TAL
PTPN6,LYN_p,R207,TAL
CREB1,HIPK2_p,R208,TAL
CREB1,HIPK2_p,R209,TAL
PTPRJ_p,INSR_p,R210,TAL
PTPRJ_p,INSR_p,R211,TAL
PTPN6_p,JAK2_p,R212,TAL
PTPN6_p,JAK2_p,R213,TAL
PTPRJ_p,CTNNB1_p,R214,TAL
PTPRJ_p,CTNNB1_p,R215,TAL
GHR_p,PTPN2,R216,TAL
GHR_p,PTPN2,R217,TAL
INSR_p,PTPN2,R218,TAL
INSR_p,PTPN2,R219,TAL
FYN_p,PTPN2,R220,TAL
FYN_p,PTPN2,R221,TAL
PTPN6_p,INSR_p,R222,TAL
PTPN6_p,INSR_p,R223,TAL
PTPN2,JAK1_p,R224,TAL
PTPN2,JAK1_p,R225,TAL
PTPN6_p,JAK1_p,R226,TAL
PTPN6_p,JAK1_p,R227,TAL
PTEN,SP1_p,R228,TAL
PTEN,SP1_p,R229,TAL
STAT3_p,PTPN2,R230,TAL
STAT3_p,PTPN2,R231,TAL
STAT6_p,PTPN2,R232,TAL
STAT6_p,PTPN2,R233,TAL
MAPK8_p,DUSP1,R234,TAL
MAPK8_p,DUSP1,R235,TAL
PTEN,PTEN_p,R236,TAL
PTEN,PTEN_p,R237,TAL
PTPN2,GJA1_p,R238,TAL
PTPN2,GJA1_p,R239,TAL
PTPRJ_p,PIK3R1_p,R240,TAL
PTPRJ_p,PIK3R1_p,R241,TAL
PTPRJ_p,JAK2_p,R242,TAL
PTPRJ_p,JAK2_p,R243,TAL
STAT1_p,PTPN2,R244,TAL
STAT1_p,PTPN2,R245,TAL
PTPN6_p,STAT3_p,R246,TAL
PTPN6_p,STAT3_p,R247,TAL
PTEN,STAT5A_p,R248,TAL
PTEN,STAT5A_p,R249,TAL
PTEN,CREB1_p,R250,TAL
PTEN,CREB1_p,R251,TAL
JUN_p,DUSP1,R252,TAL
JUN_p,DUSP1,R253,TAL
PTPN6_p,CTNNB1_p,R254,TAL
PTPN6_p,CTNNB1_p,R255,TAL
STAT5A_p,PTPN2,R256,TAL
STAT5A_p,PTPN2,R257,TAL
PTPN6_p,LYN_p,R258,TAL
PTPN6_p,LYN_p,R259,TAL
PINK1,MFN2,R260,TAL
PINK1,MFN1,R261,TAL
PINK1,MFN1,R262,TAL
NOTCH1,NUMB,R263,TAL
NOTCH1,NUMB,R264,TAL
SP1_p,JUN_p,R265,TAL
JUN_p,TGFB1_g,R265,TAL
SP1_p,JUN_p,R266,TAL
JUN_p,TGFB1_g,R266,TAL
VCAN_g,TP53_p,R268,TAL
VCAN_g,TP53_p,R269,TAL
CDKN1A_g,TP53_p,R271,TAL
CDKN1A_g,TP53_p,R272,TAL
CCL2_g,HIF1A_p,R274,TAL
CCL2_g,HIF1A_p,R275,TAL
CTNNB1_p,CCND1_g,R277,TAL
CTNNB1_p,CCND1_g,R278,TAL
GDF15_g,ATF3,R280,TAL
GDF15_g,ATF3,R281,TAL
BAX_g,TP53_p,R283,TAL
BAX_g,TP53_p,R284,TAL
FOXO1_p,CDKN1B_g,R286,TAL
FOXO1_p,CDKN1B_g,R287,TAL
FAS_g,TP53_p,R289,TAL
FAS_g,TP53_p,R290,TAL
FOXO1_p,PCK1_g,R292,TAL
FOXO1_p,PCK1_g,R293,TAL
KDM6B_g,HIF1A_p,R295,TAL
KDM6B_g,HIF1A_p,R296,TAL
CREB1_p,IRS2_g,R298,TAL
CREB1_p,IRS2_g,R299,TAL
TGFB1,COL1A1_g,R301,TAL
TGFB1,COL1A1_g,R302,TAL
STAT5A_p,SOCS2_g,R304,TAL
STAT5A_p,SOCS2_g,R305,TAL
TNC_g,SP1_p,R307,TAL
