source,target,reaction,cell_type
STAT5A_p,NR3C1,R1,Tcell
JUN_p,SMAD3_p,R2,Tcell
STAT3_p,STAT1_p,R3,Tcell
JUN_p,FOS_p,R5,Tcell
PIK3CA,PIK3R1_p,R6,Tcell
TGFBR1,SMAD2,R7,Tcell
TGFBR1,SMAD2,R8,Tcell
EP300,MAPK1_p,R9,Tcell
EP300,MAPK1_p,R10,Tcell
HIF1A,MAPK1_p,R11,Tcell
HIF1A,MAPK1_p,R12,Tcell
NR3C1,MAPK1_p,R13,Tcell
NR3C1,MAPK1_p,R14,Tcell
RPS6KA3,MAPK1_p,R15,Tcell
RPS6KA3,MAPK1_p,R16,Tcell
FOXO1,AKT1_p,R17,Tcell
FOXO1,AKT1_p,R18,Tcell
PRDX6,MAPK1_p,R19,Tcell
PRDX6,MAPK1_p,R20,Tcell
FYN_p,STK11,R21,Tcell
FYN_p,STK11,R22,Tcell
CTNNB1,PRKCA_p,R23,Tcell
CTNNB1,PRKCA_p,R24,Tcell
AKT1_p,MDM2,R25,Tcell
AKT1_p,MDM2,R26,Tcell
PRKAA1,AKT1_p,R27,Tcell
PRKAA1,AKT1_p,R28,Tcell
PRKCA_p,VIM,R31,Tcell
PRKCA_p,VIM,R32,Tcell
CDKN1B,MAPK1_p,R33,Tcell
CDKN1B,MAPK1_p,R34,Tcell
PTPN6,PRKCA_p,R35,Tcell
PTPN6,PRKCA_p,R36,Tcell
STK11,MAPK1_p,R37,Tcell
STK11,MAPK1_p,R38,Tcell
JUN,MAPK1_p,R39,Tcell
JUN,MAPK1_p,R40,Tcell
NCF1,PRKCA_p,R41,Tcell
NCF1,PRKCA_p,R42,Tcell
FYN_p,CTLA4,R43,Tcell
FYN_p,CTLA4,R44,Tcell
NR4A1,AKT1_p,R45,Tcell
NR4A1,AKT1_p,R46,Tcell
FOS,MAPK1_p,R47,Tcell
FOS,MAPK1_p,R48,Tcell
STK11_p,STK11,R49,Tcell
STK11_p,STK11,R50,Tcell
CTNNB1,JAK3_p,R51,Tcell
CTNNB1,JAK3_p,R52,Tcell
FYN_p,PTPN6,R53,Tcell
FYN_p,PTPN6,R54,Tcell
SMAD2,MAPK1_p,R55,Tcell
SMAD2,MAPK1_p,R56,Tcell
RORA,MAPK1_p,R57,Tcell
RORA,MAPK1_p,R58,Tcell
JUN,MAPK9_p,R59,Tcell
JUN,MAPK9_p,R60,Tcell
BCL2,MAPK1_p,R61,Tcell
BCL2,MAPK1_p,R62,Tcell
BAD,AKT1_p,R63,Tcell
BAD,AKT1_p,R64,Tcell
NCF1,MAPK1_p,R65,Tcell
NCF1,MAPK1_p,R66,Tcell
STAT1,JAK1_p,R67,Tcell
STAT1,JAK1_p,R68,Tcell
DUSP1,MAPK1_p,R69,Tcell
DUSP1,MAPK1_p,R70,Tcell
HSPB1,AKT1_p,R71,Tcell
HSPB1,AKT1_p,R72,Tcell
NCF1,AKT1_p,R73,Tcell
NCF1,AKT1_p,R74,Tcell
HMGN1,RPS6KA3_p,R75,Tcell
HMGN1,RPS6KA3_p,R76,Tcell
PKN1,PKN1_p,R77,Tcell
PKN1,PKN1_p,R78,Tcell
JAK3_p,STAT5A,R79,Tcell
JAK3_p,STAT5A,R80,Tcell
JAK1,JAK3_p,R81,Tcell
JAK1,JAK3_p,R82,Tcell
STK4_p,FOXO1,R83,Tcell
STK4_p,FOXO1,R84,Tcell
RHOA,MAPK1_p,R85,Tcell
RHOA,MAPK1_p,R86,Tcell
FOXO1,MAPK1_p,R87,Tcell
FOXO1,MAPK1_p,R88,Tcell
PARP1,ATR,R89,Tcell
PARP1,ATR,R90,Tcell
PRKCA,PRKCA_p,R91,Tcell
PRKCA,PRKCA_p,R92,Tcell
SMAD3,MAPK1_p,R93,Tcell
SMAD3,MAPK1_p,R94,Tcell
HMGN1,PRKCA_p,R95,Tcell
HMGN1,PRKCA_p,R96,Tcell
ERN1_p,ERN1,R97,Tcell
ERN1_p,ERN1,R98,Tcell
CDKN1B,AKT1_p,R99,Tcell
CDKN1B,AKT1_p,R100,Tcell
ATR,MDM2,R101,Tcell
ATR,MDM2,R102,Tcell
RPS6KA3_p,BAD,R105,Tcell
RPS6KA3_p,BAD,R106,Tcell
CTNNB1,MAPK9_p,R107,Tcell
CTNNB1,MAPK9_p,R108,Tcell
RAC1,AKT1_p,R109,Tcell
RAC1,AKT1_p,R110,Tcell
STK4_p,STK4,R111,Tcell
STK4_p,STK4,R112,Tcell
PTEN,STK11_p,R113,Tcell
PTEN,STK11_p,R114,Tcell
HIPK2_p,HIPK2,R115,Tcell
HIPK2_p,HIPK2,R116,Tcell
FOXO1,MAPK9_p,R117,Tcell
FOXO1,MAPK9_p,R118,Tcell
RPS6KA3_p,CREB1,R119,Tcell
RPS6KA3_p,CREB1,R120,Tcell
PRKAA1,PRKCA_p,R121,Tcell
PRKAA1,PRKCA_p,R122,Tcell
EP300,AKT1_p,R123,Tcell
EP300,AKT1_p,R124,Tcell
FOXO1,IKBKB,R125,Tcell
FOXO1,IKBKB,R126,Tcell
FYN_p,FYN,R127,Tcell
FYN_p,FYN,R128,Tcell
VIM,AKT1_p,R131,Tcell
VIM,AKT1_p,R132,Tcell
PRKAA1_p,SIRT7,R133,Tcell
PRKAA1_p,SIRT7,R134,Tcell
DNMT1,PRKAA1_p,R135,Tcell
DNMT1,PRKAA1_p,R136,Tcell
NFKB1,IKBKB,R137,Tcell
NFKB1,IKBKB,R138,Tcell
ILK_p,AKT1,R139,Tcell
ILK_p,AKT1,R140,Tcell
PTEN,ROCK1,R141,Tcell
PTEN,ROCK1,R142,Tcell
STAT5A,MAPK1_p,R143,Tcell
STAT5A,MAPK1_p,R144,Tcell
BAD,MAPK1_p,R145,Tcell
BAD,MAPK1_p,R146,Tcell
FOXO1,PRKAA1_p,R147,Tcell
FOXO1,PRKAA1_p,R148,Tcell
JAK3_p,JAK3,R149,Tcell
JAK3_p,JAK3,R150,Tcell
STAT3,JAK1_p,R151,Tcell
STAT3,JAK1_p,R152,Tcell
PARP1,MAPK1_p,R153,Tcell
PARP1,MAPK1_p,R154,Tcell
AKT1_p,NR3C1,R155,Tcell
AKT1_p,NR3C1,R156,Tcell
PRKCA_p,ANXA1,R157,Tcell
PRKCA_p,ANXA1,R158,Tcell
FOXO1,PKN1_p,R159,Tcell
FOXO1,PKN1_p,R160,Tcell
STK4_p,PIK3CA,R161,Tcell
STK4_p,PIK3CA,R162,Tcell
STK4_p,IRF3,R165,Tcell
STK4_p,IRF3,R166,Tcell
RPS6KA3_p,FOS,R167,Tcell
RPS6KA3_p,FOS,R168,Tcell
RPS6KA3,AKT1_p,R169,Tcell
RPS6KA3,AKT1_p,R170,Tcell
DNMT1,AKT1_p,R171,Tcell
DNMT1,AKT1_p,R172,Tcell
STK11_p,SIRT1,R173,Tcell
STK11_p,SIRT1,R174,Tcell
RPS6KA3_p,RPS6KA3,R175,Tcell
RPS6KA3_p,RPS6KA3,R176,Tcell
PRKAA1_p,EP300,R177,Tcell
PRKAA1_p,EP300,R178,Tcell
MECP2,HIPK2_p,R179,Tcell
MECP2,HIPK2_p,R180,Tcell
CTNNB1,AKT1_p,R181,Tcell
CTNNB1,AKT1_p,R182,Tcell
PRKCA_p,CYBA,R183,Tcell
PRKCA_p,CYBA,R184,Tcell
STK4,AKT1_p,R185,Tcell
STK4,AKT1_p,R186,Tcell
NR4A1,RPS6KA3_p,R187,Tcell
NR4A1,RPS6KA3_p,R188,Tcell
PRKAA1_p,SIRT1,R189,Tcell
PRKAA1_p,SIRT1,R190,Tcell
PRKCA_p,BAD,R191,Tcell
PRKCA_p,BAD,R192,Tcell
STK4_p,PRKCA,R193,Tcell
STK4_p,PRKCA,R194,Tcell
RUNX2,AKT1_p,R195,Tcell
RUNX2,AKT1_p,R196,Tcell
MAPK1,MAPK1_p,R197,Tcell
MAPK1,MAPK1_p,R198,Tcell
SMAD3,MAPK9_p,R199,Tcell
SMAD3,MAPK9_p,R200,Tcell
ZFP36,MAPK1_p,R201,Tcell
ZFP36,MAPK1_p,R202,Tcell
MAPKAP1,AKT1_p,R203,Tcell
MAPKAP1,AKT1_p,R204,Tcell
AKT1_p,PARK7,R205,Tcell
AKT1_p,PARK7,R206,Tcell
PRKAA1_p,HIPK2,R207,Tcell
PRKAA1_p,HIPK2,R208,Tcell
DDIT3,PRKAA1_p,R209,Tcell
DDIT3,PRKAA1_p,R210,Tcell
ROCK1,BECN1,R211,Tcell
ROCK1,BECN1,R212,Tcell
XBP1,MAPK1_p,R213,Tcell
XBP1,MAPK1_p,R214,Tcell
EP300,HIPK2_p,R215,Tcell
EP300,HIPK2_p,R216,Tcell
PKM_p,STAT3,R217,Tcell
PKM_p,STAT3,R218,Tcell
AKT1,AKT1_p,R219,Tcell
AKT1,AKT1_p,R220,Tcell
PTPN11,JAK1_p,R221,Tcell
PTPN11,JAK1_p,R222,Tcell
STK4_p,BECN1,R223,Tcell
STK4_p,BECN1,R224,Tcell
STK4_p,PRDX1,R225,Tcell
STK4_p,PRDX1,R226,Tcell
PRKAA1_p,MFF,R227,Tcell
PRKAA1_p,MFF,R228,Tcell
ADD3,PRKCA_p,R229,Tcell
ADD3,PRKCA_p,R230,Tcell
PIK3CA,AKT1,R231,Tcell
PIK3CA,AKT1,R232,Tcell
CREB1,AKT1_p,R233,Tcell
CREB1,AKT1_p,R234,Tcell
MAPK1,AKT1_p,R235,Tcell
MAPK1,AKT1_p,R236,Tcell
ROCK1,VIM,R237,Tcell
ROCK1,VIM,R238,Tcell
PRKCA_p,NFE2L2,R239,Tcell
PRKCA_p,NFE2L2,R240,Tcell
STK4_p,SIRT1,R241,Tcell
STK4_p,SIRT1,R242,Tcell
BCL2,MAPK9_p,R243,Tcell
BCL2,MAPK9_p,R244,Tcell
ATR,CREB1,R245,Tcell
ATR,CREB1,R246,Tcell
TGFBR1,SMAD3,R247,Tcell
TGFBR1,SMAD3,R248,Tcell
PRKAA1,STK11_p,R249,Tcell
PRKAA1,STK11_p,R250,Tcell
FYN_p,CTNNB1,R251,Tcell
FYN_p,CTNNB1,R252,Tcell
PRKCA_p,BCL2,R253,Tcell
PRKCA_p,BCL2,R254,Tcell
PTPN11,PRKCA_p,R255,Tcell
PTPN11,PRKCA_p,R256,Tcell
PRKAA1_p,NFE2L2,R257,Tcell
PRKAA1_p,NFE2L2,R258,Tcell
CDKN1B,HIPK2_p,R259,Tcell
CDKN1B,HIPK2_p,R260,Tcell
PRKAA1,PRKAA1_p,R261,Tcell
PRKAA1,PRKAA1_p,R262,Tcell
RPS6KA3_p,STK11,R263,Tcell
RPS6KA3_p,STK11,R264,Tcell
ERN1_p,XBP1,R265,Tcell
ERN1_p,XBP1,R266,Tcell
FYN_p,RPS6KA3,R267,Tcell
FYN_p,RPS6KA3,R268,Tcell
ILK_p,ILK,R269,Tcell
ILK_p,ILK,R270,Tcell
PRKCA_p,RORA,R271,Tcell
PRKCA_p,RORA,R272,Tcell
FYN_p,NFE2L2,R273,Tcell
FYN_p,NFE2L2,R274,Tcell
HIPK2_p,MDM2,R275,Tcell
