source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,VSM
JUN_p,SMAD4_p,R2,VSM
STAT3_p,SP1_p,R3,VSM
STAT3_p,STAT1_p,R4,VSM
JUN_p,FOS_p,R6,VSM
PIK3R1_p,PIK3CA_u,R7,VSM
EP300,MAPK1_p,R8,VSM
EP300,MAPK1_p,R9,VSM
HIF1A,MAPK1_p,R10,VSM
HIF1A,MAPK1_p,R11,VSM
NR3C1,MAPK1_p,R12,VSM
NR3C1,MAPK1_p,R13,VSM
PRDX6,MAPK1_p,R14,VSM
PRDX6,MAPK1_p,R15,VSM
PTPN11,KIT_p,R16,VSM
PTPN11,KIT_p,R17,VSM
EGFR_p,EGFR,R18,VSM
EGFR_p,EGFR,R19,VSM
CDKN1B,MAPK1_p,R20,VSM
CDKN1B,MAPK1_p,R21,VSM
SMAD4,MAPK1_p,R22,VSM
SMAD4,MAPK1_p,R23,VSM
JUN,MAPK1_p,R24,VSM
JUN,MAPK1_p,R25,VSM
FOS,MAPK1_p,R26,VSM
FOS,MAPK1_p,R27,VSM
KDR,KDR_p,R28,VSM
KDR,KDR_p,R29,VSM
MAPK8_p,BCL2,R30,VSM
MAPK8_p,BCL2,R31,VSM
SMAD2,MAPK1_p,R32,VSM
SMAD2,MAPK1_p,R33,VSM
CTNNB1,KIT_p,R34,VSM
CTNNB1,KIT_p,R35,VSM
RORA,MAPK1_p,R36,VSM
RORA,MAPK1_p,R37,VSM
JUN,MAPK9_p,R38,VSM
JUN,MAPK9_p,R39,VSM
BCL2,MAPK1_p,R40,VSM
BCL2,MAPK1_p,R41,VSM
SREBF1,MAPK1_p,R42,VSM
SREBF1,MAPK1_p,R43,VSM
STAT1,JAK1_p,R44,VSM
STAT1,JAK1_p,R45,VSM
DUSP1,MAPK1_p,R46,VSM
DUSP1,MAPK1_p,R47,VSM
NR3C2,MAPK1_p,R48,VSM
NR3C2,MAPK1_p,R49,VSM
MAPK8_p,MAPK9,R50,VSM
MAPK8_p,MAPK9,R51,VSM
TSC2,MAPK1_p,R52,VSM
TSC2,MAPK1_p,R53,VSM
KIT,KIT_p,R54,VSM
KIT,KIT_p,R55,VSM
RHOA,MAPK1_p,R56,VSM
RHOA,MAPK1_p,R57,VSM
PARP1,ATR,R58,VSM
PARP1,ATR,R59,VSM
MAPK8_p,NR3C1,R60,VSM
MAPK8_p,NR3C1,R61,VSM
PPARG,MAPK1_p,R62,VSM
PPARG,MAPK1_p,R63,VSM
TFEB,MAPK1_p,R64,VSM
TFEB,MAPK1_p,R65,VSM
ATR,MDM2,R66,VSM
ATR,MDM2,R67,VSM
MAPK8_p,CTNNB1,R70,VSM
MAPK8_p,CTNNB1,R71,VSM
HIPK2_p,HIPK2,R72,VSM
HIPK2_p,HIPK2,R73,VSM
PKM,MAPK8_p,R74,VSM
PKM,MAPK8_p,R75,VSM
EGFR,MAPK1_p,R76,VSM
EGFR,MAPK1_p,R77,VSM
STAT6,MAPK8_p,R78,VSM
