source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,VasaRecta
SMAD4_p,SMAD3_p,R2,VasaRecta
JUN_p,SMAD4_p,R3,VasaRecta
SMAD1,SMAD4_p,R4,VasaRecta
JUN_p,SMAD3_p,R5,VasaRecta
JUN_p,FOS_p,R6,VasaRecta
PIK3CA,PIK3R1_p,R7,VasaRecta
TGFBR1,SMAD2,R8,VasaRecta
TGFBR1,SMAD2,R9,VasaRecta
EP300,MAPK1_p,R10,VasaRecta
EP300,MAPK1_p,R11,VasaRecta
NR3C1,MAPK1_p,R12,VasaRecta
NR3C1,MAPK1_p,R13,VasaRecta
RPS6KA3,MAPK1_p,R14,VasaRecta
RPS6KA3,MAPK1_p,R15,VasaRecta
FYN_p,STK11,R16,VasaRecta
FYN_p,STK11,R17,VasaRecta
SMAD1,MAPK1_p,R18,VasaRecta
SMAD1,MAPK1_p,R19,VasaRecta
RPS6KB1,MAPK1_p,R20,VasaRecta
RPS6KB1,MAPK1_p,R21,VasaRecta
EGFR_p,EGFR,R22,VasaRecta
EGFR_p,EGFR,R23,VasaRecta
JAK2_p,JAK2,R24,VasaRecta
JAK2_p,JAK2,R25,VasaRecta
SMAD4,MAPK1_p,R26,VasaRecta
SMAD4,MAPK1_p,R27,VasaRecta
STK11,MAPK1_p,R28,VasaRecta
STK11,MAPK1_p,R29,VasaRecta
JUN,MAPK1_p,R30,VasaRecta
JUN,MAPK1_p,R31,VasaRecta
FOS,MAPK1_p,R32,VasaRecta
FOS,MAPK1_p,R33,VasaRecta
STK11_p,STK11,R34,VasaRecta
STK11_p,STK11,R35,VasaRecta
KDR,KDR_p,R36,VasaRecta
KDR,KDR_p,R37,VasaRecta
FYN_p,PTPN6,R38,VasaRecta
FYN_p,PTPN6,R39,VasaRecta
TP53,MAPK9_p,R40,VasaRecta
TP53,MAPK9_p,R41,VasaRecta
SMAD2,MAPK1_p,R42,VasaRecta
SMAD2,MAPK1_p,R43,VasaRecta
RORA,MAPK1_p,R44,VasaRecta
RORA,MAPK1_p,R45,VasaRecta
JUN,MAPK9_p,R46,VasaRecta
JUN,MAPK9_p,R47,VasaRecta
INSR_p,INSR,R48,VasaRecta
INSR_p,INSR,R49,VasaRecta
SREBF1,MAPK1_p,R50,VasaRecta
SREBF1,MAPK1_p,R51,VasaRecta
STAT1,JAK1_p,R52,VasaRecta
STAT1,JAK1_p,R53,VasaRecta
DUSP1,MAPK1_p,R54,VasaRecta
DUSP1,MAPK1_p,R55,VasaRecta
NR3C2,MAPK1_p,R56,VasaRecta
NR3C2,MAPK1_p,R57,VasaRecta
HMGN1,RPS6KA3_p,R58,VasaRecta
HMGN1,RPS6KA3_p,R59,VasaRecta
TSC2,MAPK1_p,R60,VasaRecta
TSC2,MAPK1_p,R61,VasaRecta
EGFR_p,CALM1,R64,VasaRecta
EGFR_p,CALM1,R65,VasaRecta
FOXO1,MAPK1_p,R66,VasaRecta
FOXO1,MAPK1_p,R67,VasaRecta
PARP1,ATR,R68,VasaRecta
PARP1,ATR,R69,VasaRecta
JAK2_p,STAT1,R70,VasaRecta
JAK2_p,STAT1,R71,VasaRecta
SMAD3,MAPK1_p,R72,VasaRecta
SMAD3,MAPK1_p,R73,VasaRecta
INSR_p,CALM1,R74,VasaRecta
INSR_p,CALM1,R75,VasaRecta
ATR,MDM2,R76,VasaRecta
ATR,MDM2,R77,VasaRecta
RPS6KA3_p,BAD,R80,VasaRecta
RPS6KA3_p,BAD,R81,VasaRecta
CTNNB1,MAPK9_p,R82,VasaRecta
CTNNB1,MAPK9_p,R83,VasaRecta
PINK1,UBC,R84,VasaRecta
PINK1,UBC,R85,VasaRecta
IGF1R_p,IGF1R,R86,VasaRecta
IGF1R_p,IGF1R,R87,VasaRecta
PTEN,STK11_p,R88,VasaRecta
PTEN,STK11_p,R89,VasaRecta
FOXO1,SGK1,R90,VasaRecta
FOXO1,SGK1,R91,VasaRecta
FOXO1,MAPK9_p,R92,VasaRecta
FOXO1,MAPK9_p,R93,VasaRecta
RPS6KA3_p,CREB1,R94,VasaRecta
RPS6KA3_p,CREB1,R95,VasaRecta
PRKAA1_p,NOS3,R96,VasaRecta
PRKAA1_p,NOS3,R97,VasaRecta
