source,target,reaction,cell_type
STAT3_p,SP1_p,R1,all data combined
SMAD4_p,SMAD3_p,R1,all data combined
SMAD4_p,SMAD3_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
JUN_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
STAT3_p,SP1_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
CTNNB1,PRKCA_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
STAT3_p,STAT1_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
SMAD2_p,SMAD4_p,R1,all data combined
STAT3_p,SP1_p,R1,all data combined
STAT5A_p,NR3C1,R1,all data combined
SMAD1,SMAD4_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
SMAD1,SMAD4_p,R2,all data combined
SMAD4_p,SMAD3_p,R2,all data combined
STAT3_p,SP1_p,R2,all data combined
SMAD4_p,SMAD3_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
SMAD4_p,SMAD3_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
STAT3_p,STAT1_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
CTNNB1,PRKCA_p,R2,all data combined
SMAD4_p,SMAD3_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
JUN_p,SMAD4_p,R2,all data combined
SMAD4_p,SMAD3_p,R2,all data combined
STAT3_p,STAT1_p,R2,all data combined
JUN_p,SMAD3_p,R2,all data combined
CTNNB1,PRKCA_p,R3,all data combined
SMAD1,SMAD4_p,R3,all data combined
PIK3CA,PIK3R1_p,R3,all data combined
JUN_p,SMAD4_p,R3,all data combined
STAT3_p,STAT1_p,R3,all data combined
SMAD1,SMAD4_p,R3,all data combined
NR3C1_p,STAT5A_p,R3,all data combined
SMAD1,SMAD4_p,R3,all data combined
NFKB1,RELA_p,R3,all data combined
JUN_p,SMAD4_p,R3,all data combined
STAT3_p,SP1_p,R3,all data combined
NFKB1,RELA,R3,all data combined
NFKB1,RELA_p,R3,all data combined
SP1,PRKCZ_p,R3,all data combined
JUN_p,SMAD4_p,R3,all data combined
STAT3_p,SP1_p,R3,all data combined
AKT1_p,MDM2,R3,all data combined
STAT3_p,SP1_p,R3,all data combined
JUN_p,SMAD4_p,R3,all data combined
STAT3_p,STAT1_p,R3,all data combined
CTNNB1,PRKCA_p,R4,all data combined
JUN_p,SMAD3_p,R4,all data combined
PANX1,SRC_p,R4,all data combined
STAT3_p,SP1_p,R4,all data combined
PIK3CA,PIK3R1_p,R4,all data combined
SMAD1,SMAD4_p,R4,all data combined
JUN_p,FOS_p,R4,all data combined
NR3C1_p,STAT5A_p,R4,all data combined
NR3C1_p,STAT5A_p,R4,all data combined
STAT3_p,STAT1_p,R4,all data combined
JUN_p,FOS_p,R4,all data combined
STAT3_p,SP1_p,R4,all data combined
STAT3_p,SP1_p,R4,all data combined
SP1,PRKCZ_p,R4,all data combined
NFKB1,RELA,R4,all data combined
STAT3_p,STAT1_p,R4,all data combined
AKT1_p,MDM2,R4,all data combined
SMAD1,SMAD4_p,R4,all data combined
SMAD1,SMAD4_p,R4,all data combined
TGFBR1,SMAD2,R4,all data combined
PRKCA_p,RHO,R5,all data combined
JUN_p,FOS_p,R5,all data combined
PANX1,SRC_p,R5,all data combined
STAT5A_p,NR3C1,R5,all data combined
JUN_p,FOS_p,R5,all data combined
TGFBR1,SMAD2,R5,all data combined
JUN_p,FOS_p,R5,all data combined
