gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
IL6,0.5219512195121951,0.11267336202773792,0.656910569105691,0.27258674517925435,0.027052712032516794,153.50000000000003,1.0
INS,0.43902439024390244,0.08389526542324247,0.6124427767354595,0.2150894634508078,0.024365255265068365,144.1666666666667,2.0
CTNNB1,0.3853658536585366,0.08558106169296988,0.5888872853225574,0.21225852886449853,0.021799399354455025,138.3333333333334,3.5
STAT3,0.3853658536585366,0.0406025824964132,0.5923925667828106,0.24769681361942142,0.02068158182369803,138.6666666666667,3.5
MMP9,0.36585365853658536,0.05051410808225729,0.5837064587654675,0.219406078364424,0.01873154238752174,136.50000000000006,5.0
SRC,0.36097560975609755,0.05530846484935438,0.5837064587654675,0.22384277892224425,0.02032574272625428,136.16666666666666,6.0
IL1A,0.28780487804878047,0.029758488761358202,0.55289972899729,0.17318398331069856,0.013215291211109393,127.99999999999993,7.0
AGT,0.28292682926829266,0.05659971305595409,0.5438357990137278,0.148914084348719,0.014713635613352979,126.66666666666657,8.0
CDH1,0.25365853658536586,0.030164992826398854,0.5350642538683451,0.15729639694306402,0.01362171983338779,123.66666666666659,9.0
JAK2,0.23414634146341462,0.018603538976566237,0.5336297652520762,0.16396269009661008,0.012161568426966024,122.1666666666666,10.0
SMAD4,0.22439024390243903,0.02919655667144907,0.5237997432605905,0.13687963997286937,0.012143686347571181,120.33333333333326,11.0
CCL5,0.2097560975609756,0.023828311812529892,0.5169971491922711,0.13896018554319228,0.010517075063820365,118.4999999999999,12.0
CXCL10,0.2,0.013773314203730272,0.510368980612883,0.13111229435686278,0.009852870879898007,116.99999999999989,13.0
KIT,0.1902439024390244,0.007054041128646581,0.5013700313325552,0.13519246638406768,0.009717996826155482,115.16666666666656,14.5
CREB1,0.1902439024390244,0.008727881396461024,0.510368980612883,0.12966380572914352,0.010112865507161896,116.33333333333327,14.5
THBS1,0.18536585365853658,0.019320899091343855,0.503908613769682,0.10198206659988762,0.009414472144403071,115.33333333333324,17.0
IL18,0.18536585365853658,0.015494978479196557,0.5026361172702636,0.12578340099896093,0.009131299604196976,114.99999999999989,17.0
HMOX1,0.18536585365853658,0.026351028216164515,0.5090636891023642,0.11491924773892084,0.008997276025477225,115.83333333333324,17.0
KDR,0.18048780487804877,0.007448589191774271,0.5077650572424092,0.14070005764767737,0.01027540395762065,115.33333333333323,19.0
REN,0.17560975609756097,0.008321377331420373,0.5064730341959909,0.09651127595039366,0.009229904935944512,114.83333333333323,20.0
TRAF6,0.17073170731707318,0.00824964131994261,0.48665990816387383,0.12246001002676342,0.010204147688923039,111.8333333333332,21.5
EDN1,0.17073170731707318,0.0054519368723099,0.5026361172702636,0.11919594603467266,0.00878745507698972,113.99999999999989,21.5
PIK3CA,0.16585365853658537,0.003443328550932568,0.4926829268292683,0.1250938470476745,0.009966703236351779,112.41666666666659,25.0
PLG,0.16585365853658537,0.006802965088474415,0.49146642577536886,0.09669775414444454,0.008923873249813257,112.24999999999987,25.0
MDM2,0.16585365853658537,0.006946437111429938,0.5001103076357396,0.10884630244591224,0.009850575344667324,113.33333333333324,25.0
COL1A1,0.16585365853658537,0.010234337637494022,0.49513408566921496,0.08601984758086186,0.009336387821387487,112.83333333333324,25.0
NFE2L2,0.16585365853658537,0.009660449545671928,0.5013700313325552,0.10218856280502701,0.008440404410626663,113.49999999999993,25.0
EZH2,0.16097560975609757,0.016319942611190817,0.4939054651092416,0.11132414073407366,0.00890978691225633,112.24999999999991,28.0
UBC,0.15609756097560976,0.024629363940698232,0.4796238612988539,0.07207362790790363,0.010078046557932796,109.91666666666653,29.5
CYBB,0.15609756097560976,0.007101865136298422,0.49146642577536886,0.10466099857138898,0.008136279349247606,111.49999999999989,29.5
LCN2,0.15121951219512195,0.012769010043041608,0.48665990816387383,0.08636820549244781,0.0073261928620803485,110.5833333333332,31.5
FCGR3B,0.15121951219512195,0.018842659014825444,0.476181584782355,0.08710124861761769,0.007588069924433088,109.16666666666653,31.5
HP,0.14146341463414633,0.009062649450023913,0.4705529608487574,0.0654073427288355,0.007772962617500543,107.58333333333317,33.0
CLU,0.13658536585365855,0.027570540411286468,0.4705529608487574,0.050605209890893496,0.007821831038171384,107.33333333333321,34.0
FYN,0.13170731707317074,0.00585844093735055,0.48785270205643233,0.10057318965151853,0.007810014507123914,109.33333333333321,35.5
SOCS1,0.13170731707317074,0.008919177427068388,0.476181584782355,0.09696476241014171,0.006963642572123697,107.83333333333324,35.5
ALK,0.12682926829268293,0.007962697274031564,0.4807823730411217,0.08315567104094608,0.006791203884374368,108.16666666666654,38.0
CTSS,0.12682926829268293,0.007615973218555715,0.47391405342624854,0.08094699241861245,0.006177717561157576,107.16666666666653,38.0
TJP1,0.12682926829268293,0.007185557149689144,0.4819464950097443,0.09162473314347148,0.0067950977377056005,108.16666666666654,38.0
CST3,0.12195121951219512,0.0036346245815399333,0.46505584682015044,0.05911716954745946,0.006585191279937342,105.41666666666653,42.0
TIMP3,0.12195121951219512,0.015829746532759446,0.4750451132196286,0.07056204138083075,0.006065497751443119,106.99999999999987,42.0
ENG,0.12195121951219512,0.01013868962219034,0.4716680152583516,0.07243851243893297,0.006419581148945664,106.49999999999987,42.0
HMGB1,0.12195121951219512,0.005978000956480154,0.4819464950097443,0.08627671010361,0.006102538011060244,107.8333333333332,42.0
F2,0.12195121951219512,0.0015064562410329987,0.4575721895149986,0.054032162701674005,0.0072960941871794156,104.49999999999987,42.0
AR,0.11707317073170731,0.00389765662362506,0.4902559173374985,0.09420448041871954,0.007387288088579492,108.66666666666656,46.0
THBD,0.11707317073170731,0.007113821138211383,0.4493090348510708,0.055913480490115984,0.0059124951544708764,102.5833333333331,46.0
SREBF1,0.11707317073170731,0.011525585844093736,0.4716680152583516,0.06111011512715535,0.007712371598821062,105.99999999999989,46.0
CD40LG,0.11219512195121951,0.0015781922525107605,0.4575721895149986,0.0750783138129689,0.00562795569853625,103.74999999999986,50.0
IRF8,0.11219512195121951,0.004208512673362028,0.45032557112901445,0.06523855821690125,0.0050292371806361065,102.58333333333317,50.0
INSR,0.11219512195121951,0.005978000956480154,0.456522712016111,0.06456098658287188,0.00599576167871336,103.5833333333332,50.0
PRKCA,0.11219512195121951,0.0023194643711142993,0.4716680152583516,0.08157336994728347,0.00635682874862303,105.74999999999989,50.0
MRC1,0.11219512195121951,0.005356288857006218,0.45862650331572435,0.06437235783635653,0.005409963110687219,103.83333333333319,50.0
IRF3,0.1073170731707317,0.01095169775227164,0.4639718005571664,0.08039689575089186,0.005996490021487322,104.24999999999987,54.0
MMP7,0.1073170731707317,0.0013390722142515544,0.4628927963698241,0.0781626436785557,0.00557575281450185,104.1666666666665,54.0
SOD1,0.1073170731707317,0.010760401721664276,0.46505584682015044,0.05172061668286632,0.006304630743672814,104.4999999999999,54.0
SP1,0.1024390243902439,0.003204208512673362,0.4694431661297745,0.08523842054282435,0.006047183813197177,104.83333333333323,58.0
NOTCH2,0.1024390243902439,0.003347680535628886,0.4628927963698241,0.06713646743677602,0.004779542820783343,103.74999999999986,58.0
PKM,0.1024390243902439,0.03657340985174558,0.4750451132196286,0.05498652094402182,0.006862748271301447,105.4999999999999,58.0
EGR1,0.1024390243902439,0.0048421807747489245,0.4831162680558844,0.08184096931272096,0.00552500116578653,106.66666666666654,58.0
COL3A1,0.1024390243902439,0.008345289335246293,0.4628927963698241,0.046748043424124454,0.006089355262495852,103.8333333333332,58.0
CCL19,0.0975609756097561,0.015255858440937351,0.45443813342243006,0.07164061568574157,0.0054272458559150635,102.1666666666665,63.5
ANGPT2,0.0975609756097561,0.006719273075083692,0.4534029668314906,0.06343010303789694,0.005418133999188204,102.08333333333319,63.5
APOH,0.0975609756097561,0.005380200860832138,0.40374016721911643,0.02502967730336742,0.006101547644597401,93.66666666666653,63.5
PTPN6,0.0975609756097561,0.0012434241989478718,0.43649978605049206,0.07563400062342876,0.00602506392933082,99.58333333333323,63.5
FABP4,0.0975609756097561,0.011166905786704926,0.4639718005571664,0.04136997790156723,0.005080222565937358,103.66666666666653,63.5
NCF1,0.0975609756097561,0.0015781922525107605,0.4661449705831953,0.07061350522257138,0.005551705536358908,103.91666666666656,63.5
TEK,0.09268292682926829,0.0037780966044954566,0.46833859397417504,0.06621113122808975,0.005190600761245912,103.99999999999989,68.0
CXCL11,0.09268292682926829,0.002104256336681014,0.4554780376179048,0.07213653933282825,0.004732049034001715,101.99999999999986,68.0
CD69,0.09268292682926829,0.0030129124820659973,0.43649978605049206,0.0581065355255715,0.00460633716046621,98.99999999999983,68.0
NPHS1,0.08780487804878048,0.005595408895265423,0.4596856869261533,0.04675448435770501,0.005468346296477796,102.41666666666657,71.5
AGO2,0.08780487804878048,0.002582496413199426,0.4596856869261533,0.05183634486997602,0.004921439046261267,102.33333333333319,71.5
RBP4,0.08780487804878048,0.0015303682448589192,0.44829707756537024,0.034658911772531796,0.004901383411136133,100.58333333333319,71.5
NR1H4,0.08780487804878048,0.005798660927785748,0.4607497741644083,0.043923664916862434,0.005060168264687574,102.49999999999989,71.5
SYP,0.08292682926829269,0.01917742706838833,0.4628927963698241,0.0403322554295473,0.005017272916092889,102.33333333333323,75.5
ITGAE,0.08292682926829269,0.0007651841224294596,0.44429442508710804,0.05918868722700127,0.004222266272781385,99.58333333333317,75.5
SIRT3,0.08292682926829269,0.002152080344332855,0.4596856869261533,0.043523117526083656,0.004395103299189091,101.91666666666656,75.5
NAMPT,0.08292682926829269,0.0023433763749402202,0.45237250554323727,0.05245455093705442,0.004832701108719027,100.83333333333319,75.5
CTSK,0.07804878048780488,0.0021999043519846965,0.4534029668314906,0.05105023336846631,0.004413290475223878,100.66666666666654,79.0
AGTR2,0.07804878048780488,0.0017694882831181253,0.44330490520940846,0.048855818199231064,0.00469066299550438,99.08333333333317,79.0
S100A8,0.07804878048780488,0.0031802965088474416,0.456522712016111,0.06080990762438129,0.004111545472804552,101.16666666666653,79.0
PRKCZ,0.07317073170731707,0.0006217120994739359,0.45862650331572435,0.05114116981180967,0.004635729680183,101.08333333333324,84.5
KRT19,0.07317073170731707,0.002534672405547585,0.45443813342243006,0.04525925634911003,0.003660122438218595,100.4999999999999,84.5
JAK3,0.07317073170731707,0.0010999521759923483,0.4413390297982802,0.0679276333992513,0.004775062342964514,98.41666666666656,84.5
LUM,0.07317073170731707,0.009875657580105213,0.41640983773854473,0.027904278348874486,0.005332496447612397,93.91666666666647,84.5
GC,0.07317073170731707,0.00023912003825920613,0.4413390297982802,0.03157897656245485,0.00446354319487847,98.49999999999987,84.5
CD79A,0.07317073170731707,0.002582496413199426,0.4138126869834187,0.03845355221630588,0.00454479874820546,93.6666666666665,84.5
XDH,0.07317073170731707,0.00028694404591104734,0.44429442508710804,0.051196093397294445,0.003939019010755348,98.8333333333332,84.5
NFKB2,0.07317073170731707,0.0006217120994739359,0.44036261601554066,0.05793970718849603,0.003955751753040903,98.16666666666653,84.5
NPPB,0.06829268292682927,0.010401721664275467,0.4393905131104291,0.034933467699795946,0.004399149296385766,97.8333333333332,91.5
BMP7,0.06829268292682927,0.002223816355810617,0.45443813342243006,0.050264349664953946,0.0038203879759204687,100.16666666666657,91.5
TAC1,0.06829268292682927,0.016307986609277857,0.45443813342243006,0.05373128438796503,0.004477958292635422,100.0833333333332,91.5
S100A4,0.06829268292682927,0.0018651362984218078,0.45032557112901445,0.046271045328231085,0.0034859736906110504,99.49999999999986,91.5
