gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5787234042553192,0.053755228223313335,0.6932153392330384,0.2086486538496383,0.020596093698205642,184.66666666666669,1.0
ACTB,0.5659574468085107,0.07272231314784507,0.6871345029239766,0.18066453887245787,0.019404161296024923,183.16666666666669,2.0
TP53,0.5446808510638298,0.028796144753591563,0.6772334293948127,0.21165772407878067,0.0206001784256134,180.66666666666669,3.0
HIF1A,0.46808510638297873,0.0407680184275929,0.6403269754768393,0.17912927264416706,0.01533032595601961,171.33333333333337,4.0
CASP3,0.451063829787234,0.04246226586652119,0.6351351351351351,0.16948959655698603,0.015199951070919978,169.50000000000003,5.5
EGFR,0.451063829787234,0.03560647390434624,0.6317204301075269,0.17781770591707446,0.015935151801629993,169.16666666666669,5.5
JUN,0.43829787234042555,0.01585742862338607,0.6266666666666667,0.18578899642924313,0.015511194767859449,167.66666666666669,7.5
CTNNB1,0.43829787234042555,0.029023458810692855,0.625,0.1777151817899289,0.015518931705687808,167.50000000000006,7.5
TGFB1,0.39148936170212767,0.024513547917803236,0.6103896103896104,0.15418236798757368,0.012847218902601093,162.33333333333337,9.0
SRC,0.3702127659574468,0.0169424743892829,0.6010230179028133,0.16068153514140157,0.01342486061175344,159.66666666666669,10.0
PTEN,0.36595744680851067,0.038625204582651396,0.5949367088607594,0.15006518281575898,0.012060194135162327,158.6666666666667,11.5
HSP90AA1,0.36595744680851067,0.05122749590834697,0.6041131105398457,0.14483255028266429,0.013737886183172605,159.66666666666669,11.5
CCL2,0.35319148936170214,0.030623749772685945,0.5964467005076142,0.12200946133798234,0.011051691259447206,157.83333333333337,13.0
FOS,0.34893617021276596,0.014002545917439536,0.5919395465994962,0.15618831038262415,0.012338134929753372,157.00000000000003,14.0
CDH1,0.3148936170212766,0.017421349336242953,0.5773955773955773,0.13276845108473942,0.010576500559845972,152.66666666666669,15.0
RHOA,0.3021276595744681,0.023176941262047647,0.5745721271393643,0.1156071529505864,0.010815830173434005,151.33333333333334,16.5
MMP2,0.3021276595744681,0.01645753773413348,0.573170731707317,0.12273022129257863,0.00995977987053077,151.16666666666674,16.5
FOXO1,0.2851063829787234,0.013947990543735226,0.5635491606714629,0.12475742574153398,0.009812787846351844,148.6666666666667,19.0
FGF2,0.2851063829787234,0.008756137479541735,0.5649038461538461,0.1236368262598294,0.009259400594367155,148.83333333333337,19.0
STAT1,0.2851063829787234,0.008128750681942172,0.556872037914692,0.13604341425398192,0.009829038286858351,147.83333333333337,19.0
SMAD3,0.28085106382978725,0.0063466084742680486,0.5529411764705883,0.14157877639218103,0.009928074888444436,147.16666666666669,21.5
CDKN1A,0.28085106382978725,0.00646481178396072,0.5595238095238095,0.13363446867650616,0.009201875202259503,147.83333333333337,21.5
CREB1,0.2723404255319149,0.009147117657755955,0.556872037914692,0.13076861919447252,0.009252116621155819,146.83333333333337,23.0
NFE2L2,0.2680851063829787,0.01275686488452446,0.556872037914692,0.10843993979420193,0.00916078546665532,146.5,24.0
VCAM1,0.25957446808510637,0.008465175486452082,0.5529411764705883,0.09365124300724259,0.007918289280079635,145.33333333333334,25.0
SMAD4,0.2553191489361702,0.006783051463902528,0.5465116279069767,0.12515057616263817,0.009016590929732652,144.16666666666666,26.0
UBC,0.24680851063829787,0.02149481723949809,0.5490654205607477,0.0869644128633086,0.009154847580287962,143.8333333333333,27.5
MYD88,0.24680851063829787,0.016157483178759775,0.5465116279069767,0.09244850954452793,0.00774740932151159,143.50000000000003,27.5
MAPK1,0.24255319148936172,0.0032733224222585926,0.5439814814814815,0.13139864763583878,0.009256236872829749,142.83333333333334,29.5
HDAC1,0.24255319148936172,0.00979875128811299,0.5452436194895591,0.11725827862635564,0.00895686550219352,143.0,29.5
JAK2,0.23829787234042554,0.007055828332424077,0.5452436194895591,0.11635591448399321,0.008603104598796391,142.66666666666666,31.5
CASP9,0.23829787234042554,0.00447354064375341,0.5465116279069767,0.10800707722527741,0.007687448921403684,142.83333333333331,31.5
IGF1R,0.23404255319148937,0.007819603564284416,0.5365296803652968,0.1111178906742801,0.0075943220005754795,141.16666666666666,33.5
NOTCH1,0.23404255319148937,0.004800872885979269,0.5414746543778802,0.11405994648766889,0.007472320209718605,141.83333333333331,33.5
B2M,0.22127659574468087,0.021476632114929988,0.5529411764705883,0.06512593130129932,0.007832953619601029,142.33333333333334,35.5
RUNX2,0.22127659574468087,0.007019458083287871,0.5328798185941043,0.10806350342829925,0.007924053734156824,139.83333333333334,35.5
TIMP1,0.2170212765957447,0.009801782142207675,0.5377574370709383,0.0808315575737846,0.007140364158884476,140.00000000000003,37.0
PIK3CA,0.20851063829787234,0.00292780505546463,0.5280898876404494,0.10861289990727013,0.007609173798710038,137.99999999999997,38.0
TXN,0.2,0.008628841607565012,0.5365296803652968,0.07200799649992051,0.00683889239800072,138.49999999999997,39.5
THBS1,0.2,0.008747044917257684,0.5280898876404494,0.08126800737452249,0.006794449589331382,137.5,39.5
GPX3,0.19574468085106383,0.01595744680851064,0.5316742081447964,0.059494816308783706,0.006487752460488544,137.5,41.5
GPX2,0.19574468085106383,0.0171122022185852,0.5316742081447964,0.06172789986121208,0.006518496425652706,137.49999999999997,41.5
CLU,0.19148936170212766,0.013447899618112385,0.5402298850574713,0.05213371795317127,0.007155521206903951,138.33333333333334,43.0
STAT6,0.18723404255319148,0.003946172031278414,0.5257270693512305,0.08575985653473715,0.005962438916988435,135.99999999999997,44.0
KIT,0.17872340425531916,0.0012365884706310238,0.5187637969094923,0.08717121044004504,0.005846542592408712,134.3333333333333,45.5
COL1A1,0.17872340425531916,0.009710856519367157,0.5210643015521065,0.07933655422716349,0.006428994978780335,134.66666666666666,45.5
EIF2AK3,0.17446808510638298,0.004218948899799964,0.5199115044247787,0.07536496627807164,0.005526541339726611,134.1666666666666,49.5
ATF3,0.17446808510638298,0.015202764138934352,0.5142231947483589,0.08148470827338562,0.006579020411900597,133.33333333333323,49.5
EGR1,0.17446808510638298,0.003182396799418076,0.5187637969094923,0.09259914545143981,0.006620639258597976,134.16666666666663,49.5
IRF1,0.17446808510638298,0.00596472085833788,0.5153508771929824,0.07145416093003758,0.005891948875657329,133.49999999999994,49.5
CXCL10,0.17446808510638298,0.007637752318603383,0.5210643015521065,0.06484587131152805,0.005610853766184082,134.33333333333331,49.5
CTSB,0.17446808510638298,0.020694671758501548,0.5316742081447964,0.049706275665171,0.0059339570126179615,135.83333333333334,49.5
CDKN1B,0.1702127659574468,0.007164939079832697,0.5176211453744494,0.09083283305144522,0.0055746068281359576,133.49999999999994,53.0
VIM,0.16595744680851063,0.005510092744135298,0.5131004366812227,0.07558139674352997,0.0052758742971553575,132.49999999999997,55.5
EDN1,0.16595744680851063,0.004191671212947809,0.5097613882863341,0.0704080328278339,0.005152294630353573,132.1666666666666,55.5
JAK1,0.16595744680851063,0.0025095471903982544,0.5199115044247787,0.08246220767517179,0.005973929111722055,133.49999999999994,55.5
CTSS,0.16595744680851063,0.006910347335879251,0.5187637969094923,0.051749717640072586,0.005450919695248303,133.33333333333331,55.5
MAP3K5,0.1574468085106383,0.0034097108565193674,0.5108695652173914,0.06383716798658012,0.005417268128154009,131.4999999999999,58.0
SERPINA1,0.15319148936170213,0.018557919621749408,0.5064655172413793,0.02919238236616722,0.0064515644276526745,130.58333333333323,59.0
ATG5,0.14893617021276595,0.002545917439534461,0.5064655172413793,0.06040243945657446,0.00495641025150638,130.16666666666657,61.0
NOX4,0.14893617021276595,0.001973086015639207,0.5032119914346895,0.05967580861607721,0.004678431899746698,129.83333333333323,61.0
ENG,0.14893617021276595,0.006946717585015458,0.5097613882863341,0.057240734460592115,0.004653185511638431,130.66666666666663,61.0
BMP4,0.1446808510638298,0.007474086197490453,0.5032119914346895,0.05422362408630897,0.004635338340468686,129.49999999999991,63.0
HSPB1,0.14042553191489363,0.009529005273686126,0.5199115044247787,0.06495989293698695,0.00466636723981549,131.49999999999994,64.5
SP1,0.14042553191489363,0.008747044917257684,0.5097613882863341,0.08504123554769984,0.005187562235605178,129.99999999999991,64.5
NR3C1,0.13617021276595745,0.0027368612474995453,0.5042918454935622,0.08031582905978094,0.0051027110959965035,128.8333333333332,66.0
XBP1,0.13191489361702127,0.005919258046917622,0.5042918454935622,0.055640078424143195,0.004925132419654527,128.4999999999999,69.5
DUSP1,0.13191489361702127,0.002000363702491362,0.4978813559322034,0.06277269365917558,0.004565052709009523,127.66666666666654,69.5
MMP7,0.13191489361702127,0.0012911438443353337,0.5064655172413793,0.061513981590016927,0.004278806444147614,128.83333333333323,69.5
LCN2,0.13191489361702127,0.007783233315148209,0.5064655172413793,0.04406233449521384,0.0047851734464340965,128.83333333333323,69.5
TGFA,0.13191489361702127,0.003336970358246954,0.5086580086580087,0.060216399998198805,0.004367626519866276,129.33333333333326,69.5
YAP1,0.13191489361702127,0.0020094562647754136,0.5,0.0752384732083847,0.0047440309711682845,127.9999999999999,69.5
NOTCH2,0.1276595744680851,0.0028368794326241137,0.4957805907172996,0.05718809062289019,0.004044372882243904,126.99999999999989,74.0
TXNIP,0.1276595744680851,0.005928350609201673,0.49473684210526314,0.046608964322822896,0.004346081800550174,126.66666666666652,74.0
BAX,0.1276595744680851,0.002727768685215494,0.5032119914346895,0.05384065350376624,0.004503769997318619,128.16666666666657,74.0
FAS,0.12340425531914893,0.0021640298236042916,0.49682875264270615,0.055054254786982774,0.0038664294855619025,126.83333333333321,77.0
TIMP3,0.12340425531914893,0.009765411893071467,0.5021367521367521,0.04535515929359687,0.004063827321366164,127.66666666666657,77.0
APAF1,0.12340425531914893,0.0024004364429896347,0.5021367521367521,0.05724845718836213,0.004306369992086827,127.49999999999987,77.0
PKM,0.11914893617021277,0.002600472813238771,0.5010660980810234,0.05367227114278865,0.005100076693938915,126.99999999999989,79.0
PROM1,0.1148936170212766,0.0014002545917439534,0.4916317991631799,0.05893679577822444,0.003792090420218587,125.3333333333332,80.5
TLR3,0.1148936170212766,0.0008365157301327515,0.5010660980810234,0.05094664633212313,0.0037754226604677314,126.66666666666656,80.5
NFKB2,0.11063829787234043,0.005110020003637025,0.49369747899159666,0.04485343988613804,0.003532985637327393,125.16666666666654,83.5
OCLN,0.11063829787234043,0.002291325695581015,0.49369747899159666,0.05346110601568835,0.003990094495034884,125.33333333333323,83.5
TAGLN,0.11063829787234043,0.004428077832333152,0.48254620123203285,0.033515298263709074,0.003308386313530512,123.49999999999983,83.5
ROCK1,0.11063829787234043,0.0017821422076741227,0.4885654885654886,0.060379894141611094,0.003939885282839372,124.41666666666653,83.5
NR4A1,0.10638297872340426,0.0036370249136206583,0.48057259713701433,0.05840976829498783,0.004183739061977154,122.8333333333332,86.5
SAA1,0.10638297872340426,0.0013911620294599018,0.4644268774703557,0.026228990958910785,0.0041340183834474254,119.91666666666643,86.5
ERN1,0.1021276595744681,0.0003273322422258593,0.48057259713701433,0.043383155776524115,0.0038224921150170053,122.33333333333317,88.0
GPX4,0.09787234042553192,0.003164211674849973,0.47283702213279677,0.031755947646914105,0.003917467482387024,120.83333333333317,91.5
PARK7,0.09787234042553192,0.0009638116021094744,0.4895833333333333,0.03740696062811338,0.0038102065407592265,123.49999999999987,91.5
SPARC,0.09787234042553192,0.00036370249136206587,0.4786150712830957,0.03771844541635558,0.003497349502153814,121.83333333333317,91.5
RICTOR,0.09787234042553192,0.0004000727404982724,0.4989384288747346,0.05342006556949042,0.0037305876582882486,124.99999999999989,91.5
PLAUR,0.09787234042553192,0.006619385342789598,0.49473684210526314,0.03866532120719053,0.0033137672559865007,124.33333333333321,91.5
CD74,0.09787234042553192,0.0019276232042189489,0.4845360824742268,0.026731451536733262,0.003569664610795493,122.6666666666665,91.5
LDHA,0.09361702127659574,0.0032733224222585926,0.49682875264270615,0.037382489841653134,0.003681623205929831,124.33333333333324,98.0
CST3,0.09361702127659574,0.004855428259683579,0.45454545454545453,0.02087452771394298,0.004124059102430797,117.0833333333331,98.0
SGK1,0.09361702127659574,0.005273686124749955,0.4895833333333333,0.04373500829537067,0.003508472209228015,123.16666666666656,98.0
MAF,0.09361702127659574,0.0030187306783051467,0.47474747474747475,0.04315904482233945,0.0035759657478251668,120.83333333333316,98.0
DDIT3,0.09361702127659574,0.001309328968903437,0.469061876247505,0.04630051194263618,0.00373936482308295,119.83333333333316,98.0
PSMB8,0.09361702127659574,0.0029459901800327334,0.4737903225806452,0.029275211842021514,0.0033096584733370766,120.49999999999983,98.0
ILK,0.09361702127659574,0.0002909619930896527,0.4855371900826446,0.055732318100186896,0.003384347277826737,122.49999999999986,98.0
S100A4,0.08936170212765958,0.0,0.48254620123203285,0.04961782168512765,0.0031357458374700357,121.83333333333319,103.0
NR1H4,0.08936170212765958,0.011729405346426624,0.48057259713701433,0.02474187453580792,0.0036711148613727657,121.33333333333321,103.0
CLTC,0.08936170212765958,0.006473904346244772,0.49266247379454925,0.03469424046452516,0.003123931309227131,123.33333333333323,103.0
GCLC,0.0851063829787234,0.0015275504637206766,0.4786150712830957,0.029439905888966257,0.0037019650955263123,120.8333333333332,106.0
BSG,0.0851063829787234,0.0004000727404982724,0.49266247379454925,0.03760356410453117,0.0029013904804643864,122.99999999999989,106.0
SMURF1,0.0851063829787234,0.0018185124568103291,0.48057259713701433,0.043080349020203905,0.0035729180132356877,121.16666666666653,106.0
GDF15,0.08085106382978724,0.0009092562284051646,0.4757085020242915,0.026285394884056932,0.0027379976779922425,119.83333333333314,110.5
HSPD1,0.08085106382978724,0.0052464084378978,0.4845360824742268,0.03000841807028504,0.0030235788646401913,121.3333333333332,110.5
F3,0.08085106382978724,0.0032005819239861793,0.4671968190854871,0.026499236904118977,0.0031544849899199355,118.58333333333314,110.5
UCP2,0.08085106382978724,0.0038188761593016913,0.4718875502008032,0.02251473657724106,0.0029427917578151016,119.33333333333319,110.5
VHL,0.08085106382978724,0.003491543917075832,0.4835390946502058,0.03665081479398925,0.0030085524540059607,121.16666666666654,110.5
PTPN6,0.08085106382978724,0.0004728132387706856,0.45542635658914726,0.03924693178324272,0.003137872343224607,116.41666666666643,110.5
AMBP,0.07659574468085106,0.006564829969085289,0.43040293040293043,0.007278130165821946,0.00392688353427763,110.99999999999979,116.0
JUNB,0.07659574468085106,3.6370249136206584e-05,0.4400749063670412,0.03906786878180427,0.003307301142632975,113.33333333333309,116.0
MFN1,0.07659574468085106,0.0006182942353155119,0.4671968190854871,0.021587191364362476,0.0034275225461655417,118.16666666666649,116.0
KDM6B,0.07659574468085106,0.00014548099654482634,0.47474747474747475,0.04275038303685563,0.002952498492000361,119.33333333333319,116.0
KDM6A,0.07659574468085106,0.0006182942353155119,0.4681274900398406,0.03403916163116538,0.0026381584658919455,118.16666666666649,116.0
LTF,0.0723404255319149,0.008256046553918895,0.4644268774703557,0.016557858964963448,0.003112938220544074,117.2499999999998,120.0
CYBA,0.0723404255319149,0.0010183669758137843,0.4681274900398406,0.03496023867609683,0.002826998023004209,117.99999999999983,120.0
DPP4,0.0723404255319149,0.0008001454809965448,0.48254620123203285,0.026119881066752535,0.002776593618429647,120.33333333333319,120.0
NUMB,0.06808510638297872,0.0009819967266775779,0.4709418837675351,0.03561775051589862,0.002598009030481874,118.16666666666652,125.5
MSH2,0.06808510638297872,3.6370249136206584e-05,0.469061876247505,0.0386683126667767,0.0027417832968171566,117.66666666666649,125.5
PYCARD,0.06808510638297872,0.0002909619930896527,0.458984375,0.01928963886813113,0.002523415787502991,115.83333333333314,125.5
ABCA1,0.06808510638297872,0.0030187306783051467,0.4662698412698413,0.01563838405425325,0.0034424026680797653,117.33333333333319,125.5
FOSB,0.06808510638297872,0.0,0.45542635658914726,0.04041094723079198,0.003272376381356252,115.41666666666647,125.5
FBN1,0.06808510638297872,0.0015639207128568832,0.4392523364485981,0.02435898233294866,0.002822467665364967,112.24999999999976,125.5
VLDLR,0.06808510638297872,0.003109656301145663,0.4467680608365019,0.011960648546837021,0.0031605928447345807,113.7499999999998,125.5
MAP1LC3A,0.06808510638297872,0.00036370249136206587,0.48057259713701433,0.027747951018011745,0.0028069313524149973,119.66666666666654,125.5
LEPR,0.06382978723404255,0.0006546644844517185,0.46534653465346537,0.02478632241505322,0.0026993655521999668,116.83333333333316,132.5
MDK,0.06382978723404255,0.00018185124568103294,0.4580896686159844,0.03092077663164452,0.0022789007867239875,115.49999999999977,132.5
USF1,0.06382978723404255,0.0003273322422258593,0.4510556621880998,0.03040782981051502,0.0024522175511079596,114.24999999999979,132.5
