gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
IL6,0.5345622119815668,0.09980372077146271,0.6697530864197531,0.2734062806078692,0.026708737313150092,165.50000000000003,1.0
TNF,0.5299539170506913,0.12329322409967572,0.6615853658536586,0.26284602119259914,0.026801978535804787,164.50000000000003,2.0
STAT3,0.37327188940092165,0.051235279057859705,0.5961538461538461,0.23443164349160078,0.01926620668992469,147.1666666666667,3.0
SRC,0.35944700460829493,0.04118663594470046,0.5786666666666667,0.21288446445837245,0.019625805777149608,144.33333333333337,4.0
MMP9,0.35023041474654376,0.03556494282300734,0.5740740740740741,0.22507866341306434,0.017357930364268567,143.1666666666667,5.0
AGT,0.3087557603686636,0.05858508277863117,0.5636363636363636,0.16039600558111886,0.015755596398416314,138.99999999999997,6.0
SIRT1,0.30414746543778803,0.047352363884621954,0.5578406169665809,0.1376193503807578,0.015859677249817638,138.0,7.0
CD8A,0.25806451612903225,0.04201868919610855,0.5358024691358024,0.16350374524551795,0.012036479881261454,132.0833333333333,8.0
SMAD3,0.2350230414746544,0.018689196108550948,0.5318627450980392,0.15516907179676856,0.012042460863144838,129.83333333333326,9.0
PECAM1,0.21658986175115208,0.014614268646526712,0.5216346153846154,0.14251339928918838,0.010269616675200618,127.16666666666656,10.0
TIMP1,0.2073732718894009,0.015456989247311828,0.5117924528301887,0.1368502141927595,0.009631597288019907,125.16666666666656,12.0
THBS1,0.2073732718894009,0.022294760197986006,0.5191387559808612,0.11974956118125793,0.01055447759241606,126.16666666666656,12.0
SMAD2,0.2073732718894009,0.0044269499914661205,0.5216346153846154,0.1385922081734588,0.010341635151241495,126.49999999999989,12.0
KDR,0.19815668202764977,0.003946919269499915,0.514218009478673,0.13872997297448306,0.010735850421798053,124.8333333333332,14.5
SMAD4,0.19815668202764977,0.013419525516299711,0.5166666666666667,0.13137099782100944,0.010579394446890137,125.16666666666654,14.5
PARP1,0.1889400921658986,0.019734596347499574,0.5023148148148148,0.10852110498333963,0.009603698097378622,122.66666666666652,16.0
CCL5,0.18433179723502305,0.005291005291005292,0.4954337899543379,0.1391755756901063,0.008760844674733525,121.24999999999986,17.5
PLG,0.18433179723502305,0.01288615804744837,0.5093896713615024,0.111262034578243,0.009460008458142348,123.16666666666656,17.5
COL1A1,0.17511520737327188,0.010603345280764636,0.5011547344110855,0.10521450823442391,0.009724192193421886,121.3333333333332,19.5
MPO,0.17511520737327188,0.007680491551459293,0.5034802784222738,0.11853198445594808,0.008140571391830784,121.66666666666654,19.5
CXCL10,0.17050691244239632,0.0049283154121863805,0.49206349206349204,0.12703550096581215,0.008297871804086941,119.66666666666652,21.5
NFE2L2,0.17050691244239632,0.019307902372418504,0.5093896713615024,0.09826729529107424,0.008964885443966834,122.16666666666654,21.5
EDN1,0.16589861751152074,0.01615036695681857,0.5105882352941177,0.11185136785879013,0.008404057974062665,121.99999999999989,23.0
C3,0.16129032258064516,0.011264720942140297,0.48764044943820223,0.08857900071030263,0.008219591736881724,118.58333333333324,24.0
NOS3,0.15668202764976957,0.014635603345280765,0.5046511627906977,0.09597818140368729,0.008721222929736427,120.58333333333321,25.0
CDKN1A,0.15207373271889402,0.0037549069807134325,0.5,0.10754592891889679,0.008414118366104029,119.49999999999984,26.5
PIK3CA,0.15207373271889402,0.004138931558286397,0.49318181818181817,0.0942113439042449,0.008363917958483846,118.58333333333319,26.5
ATM,0.14746543778801843,0.023724185014507595,0.4954337899543379,0.08752853456442182,0.0069405190415524195,118.58333333333319,28.0
TXN,0.14285714285714285,0.01068868407578085,0.5070093457943925,0.07452841987473822,0.007211638210475613,119.91666666666657,30.5
FYN,0.14285714285714285,0.013430192865676737,0.484375,0.0908646838969684,0.008926582641407678,116.58333333333323,30.5
LCN2,0.14285714285714285,0.021366700802184675,0.484375,0.08597336611078697,0.006863802950884875,116.66666666666653,30.5
RUNX2,0.14285714285714285,0.0012374125277351085,0.4854586129753915,0.10188823200814072,0.00798660096173646,116.83333333333317,30.5
GPX5,0.1382488479262673,0.030625960061443934,0.5046511627906977,0.06936595349292417,0.007875263421961048,119.2499999999999,36.5
THBD,0.1382488479262673,0.004437617340843148,0.4676724137931034,0.08015829055110679,0.006381297994209162,113.91666666666654,36.5
STAT5A,0.1382488479262673,0.005589691073562042,0.4854586129753915,0.10302350787119559,0.007108022977182706,116.41666666666652,36.5
HMGB1,0.1382488479262673,0.006677760710018775,0.49206349206349204,0.0974444546677363,0.007052380114716219,117.49999999999986,36.5
TLR9,0.1382488479262673,0.0018987881891107698,0.4737991266375546,0.09870000010515269,0.006619710474776336,114.74999999999983,36.5
SERPINA1,0.1382488479262673,0.0064857484212322925,0.47276688453159044,0.07679733894564492,0.007494235577789323,114.74999999999989,36.5
PIK3R1,0.1382488479262673,0.01115804744837003,0.48764044943820223,0.08740116624732817,0.007574392309434542,116.6666666666665,36.5
CLU,0.1382488479262673,0.012534135518006487,0.48008849557522126,0.06043960048480158,0.00773936450014475,115.58333333333323,36.5
STAT6,0.1336405529953917,0.005312339989759345,0.47692307692307695,0.10062716404040817,0.006627694106598186,114.83333333333316,41.5
HP,0.1336405529953917,0.010667349377026797,0.4717391304347826,0.07368320507818803,0.007243937774594141,114.16666666666656,41.5
SREBF1,0.12903225806451613,0.01032599419696194,0.47902869757174393,0.05332983301508773,0.007165793678306734,114.74999999999983,44.0
ELN,0.12903225806451613,0.004181600955794504,0.49318181818181817,0.0877583177836492,0.00660569304401019,116.91666666666653,44.0
CTSS,0.12903225806451613,0.005888376856118792,0.4854586129753915,0.09040679244941986,0.006085717863353661,115.66666666666653,44.0
INSR,0.12442396313364056,0.012736815156169996,0.4656652360515021,0.0557639780735806,0.006105528708151373,112.49999999999983,47.5
IKBKB,0.12442396313364056,0.00469363372589179,0.4854586129753915,0.08937946890663576,0.006393774746868159,115.41666666666652,47.5
NLRP3,0.12442396313364056,0.005717699266086364,0.4854586129753915,0.08623734108470736,0.005638119712597665,115.4166666666665,47.5
CCR2,0.12442396313364056,0.0017067759003242876,0.4717391304347826,0.10216329653872987,0.006267151366434923,113.41666666666654,47.5
ELANE,0.11981566820276497,0.0014507595152756445,0.45588235294117646,0.0868089047388345,0.0062976751291142705,110.66666666666652,50.0
AR,0.1152073732718894,0.004266939750810719,0.49095022624434387,0.08813789037865248,0.006088533931911645,115.5833333333332,52.0
GCG,0.1152073732718894,0.0019201228878648233,0.48764044943820223,0.06357647827455432,0.007056630793639393,115.08333333333319,52.0
NCAM1,0.1152073732718894,0.004224270353302612,0.47276688453159044,0.08181217472193664,0.005747323707954344,112.9999999999999,52.0
FGF21,0.11059907834101382,0.009344598054275474,0.48008849557522126,0.04706556364834081,0.006104212454018321,113.58333333333319,54.5
