gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
IL6,0.615702479338843,0.08558234171210406,0.7181008902077152,0.18771328115654964,0.01945493005429142,195.16666666666669,1.0
TP53,0.5495867768595042,0.023507424299578205,0.6855524079320113,0.1976229367752804,0.01912871181897145,187.16666666666669,2.0
STAT3,0.5041322314049587,0.03252631939919756,0.6612021857923497,0.18899927183428472,0.015742458059029137,181.33333333333337,3.0
EGFR,0.49173553719008267,0.030914577689379653,0.6522911051212938,0.18153904986246563,0.015801570528551637,179.50000000000006,4.0
CTNNB1,0.47520661157024796,0.029765783066424335,0.6505376344086021,0.17734574015234134,0.014786433900510333,178.0,5.0
JUN,0.45041322314049587,0.03365796783375056,0.6351706036745407,0.1764472283073749,0.01459177287242564,174.50000000000003,6.0
BCL2,0.4297520661157025,0.030417338225712427,0.6318537859007833,0.15584797978716677,0.012854026169714908,172.50000000000003,7.5
FN1,0.4297520661157025,0.023224512190939954,0.622107969151671,0.1515618794885581,0.014015481696793869,171.50000000000009,7.5
TGFB1,0.4132231404958678,0.019966736394499505,0.6237113402061856,0.15438895047177184,0.012269147932073277,170.33333333333337,9.0
TLR4,0.40082644628099173,0.022067144473783478,0.6205128205128205,0.13050434662630628,0.011811061941159997,169.0,10.0
PTEN,0.38842975206611574,0.023093058079855514,0.6095717884130982,0.14364493284580565,0.011363352437549138,166.83333333333337,11.0
HSP90AA1,0.384297520661157,0.0438942423099345,0.6111111111111112,0.13292152303614482,0.012596907635371017,166.6666666666667,12.0
EGF,0.38016528925619836,0.017146188402318165,0.6034912718204489,0.1403153137168338,0.011286638244415682,165.50000000000006,13.0
FOS,0.3760330578512397,0.02017249065532732,0.605,0.15325227770972757,0.011937120451996292,165.3333333333334,14.0
EP300,0.33884297520661155,0.01943520455402764,0.5902439024390244,0.13539967022412086,0.011912332381290448,160.66666666666674,15.0
CDH1,0.3347107438016529,0.017400523530285886,0.587378640776699,0.12915291135839047,0.009576321139279316,160.00000000000009,16.0
ICAM1,0.32644628099173556,0.014522821576763486,0.5845410628019324,0.11108325004720188,0.00893282504940447,159.00000000000006,17.5
