gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5664335664335665,0.046644583486688755,0.6858513189448441,0.20079713884764086,0.017362051133914515,222.8333333333334,1.0
ACTB,0.5559440559440559,0.06285118390381549,0.6825775656324582,0.17807454327578334,0.01608467213878211,221.50000000000006,2.0
STAT3,0.45104895104895104,0.025223898908109436,0.6327433628318584,0.1856706929845773,0.014143560998179493,206.00000000000009,3.0
JUN,0.4405594405594406,0.03011900380321433,0.6285714285714286,0.1762391522770278,0.01372690011334311,204.50000000000009,4.5
HIF1A,0.4405594405594406,0.02624217887375782,0.6244541484716157,0.16762168205426936,0.012475051550139789,204.08333333333343,4.5
EGFR,0.43356643356643354,0.016212734633787265,0.6271929824561403,0.17420509034362544,0.013063684319996962,203.6666666666667,6.0
CASP3,0.42657342657342656,0.04317875107348792,0.6230936819172114,0.1576768566852424,0.012447091083408237,202.50000000000009,7.0
CTNNB1,0.4230769230769231,0.035529382897803954,0.6217391304347826,0.1682221581336554,0.012737258227205837,202.08333333333337,8.0
BCL2,0.4125874125874126,0.018384247331615755,0.6150537634408603,0.16381955483167981,0.012250743901082101,200.16666666666677,9.0
FN1,0.3916083916083916,0.020942215679057786,0.6046511627906976,0.14138703617123877,0.012443504974607368,196.91666666666674,10.0
HSP90AA1,0.36013986013986016,0.031125015335541652,0.5909090909090909,0.14672383805312847,0.011119037774080732,192.00000000000014,11.0
PTEN,0.35664335664335667,0.01554410501778923,0.5921325051759835,0.14318998530376834,0.01014431290689247,191.91666666666674,12.0
CCL2,0.34965034965034963,0.021420684578579315,0.5958333333333333,0.11728379995722395,0.009710281212439723,191.66666666666674,13.0
MMP2,0.3321678321678322,0.035038645564961356,0.5824847250509165,0.11375843929188241,0.009435527091426796,188.25000000000009,14.0
EGF,0.32517482517482516,0.014262053735737946,0.5777777777777777,0.13165475854120823,0.009149512459826575,186.91666666666677,15.0
CD4,0.32167832167832167,0.020359465096307202,0.5754527162977867,0.11716405608832393,0.008798436858441176,186.16666666666683,16.0
FOS,0.3076923076923077,0.009324009324009324,0.5731462925851704,0.14356916750864862,0.00976777726734439,184.58333333333343,17.5
ESR1,0.3076923076923077,0.019813519813519816,0.5754527162977867,0.14305745752600293,0.009327835434577658,184.83333333333343,17.5
CCND1,0.3041958041958042,0.012513801987486198,0.572,0.14007164266606328,0.00864957260503421,184.08333333333343,19.5
APOE,0.3041958041958042,0.02664090295669243,0.5754527162977867,0.08719125285942138,0.009457181764248862,184.50000000000009,19.5
EP300,0.2867132867132867,0.007440804809225862,0.5641025641025641,0.13311709920453496,0.009851391371819996,181.2500000000001,21.5
AGT,0.2867132867132867,0.03226597963440069,0.5641025641025641,0.08457936868097776,0.008281614645019931,181.1666666666668,21.5
HSPA4,0.28321678321678323,0.008195313458471354,0.5607843137254902,0.11752679749587179,0.008543153855057998,180.3333333333335,23.0
RHOA,0.26573426573426573,0.015390749601275918,0.562992125984252,0.10251754164705525,0.007980796517636926,179.00000000000009,25.0
CREB1,0.26573426573426573,0.01113973745552693,0.556420233463035,0.12426752743803511,0.007954885101189139,178.08333333333346,25.0
STAT1,0.26573426573426573,0.003876824929456509,0.5531914893617021,0.1306123837018705,0.008179519195850348,177.58333333333348,25.0
MAPK1,0.2517482517482518,0.003337013863329653,0.5510597302504817,0.12747108363601858,0.008298236251131654,175.83333333333346,27.5
VCAM1,0.2517482517482518,0.010397497239602503,0.5531914893617021,0.08818918639642717,0.006826320241037565,176.1666666666668,27.5
TIMP1,0.24125874125874125,0.008299595141700405,0.5458015267175572,0.08249496190725036,0.006396935448655675,174.08333333333343,29.0
SMAD4,0.23776223776223776,0.010035578456631089,0.5458015267175572,0.10819123276293251,0.006945825284786487,173.75000000000009,30.0
THBS1,0.23426573426573427,0.008207581891792418,0.5458015267175572,0.08104370950166442,0.0066172915966335516,173.41666666666674,31.5
CDKN1A,0.23426573426573427,0.004232609495767391,0.5406427221172023,0.11492197490487731,0.006733812615007464,172.58333333333348,31.5
NFE2L2,0.23076923076923078,0.007980615875352717,0.5437262357414449,0.09426038677710487,0.0069202915306302406,172.75000000000009,33.5
COL1A1,0.23076923076923078,0.004649736228683597,0.5406427221172023,0.07917663298807484,0.00712373107067139,172.2500000000001,33.5
PIK3R1,0.22727272727272727,0.007876334192123666,0.5375939849624061,0.10226360196610962,0.006910754295290281,171.41666666666686,35.0
MDM2,0.2202797202797203,0.006502269660164398,0.5335820895522388,0.11244484803168404,0.007156350887717978,170.08333333333348,36.0
CD34,0.21678321678321677,0.008232118758434548,0.5345794392523364,0.08166475344386603,0.00601549907011246,169.9166666666668,37.0
HDAC1,0.2097902097902098,0.005250889461415778,0.5325884543761639,0.10991796248735478,0.006822019075701639,168.9166666666668,38.0
PIK3CA,0.2062937062937063,0.0009569377990430622,0.5276752767527675,0.10150602353112384,0.006470986908604516,167.75000000000017,39.0
BECN1,0.20279720279720279,0.003987240829346093,0.5257352941176471,0.08771217020969499,0.005986573202350114,167.0833333333335,40.0
UBC,0.1958041958041958,0.013679303152987364,0.5267034990791897,0.07035754004861701,0.006359357077412697,166.58333333333343,41.0
B2M,0.1888111888111888,0.008367071524966262,0.5257352941176471,0.06365141724521046,0.005512463129437996,165.75000000000014,44.0
CASP1,0.1888111888111888,0.004527051895472948,0.5345794392523364,0.07133955077409104,0.005266493680859094,167.1666666666668,44.0
CXCL10,0.1888111888111888,0.006943933259722734,0.5276752767527675,0.06708591222785466,0.00525883887293565,166.08333333333346,44.0
HGF,0.1888111888111888,0.005766163660900503,0.5247706422018349,0.07675898282436712,0.005195939820857881,165.58333333333343,44.0
TXN,0.1888111888111888,0.012427922954238745,0.5306122448979592,0.06642810566964837,0.005471637767804559,166.5000000000001,44.0
SOD2,0.1853146853146853,0.015599312967734022,0.5325884543761639,0.05741123958253688,0.005788732492715345,166.50000000000009,48.0
EGR1,0.1853146853146853,0.003815482762851184,0.5276752767527675,0.09519670178144395,0.005836393535507437,165.7500000000001,48.0
SOCS3,0.1853146853146853,0.005066862961599804,0.5209471766848816,0.08107570661030788,0.005556145811264311,164.58333333333346,48.0
CLU,0.18181818181818182,0.012734633787265366,0.5257352941176471,0.051144511189870026,0.005752866857132487,165.08333333333346,51.0
VIM,0.18181818181818182,0.005226352594773648,0.5218978102189781,0.07590719897861584,0.00489509681441497,164.41666666666683,51.0
SOD1,0.18181818181818182,0.00933627775733039,0.5286506469500925,0.05361224053731174,0.00608274930307466,165.5000000000001,51.0
POSTN,0.16433566433566432,0.0060974113605692555,0.5125448028673835,0.04634792581859227,0.004956940728914731,161.0833333333335,54.5
GPX3,0.16433566433566432,0.008471353208195314,0.5257352941176471,0.05427645843569459,0.005097822234929373,163.33333333333343,54.5
HMGB1,0.16433566433566432,0.004698809961967857,0.5143884892086331,0.06755094386075576,0.004503303569852647,161.3333333333335,54.5
COL1A2,0.16433566433566432,0.0064838670101828,0.5134649910233393,0.049271657932725685,0.005607978155482701,161.25000000000014,54.5
AR,0.16083916083916083,0.0018279965648386701,0.5143884892086331,0.09442185749901764,0.005317036347856834,161.0833333333335,57.0
COL3A1,0.15734265734265734,0.004195804195804196,0.5107142857142857,0.045818381529185895,0.005162450810662838,160.08333333333348,58.5
IRF1,0.15734265734265734,0.0049687154950312845,0.5079928952042628,0.07042513331644713,0.004795133637578339,159.5833333333335,58.5
PTPN11,0.15384615384615385,0.0014231382652435285,0.5098039215686274,0.07752926375541606,0.004973626424043744,159.58333333333346,61.0
NR3C1,0.15384615384615385,0.0032634032634032634,0.5098039215686274,0.08521669067239541,0.0046859031996190565,159.58333333333348,61.0
TIMP3,0.15384615384615385,0.00736105999263894,0.5116279069767442,0.049945493123655184,0.004075303962181128,159.91666666666683,61.0
