gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.6329113924050632,0.0703622255596081,0.7269938650306749,0.20677397916185536,0.020175381845903367,193.16666666666669,1.0
ACTB,0.5864978902953586,0.04925623971965959,0.7011834319526628,0.18045058315980167,0.01723236688166585,187.5,2.0
TP53,0.5780590717299577,0.032485875706214695,0.684971098265896,0.20807773893995393,0.0200045895885762,185.50000000000006,3.0
EGFR,0.5021097046413502,0.027318887220195955,0.6620111731843575,0.18040706135817117,0.01587354427560093,177.50000000000003,4.0
CTNNB1,0.4894514767932489,0.04276621611957377,0.6475409836065574,0.18588345769737186,0.01529480786345718,175.1666666666667,5.0
HIF1A,0.47679324894514763,0.028114496173925484,0.6440217391304348,0.17264502594658127,0.013971633576159763,173.83333333333337,6.0
CASP3,0.4725738396624472,0.04299864120718015,0.6388140161725068,0.16418419898024897,0.01442426581398335,173.00000000000006,7.0
PTEN,0.4261603375527426,0.028922024362916875,0.618798955613577,0.15348174247377008,0.012205986917269186,167.3333333333334,8.0
FN1,0.40928270042194087,0.02737252377887435,0.6155844155844156,0.1385198657027946,0.012934095631503736,165.6666666666667,9.0
PPARG,0.3924050632911392,0.028659801187155835,0.6124031007751938,0.13969867374907644,0.012046584811005843,164.00000000000003,10.0
SIRT1,0.3755274261603375,0.027014946721018382,0.5954773869346733,0.13010923031783822,0.010745516571621346,160.8333333333334,11.0
TLR4,0.3713080168776371,0.014481870843166704,0.6045918367346939,0.12653674081832605,0.010912815675895618,161.50000000000006,12.0
EGF,0.36286919831223624,0.02499463634413216,0.5969773299748111,0.13332392196427442,0.010454378364902003,160.00000000000006,13.0
CCL2,0.3544303797468354,0.011201101337338197,0.5939849624060151,0.1125920600977609,0.010195110826065544,159.00000000000006,14.0
CCND1,0.3459915611814346,0.011388829292712581,0.5895522388059702,0.14417187861015074,0.009812485243545973,157.8333333333334,15.0
HSPA4,0.33755274261603374,0.016359150396910535,0.583743842364532,0.1259173113349109,0.010150909689424673,156.50000000000006,16.0
EP300,0.32489451476793246,0.013435957948937998,0.5766423357664233,0.1392610914206452,0.011294815379033969,154.6666666666667,17.5
SMAD2,0.32489451476793246,0.015125509547307446,0.5851851851851851,0.13224054670443888,0.009781993269210651,155.66666666666669,17.5
STAT1,0.3122362869198312,0.0056675963670170925,0.572463768115942,0.13328792652098898,0.009666167005209657,153.16666666666677,19.5
FGF2,0.3122362869198312,0.007973968390188086,0.5780487804878048,0.11960396398766966,0.009000238175864478,153.8333333333334,19.5
ICAM1,0.30801687763713076,0.01633233211757134,0.5794621026894865,0.1056547069598488,0.008735344166980987,153.6666666666667,21.0
SMAD3,0.2995780590717299,0.0028248587570621473,0.5669856459330144,0.1396778040190158,0.009542680508503914,151.50000000000006,22.0
APOE,0.29535864978902954,0.03146678109132518,0.5710843373493976,0.0826413869092759,0.010270162114359743,151.66666666666669,23.0
SMAD4,0.2869198312236287,0.012720803833226062,0.5683453237410072,0.12175350999111638,0.008730700053847894,150.6666666666667,24.5
CREB1,0.2869198312236287,0.006910176643066581,0.5656324582338902,0.12483758557205936,0.008464370861256456,150.3333333333334,24.5
NOTCH1,0.28270042194092826,0.004088297694819901,0.5629453681710214,0.11825352796634821,0.008076137403047112,149.66666666666674,26.5
MAPK1,0.28270042194092826,0.011585496674533362,0.5656324582338902,0.1268488057244607,0.009760517378467622,150.00000000000006,26.5
KDR,0.27848101265822783,0.009761853679467926,0.5629453681710214,0.10608447177835792,0.008736792181899322,149.33333333333337,28.0
PIK3R1,0.26582278481012656,0.006615175570335407,0.5550351288056206,0.1091217313142147,0.008330103910584488,147.3333333333334,29.0
CDKN1A,0.26160337552742613,0.009234427519130374,0.5550351288056206,0.11365623918050546,0.007476248627868073,147.00000000000006,30.5
MAPK8,0.26160337552742613,0.005113351927340342,0.5563380281690141,0.1084131124789822,0.008102061684029374,147.1666666666667,30.5
VCAM1,0.2573839662447257,0.012837016377029251,0.5616113744075829,0.08816740865982196,0.0073281832112120394,147.50000000000006,32.5
MYD88,0.2573839662447257,0.008170635772008869,0.5537383177570093,0.09376142598722066,0.007321799774750132,146.50000000000009,32.5
IGF1R,0.2531645569620253,0.004746835443037975,0.5524475524475524,0.10729086215145175,0.007774110062017952,146.00000000000003,35.0
MDM2,0.2531645569620253,0.009207609239791175,0.5498839907192575,0.11454438069526525,0.00806765331049257,145.66666666666669,35.0
CD34,0.2531645569620253,0.010512765500965459,0.5537383177570093,0.08561661799068614,0.007462454752197503,146.1666666666667,35.0
PIK3CA,0.24894514767932488,0.0008581849388543232,0.5511627906976744,0.11332595080694216,0.008154453617322316,145.50000000000006,37.5
UBC,0.24894514767932488,0.013444897375384396,0.5473441108545035,0.08306569250265869,0.008233709705837654,145.00000000000003,37.5
BECN1,0.24050632911392403,0.0044697132231996,0.5486111111111112,0.09191129159099973,0.007317718249401292,144.50000000000006,39.0
