gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
ACTB,0.5982142857142857,0.08992632927610505,0.7088607594936709,0.17736534291982078,0.0187949462214465,178.66666666666669,1.0
TP53,0.5625,0.03000880845611787,0.6808510638297872,0.20775500355286447,0.019854211406256036,173.8333333333334,2.0
EGFR,0.4821428571428571,0.03327194106342088,0.6436781609195402,0.1786832424866492,0.016407050239158658,164.66666666666674,3.5
CASP3,0.4821428571428571,0.04420577087337176,0.6436781609195402,0.17047141872086605,0.014841426948532353,164.66666666666674,3.5
BCL2,0.4776785714285714,0.024463484945547724,0.64,0.17702658819181616,0.015264084404850217,164.00000000000006,5.0
HIF1A,0.46875,0.018758007687379882,0.6345609065155807,0.17274114786988798,0.014937305908586104,162.83333333333343,6.0
JUN,0.46428571428571425,0.018277546444586804,0.632768361581921,0.18318850987485494,0.01575417951950993,162.33333333333343,7.5
CTNNB1,0.46428571428571425,0.025284272901985906,0.632768361581921,0.17503638643530747,0.015351738324326363,162.33333333333343,7.5
SRC,0.42410714285714285,0.02348254324151185,0.6187845303867403,0.16806208702221812,0.014819721666806316,158.00000000000006,9.5
PTEN,0.42410714285714285,0.03527386290839205,0.6170798898071626,0.1561308807991712,0.013473486573322832,157.83333333333337,9.5
HSP90AA1,0.4107142857142857,0.04188020499679692,0.6136986301369863,0.14938630240767348,0.013854676598327433,156.50000000000003,11.0
TGFB1,0.39285714285714285,0.02174087123638693,0.6054054054054054,0.1386275003514526,0.011830367864020783,154.3333333333334,12.0
TLR4,0.3883928571428571,0.015294682895579755,0.6086956521739131,0.134044053739337,0.012057273800428588,154.33333333333337,13.0
FOS,0.37053571428571425,0.012902386290839205,0.5941644562334217,0.1503106889266031,0.01210300809361432,151.50000000000003,14.0
CCL2,0.3571428571428571,0.024923926969891094,0.5973333333333334,0.11741491686197757,0.010597692249800138,150.83333333333337,15.0
STAT1,0.32589285714285715,0.00882847533632287,0.5743589743589743,0.13670835015434532,0.010163951375365276,146.00000000000006,16.0
PTGS2,0.3214285714285714,0.013753203074951953,0.5818181818181818,0.12137075998047285,0.009456261135756101,146.50000000000006,17.0
CREB1,0.3169642857142857,0.010430012812299808,0.5728900255754475,0.12977344127642296,0.00975060027264469,145.1666666666667,18.0
FOXO1,0.3125,0.01197149263292761,0.5699745547073791,0.12474678901649588,0.010395289773898683,144.50000000000003,19.0
CDH1,0.30803571428571425,0.009028667520819987,0.5743589743589743,0.12286124980506447,0.009736891516654135,144.66666666666669,21.0
CDKN1A,0.30803571428571425,0.005645419602818706,0.5685279187817259,0.1254597714530773,0.009385258230354954,144.0,21.0
