gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5849056603773585,0.06030358579987481,0.6928104575163399,0.2042576452515981,0.021480753022180873,167.00000000000006,1.0
TP53,0.5754716981132075,0.02083519628006796,0.6773162939297125,0.21589567114334854,0.022169766479895263,165.16666666666677,2.0
ACTB,0.5518867924528301,0.06027005275865152,0.668769716088328,0.17185897517724844,0.01771498247243731,162.83333333333343,3.0
HIF1A,0.47641509433962265,0.029721452204238576,0.6347305389221557,0.17124100532938502,0.015475531034227398,154.66666666666677,4.0
EGFR,0.46226415094339623,0.03661808101582759,0.6347305389221557,0.16797684091570134,0.016556424656615568,153.66666666666674,5.0
JUN,0.44811320754716977,0.0159393722614683,0.6235294117647059,0.18141368097384525,0.015840290315064957,151.66666666666677,6.0
BCL2,0.43396226415094336,0.015503442725565591,0.6144927536231884,0.16997343424417766,0.014541740916578099,149.83333333333343,7.5
CTNNB1,0.43396226415094336,0.029397299472413485,0.6180758017492711,0.17145524643382024,0.015194755429038509,150.16666666666677,7.5
PTEN,0.4292452830188679,0.026468747205579898,0.6144927536231884,0.1611151838904797,0.014043681680805699,149.5000000000001,9.0
NFKB1,0.4150943396226415,0.03245998390414021,0.6109510086455331,0.1585277416990295,0.013788139757353969,148.16666666666677,10.0
HSP90AA1,0.40566037735849053,0.0361486184387016,0.6022727272727273,0.15029282025089413,0.014698336595561266,146.66666666666674,11.0
PPARG,0.3820754716981132,0.03901010462308862,0.6005665722379604,0.14366483312638623,0.013045140756284743,144.83333333333343,12.5
SIRT1,0.3820754716981132,0.01607350442636144,0.5938375350140056,0.14996615460100418,0.012783350260059974,144.16666666666677,12.5
FOXO1,0.3632075471698113,0.016788875972458196,0.5840220385674931,0.15355213396187326,0.012902836762411302,141.83333333333343,14.5
EP300,0.3632075471698113,0.009836358758830367,0.5840220385674931,0.15829421356295456,0.013894882758201514,141.9166666666668,14.5
TGFB1,0.3490566037735849,0.03261647142984888,0.5872576177285319,0.12105935892342116,0.01120012903188356,141.1666666666667,16.0
CREB1,0.32547169811320753,0.018756147724224268,0.572972972972973,0.13879821780965268,0.010639883787194966,138.00000000000009,17.0
HSPA4,0.32075471698113206,0.02271304658857194,0.5668449197860963,0.11650698828618743,0.01106636106137318,137.00000000000006,18.5
FOS,0.32075471698113206,0.0069189841724045425,0.572972972972973,0.14189824703225218,0.011439336467857011,137.66666666666674,18.5
STAT1,0.3018867924528302,0.00897567736743271,0.5638297872340425,0.1279297676777004,0.010333066418494505,135.33333333333343,20.0
MDM2,0.29245283018867924,0.00665071984261826,0.5463917525773195,0.12929113839228754,0.009905579294045798,132.83333333333334,21.0
CDH1,0.28773584905660377,0.010507019583296074,0.5549738219895288,0.11507273077043605,0.009611127618362265,133.33333333333337,22.5
