gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
TNF,0.65,0.03303251408090118,0.7310704960835509,0.16463695827341387,0.014321250114889468,230.1666666666667,1.0
ACTB,0.6142857142857142,0.038178443420378905,0.7142857142857143,0.14770062752700686,0.012762845796554408,225.33333333333337,2.5
AKT1,0.6142857142857142,0.026267281105990782,0.7142857142857143,0.16569160816055997,0.014314269466176636,225.33333333333337,2.5
IL1B,0.5892857142857143,0.01803635432667691,0.6947890818858561,0.15927895215910765,0.013338560810986845,221.16666666666674,4.0
TP53,0.5857142857142857,0.015149769585253456,0.691358024691358,0.16481378644799247,0.014015049682531137,220.50000000000009,5.0
STAT3,0.5464285714285714,0.02163338453661034,0.6763285024154589,0.16258845970783614,0.012114763949251539,215.3333333333334,6.0
JUN,0.5035714285714286,0.023067076292882745,0.6511627906976745,0.15014597607669694,0.011307352660225645,208.66666666666677,7.0
NFKB1,0.4964285714285714,0.019380440348182284,0.6526806526806527,0.1505726319279426,0.010893760516606663,208.16666666666674,8.0
CASP3,0.4928571428571428,0.026830517153097797,0.6466512702078522,0.13675924832777153,0.01030520698763716,207.16666666666677,9.0
BCL2,0.4857142857142857,0.015885816692268306,0.6422018348623854,0.14196184881194984,0.010185353124952997,206.0000000000001,10.5
HIF1A,0.4857142857142857,0.01535458269329237,0.6422018348623854,0.13562950165071241,0.010140200621231554,206.08333333333343,10.5
CD4,0.48214285714285715,0.03161162314388121,0.6378132118451025,0.12420130093233789,0.00998329002456012,205.1666666666668,12.0
TLR4,0.47857142857142854,0.006605222734254993,0.6436781609195402,0.13704281820760958,0.010457081674629332,205.50000000000009,13.0
CTNNB1,0.45357142857142857,0.025608038914490528,0.6263982102908278,0.12868814073996127,0.009813327845130844,201.2500000000001,14.0
HSP90AA1,0.44285714285714284,0.030849974398361495,0.6278026905829597,0.1214883946520536,0.009893422325224662,200.33333333333343,15.0
CCL2,0.42142857142857143,0.013114439324116744,0.6167400881057269,0.11727039830536001,0.008486296002202942,197.0000000000001,16.0
PTEN,0.41428571428571426,0.014618535586277522,0.611353711790393,0.11380159990845497,0.008589424230591803,195.7500000000001,17.5
TGFB1,0.41428571428571426,0.01300563236047107,0.6140350877192983,0.11739165930187488,0.008302676712048984,196.0000000000001,17.5
CXCL8,0.3892857142857143,0.008915770609318996,0.6073752711496746,0.11721119395128685,0.008559690744702786,192.83333333333343,19.0
HSPA4,0.37857142857142856,0.01259600614439324,0.6008583690987125,0.10572780441796731,0.008068934204741115,191.0000000000001,20.0
FN1,0.375,0.011834357398873528,0.5970149253731343,0.10624901651454102,0.00838206496016293,190.2500000000001,21.0
STAT1,0.37142857142857144,0.0031362007168458782,0.5907172995780591,0.12642197888117335,0.008146497891431265,189.08333333333348,22.0
SIRT1,0.3678571428571428,0.012256784434203789,0.5970149253731343,0.10463991461874349,0.008036645785433113,189.58333333333343,23.5
PTGS2,0.3678571428571428,0.008390937019969277,0.5982905982905983,0.11145102724462767,0.007259066215485804,189.66666666666677,23.5
