gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.580952380952381,0.07218045112781955,0.6890269151138716,0.2102227288337512,0.023611966922974105,164.25,1.0
ACTB,0.5380952380952382,0.05602642971064024,0.6603174603174603,0.17927318808637777,0.01948965516902765,159.16666666666669,2.0
EGFR,0.46190476190476193,0.04101161995898838,0.622414041145159,0.1729239675573524,0.01829009817397781,150.66666666666669,3.5
HIF1A,0.46190476190476193,0.027728411938938255,0.622414041145159,0.17971460326049243,0.016511280179707464,150.66666666666666,3.5
CTNNB1,0.44761904761904764,0.03094098883572568,0.6168234958654121,0.18521037154801598,0.01780593439330969,149.16666666666669,5.5
CASP3,0.44761904761904764,0.04671907040328093,0.6168234958654121,0.16353344178375664,0.01615226174659941,149.16666666666669,5.5
JUN,0.4285714285714286,0.018819776714513556,0.6059383753501402,0.1921928200140889,0.01677834942900252,146.83333333333337,7.0
PTEN,0.4142857142857143,0.047687400318979264,0.6059383753501402,0.1586045155286484,0.015265988010789234,145.83333333333334,8.0
HSP90AA1,0.3952380952380953,0.04982911825017088,0.5971566597653555,0.15144708753215072,0.015536827055126512,143.58333333333334,9.0
EP300,0.38571428571428573,0.03185235816814764,0.592008757525999,0.17093586024852725,0.01627768636628324,142.5,10.0
SRC,0.380952380952381,0.019890635680109365,0.590312457361168,0.1643344801154383,0.015588476616671737,142.0,11.0
FOS,0.3666666666666667,0.011187058555479608,0.5836233643599082,0.16580376960716817,0.014301203048312323,140.33333333333337,12.5
ESR1,0.3666666666666667,0.03444976076555024,0.5852813852813853,0.16423389224465282,0.014386259294982317,140.50000000000003,12.5
CCND1,0.3523809523809524,0.01667805878332194,0.5803353454057679,0.15777031215036347,0.012391816030947836,139.0,14.0
CDH1,0.3190476190476191,0.015516062884483938,0.5659863945578231,0.13388753713446366,0.011625925281581934,135.16666666666666,15.0
FOXO1,0.30952380952380953,0.01101617680565049,0.5508530685001274,0.1410581609043837,0.011832396742420342,132.83333333333331,16.5
CREB1,0.30952380952380953,0.008726361357940306,0.5583172022196412,0.14723998030972174,0.011319086699701103,133.66666666666669,16.5
EGF,0.3047619047619048,0.016632490316700842,0.5613598027766966,0.12671882726244008,0.010539814505605415,133.66666666666666,18.0
PTGS2,0.30000000000000004,0.017612212349054454,0.5598343685300207,0.12119559685834323,0.009953067873358954,133.16666666666666,19.0
STAT1,0.29523809523809524,0.005787195260879472,0.5508530685001274,0.1414705247197696,0.011430298322368778,131.83333333333331,20.0
CDKN1A,0.2904761904761905,0.003463203463203463,0.5523298863781438,0.13951373365160835,0.010281185785520808,131.66666666666663,21.0
SMAD3,0.28571428571428575,0.003394850763271816,0.5479229989868288,0.1476116374112136,0.010406512219379752,130.8333333333333,22.0
HDAC1,0.28095238095238095,0.015892002734108,0.549384126984127,0.14050402086711486,0.010844825905011343,130.66666666666663,23.0
NFE2L2,0.2761904761904762,0.02207792207792208,0.549384126984127,0.11215387376461251,0.009826767427611863,130.24999999999997,24.0
RELA,0.2666666666666667,0.0035087719298245615,0.542155388471178,0.13394965292548347,0.009769224610033407,128.83333333333326,26.0
SMAD2,0.2666666666666667,0.00518341307814992,0.5379087405197066,0.1294621317733346,0.009417721088499125,128.53333333333327,26.0
RHOA,0.2666666666666667,0.015516062884483938,0.5379087405197066,0.10654222401274191,0.009631085482408869,128.33333333333326,26.0
NOTCH1,0.2619047619047619,0.010025062656641603,0.5407324084489439,0.11590040195539726,0.008975065883060296,128.33333333333326,28.0
UBC,0.2571428571428572,0.02583732057416268,0.542155388471178,0.09340699646593875,0.009852605672204133,128.16666666666663,29.5
SMAD4,0.2571428571428572,0.0101617680565049,0.5393168785838943,0.1251426240225836,0.009077243254269032,127.83333333333327,29.5
MAPK1,0.25238095238095243,0.004499886078833447,0.5365079365079365,0.14108044923228985,0.01060193573122814,127.1666666666666,31.0
PPARA,0.24761904761904763,0.013784461152882206,0.5379087405197066,0.08794658116324112,0.008855169429524731,126.99999999999994,32.0
CASP9,0.2380952380952381,0.010025062656641603,0.5309769268532155,0.1018312780834422,0.008176843063994303,125.49999999999993,33.5
PPARGC1A,0.2380952380952381,0.009182046024151288,0.532348960255937,0.09177291220232363,0.009396055560340818,125.6666666666666,33.5
IKBKB,0.2142857142857143,0.004739120528594213,0.5255587949465501,0.10339824663632634,0.007351433951678778,123.1666666666666,35.5
EGR1,0.2142857142857143,0.008145363408521303,0.5255587949465501,0.10760134004305565,0.008145964471124438,123.1666666666666,35.5
TXN,0.2,0.01904761904761905,0.5296119476068062,0.0675177742853056,0.007186558303659544,122.58333333333329,38.0
STAT5A,0.2,0.005422647527910686,0.5163384652106456,0.10010059745972079,0.0072573081071547856,120.99999999999991,38.0
TRAF6,0.2,0.003622693096377307,0.512485193082208,0.09227756957817676,0.007509104552083777,120.69999999999992,38.0
RPS6KB1,0.19523809523809527,0.0031442241968557758,0.5137632110200689,0.09567284119934816,0.006989454907026527,120.33333333333324,40.5
STAT6,0.19523809523809527,0.005331510594668489,0.5176357980378081,0.08434789391559042,0.006898399179555043,120.83333333333326,40.5
SOD1,0.1904761904761905,0.02196400091136933,0.5150476190476191,0.051378496010708825,0.007688983296494588,120.16666666666659,42.0
ATF3,0.18571428571428572,0.01239462292093871,0.5086890064667843,0.08955924070389698,0.007134950422387392,118.9999999999999,43.5
TIMP1,0.18571428571428572,0.021052631578947368,0.512485193082208,0.06068406696249674,0.006428205838411918,119.41666666666657,43.5
CDKN1B,0.18095238095238098,0.00811118705855548,0.5137632110200689,0.09159626372746163,0.00612022637441836,119.33333333333326,46.0
THBS1,0.18095238095238098,0.015561631351105035,0.5086890064667843,0.06400735436889464,0.006587109037121057,118.86666666666659,46.0
NR3C1,0.18095238095238098,0.004146730462519936,0.50994813767091,0.10230577480101109,0.006971053362623664,118.83333333333324,46.0
GPX3,0.1761904761904762,0.013511050353155616,0.50994813767091,0.05305740022521764,0.007039167546911222,118.41666666666656,48.5
DNMT1,0.1761904761904762,0.005445431761221235,0.5150476190476191,0.08063394248369814,0.006569955036184446,119.08333333333326,48.5
B2M,0.17142857142857143,0.008908635224424697,0.5137632110200689,0.050371340804193906,0.006461406224237201,118.6666666666666,52.0
EIF2AK3,0.17142857142857143,0.003918888129414445,0.500046232085067,0.07497771541189789,0.005832301534553067,116.83333333333323,52.0
JAK1,0.17142857142857143,0.0016860332649806333,0.5049486461251167,0.07401876307848367,0.006017835831446549,117.69999999999992,52.0
SP1,0.17142857142857143,0.003474595579858738,0.5086890064667843,0.10438857848703947,0.006699239203086844,117.99999999999991,52.0
IRF1,0.17142857142857143,0.008156755525176577,0.49883546638994586,0.07036170131980991,0.00624294815873073,116.66666666666654,52.0
CLU,0.16666666666666669,0.013135110503531557,0.5112135176651306,0.04161487509603172,0.006523242505991526,117.99999999999993,55.0
VIM,0.1619047619047619,0.005308726361357941,0.5024854819976772,0.07030652477194384,0.0052873667748345975,116.4999999999999,56.0
TJP1,0.15714285714285717,0.0048302574618364095,0.5012628895840575,0.07550201480081632,0.005876074265724251,115.9999999999999,57.5
STK11,0.15714285714285717,0.006926406926406926,0.49883546638994586,0.06845819993133914,0.005552614816378796,115.66666666666656,57.5
HSPB1,0.14761904761904762,0.012713602187286397,0.5112135176651306,0.06421982109998214,0.005423753252346192,116.58333333333326,59.0
