gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
TNF,0.5971731448763251,0.03450868355762725,0.7039800995024875,0.17523196935547733,0.01518569936598038,225.1666666666667,1.0
AKT1,0.5901060070671378,0.04647520236573691,0.7022332506203474,0.17479722174976886,0.01635438467302743,224.33333333333337,2.0
ACTB,0.568904593639576,0.05285943412775982,0.6919315403422983,0.15609144264885427,0.013840576685958617,221.33333333333337,3.0
IL1B,0.5547703180212014,0.023557126030624265,0.6786570743405276,0.17141683688653062,0.014440424120457028,218.66666666666674,4.0
TP53,0.5371024734982333,0.024346540360373908,0.6690307328605201,0.17058499310688113,0.01547416032699782,216.00000000000009,5.0
ALB,0.4911660777385159,0.056568428438964494,0.6535796766743649,0.12799995505288464,0.012634430604491247,210.00000000000006,6.0
STAT3,0.48763250883392223,0.02457208731173095,0.6490825688073395,0.16874042620025878,0.012503796271244342,209.16666666666674,7.0
TLR4,0.4416961130742049,0.007981856000801944,0.6288888888888889,0.1476360495733244,0.011070802745829392,202.50000000000009,8.5
JUN,0.4416961130742049,0.025561987820464628,0.6274944567627494,0.15148006920700827,0.011638793603107843,202.33333333333343,8.5
NFKB1,0.43109540636042404,0.01691602135177806,0.6261061946902655,0.15522365348042716,0.011091393656259723,201.16666666666674,10.5
CD4,0.43109540636042404,0.0251213359062393,0.6192560175054704,0.13689861588465346,0.010572197955572413,200.33333333333346,10.5
BCL2,0.4275618374558304,0.013394982833370926,0.6192560175054704,0.14842305199718886,0.010792170888629172,200.0000000000001,12.5
HIF1A,0.4275618374558304,0.017066385986016088,0.6247240618101545,0.13790118661773446,0.010578976738659682,200.66666666666674,12.5
CTNNB1,0.3992932862190813,0.01955366764403679,0.6072961373390557,0.13145586910590387,0.010144032245864987,195.83333333333346,14.0
HSP90AA1,0.38869257950530034,0.029289777710949053,0.6125541125541125,0.12836876358623336,0.010271415315041627,195.50000000000006,15.0
TGFB1,0.38162544169611307,0.013369922060997921,0.603411513859275,0.12616702578753405,0.008828340908239463,193.66666666666677,16.0
CXCL8,0.3710247349823321,0.013983910984136531,0.5983086680761099,0.12713848911844086,0.009513068311729819,192.0000000000001,17.0
PTEN,0.35335689045936397,0.011352529884971055,0.5883575883575883,0.11740490196422478,0.008473877137371945,189.00000000000014,18.0
PTGS2,0.3321554770318021,0.013019071247775857,0.5847107438016529,0.11584812431307563,0.007689272056641616,186.50000000000009,20.0
ICAM1,0.3321554770318021,0.006227601934691627,0.5823045267489712,0.11467691525170189,0.007732312285370929,186.16666666666677,20.0
SIRT1,0.3321554770318021,0.01794351301907125,0.5859213250517599,0.10482797917363117,0.008526118796848036,186.66666666666677,20.0
ITGAM,0.3286219081272085,0.009842618349497533,0.5811088295687885,0.10530117198102831,0.007910209392774164,185.6666666666668,22.0
HSPA4,0.3250883392226148,0.012380021552264241,0.5775510204081633,0.10677676290058737,0.00810805692760289,184.83333333333348,23.0
TLR2,0.3215547703180212,0.005319148936170213,0.5787321063394683,0.11250059148555994,0.007897976495478359,184.6666666666668,24.5
STAT1,0.3215547703180212,0.002932110367641531,0.5787321063394683,0.13074524502411222,0.008083177219271027,184.6666666666668,24.5
FOS,0.31448763250883394,0.008169811793599479,0.5763747454175153,0.11589809424223611,0.008049025661352713,183.6666666666668,26.0
EGF,0.30035335689045933,0.00955441946720798,0.5705645161290323,0.10552382654874774,0.007335991728852049,181.50000000000014,28.0
EP300,0.30035335689045933,0.008796331102924592,0.5705645161290323,0.10879296918910976,0.008703268365039004,181.50000000000014,28.0
APOE,0.30035335689045933,0.022066010074430494,0.5740365111561866,0.08499946674440145,0.008308427632546113,182.00000000000009,28.0
MYD88,0.29328621908127206,0.004479613061674561,0.5682730923694779,0.11336084457232133,0.007042010457279369,180.50000000000014,30.0
CASP1,0.2826855123674912,0.005425657218755482,0.564870259481038,0.10214335622236781,0.006741191522193928,179.0000000000001,31.0
JAK2,0.2791519434628975,0.013488960729769692,0.5592885375494071,0.10819790503555032,0.00728385365246589,177.8333333333335,32.5
CCND1,0.2791519434628975,0.003990928000400972,0.5671342685370742,0.10543229079260556,0.006776156716783317,179.0000000000001,32.5
IL18,0.27208480565371024,0.006390496955116157,0.5570866141732284,0.09615877245162234,0.006505618198452836,176.83333333333348,34.0
HMOX1,0.26855123674911663,0.007104728967746787,0.5615079365079365,0.09392768987542616,0.006235898376279979,177.16666666666677,35.0
MAPK1,0.26501766784452296,0.0029697015262010375,0.5538160469667319,0.10395419503983265,0.007299255064689632,175.66666666666686,36.5
NFE2L2,0.26501766784452296,0.004974563316041401,0.5615079365079365,0.09404894645102133,0.0065731984062145105,176.8333333333334,36.5
CXCL10,0.2614840989399293,0.007067137809187279,0.555992141453831,0.0911056565845912,0.006025980104159344,175.6666666666668,38.0
CYBB,0.2579505300353357,0.006219248343900626,0.5570866141732284,0.08333589245816117,0.006316131660930738,175.5000000000001,39.5
PECAM1,0.2579505300353357,0.00884018745457735,0.555992141453831,0.08450448571041672,0.005819661545068139,175.33333333333346,39.5
PARP1,0.2508833922261484,0.007330275919103827,0.5495145631067961,0.08721292437148885,0.005905429454633057,173.66666666666683,41.5
PIK3R1,0.2508833922261484,0.00568879532867203,0.5452793834296724,0.0905594802355968,0.006850619344877376,173.0000000000002,41.5
B2M,0.24734982332155478,0.013150640302734131,0.5570866141732284,0.07326604526564198,0.006202468801455854,174.5000000000001,44.0
BECN1,0.24734982332155478,0.0037591158559506805,0.5484496124031008,0.08873990010184786,0.005994554589495326,173.16666666666683,44.0
RHOA,0.24734982332155478,0.014046562915069043,0.552734375,0.08132625777922178,0.006533180600974552,173.83333333333348,44.0
CDKN1A,0.23674911660777384,0.002856928050522517,0.5421455938697318,0.08890264857830751,0.005871544368069685,171.16666666666686,47.0
IKBKB,0.23674911660777384,0.005225171039771446,0.5463320463320464,0.0944020762308685,0.005732566476233065,171.8333333333335,47.0
TIMP1,0.23674911660777384,0.008194872565972483,0.5473887814313346,0.07299662484514606,0.00535427295144669,172.00000000000014,47.0
HMGB1,0.2332155477031802,0.0038969501040022054,0.5421455938697318,0.0877311211506375,0.005534475142159858,170.8333333333335,49.5
SOCS3,0.2332155477031802,0.004874320226549382,0.5400763358778626,0.08882061921290921,0.005688862484596313,170.50000000000017,49.5
STAT5A,0.22968197879858657,0.006509535623887929,0.539047619047619,0.09208368572458338,0.005588062276787171,170.0000000000002,51.5
CTSS,0.22968197879858657,0.013407513219557427,0.5431861804222649,0.06555472387553046,0.005365546868041806,170.66666666666683,51.5
MDM2,0.22614840989399293,0.0032077788637445807,0.539047619047619,0.08294353403627035,0.006093604040314147,169.66666666666683,53.0
CD163,0.2226148409893993,0.004222740144851265,0.5400763358778626,0.06663598249832513,0.005247632961050971,169.50000000000017,55.5
TXN,0.2226148409893993,0.016690474400421023,0.5473887814313346,0.06984722185170911,0.005697017402485859,170.66666666666674,55.5
KIT,0.2226148409893993,0.002932110367641531,0.5370018975332068,0.08271109994982034,0.005609136644096086,169.00000000000023,55.5
SMAD2,0.2226148409893993,0.006515800816981179,0.5421455938697318,0.0827147911370646,0.005671711996691355,169.83333333333348,55.5
JAK1,0.21908127208480566,0.0030574142295065536,0.5380228136882129,0.09007980737448426,0.005422327937442568,168.83333333333354,58.0
NLRP3,0.21554770318021202,0.00215522642407839,0.5400763358778626,0.08364476033624599,0.005356031281532772,168.83333333333346,59.5
PIK3CA,0.21554770318021202,0.0004761546750870862,0.527001862197393,0.08297680286522956,0.006181103819749105,166.6666666666669,59.5
PPARGC1A,0.21201413427561838,0.004705160013031602,0.5400763358778626,0.06538403332495436,0.00564408580099549,168.5000000000001,61.0
UBC,0.20848056537102475,0.012417612710823749,0.5319548872180451,0.06463242630424154,0.005942594186071319,166.8333333333335,63.0
CCR2,0.20848056537102475,0.0022554695135704084,0.5339622641509434,0.07284284065897917,0.004920274743010587,167.16666666666686,63.0
CTLA4,0.20848056537102475,0.003032353457133549,0.5329566854990584,0.07657475377256823,0.004805033940534955,167.0000000000002,63.0
SOD1,0.20141342756183744,0.01243014309701025,0.5421455938697318,0.056187247964533095,0.005829189089690626,167.83333333333343,65.5
SOCS1,0.20141342756183744,0.002568729168232965,0.5211786372007366,0.07962288953972693,0.004984343849425025,164.5000000000002,65.5
FYN,0.1978798586572438,0.0058516903490965595,0.5339622641509434,0.07331862121714121,0.005605215033975037,166.16666666666686,67.0
AIF1,0.1872791519434629,0.005951933438588577,0.527001862197393,0.057953347561856175,0.0045835578164632506,164.0000000000001,68.0
BTK,0.18374558303886926,0.007806430594190913,0.5183150183150184,0.06504104735392198,0.00467637038791117,162.1666666666669,70.5
IRF3,0.18374558303886926,0.0033330827256096035,0.5260223048327137,0.07730988813886452,0.0044936911385277944,163.50000000000014,70.5
IL15,0.18374558303886926,0.0008520662606821543,0.5231053604436229,0.07178425948204652,0.004521716815032945,163.08333333333354,70.5
THBS1,0.18374558303886926,0.003734055083577676,0.5279850746268657,0.06004661687958003,0.004495091008285446,163.83333333333346,70.5
IL7R,0.18021201413427562,0.004598651730446332,0.5089928057553957,0.06414828478066792,0.00467789331243122,160.4166666666669,74.0
MRC1,0.18021201413427562,0.0031827180913715763,0.5192660550458715,0.05791332991248224,0.00414109909828557,162.0833333333335,74.0
TFRC,0.18021201413427562,0.00855825376538105,0.5309568480300187,0.05448016656060092,0.004409462515245962,164.00000000000014,74.0
ATG5,0.17667844522968199,0.001303160163396236,0.5250463821892394,0.06242502929487064,0.004093575871207846,162.66666666666683,76.0
CD74,0.17314487632508835,0.007818960980377416,0.5192660550458715,0.04320488766160722,0.00435367764397465,161.33333333333346,77.5
CTSB,0.17314487632508835,0.005475778763501491,0.5299625468164794,0.05472454708962064,0.0043801644644340994,163.1666666666668,77.5
CD69,0.16961130742049468,0.0038593589454426988,0.5145454545454545,0.05675250502729931,0.0038622579225128916,160.2500000000002,79.0
CLU,0.16607773851590105,0.010124552038693833,0.527001862197393,0.042333054723113626,0.004670455833501905,162.0000000000001,80.5
XBP1,0.16607773851590105,0.014008971756509536,0.5260223048327137,0.05660581175706936,0.0046059918878100375,161.83333333333346,80.5
ATF3,0.15901060070671377,0.008971756509535625,0.5126811594202898,0.06102073686722481,0.004511079653079295,158.83333333333354,82.0
IL1RN,0.15547703180212014,0.004504673834047565,0.50177304964539,0.05045889818785325,0.0036184179195424635,156.66666666666686,83.5
MAP3K5,0.15547703180212014,0.0012279778462772222,0.5154826958105647,0.058564891257401316,0.0038195465048785006,159.0000000000002,83.5
DNMT1,0.14487632508833923,0.0020800441069593768,0.5136116152450091,0.05661241045425704,0.0039059498876400215,157.66666666666686,85.0
TGFBR1,0.1413427561837456,0.0014785855700072677,0.5126811594202898,0.05210673690014933,0.0032377704986840646,157.16666666666686,87.0
HDAC2,0.1413427561837456,0.002881988822895522,0.507168458781362,0.05638644497118955,0.003880852406944038,156.16666666666686,87.0
SERPINA1,0.1413427561837456,0.007818960980377416,0.5044563279857398,0.03385504453973075,0.004418530970822992,155.75000000000023,87.0
IRAK1,0.13780918727915195,0.0002004861789840363,0.5053571428571428,0.06442310799546273,0.003507752037173498,155.50000000000014,89.0
PINK1,0.13427561837455831,0.001679071748991304,0.5108303249097473,0.04389622065154277,0.0036097513345152298,156.16666666666683,92.0
ANXA1,0.13427561837455831,0.004335513620529785,0.5145454545454545,0.041353412385289876,0.003235987778138779,156.83333333333348,92.0
SP1,0.13427561837455831,0.0027692153472170015,0.5,0.0580081897973987,0.003811214426373303,154.16666666666683,92.0
IL6R,0.13427561837455831,0.0004761546750870862,0.507168458781362,0.06033540373965606,0.0034352621914871986,155.50000000000014,92.0
NFKB2,0.13427561837455831,0.000789414329749643,0.5044563279857398,0.057002675143487,0.003301932348041718,155.00000000000014,92.0
APAF1,0.13074204946996465,0.0024559556925544445,0.5026642984014209,0.05203681974990775,0.0032356858349800385,154.3333333333335,96.5
RAC1,0.13074204946996465,0.002205347968824399,0.5062611806797853,0.04032021380489794,0.0038403913338366865,155.0000000000001,96.5
MAPK9,0.13074204946996465,0.0018294363832293311,0.4956217162872154,0.05061764153392258,0.003792497648647817,153.16666666666683,96.5
LDHA,0.13074204946996465,0.01568804350550084,0.5099099099099099,0.03625321517915841,0.003900770808476225,155.66666666666677,96.5
LY96,0.127208480565371,0.007267623988171316,0.5089928057553957,0.05170882786879166,0.0037031382231736826,155.16666666666677,102.5
BAX,0.127208480565371,0.0008896574192416611,0.5062611806797853,0.04933214679226752,0.003287870411678831,154.66666666666686,102.5
DUSP1,0.127208480565371,0.0012718341979299802,0.5,0.049246401817454884,0.003197944099868644,153.6666666666668,102.5
TXNIP,0.127208480565371,0.00513745833646593,0.5062611806797853,0.043540969302985184,0.0033934461819009297,154.66666666666683,102.5
C3,0.127208480565371,0.0023306518306894218,0.49217391304347824,0.034407085152609956,0.0036463408941554,152.08333333333354,102.5
IRS2,0.127208480565371,0.002932110367641531,0.50355871886121,0.044811502743000234,0.003577269318754432,154.16666666666683,102.5
NCF1,0.127208480565371,0.0020466297437953707,0.5062611806797853,0.04353981398231147,0.003202746090053146,154.6666666666668,102.5
KNG1,0.127208480565371,0.002932110367641531,0.5080789946140036,0.0335690098245189,0.0035435822977712495,155.00000000000014,102.5
ENG,0.12367491166077739,0.002806806505776508,0.5089928057553957,0.04329822032264989,0.0032039508534500954,154.83333333333346,107.5
CD24,0.12367491166077739,0.00025060772373004537,0.50355871886121,0.04775698831962536,0.002997292578100846,153.8333333333335,107.5
ERN1,0.12014134275618374,0.0003508508132220635,0.5044563279857398,0.04635158000049508,0.0031482422844662126,153.66666666666683,111.0
RICTOR,0.12014134275618374,0.0011026739844121995,0.4904679376083189,0.03949023622258359,0.0032368638463272175,151.0000000000002,111.0
STK11,0.12014134275618374,0.0022554695135704084,0.493891797556719,0.04483925956610419,0.0030356422106520356,151.66666666666688,111.0
PSMA7,0.12014134275618374,0.0024810164649274494,0.4973637961335677,0.03955271851175411,0.0030538242959260637,152.33333333333348,111.0
PLAUR,0.12014134275618374,0.008821391875297596,0.4982394366197183,0.0343436955886106,0.002941592796637002,152.50000000000014,111.0
DDIT3,0.1166077738515901,0.0022178783550109017,0.5026642984014209,0.04441932413794821,0.003061019108051445,153.00000000000014,115.0
JAK3,0.1166077738515901,0.0002004861789840363,0.4913194444444444,0.0534974478482602,0.003296023799069727,150.8333333333335,115.0
CUL3,0.1166077738515901,0.0022554695135704084,0.49217391304347824,0.036134530744742176,0.003134468303726936,151.00000000000017,115.0
