gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
TNF,0.6354679802955665,0.04223772130907672,0.712280701754386,0.17221255521042292,0.01822318777422292,164.83333333333337,1.0
AKT1,0.6305418719211823,0.04273764814905136,0.7073170731707317,0.18900357713973673,0.019437982829900665,164.16666666666669,2.0
TP53,0.625615763546798,0.023777008242696192,0.6952054794520548,0.19909902034510815,0.019966384698968005,163.00000000000006,3.0
ACTB,0.6157635467980296,0.05649173291713408,0.7,0.1651688437494837,0.016516227572744097,162.58333333333337,4.0
CASP3,0.5369458128078818,0.05613812612788373,0.656957928802589,0.15504633720897043,0.014796012309844628,154.1666666666667,5.0
JUN,0.5320197044334976,0.02467931522216261,0.6527331189710611,0.17515508341614366,0.015902189821013157,153.50000000000006,6.0
BCL2,0.5270935960591133,0.023362434765644053,0.6506410256410257,0.16426714912923823,0.014692043727756104,153.00000000000006,7.5
STAT3,0.5270935960591133,0.015327025313368776,0.656957928802589,0.1785712342409082,0.015496425379994103,153.50000000000003,7.5
NFKB1,0.5172413793103449,0.030361410525288984,0.6506410256410257,0.16730007830214833,0.014599625219630553,152.3333333333334,9.0
HIF1A,0.5073891625615764,0.01502219187435985,0.6444444444444445,0.16278544542785284,0.014393758724433707,151.1666666666667,10.0
HSP90AA1,0.4630541871921182,0.014241818270497001,0.6207951070336392,0.14387113428884174,0.013032370621478051,146.16666666666674,11.5
CTNNB1,0.4630541871921182,0.016631712432326976,0.6226993865030674,0.1576021848963935,0.013417654704568412,146.3333333333334,11.5
IFNG,0.458128078817734,0.03082475735258255,0.6246153846153846,0.1355054392820033,0.012272053529490377,146.1666666666667,13.5
PTEN,0.458128078817734,0.02189923425840121,0.6189024390243902,0.1417580685254619,0.012119381033391515,145.66666666666674,13.5
TGFB1,0.4088669950738916,0.025020728673852608,0.6059701492537314,0.12599581548458885,0.010614625688000576,141.1666666666667,15.0
FOS,0.4039408866995074,0.009583963322440619,0.6005917159763313,0.14033703466007924,0.012072498926618066,140.3333333333334,16.0
EP300,0.39408866995073893,0.014217431595376287,0.5953079178885631,0.14623121941928136,0.012458934773059394,139.1666666666667,17.0
SIRT1,0.3842364532019705,0.01429059162073843,0.5901162790697675,0.1276925466476097,0.010733083456200604,138.00000000000006,18.5
HSPA4,0.3842364532019705,0.017607179437155538,0.5901162790697675,0.11977025618547278,0.010310170975977428,138.00000000000003,18.5
STAT1,0.3694581280788177,0.002243574111105692,0.5833333333333334,0.13964765070077928,0.010787300048224618,136.33333333333337,20.0
CD8A,0.3645320197044335,0.012717651075452373,0.5850144092219021,0.11219000872703004,0.009964081197929188,136.16666666666669,21.0
CREB1,0.33990147783251234,0.013022484514461299,0.58,0.12367461873594265,0.009562464655189057,134.00000000000003,22.0
NFE2L2,0.33497536945812806,0.005755255328488514,0.58,0.10693463907922775,0.00956242890487949,133.58333333333334,23.0
MAPK1,0.33004926108374383,0.0025849875627956885,0.5686274509803921,0.13045420965521254,0.010783742293058418,132.16666666666666,24.0
RELA,0.31527093596059114,0.0020484807101399795,0.5561643835616439,0.126606223626882,0.0092213148973551,130.03333333333327,25.0
BECN1,0.3054187192118227,0.00548700190216066,0.5607734806629834,0.09988483463572785,0.008501310061937096,129.66666666666663,26.0
PIK3R1,0.30049261083743845,0.006901429059162074,0.5546448087431693,0.0994145568001018,0.008600874543134993,128.6666666666666,27.0
RHOA,0.2955665024630542,0.010791103740915964,0.5623268698060941,0.09366665416204195,0.008845330761058345,129.28333333333327,28.0
UBC,0.29064039408866993,0.019680046822416232,0.5576923076923077,0.08460265957999806,0.008712590462891329,128.3333333333333,29.5
MYD88,0.29064039408866993,0.004694434960737453,0.5561643835616439,0.10070773185444165,0.007845943071609372,128.1666666666666,29.5
MDM2,0.2857142857142857,0.006779495683558504,0.553133514986376,0.11368477357470179,0.008666542220225637,127.49999999999993,32.0
NOTCH1,0.2857142857142857,0.002341120811588548,0.5546448087431693,0.10400913870566579,0.007391450469637674,127.6666666666666,32.0
CDKN2A,0.2857142857142857,0.0035604545676242503,0.5501355013550135,0.11004703672464003,0.0075594722863098875,127.3666666666666,32.0
