gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
ACTB,0.6177606177606177,0.06328005746610398,0.7134986225895317,0.16140667029903355,0.014947906356102974,208.6666666666667,2.0
AKT1,0.6177606177606177,0.04215677471491425,0.7095890410958904,0.18201755793531654,0.016847678191316263,208.3333333333334,2.0
TNF,0.6177606177606177,0.03421278421278421,0.7095890410958904,0.1730492737840914,0.015943610703179532,208.3333333333334,2.0
TP53,0.6138996138996139,0.01997096764538625,0.7076502732240437,0.1883962700163677,0.017704688958887216,207.8333333333334,4.0
STAT3,0.5212355212355212,0.023744674907465606,0.6624040920716112,0.17550987020264014,0.013628018401708275,195.66666666666674,5.0
JUN,0.4980694980694981,0.026233875071084375,0.6491228070175439,0.1668381716013659,0.013328060925860948,192.33333333333343,6.0
CASP3,0.49034749034749037,0.03781688665409596,0.6475,0.14980021721354292,0.012320866536528191,191.50000000000009,7.0
HIF1A,0.48262548262548266,0.02233545838197001,0.6442786069651741,0.15080012389435268,0.012003796209671683,190.50000000000009,8.0
CTNNB1,0.47104247104247104,0.03459190087097064,0.6379310344827587,0.14707610872255739,0.012197508481762761,188.83333333333343,9.5
NFKB1,0.47104247104247104,0.02159468438538206,0.6379310344827587,0.16110211374299743,0.012024527978020868,188.83333333333343,9.5
HSP90AA1,0.44787644787644787,0.03601608252771043,0.6317073170731707,0.1371344820861985,0.011795116363890829,186.16666666666674,11.0
TLR4,0.4362934362934363,0.008335578103019964,0.6271186440677966,0.13738692968756466,0.011595403841929868,184.66666666666674,12.0
PTEN,0.43243243243243246,0.022298045553859506,0.6225961538461539,0.13041856749659303,0.010353958239821217,183.83333333333343,13.0
CD4,0.416988416988417,0.03177097363143875,0.6108490566037735,0.12263367080855844,0.010582915813212522,181.1666666666668,14.0
SIRT1,0.3861003861003861,0.01996348507976415,0.6051401869158879,0.11826739090595391,0.0097657740538771,177.83333333333343,15.5
TGFB1,0.3861003861003861,0.017239831193319566,0.6051401869158879,0.1190275707257535,0.00918893210311905,177.83333333333343,15.5
FOS,0.36293436293436293,0.012907425698123372,0.5967741935483871,0.131378560398492,0.009709156794358595,174.83333333333343,17.0
EP300,0.3590733590733591,0.008649845859148185,0.5940366972477065,0.13015140724063984,0.010203128245100288,174.16666666666677,18.0
HSPA4,0.35135135135135137,0.012540779982640448,0.591324200913242,0.1149036805887488,0.0087752419606602,173.16666666666677,19.0
STAT1,0.3474903474903475,0.0032474334799916195,0.5859728506787331,0.13638618367262093,0.009165854839457265,172.1666666666668,20.5
CXCL8,0.3474903474903475,0.008672293556014486,0.591324200913242,0.11635270342496908,0.009175318293907385,172.83333333333343,20.5
PTGS2,0.3359073359073359,0.009398102421358235,0.5820224719101124,0.11430063938277478,0.007885354171986604,170.6666666666668,22.0
CREB1,0.32432432432432434,0.0088743228278112,0.5820224719101124,0.11598120356398554,0.008133158534397144,169.66666666666677,23.5
ICAM1,0.32432432432432434,0.010520487264673311,0.5794183445190156,0.10387690864596962,0.007664607064534847,169.33333333333346,23.5
JAK2,0.31660231660231664,0.014905270719224208,0.5730088495575221,0.10901099122880212,0.008104835988219223,167.83333333333348,25.0
MAPK1,0.3088803088803089,0.0047888419981443235,0.5679824561403509,0.11814897112227328,0.008759795652788255,166.50000000000017,26.5
NFE2L2,0.3088803088803089,0.004160306485887881,0.5742793791574279,0.10272905418089857,0.007671166138769473,167.33333333333346,26.5
TLR2,0.305019305019305,0.004654155816946515,0.5717439293598234,0.10052896286487864,0.007943306112580678,166.6666666666668,28.0
ITGAM,0.30115830115830117,0.008709706384124988,0.5704845814977973,0.08836455943246477,0.007348756886468098,166.1666666666668,29.0
RELA,0.29343629343629346,0.003890934123492263,0.5655021834061136,0.12508206542247996,0.00782835753636373,164.83333333333348,30.0
MYD88,0.2895752895752896,0.004706533776301218,0.5655021834061136,0.10682262749303224,0.007389691985521107,164.50000000000014,31.5
CASP1,0.2895752895752896,0.007385292269013199,0.5667396061269147,0.09432985332173863,0.0069405818832125425,164.6666666666668,31.5
APOE,0.2857142857142857,0.015219538475352429,0.5655021834061136,0.07529072294689694,0.007856145984803574,164.1666666666668,34.0
HMOX1,0.2857142857142857,0.005222830804226153,0.5667396061269147,0.09157672641109846,0.006868819255540418,164.33333333333346,34.0
CDKN1A,0.2857142857142857,0.0034868755798988355,0.5593952483801296,0.10455535690343457,0.0071793403345196535,163.3333333333335,34.0
MDM2,0.2702702702702703,0.003875968992248062,0.555793991416309,0.09972250852789223,0.007115206247083545,161.50000000000017,36.0
SOCS3,0.26640926640926643,0.0054622729041333695,0.5546038543897216,0.09273595787171264,0.006473893552694111,161.00000000000014,37.0
PARP1,0.2625482625482626,0.004803807129388524,0.5534188034188035,0.09367902940835114,0.006426365082690256,160.50000000000017,38.5
HDAC1,0.2625482625482626,0.006120738678878214,0.555793991416309,0.10612296663465343,0.0073831400841693415,160.83333333333348,38.5
BECN1,0.25868725868725867,0.004773876866900123,0.551063829787234,0.0851442983315431,0.006272320175890312,159.8333333333335,40.5
IKBKB,0.25868725868725867,0.003479393014276735,0.5522388059701493,0.09927732161634255,0.006286365093005678,160.00000000000017,40.5
IL18,0.2548262548262548,0.005073179491784143,0.5522388059701493,0.08561985048793036,0.006285038555157472,159.6666666666668,42.0
SOD2,0.25096525096525096,0.011059231989464548,0.5546038543897216,0.06566179977944557,0.006247218652107767,159.6666666666668,43.5
SMAD2,0.25096525096525096,0.004055550567178474,0.5452631578947369,0.09168368400318977,0.006093239228616035,158.41666666666683,43.5
STAT5A,0.2471042471042471,0.004339888060818293,0.5464135021097046,0.09505745488263567,0.006030893043639854,158.16666666666686,46.0
CYBB,0.2471042471042471,0.010034120499236777,0.5498938428874734,0.07670809532826597,0.006391393169779232,158.6666666666668,46.0
UBC,0.2471042471042471,0.01243602406393104,0.5441176470588235,0.075346676757279,0.0069027862108310255,157.83333333333348,46.0
IRF1,0.24324324324324326,0.00473646403878962,0.5464135021097046,0.09013746293385076,0.005990889794890603,157.8333333333335,48.0
PIK3CA,0.23938223938223938,0.00044895393732603036,0.5395833333333333,0.0896898277973949,0.00681389874333448,156.5000000000002,49.5
TXN,0.23938223938223938,0.014598485528718086,0.548728813559322,0.07238854250112757,0.006073423165447629,157.83333333333346,49.5
CXCL10,0.23552123552123552,0.006390111041273832,0.5452631578947369,0.07994304304685527,0.00578498851009737,157.00000000000014,51.5
SMAD4,0.23552123552123552,0.007048576816018676,0.5429769392033543,0.08540697636485166,0.005876554904763896,156.66666666666683,51.5
SOD1,0.23166023166023167,0.008500194546706174,0.547568710359408,0.05873980852288003,0.006469890595104894,157.00000000000014,53.5
PECAM1,0.23166023166023167,0.006614588009936847,0.5441176470588235,0.07183740459742184,0.005723327583023461,156.50000000000014,53.5
JAK1,0.22779922779922782,0.0016162341743737093,0.5407098121085595,0.0884153128625226,0.005732158079254843,155.66666666666683,55.0
LYN,0.22393822393822393,0.009278381371404626,0.5418410041841004,0.07556081474515239,0.005832856848618908,155.50000000000014,56.0
B2M,0.22007722007722008,0.009457962946335038,0.5498938428874734,0.06228136397363702,0.005799887357056716,156.3333333333334,57.0
SOCS1,0.21235521235521235,0.004549399898237107,0.5329218106995884,0.07891071787924707,0.005258927704260148,153.25000000000014,58.0
TIMP1,0.20463320463320464,0.0059561222351920025,0.5373443983402489,0.06143094225209279,0.004957506669672826,153.1666666666668,59.0
IRF3,0.2007722007722008,0.004160306485887881,0.5351239669421488,0.0804577626557368,0.005007101069751512,152.5000000000001,60.0
FYN,0.1969111969111969,0.0017060249618389154,0.5318275154004107,0.07261821371593034,0.00534877012745779,151.6666666666668,62.0
EGR1,0.1969111969111969,0.0021250486366765436,0.534020618556701,0.08326460509396869,0.005214568052732076,152.08333333333343,62.0
GPX3,0.1969111969111969,0.00502828409805154,0.5362318840579711,0.05985881808380746,0.005065090389678552,152.33333333333343,62.0
PTPN11,0.19305019305019305,0.00354673610487564,0.5274949083503055,0.07137963759237514,0.005140055148875028,150.7500000000001,64.0
DNMT1,0.1891891891891892,0.0023644907365837596,0.5307377049180327,0.06942094477541397,0.005123488355116559,150.83333333333346,65.0
RPS6KB1,0.18532818532818535,0.005237795935470354,0.5296523517382413,0.07231042893038228,0.004540594618266587,150.33333333333348,67.0
HDAC2,0.18532818532818535,0.001466582861931699,0.5242914979757085,0.07485324125148199,0.005119547875788432,149.50000000000014,67.0
