gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
ALB,0.4830188679245283,0.09048027444253859,0.6444817144188213,0.1782105807475921,0.01738505563318399,194.3333333333334,1.0
TP53,0.4641509433962264,0.0415809033733562,0.6319978071177303,0.21922205462576508,0.018811074095017824,191.33333333333343,2.0
TGFB1,0.3886792452830189,0.02334190966266438,0.6042016072676449,0.18552186093396786,0.013832997441297595,181.50000000000009,3.0
HIF1A,0.3849056603773585,0.03133218982275586,0.6014172680636466,0.18272568896266764,0.013644869939286052,180.83333333333343,4.0
BCL2,0.38113207547169814,0.03463407661520869,0.5972885453995941,0.18050228994772607,0.013519738345011825,180.00000000000006,5.0
CTNNB1,0.3735849056603774,0.03416237850200114,0.6000346996313164,0.19150946307854855,0.014512354059055415,179.66666666666674,6.0
NFKB1,0.369811320754717,0.034834190966266436,0.5905318876462051,0.1786686127051329,0.013124281818133814,178.16666666666674,7.0
FN1,0.35471698113207545,0.01789594053744997,0.5826229784366577,0.173468372823454,0.014073446033738283,175.83333333333346,8.0
TLR4,0.3433962264150943,0.017424242424242422,0.5800335429769392,0.1562204480342111,0.012491419180126622,174.50000000000009,9.0
PTEN,0.32075471698113206,0.03284019439679817,0.5686603362519013,0.15930026359018043,0.011598502244333746,171.0000000000001,10.0
APOE,0.3169811320754717,0.03862921669525443,0.5736595479991706,0.12037376491500303,0.012577891108316037,171.33333333333343,11.0
ESR1,0.2943396226415094,0.056982561463693536,0.5613227835260701,0.14738020742804103,0.011783844660053075,167.6666666666668,12.0
MMP2,0.29056603773584905,0.01999714122355632,0.563747503973267,0.14229356893407782,0.01025625778918621,167.66666666666677,13.0
VCAM1,0.2792452830188679,0.02219839908519154,0.5553512645523886,0.12013423407556992,0.009081362378745102,165.5000000000001,14.0
FGF2,0.27547169811320754,0.01583047455688965,0.5529980812280141,0.13770046755758317,0.009327147493134041,164.83333333333346,15.0
FOS,0.27169811320754716,0.007104059462550028,0.5518289520922254,0.15213636830561983,0.010174310956961028,164.33333333333346,16.0
CDH1,0.2679245283018868,0.01568038879359634,0.5518289520922254,0.13893875836298983,0.009303460739081481,164.0000000000001,17.5
STAT1,0.2679245283018868,0.008962264150943396,0.5472014556386219,0.14114954050119927,0.010256305404046673,163.33333333333348,17.5
FOXO1,0.2528301886792453,0.0114136649514008,0.5415250919909183,0.12731599932035131,0.01005561160375918,161.1666666666668,19.0
RHOA,0.23773584905660378,0.02399942824471126,0.5392873849992204,0.11180679386079614,0.008493131773527646,159.50000000000014,20.5
TIMP1,0.23773584905660378,0.01592338479130932,0.5370680953490178,0.11175872465835993,0.008000710891881861,159.25000000000014,20.5
SMAD2,0.2188679245283019,0.011120640365923385,0.5315989701417976,0.13112359590922773,0.007854899856244192,156.66666666666683,22.0
CDKN1A,0.21509433962264152,0.01194253859348199,0.525181276337269,0.11690311547722103,0.0075632135643092895,155.33333333333348,23.0
CREB1,0.21132075471698114,0.007768724985706118,0.5315989701417976,0.1288084849915859,0.008144546976034603,156.0000000000001,24.0
IL18,0.20754716981132076,0.013050314465408804,0.5158401073905586,0.09203602887556796,0.006792336792825257,153.2500000000002,26.0
SMAD4,0.20754716981132076,0.004445397369925672,0.5262401095556909,0.12608805566712097,0.0075659071989873945,154.83333333333348,26.0
