gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5741444866920152,0.04150098201414487,0.6816189713828298,0.1946813623900539,0.01812923729488986,204.58333333333337,1.0
ACTB,0.5703422053231939,0.047784905039715934,0.6834174383257924,0.17267590055827767,0.01641047110466309,204.41666666666669,2.0
TP53,0.5437262357414449,0.02234928743505645,0.6590717789452297,0.1967957761240959,0.017739903902903607,199.75000000000009,3.0
ALB,0.4790874524714829,0.05262966940469625,0.6411267552610775,0.13713734198811525,0.013626648647396976,192.25000000000003,4.0
EGFR,0.467680608365019,0.018583287377006357,0.6286776920521245,0.1735077457831871,0.014286349917760134,189.91666666666674,5.0
CTNNB1,0.4600760456273764,0.031927553478652074,0.622632714243931,0.17218088039763352,0.014406170362673687,188.58333333333343,6.0
STAT3,0.4448669201520912,0.017951992569587554,0.619653610348027,0.17476684297657388,0.013486477614581825,186.91666666666674,7.5
HIF1A,0.4448669201520912,0.02017240878878472,0.6167028788701793,0.1641452120910825,0.012699542346410034,186.58333333333343,7.5
JUN,0.44106463878326996,0.01715380373262125,0.6123290995874121,0.1726943649797538,0.013458985334345714,185.7500000000001,9.0
BCL2,0.41825095057034223,0.022030011900269934,0.6065929956100125,0.15737948451564365,0.012172138080264286,183.08333333333343,10.0
HSP90AA1,0.3992395437262357,0.04198473282442748,0.6080169228297542,0.14274584747820102,0.012423996123885894,181.50000000000009,11.0
FN1,0.3916349809885932,0.017023191013844946,0.5968092376163026,0.1394390002154949,0.012413987080103803,179.5833333333334,12.0
NFKB1,0.38783269961977185,0.023698952195744926,0.5954372623574145,0.1490357193974534,0.011077400433775295,179.08333333333343,13.0
PTEN,0.3840304182509506,0.018300293152991032,0.5927121490285475,0.14384099836719172,0.010947717190899937,178.41666666666677,14.0
CCL2,0.34980988593155893,0.02106492903375613,0.5886709298306256,0.11432614701130471,0.009817388502223127,174.9166666666667,15.5
CCND1,0.34980988593155893,0.020835147398871892,0.5807515899674335,0.1390490246200571,0.009565671917283323,173.91666666666677,15.5
HSPA4,0.33460076045627374,0.017552898151104404,0.5807515899674335,0.1246024360363595,0.009939007112092944,172.50000000000009,17.5
CDH1,0.33460076045627374,0.015862189069166692,0.5730424980652108,0.12731804994562912,0.009475631752755802,171.58333333333343,17.5
IGF1,0.3231939163498099,0.010122485705163557,0.5717775035882456,0.11763115805189703,0.00919957459235168,170.41666666666674,19.0
FOS,0.30798479087452474,0.01342408498534235,0.566772886489005,0.13590826349332202,0.009974227926864556,168.41666666666677,20.0
FGF2,0.30038022813688214,0.007735175456418889,0.5546364221102255,0.11227222293593828,0.008286353337465913,166.08333333333346,21.5
APOE,0.30038022813688214,0.03517835892375119,0.564303287855066,0.08360052076657591,0.009705903337377069,167.41666666666674,21.5
EP300,0.2889733840304182,0.006849911473601718,0.557021955108549,0.12862002206940534,0.009996180934335613,165.41666666666674,23.5
RHOA,0.2889733840304182,0.021275360636229066,0.5534513015501609,0.10290490719778599,0.008395833036870476,164.9166666666668,23.5
CREB1,0.27756653992395436,0.013278959742257568,0.5534513015501609,0.12262130965970695,0.008341068446674054,163.91666666666677,25.0
ICAM1,0.2737642585551331,0.012342901924360723,0.5558266290246251,0.09910560197910141,0.007564529720764071,163.91666666666674,26.0
SMAD3,0.26996197718631176,0.0031347052506312946,0.5452951771062639,0.12549291084719755,0.008240063797041,162.08333333333346,27.0
SMAD2,0.2661596958174905,0.003570080979885641,0.543008824162422,0.1152520134703527,0.007689519775209658,161.41666666666677,28.0
MAPK1,0.2623574144486692,0.004397294865468899,0.5418728224382328,0.1232149769241475,0.008631058967527423,160.91666666666674,29.5
SMAD4,0.2623574144486692,0.010282123472556816,0.5441495990030994,0.11052498292164041,0.007387243709134386,161.2500000000001,29.5
NFE2L2,0.2585551330798479,0.011406844106463879,0.5441495990030994,0.09694783793243257,0.007529762375108407,160.91666666666674,31.0
STAT1,0.25475285171102663,0.00528255884828607,0.5418728224382328,0.11696056673077258,0.007888061731874571,160.33333333333343,32.0
TIMP1,0.24334600760456274,0.008751052158012364,0.5351553907551143,0.08360925730635764,0.006612814699630165,158.33333333333346,33.0
VCAM1,0.23954372623574144,0.008794589730937798,0.540741563936274,0.08495616931252829,0.0065436528477159535,158.7500000000001,34.0
MDM2,0.23574144486692014,0.004774620497489333,0.5307688711587608,0.10916575315249717,0.00734173818558753,156.91666666666677,36.0
BECN1,0.23574144486692014,0.006443560792964328,0.5296834542443258,0.09372904322972747,0.006895080690780485,156.7500000000001,36.0
PIK3R1,0.23574144486692014,0.004498882535628247,0.5307688711587608,0.09614301499761907,0.0072015858192670795,157.0000000000001,36.0
IGF1R,0.23193916349809887,0.011697094592633442,0.5275258841659375,0.10038373570792053,0.006989046644332576,156.1666666666668,38.0
RELA,0.22813688212927757,0.003889356514672162,0.5275258841659375,0.11238232947802686,0.0070559370735453625,155.75000000000009,39.5
THBS1,0.22813688212927757,0.0071764432705424775,0.5318587456375263,0.08102030494359883,0.00656961933925181,156.41666666666677,39.5
