gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.6190476190476191,0.09535458018823968,0.7067307692307693,0.2449267375869579,0.029960114901275214,118.16666666666664,1.0
ACTB,0.5714285714285714,0.06350759481874942,0.6805555555555556,0.21694369995843893,0.0242006506025587,114.49999999999997,2.0
STAT3,0.5102040816326531,0.04035038673003448,0.6533333333333333,0.22283248118624477,0.023986583197633585,109.99999999999997,3.0
CASP3,0.4897959183673469,0.05544683626875408,0.6363636363636364,0.20678578467090317,0.02227917170619955,107.99999999999996,4.0
JUN,0.47619047619047616,0.04500978473581214,0.6282051282051282,0.21319528428656137,0.021623446959938467,106.91666666666663,5.0
HSP90AA1,0.4557823129251701,0.0212468549063461,0.6282051282051282,0.20469472421821042,0.021065431564751852,105.8333333333333,6.0
BCL2,0.4489795918367347,0.014211163917621844,0.620253164556962,0.20738436143362804,0.02094970933594773,104.99999999999996,7.0
CTNNB1,0.4013605442176871,0.025719876991892647,0.5975609756097561,0.18400557196134146,0.018259857952394924,101.16666666666663,8.0
PTEN,0.37414965986394555,0.029004752585965896,0.588,0.17027689174474736,0.015834997003597386,99.16666666666663,9.0
HSPA4,0.36734693877551017,0.01870748299319728,0.5856573705179283,0.16474964038770162,0.015775562740992392,98.74999999999996,10.0
STAT1,0.36054421768707484,0.01481688565837294,0.5856573705179283,0.17196151942926993,0.016532436588390383,98.33333333333329,11.0
FOS,0.3401360544217687,0.01840462212282173,0.5787401574803149,0.1625504317334764,0.01600682153215431,96.83333333333329,12.0
NFE2L2,0.32653061224489793,0.023576553909234927,0.57421875,0.145558331101327,0.01424552428456408,95.91666666666663,13.0
ICAM1,0.31972789115646255,0.04473022085546548,0.57421875,0.12491659532622172,0.013536153006893769,95.49999999999997,14.0
UBC,0.2857142857142857,0.006616345168204268,0.5610687022900763,0.11268273282518732,0.012869343786854332,92.8333333333333,15.0
PARP1,0.2789115646258503,0.020361569285248345,0.5526315789473685,0.13337145222635124,0.011477490253090326,91.91666666666661,16.5
TXN,0.2789115646258503,0.04643090112757432,0.55893536121673,0.10713126579958869,0.011852262838857527,92.41666666666664,16.5
MDM2,0.27210884353741494,0.007082284968782034,0.5464684014869888,0.14484235200459702,0.013005349084708361,91.24999999999996,18.5
SOD1,0.27210884353741494,0.01616811108004846,0.5547169811320755,0.09824534139127954,0.012777203404332233,91.74999999999997,18.5
SOCS3,0.2653061224489796,0.007920976609822012,0.5384615384615384,0.12270102372637746,0.011788532156525979,90.16666666666663,21.0
RHOA,0.2653061224489796,0.026232410772528192,0.550561797752809,0.11685099774815522,0.012621810017571018,90.99999999999996,21.0
CDKN1A,0.2653061224489796,0.005498089646817632,0.5444444444444444,0.1484092617854307,0.011613443117830318,90.58333333333329,21.0
IRF1,0.2585034013605442,0.02369303885937937,0.5485074626865671,0.1112155945905685,0.0108355860245161,90.49999999999994,24.0
SOD2,0.2585034013605442,0.014653806728170722,0.550561797752809,0.0956180435289714,0.011210363802313203,90.74999999999997,24.0
RELA,0.2585034013605442,0.004379834125430995,0.5345454545454545,0.1466735295947868,0.01205493716190398,89.49999999999997,24.0
IGF1,0.25170068027210885,0.018358028142763955,0.5464684014869888,0.11871799614231335,0.010300291031978662,89.99999999999996,26.0
B2M,0.23809523809523808,0.026744944553163733,0.5444444444444444,0.08376175586223233,0.011150618814510972,89.16666666666663,27.5
PIK3CA,0.23809523809523808,0.0014910073618488492,0.5306859205776173,0.12946115794868834,0.011599414856983774,88.24999999999997,27.5
HMGB1,0.21768707482993196,0.008386916410399776,0.5306859205776173,0.09759240406554999,0.00885708832250591,87.0833333333333,29.0
TIMP1,0.21088435374149658,0.029563880346659212,0.532608695652174,0.0776727378560669,0.009226973772833776,86.8333333333333,30.5
EIF2AK3,0.21088435374149658,0.011392228124126363,0.5268817204301075,0.10760478041409746,0.009147862512338891,86.5833333333333,30.5
CTSS,0.20408163265306123,0.0200587084148728,0.5231316725978647,0.06729137975306325,0.009598332602106914,85.6666666666666,33.0
IRF3,0.20408163265306123,0.012859938495946324,0.5231316725978647,0.1025510423562001,0.009015844260042417,85.74999999999996,33.0
PECAM1,0.20408163265306123,0.014910073618488492,0.5268817204301075,0.08368078075100577,0.009149430945956548,86.08333333333329,33.0
JAK1,0.19727891156462585,0.003028608703755475,0.525,0.10540007587745365,0.009225076403565458,85.58333333333329,35.5
EGR1,0.19727891156462585,0.003214984623986581,0.5231316725978647,0.11286464363034406,0.009252998130876423,85.41666666666663,35.5
XBP1,0.19047619047619047,0.021852576647097197,0.5231316725978647,0.08300412825468395,0.010019420268310014,85.16666666666661,37.0
BTK,0.18367346938775508,0.009109123101295313,0.5212765957446809,0.07514526377035118,0.008548699593657684,84.58333333333329,38.5
PARK7,0.18367346938775508,0.004519616065604324,0.5104166666666666,0.07765565926560497,0.0088514231814568,83.66666666666664,38.5
PPIA,0.17687074829931973,0.01090299133351971,0.5157894736842106,0.06304484246099462,0.007846918594012318,83.66666666666661,41.0
PINK1,0.17687074829931973,0.0073618488491286925,0.513986013986014,0.08211123673099474,0.00801290566558707,83.74999999999997,41.0
CDKN1B,0.17687074829931973,0.0020501351225421676,0.5104166666666666,0.09757184549177057,0.007634126697299221,83.49999999999997,41.0
PRDX1,0.17006802721088435,0.010530239493057498,0.5121951219512195,0.06853014305498703,0.007771509229392192,83.16666666666664,44.5
CD74,0.17006802721088435,0.017612524461839533,0.506896551724138,0.04213232641621929,0.008328468086096523,82.49999999999994,44.5
TXNIP,0.17006802721088435,0.012021246854906346,0.5104166666666666,0.06349613119998265,0.006880955551677072,83.0833333333333,44.5
PKM,0.17006802721088435,0.003541142484391017,0.5121951219512195,0.07484483376759174,0.008420452576731526,83.24999999999997,44.5
HSPB1,0.16326530612244897,0.007967570589879788,0.5121951219512195,0.0878133686124291,0.0071760262273640055,82.83333333333331,47.5
PSMA7,0.16326530612244897,0.0031683906439288045,0.4916387959866221,0.06219828889606251,0.007075948682467384,80.74999999999993,47.5
BAX,0.1564625850340136,0.004659398005777654,0.506896551724138,0.07766789537733645,0.006764845603874184,82.0833333333333,51.0
LDHA,0.1564625850340136,0.010250675612710838,0.513986013986014,0.0591278488218523,0.00691367825307597,82.58333333333331,51.0
