gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.6343612334801763,0.09538614478967682,0.7160883280757098,0.22691521895478625,0.023583987128471876,184.4166666666667,1.0
ACTB,0.6035242290748899,0.07241433082530896,0.6899696048632219,0.1949899953586304,0.02020601367025375,180.16666666666674,2.0
STAT3,0.4669603524229075,0.03186035632139098,0.628808864265928,0.20070390561859094,0.016728214849235645,164.50000000000009,3.0
HIF1A,0.4581497797356829,0.029589489688511172,0.6270718232044199,0.18618980490064327,0.015496484585129922,163.66666666666674,4.0
CTNNB1,0.44493392070484583,0.028790300573077073,0.6219178082191781,0.19186054375642164,0.016360700110895597,162.16666666666674,5.0
JUN,0.4405286343612335,0.03440411679856536,0.6168478260869565,0.19107787574139293,0.016326979063966574,161.33333333333343,6.0
HSP90AA1,0.4140969162995595,0.025905422790534482,0.5973684210526315,0.16840630825837105,0.014511799246009996,157.33333333333346,7.0
PTEN,0.40969162995594716,0.02687029745429028,0.606951871657754,0.1704818570637662,0.013723594057019067,158.00000000000009,8.0
TGFB1,0.39647577092511016,0.04034930412069705,0.6021220159151194,0.14661363457832163,0.013192538879751756,156.50000000000009,9.0
IGF1,0.3259911894273128,0.022435772484503527,0.5717884130982368,0.12589227074252213,0.010855106381923755,147.83333333333343,11.0
CCND1,0.3259911894273128,0.021422166777123698,0.5761421319796954,0.15569451677591897,0.010743679318538918,148.3333333333334,11.0
FOS,0.3259911894273128,0.021207750185177968,0.5732323232323232,0.15493570459668077,0.011958367701674955,148.00000000000009,11.0
HSPA4,0.3127753303964758,0.011266617285875795,0.5604938271604938,0.12623678075603673,0.010634032839511375,145.50000000000003,13.0
RHOA,0.30837004405286345,0.032708276480449106,0.5660847880299252,0.12013321198562807,0.010829977038224069,145.83333333333343,14.5
EP300,0.30837004405286345,0.010038594986550232,0.5646766169154229,0.1572542394823177,0.012149179592432972,145.66666666666674,14.5
APOE,0.29515418502202645,0.05392577287435188,0.5717884130982368,0.0792674797886569,0.011622053836208587,145.41666666666674,16.0
MAPK1,0.28634361233480177,0.007309656543604538,0.5443645083932853,0.14826439020949603,0.011084921505317615,141.66666666666666,17.0
CREB1,0.27753303964757714,0.015145608358348602,0.549636803874092,0.1402259784149598,0.009730377935975462,141.50000000000006,18.0
STAT1,0.26872246696035246,0.00621808116642626,0.549636803874092,0.138091002844034,0.00979323833804372,140.8333333333334,19.0
SMAD2,0.25550660792951546,0.009590269385209155,0.5391923990498813,0.12818070989558317,0.008975796420394587,138.70000000000002,20.0
NFE2L2,0.2511013215859031,0.005769755565085182,0.5430622009569378,0.11015900999855467,0.008546785250525116,138.6666666666667,22.0
MDM2,0.2511013215859031,0.006013410783205333,0.531615925058548,0.1291437840953444,0.00903782389655573,137.33333333333331,22.0
KDR,0.2511013215859031,0.0066469143503177265,0.5430622009569378,0.11202739883988654,0.009411579720213996,138.86666666666667,22.0
PIK3R1,0.24669603524229078,0.003645082063077463,0.5328638497652582,0.12151237643806118,0.008968738789714777,137.16666666666669,24.5
UBC,0.24669603524229078,0.023926942419398856,0.5417661097852029,0.09002355698569742,0.009282093200395242,138.08333333333337,24.5
JAK2,0.24229074889867844,0.009317375540914585,0.530373831775701,0.12647337223449498,0.009331061616523046,136.7,27.0
PARP1,0.24229074889867844,0.013342559744259484,0.5291375291375291,0.10960563692136625,0.007523582905737779,136.33333333333334,27.0
SMAD4,0.24229074889867844,0.007212194456356478,0.5341176470588235,0.12502162330385178,0.008425179949464586,137.03333333333336,27.0
PIK3CA,0.22907488986784144,0.0003508635140930178,0.5206422018348624,0.12818766520465108,0.008594822645064393,134.36666666666665,29.0
IGF1R,0.2246696035242291,0.004980312658375892,0.5266821345707656,0.11489428204349576,0.007997537913329685,134.70000000000002,30.0
HDAC1,0.22026431718061676,0.006744376437565787,0.5254629629629629,0.1256946808709204,0.008786301965862522,134.16666666666666,31.0
SOD1,0.2114537444933921,0.011763673930840903,0.5341176470588235,0.05996787324377636,0.008016798230043485,134.4166666666667,32.0
SOD2,0.19823788546255508,0.01261159408989903,0.5279069767441861,0.06548300432627223,0.006856582421828894,132.58333333333337,34.0
SOCS3,0.19823788546255508,0.0030408171221394877,0.5218390804597701,0.09379948139126755,0.007194574847171697,132.0333333333333,34.0
TIMP1,0.19823788546255508,0.011909867061712993,0.530373831775701,0.06854772719659548,0.006789479786409075,132.99999999999997,34.0
TXN,0.19383259911894274,0.01599352851740673,0.5291375291375291,0.07074606305730381,0.006680766047765857,132.41666666666666,36.5
THBS1,0.19383259911894274,0.019433940197263265,0.5291375291375291,0.07235754966775827,0.007194845015515292,132.5,36.5
FYN,0.18942731277533043,0.006510467428170442,0.5230414746543779,0.09096618324219909,0.007003484441718748,131.5,38.0
SREBF1,0.18502202643171808,0.003956960742271256,0.5206422018348624,0.07390589787076945,0.006466807176982967,130.66666666666663,39.0
PRKCA,0.18061674008810574,0.005194729250321625,0.5078299776286354,0.08115144224230374,0.006076598519904293,128.94999999999993,40.5
EGR1,0.18061674008810574,0.0030798019570387122,0.5242494226327945,0.10323186000704718,0.00675499334669266,130.83333333333331,40.5
