gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5974025974025974,0.0678681222159483,0.6957831325301205,0.20339330632845007,0.020355786167907473,183.1666666666667,1.0
ACTB,0.5757575757575758,0.0935159043854696,0.6834319526627219,0.1712315301359967,0.017642419746470597,180.50000000000006,2.0
TP53,0.5627705627705628,0.025155279503105588,0.6774193548387096,0.2093652792346307,0.020647861290982592,179.00000000000006,3.0
EGFR,0.48484848484848486,0.03380701424179685,0.6416666666666667,0.17382591293952102,0.0167343887922674,169.8333333333334,4.0
HIF1A,0.45454545454545453,0.027931488801054016,0.6277173913043478,0.17080268724147193,0.014302315638591872,166.16666666666674,6.0
JUN,0.45454545454545453,0.02416713721061547,0.6294277929155313,0.18250064849744435,0.015289110898794351,166.3333333333334,6.0
CTNNB1,0.45454545454545453,0.03475437605872388,0.6226415094339622,0.1732905960409897,0.015901590811611716,165.75000000000009,6.0
SRC,0.4025974025974026,0.017156032373423676,0.5968992248062015,0.16134193340576136,0.014091451225533645,159.08333333333343,8.0
HSP90AA1,0.3939393939393939,0.04184076792772445,0.6031331592689295,0.14731885728567176,0.014105481433650232,159.00000000000006,9.0
PTEN,0.38961038961038963,0.03226049313005835,0.5938303341902313,0.15446822017307593,0.012666105955464165,157.75000000000009,10.0
PPARG,0.3722943722943723,0.03176171654432524,0.5938303341902313,0.1387013215855085,0.01153655817153251,156.3333333333334,11.0
TGFB1,0.36363636363636365,0.02251082251082251,0.5907928388746803,0.13412598477375795,0.011091255482145316,155.3333333333334,12.0
SIRT1,0.3593073593073593,0.023916180437919567,0.5775,0.1297272619511668,0.011015548809901883,153.58333333333343,13.5
FOS,0.3593073593073593,0.0065499717673630714,0.5862944162436549,0.15506499250503167,0.012043223790765691,154.50000000000009,13.5
EP300,0.35064935064935066,0.014135140222096743,0.5775,0.15517290802808006,0.012845023756324278,152.9166666666667,15.0
STAT1,0.329004329004329,0.008356860530773573,0.5717821782178217,0.13862963172848788,0.010583621184221702,150.5833333333334,16.0
CDH1,0.3203463203463203,0.01906644080557124,0.5717821782178217,0.1214953139662378,0.010189856279077897,149.9166666666667,17.5
