gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
AKT1,0.5551181102362205,0.06588652702997105,0.6757182379229624,0.21046350537582104,0.0205076434428365,195.3333333333334,1.0
ACTB,0.5039370078740157,0.06468052659425477,0.6460355246291889,0.17963994140959397,0.01663220083469769,188.25000000000009,2.0
TP53,0.4921259842519685,0.03260869565217391,0.6410660205935796,0.20539064148711011,0.019390845595294352,186.75000000000009,3.0
STAT3,0.4409448818897638,0.031247082257010367,0.6188508614640992,0.1951871448095882,0.015689872782368698,180.08333333333343,4.0
HIF1A,0.41732283464566927,0.030328965796271513,0.606834339882272,0.16932955551233378,0.013908290691932793,176.75000000000009,5.0
CTNNB1,0.39763779527559057,0.03123152096106564,0.5981237991184116,0.17431285389149043,0.01465482980667424,174.08333333333343,6.0
JUN,0.38976377952755903,0.019117052068096232,0.5952755905511811,0.18190293988231557,0.013934384776307327,173.08333333333343,7.0
FN1,0.38188976377952755,0.027481248638386607,0.5952755905511811,0.15008858541183903,0.014537471226193357,172.41666666666674,8.0
TGFB1,0.3700787401574803,0.018183374311412655,0.589659783093151,0.1570877665086211,0.01215755483404613,170.75000000000009,9.0
PTEN,0.35039370078740156,0.027823597149170584,0.5827872914487088,0.1541686272550807,0.011869050806025357,168.25000000000009,11.0
CCL2,0.35039370078740156,0.03126264355295509,0.5882723483094024,0.13386310561316694,0.011172618060217984,168.9166666666667,11.0
HSP90AA1,0.35039370078740156,0.036530142230244936,0.5855169743126372,0.1493381563348051,0.01325493329925068,168.5833333333334,11.0
TLR4,0.3307086614173228,0.014285269677258723,0.578740157480315,0.13351859862153287,0.011408054967909913,166.0833333333334,13.0
EGF,0.3228346456692913,0.012324546388223211,0.5734306147511378,0.14508678667096978,0.010969258788025767,164.8333333333334,14.0
FOS,0.30708661417322836,0.006597989480563941,0.5643696343826096,0.14966813137069473,0.010758779243249266,162.33333333333343,15.0
MMP2,0.29133858267716534,0.014837695683296506,0.5555905511811025,0.12533461876520868,0.009644055954200112,159.8333333333334,16.0
ICAM1,0.28346456692913385,0.022322679032709847,0.5494851605087826,0.11370156612478251,0.008805777121651835,158.41666666666674,17.5
CCND1,0.28346456692913385,0.011219694376147647,0.5568279466180314,0.1462612216620757,0.009502224959654467,159.25000000000009,17.5
RHOA,0.2755905511811024,0.020284149263950703,0.550695480245586,0.11934448632427327,0.00991827761347603,157.75000000000006,19.0
STAT1,0.26771653543307083,0.006022221530609069,0.5399908164827129,0.13587225319079776,0.009420885422208827,155.66666666666674,20.0
FOXO1,0.2637795275590551,0.011982197877439234,0.5423335098297094,0.12461931695363643,0.009553640970329074,155.5833333333334,21.0
VCAM1,0.2559055118110236,0.01673617378855311,0.5423335098297094,0.09741919302809506,0.008122214374150049,155.00000000000006,22.0
CREB1,0.25196850393700787,0.005788802091438176,0.5353656274764369,0.12817024288991094,0.008691897988736541,153.75000000000003,23.0
CDKN1A,0.24803149606299213,0.011453113815318541,0.5353656274764369,0.12762073092006826,0.008262119324936328,153.33333333333343,24.0
JAK2,0.24015748031496062,0.007593912421026423,0.5308189979437283,0.12779846576617526,0.008959868179820182,152.00000000000006,26.0
SMAD2,0.24015748031496062,0.009515732470200119,0.5319484000670129,0.12104262686225209,0.007929550329037366,152.1666666666667,26.0
PIK3R1,0.24015748031496062,0.00902555164794124,0.5285745201511545,0.11743737189764648,0.00875695826842229,151.75000000000006,26.0
PARP1,0.23228346456692914,0.013553888767856587,0.5342216838279831,0.1000172290303386,0.007205666575321577,151.75000000000003,28.0
TIMP1,0.22834645669291337,0.0187435809654228,0.5342216838279831,0.09190246164569735,0.007545943089816153,151.5833333333334,29.0
MAPK8,0.2204724409448819,0.005384208396875292,0.5274593840326921,0.11634328836261772,0.007491831601466649,149.83333333333334,30.0
CDKN2A,0.21653543307086615,0.004543898415860073,0.5263489432242023,0.11189426109352056,0.007119324120206945,149.3333333333334,32.0
NOTCH1,0.21653543307086615,0.006784725031900657,0.5285745201511545,0.10508142729112535,0.006935906582337469,149.5833333333334,32.0
IGF1R,0.21653543307086615,0.004995175998257135,0.5219535449509313,0.1122471544372109,0.007696934564106032,148.75000000000003,32.0
THBS1,0.2125984251968504,0.008091873891257664,0.5252431681333951,0.08751806361570316,0.007604387803961648,148.8333333333334,34.5
B2M,0.2125984251968504,0.008060751299368212,0.5376682753365507,0.07524980079683881,0.006891512280192101,150.5833333333334,34.5
PPARA,0.20866141732283464,0.015771373439980082,0.5308189979437283,0.08182303331804523,0.007260753416022178,149.1666666666667,36.0
UBC,0.2047244094488189,0.013888456630668202,0.5296943814226612,0.08413807059701985,0.0075458661028595195,148.66666666666669,37.0
STAT6,0.20078740157480315,0.0047306339671967885,0.5176309483053748,0.1020332249837675,0.006519108629571836,146.75000000000006,38.0
STAT5A,0.19685039370078738,0.00694033799134792,0.5102362204724409,0.10260103504090182,0.006708323757031399,145.25000000000006,39.0
CASP1,0.1889763779527559,0.006629112072453394,0.5176309483053748,0.08024487311779457,0.006267087277493313,145.5833333333334,41.0
EGR1,0.1889763779527559,0.00535308580498584,0.5197832599407403,0.09928772670173652,0.006803128200861759,145.91666666666677,41.0
IKBKB,0.1889763779527559,0.011173010488313467,0.5133793594075895,0.09952803029398183,0.006750061764713507,144.91666666666669,41.0
COL1A1,0.18503937007874016,0.010161526251906259,0.5112796483261679,0.0789168787530787,0.007015373173109381,144.41666666666677,43.5
CLU,0.18503937007874016,0.015654663720394636,0.5230454979738411,0.05348441363796606,0.007118713394785532,146.08333333333343,43.5
EZH2,0.17716535433070865,0.007523886589275155,0.5133793594075895,0.0933029957369768,0.006091419403236604,143.9166666666667,46.0
CTSS,0.17716535433070865,0.007080389654850456,0.5123273525235575,0.06099869710583922,0.006034977109546138,143.83333333333337,46.0
JAK1,0.17716535433070865,0.00012449036755781022,0.5061047531001945,0.09709291481888238,0.006192278118272333,142.91666666666669,46.0
VIM,0.16929133858267717,0.007251563910242446,0.507131334749485,0.08030606861201894,0.005206831628636642,142.41666666666674,48.0
SREBF1,0.1653543307086614,0.006053344122498522,0.5050823192555476,0.06225431668601567,0.006345832617144683,141.58333333333337,50.5
