gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
TNF,0.6273584905660378,0.03987078601448627,0.7090301003344481,0.17946842214485456,0.01813964883679348,171.33333333333337,1.0
AKT1,0.6226415094339622,0.05010954126799606,0.7043189368770764,0.19488783257306017,0.019526749339402516,170.6666666666667,2.0
ACTB,0.6179245283018868,0.0662724671376196,0.7019867549668874,0.17005340791334894,0.017230472158226498,170.0833333333334,3.0
STAT3,0.5235849056603773,0.01671063220960386,0.6563467492260062,0.18714523628372998,0.015473266528979646,160.00000000000006,4.0
JUN,0.5188679245283019,0.02854034397448508,0.6424242424242425,0.17821613902177397,0.01560101786986011,158.50000000000009,5.0
NFKB1,0.5094339622641509,0.031934632924975406,0.6463414634146342,0.17105781508895235,0.014516913107065646,158.16666666666674,6.0
BCL2,0.5047169811320754,0.03131986050254851,0.6404833836858006,0.16658350828531052,0.01462040298574085,157.3333333333334,7.0
HIF1A,0.49528301886792453,0.01818608602342842,0.6366366366366366,0.16270458083908226,0.01403239535210704,156.3333333333334,8.0
CTNNB1,0.46226415094339623,0.01900205669319503,0.6217008797653959,0.16147903371553052,0.013566390968131097,152.66666666666674,9.0
HSP90AA1,0.4528301886792453,0.02260126978449432,0.6198830409356725,0.14408632846071315,0.013308046281899185,151.8333333333334,10.5
IFNG,0.4528301886792453,0.026692300813735133,0.6198830409356725,0.14331866642094698,0.012604570471767301,151.8333333333334,10.5
PTEN,0.43396226415094336,0.021550567826164713,0.6091954022988506,0.1406765809681937,0.011856917790555423,149.50000000000009,12.0
CD4,0.41981132075471694,0.02110346060985424,0.6057142857142858,0.13470677858961835,0.011763789878557578,148.16666666666674,13.0
TGFB1,0.410377358490566,0.02975498524546186,0.6057142857142858,0.12991794747336582,0.010715440691376596,147.50000000000006,14.0
FOS,0.3820754716981132,0.01512340159170169,0.5905292479108635,0.14339057869072733,0.01197633845154038,144.00000000000009,16.0
EP300,0.3820754716981132,0.013815612983993562,0.5888888888888889,0.14637725927231765,0.012570809154475995,143.8333333333334,16.0
HSPA4,0.3820754716981132,0.016475900921040867,0.5888888888888889,0.12127817117444845,0.010573553371995281,143.83333333333343,16.0
SIRT1,0.37264150943396224,0.025820441741929715,0.5872576177285319,0.12433708686517354,0.010731749268740065,143.00000000000009,18.0
CD8A,0.3632075471698113,0.01123356880980059,0.5840220385674931,0.12044157418991995,0.010092641391779032,142.00000000000009,19.0
STAT1,0.3490566037735849,0.001542519896271126,0.5745257452574526,0.14707728826427272,0.010367422820957135,140.00000000000009,20.0
FOXO1,0.33962264150943394,0.010700766043697277,0.572972972972973,0.1283093660180662,0.010403908938263573,139.16666666666674,21.5
CREB1,0.33962264150943394,0.012496646695877672,0.5792349726775956,0.12871500859559568,0.009772391200334678,139.8333333333334,21.5
IL2,0.330188679245283,0.014419207726012698,0.5714285714285714,0.11215968246181027,0.009152329287935523,138.33333333333337,23.0
NFE2L2,0.32075471698113206,0.0071090047393364926,0.5745257452574526,0.10387643813856583,0.009316899379878377,137.91666666666674,24.0
MAPK1,0.29245283018867924,0.0025261557721541626,0.5549738219895288,0.1263825958187526,0.009500563115323428,133.83333333333334,25.0
HDAC1,0.28773584905660377,0.005968881337744791,0.5535248041775457,0.11859949693651549,0.00879589642578171,133.33333333333331,26.5
SMAD3,0.28773584905660377,0.001788428865241885,0.5492227979274611,0.12337270362423156,0.008564777159605755,133.0333333333333,26.5
RHOA,0.2830188679245283,0.014933381024769739,0.5549738219895288,0.09199722795412141,0.00889755079480647,133.0833333333333,28.5
BECN1,0.2830188679245283,0.007198426182598587,0.5535248041775457,0.09384992497148827,0.007814384445527843,133.0,28.5
APOE,0.2783018867924528,0.02114817133148529,0.5593667546174143,0.07524412997638875,0.008438847309815197,133.33333333333334,31.0
PIK3R1,0.2783018867924528,0.004560493606366806,0.5506493506493506,0.10073205994180058,0.008228579095977089,132.3333333333333,31.0
PARP1,0.2783018867924528,0.006751318966288116,0.5520833333333334,0.10224834755321342,0.007566635062340059,132.49999999999997,31.0
STAT5A,0.27358490566037735,0.004851113296968613,0.5449871465295629,0.11244912808952885,0.007683667707307804,131.3333333333333,33.5
MDM2,0.27358490566037735,0.005320575874094608,0.5478036175710594,0.10580582849204205,0.00807898165603045,131.66666666666663,33.5
UBC,0.2688679245283019,0.01531342215863364,0.5449871465295629,0.07767287874749482,0.008522932958470581,130.99999999999994,36.0
IKBKB,0.2688679245283019,0.004806402575337566,0.5478036175710594,0.10089313470661848,0.007134001952295558,131.3333333333333,36.0
TXN,0.2688679245283019,0.02535097916480372,0.5578947368421052,0.07485275849973555,0.00754126551189513,132.41666666666669,36.0
CASP1,0.2641509433962264,0.0050746669051238485,0.5492227979274611,0.09005196907495934,0.007209120412261926,131.16666666666666,38.0
SOD1,0.25943396226415094,0.018979701332379504,0.5549738219895288,0.06049369894003527,0.008262790081683286,131.41666666666666,39.0
SMAD2,0.25471698113207547,0.00263793257623178,0.5449871465295629,0.10324444058853671,0.007166039976195444,129.99999999999994,41.0
SOD2,0.25471698113207547,0.017101851023875524,0.5492227979274611,0.06651886295833914,0.0073471497317678285,130.41666666666666,41.0
IRF1,0.25471698113207547,0.008070285254404007,0.5367088607594936,0.09171815784163574,0.006825095600270781,128.99999999999994,41.0
PIK3CA,0.25,0.0008047929893588482,0.5340050377833753,0.09881851137316475,0.007464329386691376,128.53333333333327,43.0
B2M,0.24528301886792453,0.01055173030492712,0.5435897435897435,0.07094943849125397,0.007105792017084759,129.1666666666666,44.0
CCL5,0.23113207547169812,0.0038451220602700527,0.5326633165829145,0.08181396343777307,0.006652327522502735,126.83333333333324,45.5
CTLA4,0.23113207547169812,0.002503800411338639,0.5260545905707196,0.08384601981552434,0.00644519957503533,125.99999999999989,45.5
JAK1,0.22641509433962265,0.002302602163998927,0.5286783042394015,0.09555618485349147,0.006582138111347331,126.19999999999992,47.5
SOCS3,0.22641509433962265,0.002749709380309398,0.527363184079602,0.08752531061859632,0.006233690595938561,126.03333333333325,47.5
GPX3,0.22169811320754715,0.009501028346597514,0.5421994884910486,0.06124643581116762,0.006834039897556824,127.16666666666661,49.0
FYN,0.21698113207547168,0.002503800411338639,0.53,0.0878639663826581,0.006516717253555795,125.49999999999991,50.5
HMGB1,0.21698113207547168,0.006550120718948404,0.5260545905707196,0.07726617345440874,0.005678844604589302,124.9999999999999,50.5
IRF3,0.20754716981132074,0.0029061969060180633,0.5286783042394015,0.08492976601348438,0.005881367704550234,124.66666666666659,52.0
TIMP1,0.20283018867924527,0.009925780202092461,0.5234567901234568,0.06307247765917778,0.005527906333767858,123.66666666666657,53.5
CD28,0.20283018867924527,0.004962890101046231,0.5196078431372549,0.07325534024079763,0.006192800086852057,123.16666666666656,53.5
SOCS1,0.1981132075471698,0.0031521058749888224,0.5183374083129584,0.07866168763010879,0.0055501940394678175,122.86666666666657,57.5
DNMT1,0.1981132075471698,0.0022690691227756415,0.5260545905707196,0.07857123147370462,0.0055652761079217255,123.66666666666659,57.5
EGR1,0.1981132075471698,0.0015201645354556022,0.527363184079602,0.08799966909832731,0.005913603688949807,123.83333333333327,57.5
PTPN11,0.1981132075471698,0.00026826432978628275,0.5158150851581509,0.08349178152837561,0.006024531042637016,122.53333333333323,57.5
HDAC2,0.1981132075471698,0.0016990074219797907,0.5221674876847291,0.08259373758047038,0.006054023808613182,123.16666666666659,57.5
TFRC,0.1981132075471698,0.008182062058481624,0.5208845208845209,0.05325937949647277,0.005472369829906567,122.9999999999999,57.5
ATG5,0.19339622641509432,0.0029285522668335865,0.5247524752475248,0.06796912901225403,0.00514181546143825,123.16666666666659,61.0
NR3C1,0.18867924528301885,0.0034874362872216757,0.5196078431372549,0.0924821911213296,0.0058158840169480345,122.16666666666657,62.0
IL7R,0.18396226415094338,0.005443530358579987,0.507177033492823,0.06584731985125165,0.005723346844798006,120.36666666666655,64.0
PRKCA,0.18396226415094338,0.002593221854600733,0.5196078431372549,0.06719935043497893,0.005349374682091638,121.83333333333326,64.0
ETS1,0.18396226415094338,0.002503800411338639,0.5183374083129584,0.07465196420296524,0.004851464092799835,121.66666666666657,64.0
CTSS,0.1792452830188679,0.003017973710095681,0.513317191283293,0.05473690753291859,0.005255580232141573,120.66666666666656,67.0
CDKN1B,0.1792452830188679,0.008495037109898953,0.5170731707317073,0.06746265683677209,0.004714379469078955,121.3666666666666,67.0
XBP1,0.1792452830188679,0.01180363051059644,0.5234567901234568,0.0644530554319002,0.00589670673619419,121.91666666666659,67.0
