gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
EGFR,0.47346938775510206,0.0358564737370358,0.6376093294460642,0.19457650967219584,0.017280056617962083,178.1666666666667,1.0
CTNNB1,0.45306122448979597,0.03287052525928404,0.622781205505458,0.18961882043664083,0.016105823735220917,175.00000000000009,2.0
ALB,0.44897959183673475,0.08913516226162596,0.6276466836734694,0.13554599245048513,0.015208852776200736,175.1666666666667,3.0
STAT3,0.44489795918367353,0.026262964202074274,0.61957924557998,0.20150425916182363,0.01671500085419331,174.0000000000001,4.0
HIF1A,0.4408163265306123,0.028462696554031452,0.6148375676801333,0.1770854934226446,0.014775385151798891,173.1666666666668,5.0
JUN,0.41632653061224495,0.02806122448979592,0.6101679152673727,0.18938989173490603,0.016002810243297805,170.66666666666677,6.0
BCL2,0.41224489795918373,0.02778521244563399,0.6055686596246539,0.17405829685302246,0.014354090910263665,169.83333333333346,7.0
PTEN,0.3959183673469388,0.03751254600200736,0.5995431008224185,0.1603409255243092,0.013174079770211766,167.83333333333343,8.5
NFKB1,0.3959183673469388,0.04020575443292071,0.5995431008224185,0.1681971993777751,0.013255450568113536,167.83333333333346,8.5
PPARG,0.34693877551020413,0.04518233522917364,0.5765940826091202,0.1369595845645004,0.011760030185833516,161.1666666666668,10.0
FN1,0.34285714285714286,0.021077283372365342,0.5864144197825116,0.140457570151341,0.012574617140024221,162.00000000000006,11.0
CD4,0.3346938775510204,0.0327367012378722,0.5738483965014578,0.12850841432191826,0.010920196650210602,159.83333333333346,12.0
CCND1,0.3306122448979592,0.011408497825359652,0.5724853361772263,0.15766599497198894,0.01095704430708451,159.33333333333346,13.0
FOS,0.326530612244898,0.017723318835731014,0.5752179630802202,0.15761403497696316,0.012070948577313115,159.33333333333343,14.0
EP300,0.31428571428571433,0.013926062228169958,0.5605030849549122,0.15027973728620042,0.012586072791351441,156.50000000000017,15.0
HSPA4,0.2979591836734694,0.022348611575777853,0.5618096189524762,0.11858731591826864,0.010497617373435388,155.33333333333346,16.0
STAT1,0.2938775510204082,0.009501505520240884,0.5527897397491107,0.1450927203798172,0.010400226866219681,153.8333333333335,17.0
SMAD4,0.28979591836734697,0.01866845098695216,0.5553371579046364,0.12972926296901083,0.009695150940315863,153.83333333333348,18.0
SMAD2,0.28571428571428575,0.0140598862495818,0.5566196917566102,0.12887366104888281,0.009700994646031434,153.6666666666668,19.0
FGF2,0.28163265306122454,0.015774506523921046,0.5502655856863293,0.11628336052156846,0.009382839486581827,152.50000000000014,20.5
MAPK1,0.28163265306122454,0.010287721646035464,0.5527897397491107,0.14422245069971826,0.010373169317151747,152.83333333333346,20.5
RHOA,0.27346938775510204,0.023912679826028772,0.5477643784786642,0.10927834860466504,0.009955692464319191,151.50000000000014,22.0
PECAM1,0.2653061224489796,0.018492806958849115,0.5416097225407017,0.09739452740507899,0.009009769556682987,150.0000000000001,23.0
PARP1,0.2612244897959184,0.01328203412512546,0.5416097225407017,0.11186196951190705,0.00856227767359674,149.66666666666686,24.0
