gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,centrality_rank
ACTB,0.5844155844155844,0.05618294748729531,0.6936936936936937,0.18094493542343684,0.01764955056476622,182.08333333333334,1.5
TP53,0.5844155844155844,0.028345567476002257,0.6916167664670658,0.2143731041184624,0.020897448630576805,181.91666666666669,1.5
EGFR,0.4935064935064935,0.029823075475249386,0.652542372881356,0.18123664093379294,0.016399402051798725,171.58333333333334,3.0
CASP3,0.4805194805194805,0.05412196499153021,0.6452513966480447,0.16411433491440286,0.014660328483285377,169.91666666666669,4.0
JUN,0.46320346320346323,0.0271974402409185,0.6363636363636364,0.18501061208424494,0.01605311730823747,167.75000000000003,5.0
CTNNB1,0.4588744588744589,0.026745718050065873,0.6363636363636364,0.18380543577755812,0.01497642502726187,167.41666666666669,6.0
HSP90AA1,0.4329004329004329,0.04225484660267269,0.6294277929155313,0.15917357318547487,0.014937237994828207,164.6666666666667,7.0
PTEN,0.4199134199134199,0.030811217767739506,0.6176470588235294,0.15968866470530813,0.012804786481488218,162.58333333333337,8.0
FN1,0.4025974025974026,0.029512516469038207,0.6127320954907162,0.13228318146277315,0.013313572630898005,160.75000000000003,9.0
SIRT1,0.39826839826839827,0.027865612648221343,0.6047120418848168,0.13855789588426173,0.012156243925693963,159.6666666666667,10.0
FOS,0.38095238095238093,0.023762469414643328,0.6062992125984252,0.15501414543500383,0.012438579902518678,158.41666666666669,11.0
TLR4,0.36796536796536794,0.02075098814229249,0.6,0.12588753602578778,0.011302172043905594,156.75000000000003,12.0
CCL2,0.3593073593073593,0.03165819687558818,0.595360824742268,0.10783247689330618,0.010553779312669122,155.58333333333337,13.0
EP300,0.354978354978355,0.017654808959156783,0.5907928388746803,0.14922406112202247,0.012622184829883048,154.75000000000006,14.0
FOXO1,0.33766233766233766,0.016666666666666666,0.5818639798488665,0.1382285002652143,0.011179917006773338,152.41666666666674,15.5
HSPA4,0.33766233766233766,0.02362130623000188,0.5877862595419847,0.12353258496170036,0.010556779826101325,153.08333333333337,15.5
MAPK1,0.3333333333333333,0.02271786184829663,0.5848101265822785,0.14422814077375792,0.011954567236874979,152.4166666666667,17.0
MMP2,0.3246753246753247,0.030368906455862977,0.5833333333333334,0.10834531852769567,0.009950785403321704,151.58333333333337,18.0
CREB1,0.31601731601731603,0.015480895915678524,0.5789473684210527,0.13404722109855766,0.009655523470835174,150.4166666666667,19.0
FGF2,0.30303030303030304,0.009862601166948993,0.5703703703703704,0.11366616981559091,0.00905706399601559,148.41666666666674,20.0
RHOA,0.2987012987012987,0.018812347073216638,0.5746268656716418,0.10876923842489537,0.009001460951097277,148.58333333333337,21.0
APOE,0.2857142857142857,0.0310841332580463,0.5647921760391198,0.07943760957060066,0.009740858716131263,146.50000000000003,22.5
STAT1,0.2857142857142857,0.007481648785996612,0.5661764705882353,0.13054062579503853,0.00936402281437354,146.5833333333334,22.5
SMAD3,0.2813852813852814,0.0024844720496894407,0.5606796116504854,0.13929135628189157,0.009470080968399679,145.58333333333337,24.0
SMAD4,0.27705627705627706,0.007500470543948805,0.5566265060240964,0.12775830000797084,0.008919064420730432,144.75000000000006,26.0
PIK3R1,0.27705627705627706,0.008770939205721815,0.5606796116504854,0.11636377681970994,0.008901354394541289,145.25000000000009,26.0
MDM2,0.27705627705627706,0.010446075663466968,0.5579710144927537,0.12428310351278074,0.00894999205974792,144.9166666666667,26.0
KDR,0.2727272727272727,0.006964050442311311,0.5620437956204379,0.10649231892046554,0.009063749577765474,145.0833333333334,29.0
SMAD2,0.2727272727272727,0.004027856201769245,0.5579710144927537,0.12762182826239793,0.00842865358181158,144.58333333333337,29.0
PARP1,0.2727272727272727,0.01002258610954263,0.559322033898305,0.10963635255512268,0.008189315735836578,144.75000000000006,29.0
JAK2,0.2683982683982684,0.010577827969132316,0.5566265060240964,0.11609425960753432,0.008729414101204131,144.0833333333334,31.5
CDKN1A,0.2683982683982684,0.010173160173160173,0.5552884615384616,0.1224344898493096,0.008098517733846159,143.91666666666674,31.5
IGF1R,0.26406926406926406,0.0132128740824393,0.5526315789473685,0.11073082855803444,0.008502260107965719,143.3333333333334,33.5
PIK3CA,0.26406926406926406,0.0020703933747412005,0.5539568345323741,0.12363961097300853,0.00890149065669444,143.4166666666667,33.5
NOTCH1,0.2597402597402597,0.0023150762281197064,0.5526315789473685,0.11324320721894922,0.007692117815038513,142.9166666666667,35.0
NFE2L2,0.2510822510822511,0.0073028420854507805,0.5539568345323741,0.10052678334320939,0.007604558143639756,142.4166666666667,36.5
HDAC1,0.2510822510822511,0.005590062111801242,0.5422535211267606,0.12071596089237592,0.009023338967874106,140.91666666666669,36.5
VCAM1,0.24675324675324675,0.008225108225108224,0.5539568345323741,0.08025121751495842,0.007746093220270493,142.08333333333337,38.0
UBC,0.22510822510822512,0.007161678900809335,0.5372093023255814,0.08018777466921792,0.007812481611993299,138.33333333333331,39.0
THBS1,0.22077922077922077,0.00782044042913608,0.5372093023255814,0.07513366011346172,0.006736465937579202,138.00000000000003,40.5
CD34,0.22077922077922077,0.008582721626199887,0.5422535211267606,0.07513938891906244,0.006620238974634138,138.58333333333334,40.5
SREBF1,0.21645021645021645,0.011547148503670243,0.5298165137614679,0.07055706308830519,0.006892242381358976,136.78333333333333,42.5
SOD2,0.21645021645021645,0.01719367588932806,0.5435294117647059,0.06527843154538054,0.006805398973582027,138.41666666666669,42.5
EGR1,0.21212121212121213,0.014568040654997175,0.5359628770301624,0.09827079633219542,0.006935796274941426,137.28333333333333,44.0
NOS3,0.19913419913419914,0.004140786749482401,0.5448113207547169,0.06920947660534302,0.0068244463137091755,137.1666666666667,45.0
ACE,0.19480519480519481,0.020016939582156973,0.5409836065573771,0.05564128692391166,0.006092298618180935,136.33333333333337,46.5
SOCS3,0.19480519480519481,0.004630152456239413,0.5310344827586206,0.07573687754690331,0.0060039114743100815,135.16666666666666,46.5
AR,0.19047619047619047,0.004366647844908715,0.525,0.10250611910367698,0.00638123756153867,133.91666666666666,48.5
RPS6KB1,0.19047619047619047,0.004216073781291172,0.5310344827586206,0.09053548193210809,0.005743488215164149,134.75,48.5
TXN,0.18614718614718614,0.01359872012045925,0.532258064516129,0.06509321249635881,0.005932033138166584,134.66666666666669,51.0
SOD1,0.18614718614718614,0.006098249576510445,0.5298165137614679,0.05563661307716683,0.00636585047003382,134.33333333333334,51.0
JAK1,0.18614718614718614,0.00041407867494824016,0.5273972602739726,0.09171889326057371,0.0060553760526455055,133.91666666666666,51.0
B2M,0.18181818181818182,0.01383399209486166,0.5310344827586206,0.057364733313026633,0.005999406708806755,134.08333333333334,53.5
VWF,0.18181818181818182,0.005392433653303218,0.515625,0.04962594066162677,0.006517793328072732,131.91666666666666,53.5
FYN,0.1774891774891775,0.001948051948051948,0.5273972602739726,0.07958844438864912,0.006011131908592837,133.25,56.0
HMGB1,0.1774891774891775,0.004385469602860907,0.525,0.07129619439877723,0.005565298375552719,132.91666666666666,56.0
GPX3,0.1774891774891775,0.006869941652550348,0.5238095238095238,0.05544478198907482,0.005715501993792967,132.83333333333334,56.0
EDN1,0.16883116883116883,0.005194805194805195,0.528604118993135,0.06145834822085899,0.005196173397709091,132.75000000000003,58.5
TGFBR1,0.16883116883116883,0.002060982495765104,0.5226244343891403,0.07838684809076986,0.005188951214876075,132.0,58.5
ATF3,0.16017316017316016,0.01383399209486166,0.5110619469026548,0.07669059014484113,0.005971404207432803,129.66666666666657,60.5
NR3C1,0.16017316017316016,0.0025221155655938262,0.5179372197309418,0.08646477795289306,0.005484754225127718,130.66666666666666,60.5
SP1,0.15584415584415584,0.0007905138339920949,0.5144766146993318,0.09199164135886637,0.005442542009656131,129.74999999999994,62.0
TJP1,0.15151515151515152,0.003209109730848861,0.5144766146993318,0.0679668244751091,0.00488249861022458,129.49999999999994,65.5
TSC2,0.15151515151515152,0.003933747412008281,0.5144766146993318,0.06749741614078954,0.005107679764558488,129.4166666666666,65.5
STK11,0.15151515151515152,0.0021456804065499717,0.5032679738562091,0.06743987566004056,0.004890336684351556,127.8333333333332,65.5
LYN,0.15151515151515152,0.011048371917937136,0.5167785234899329,0.06584417871656215,0.004982392614545298,129.74999999999994,65.5
SMAD7,0.15151515151515152,0.0016563146997929607,0.5133333333333333,0.0752969890731738,0.004706652493748143,129.3333333333333,65.5
PKM,0.15151515151515152,0.004639563335215509,0.5202702702702703,0.056230788382703324,0.004974245312525931,130.24999999999997,65.5
IRF3,0.1471861471861472,0.0059853190287972894,0.506578947368421,0.06646561146230695,0.0048220217171294774,128.08333333333326,69.0
YAP1,0.14285714285714285,0.0011104837191793712,0.5088105726872246,0.07657420417849099,0.0047296184413440304,128.19999999999993,70.0
INSR,0.13852813852813853,0.0027856201769245244,0.5,0.05740183090030275,0.0045273495909695025,126.44999999999987,71.5
TEK,0.13852813852813853,0.006888763410502541,0.5054704595185996,0.04357114968494296,0.004287523901982286,127.16666666666657,71.5
DUSP1,0.1341991341991342,0.0019574628270280442,0.5054704595185996,0.05961664122261934,0.00456418454503848,126.9499999999999,75.5
CTSB,0.1341991341991342,0.007509881422924901,0.5110619469026548,0.0394684530666478,0.004500664961813621,127.58333333333326,75.5
ETS1,0.1341991341991342,0.004705439488048183,0.4967741935483871,0.07010239452848575,0.004127125924915452,125.61666666666655,75.5
TAGLN,0.1341991341991342,0.00577827969132317,0.4935897435897436,0.032422470946865505,0.003621095968478118,125.19999999999989,75.5
BMP4,0.1341991341991342,0.0028609072087332956,0.5,0.049851704952301,0.004213957047055289,126.19999999999992,75.5
MAPK9,0.1341991341991342,0.001590438546960286,0.5032679738562091,0.06937431048204652,0.004875770262081761,126.61666666666656,75.5
RICTOR,0.12987012987012986,0.0009034443817052512,0.5043668122270742,0.05966547693593514,0.004175005174406983,126.33333333333323,79.0
RAC1,0.12554112554112554,0.0017316017316017316,0.5043668122270742,0.04526448986032091,0.004730641244129413,125.91666666666657,80.0
NES,0.12121212121212122,0.0010163749294184077,0.4978448275862069,0.04554631692120059,0.00379467999684271,124.86666666666657,83.0
TLR3,0.12121212121212122,0.0022209674383587424,0.5099337748344371,0.047324389110592585,0.003946170024059836,126.49999999999994,83.0
TXNIP,0.12121212121212122,0.004140786749482401,0.5043668122270742,0.0417250839758553,0.003811499173044673,125.66666666666657,83.0
MAPK12,0.12121212121212122,0.0027479766610201393,0.4957081545064378,0.05670452419056913,0.004384910908721325,124.53333333333322,83.0
APOA1,0.12121212121212122,0.00502540937323546,0.4967741935483871,0.029144459949577296,0.004562653654841924,124.49999999999989,83.0
NR4A1,0.11688311688311688,0.0013551665725578769,0.49148936170212765,0.056866097010185634,0.003918431081485226,123.44999999999987,86.0
KNG1,0.11255411255411256,0.012347073216638433,0.4852941176470588,0.02455430504731739,0.004193329555462726,121.91666666666657,88.0
PRDX1,0.11255411255411256,0.0022209674383587424,0.49892008639308855,0.04326614034623591,0.004007185366546889,124.16666666666657,88.0
PINK1,0.11255411255411256,0.0009410878976096366,0.4925373134328358,0.041455369361203906,0.003979888526076113,123.16666666666654,88.0
TIMP3,0.10822510822510822,0.0036325992847731975,0.4957081545064378,0.0365557056399064,0.0035422057544546733,123.53333333333325,90.0
PIK3C3,0.1038961038961039,0.00041407867494824016,0.4935897435897436,0.03999901996344254,0.003309327400785907,122.66666666666656,92.5
HSPD1,0.1038961038961039,0.004724261246000376,0.4957081545064378,0.04102094955386127,0.0036851030080346688,123.08333333333324,92.5
SGK1,0.1038961038961039,0.004658385093167702,0.49464668094218417,0.04672748250310876,0.0035362176519929604,122.83333333333323,92.5
LDHA,0.1038961038961039,0.003180877093920572,0.4935897435897436,0.03401404801667693,0.003266918317058433,122.66666666666656,92.5
AGO2,0.09956709956709957,0.0010163749294184077,0.49148936170212765,0.055048551997401295,0.003393345579608965,121.91666666666654,96.5
CD24,0.09956709956709957,0.00041407867494824016,0.49464668094218417,0.041128593633776696,0.0034240114592032763,122.49999999999991,96.5
APAF1,0.09956709956709957,0.002258610954263128,0.49892008639308855,0.047939251779585614,0.0035449073571938417,123.08333333333323,96.5
ANXA1,0.09956709956709957,0.005797101449275362,0.5010845986984815,0.038289945804463404,0.003513794013571591,123.49999999999993,96.5
LEPR,0.09523809523809523,0.0020703933747412005,0.48326359832635984,0.028160419474989193,0.0032835652440189713,120.44999999999985,101.0
SPARC,0.09523809523809523,0.0030867683041596082,0.4733606557377049,0.02888950381011281,0.003493528872792255,118.86666666666655,101.0
JUNB,0.09523809523809523,0.0003764351590438547,0.4547244094488189,0.04453417044256627,0.003765923683169025,115.61666666666643,101.0
S100A4,0.09523809523809523,0.0001129305477131564,0.4863157894736842,0.04647073346026666,0.003179486421574163,121.03333333333322,101.0
BAX,0.09523809523809523,0.0009787314135140221,0.4894067796610169,0.042708322536080534,0.003535609472713806,121.53333333333323,101.0
KDM6A,0.09090909090909091,0.00240918501788067,0.4782608695652174,0.036897006213170526,0.003090100453724685,119.33333333333319,107.0
CST3,0.09090909090909091,0.0015057406361754188,0.4695121951219512,0.017830389783749234,0.003773605321008673,117.66666666666654,107.0
FABP4,0.09090909090909091,0.0030114812723508375,0.48326359832635984,0.02536069692179093,0.003080406832510721,120.19999999999987,107.0
KRT19,0.09090909090909091,0.0009034443817052512,0.49148936170212765,0.0375509729213049,0.002746096036066272,121.33333333333324,107.0
CLDN5,0.09090909090909091,0.0009034443817052512,0.48326359832635984,0.02935772359239489,0.003271741934094664,119.9999999999999,107.0
SIRT2,0.09090909090909091,0.0014398644833427442,0.4762886597938144,0.04028629478990971,0.0034716096517543133,118.83333333333316,107.0
AKT1S1,0.09090909090909091,0.0009787314135140221,0.4894067796610169,0.034786176340497604,0.0029333529180804833,120.91666666666654,107.0
FOSB,0.08658008658008658,3.764351590438547e-05,0.4685598377281947,0.04653224390510365,0.00373125727002634,117.36666666666648,113.0
MAF,0.08658008658008658,0.0014680971202710332,0.4772727272727273,0.03919131395200989,0.003166900274260172,118.86666666666653,113.0
CLTC,0.08658008658008658,0.005797101449275362,0.4935897435897436,0.03427826089372508,0.0029289140405178707,121.2499999999999,113.0
DDIT3,0.08658008658008658,0.0009410878976096366,0.4762886597938144,0.04363733521780211,0.003132133951846539,118.78333333333319,113.0
NAMPT,0.08658008658008658,0.0003764351590438547,0.47046843177189407,0.028667568213643996,0.0031342440704217175,117.8666666666665,113.0
CYBA,0.08225108225108226,0.009476755128929041,0.4802494802494803,0.02572782406343715,0.00345596097915639,118.74999999999986,118.5
NOS1,0.08225108225108226,0.0007905138339920949,0.4925373134328358,0.029311690085088486,0.0031052362632122197,120.7499999999999,118.5
SIRT6,0.08225108225108226,0.0003387916431394692,0.4583333333333333,0.03401547320346256,0.0028861768639412686,115.2833333333331,118.5
MCAM,0.08225108225108226,0.001769245247506117,0.4657258064516129,0.025196258423879136,0.002728060584243214,116.53333333333318,118.5
THBD,0.08225108225108226,0.0014680971202710332,0.4476744186046512,0.018693123731153893,0.003230572289885762,112.99999999999986,118.5
PRKAA1,0.08225108225108226,0.002155091285526068,0.462,0.02867176830802645,0.002939312502326094,115.91666666666646,118.5
KL,0.07792207792207792,0.006135893092414831,0.48125,0.023268705507956112,0.0027812434265861432,118.58333333333319,124.5
VHL,0.07792207792207792,0.0005458309806135893,0.4852941176470588,0.038952655488632526,0.002734694118724661,119.41666666666656,124.5
LPL,0.07792207792207792,0.0014680971202710332,0.47530864197530864,0.0200514288836717,0.002891868365590817,117.86666666666652,124.5
FBN1,0.07792207792207792,0.0027103331451157537,0.4520547945205479,0.02381898780684934,0.0032168525252335347,113.78333333333318,124.5
RPS6KA3,0.07792207792207792,0.0015057406361754188,0.47046843177189407,0.03364473007302861,0.002629846493395729,117.03333333333318,124.5
COL18A1,0.07792207792207792,0.00030114812723508374,0.4538310412573674,0.023135516576631085,0.0031460870041526987,113.83333333333319,124.5
CPT1A,0.0735930735930736,0.00041407867494824016,0.4676113360323887,0.019723405840365624,0.002729472703303336,116.28333333333316,130.5
LY96,0.0735930735930736,0.0006775832862789384,0.4852941176470588,0.02745384596009087,0.0027380826888301303,118.99999999999991,130.5
ID2,0.0735930735930736,0.004856013551665725,0.451171875,0.024142629216974635,0.0021456907940439265,113.3666666666665,130.5
GPX4,0.0735930735930736,0.00015057406361754187,0.4723926380368098,0.026862526590072395,0.0028416709120264822,117.03333333333318,130.5
PTPN6,0.0735930735930736,0.00026350461133069827,0.4494163424124514,0.037823580109789944,0.0030664742573428784,112.78333333333313,130.5
IL6R,0.0735930735930736,0.0001129305477131564,0.47925311203319504,0.033570784657293976,0.0027063886930382562,117.91666666666654,130.5
CFH,0.06926406926406926,0.002333897986071899,0.4762886597938144,0.016496202602632043,0.002862060952604925,117.16666666666653,136.0
CALM1,0.06926406926406926,0.0010163749294184077,0.4676113360323887,0.02536556919686154,0.0028817705009214086,115.6666666666665,136.0
MSH2,0.06926406926406926,3.764351590438547e-05,0.4685598377281947,0.03807460597228493,0.0025823736059670745,115.91666666666653,136.0
CTSL,0.06926406926406926,0.007453416149068323,0.4733606557377049,0.01882333482598591,0.002664892063287432,116.66666666666652,136.0
PCK1,0.06926406926406926,0.00030114812723508374,0.4538310412573674,0.02041048179052488,0.0026401178207692863,113.53333333333313,136.0
MIF,0.06493506493506493,0.0006022962544701675,0.4782608695652174,0.024617882754310684,0.002256879568252778,117.16666666666654,141.0
GCLC,0.06493506493506493,0.0002258610954263128,0.4772727272727273,0.0283230019262472,0.0025032330354339666,117.19999999999987,141.0
FBLN5,0.06493506493506493,0.0016563146997929607,0.42230347349177333,0.010601552556727071,0.002590051422492891,106.66666666666649,141.0
ROCK2,0.06493506493506493,0.00041407867494824016,0.4863157894736842,0.034863609398046835,0.0024018292896230025,118.41666666666656,141.0
MAP1LC3A,0.06493506493506493,0.00015057406361754187,0.4695121951219512,0.025537858382706474,0.0023389557838109426,115.74999999999984,141.0
PYCARD,0.06060606060606061,0.0006022962544701675,0.45294117647058824,0.01484329196050705,0.002140029123312203,112.49999999999983,146.5
HNRNPC,0.06060606060606061,0.0,0.47046843177189407,0.026708426068839795,0.002390119227577316,115.5833333333332,146.5
PDK4,0.06060606060606061,0.0006775832862789384,0.45294117647058824,0.014576669206361414,0.002225468388630857,112.49999999999977,146.5
