Ligand,Ligand UniprotID,Ligand CellType,Receptor,Receptor UniprotID,Receptor CellType,evidence,annotation,interaction_name
PLG,P00747,PT,F2RL1,P55085,DCT,KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
PLG,P00747,PT,F2RL1,P55085,Connecting Tubule,KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
PLG,P00747,PT,F2RL1,P55085,Interstitial Cell_A (in cortex),KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
PLG,P00747,PT,F2RL1,P55085,Interstitial Cell_B (in medulla),KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
PLG,P00747,PT,F2RL1,P55085,Principal Cell,KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
PLG,P00747,PT,F2RL1,P55085,TAL,KEGG: hsa04080,Secreted Signaling,PLG_F2RL1
C3,P01024,Fibroblast Cell,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Fibroblast Cell,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Fibroblast Cell,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,M2 Mac,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,M2 Mac,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,M2 Mac,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Monocyte Derived Cell,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Monocyte Derived Cell,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Monocyte Derived Cell,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Parietal Cell,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Parietal Cell,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,Parietal Cell,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,TAL,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,TAL,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,TAL,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,PT,C3AR1,Q16581,M2 Mac,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,PT,C3AR1,Q16581,Monocyte Derived Cell,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
C3,P01024,PT,C3AR1,Q16581,Non-Classical Monocyte,KEGG: hsa04080,Secreted Signaling,C3_C3AR1
AGT,P01019,Fibroblast Cell,AGTR1,P30556,Fibroblast Cell,KEGG: hsa04080,Secreted Signaling,AGT_AGTR1B
AGT,P01019,Fibroblast Cell,AGTR1,P30556,Glomerular Capillary,KEGG: hsa04080,Secreted Signaling,AGT_AGTR1B
AGT,P01019,Fibroblast Cell,AGTR1,P30556,VSM/Pericyte/ MesengialCell,KEGG: hsa04080,Secreted Signaling,AGT_AGTR1B
ANXA1,P04083,DCT,FPR2,P25090,Non-Classical Monocyte,PMID: 23230437,Secreted Signaling,ANXA1_FPR2
ANXA1,P04083,EC_AEA_ Descending Vasa Recta,FPR2,P25090,Non-Classical Monocyte,PMID: 23230437,Secreted Signaling,ANXA1_FPR2
