miRNA,Target Gene,Interaction Type,Prediction Score,Experiment,Reference (PMID)
hsa-miR-127-3p,CASP9,Predicted only,0.416046023,DIDL tool,Not Applicable
hsa-miR-127-3p,NAMPT,Predicted only,0.493981928,DIDL tool,Not Applicable
hsa-miR-127-3p,PTPN6,Predicted only,0.371347576,DIDL tool,Not Applicable
hsa-miR-127-3p,SERPINH1,Predicted only,0.560959756,DIDL tool,Not Applicable
hsa-miR-1274a,CDKN1A,Predicted only,0.64172107,DIDL tool,Not Applicable
hsa-miR-1274a,HIPK2,Predicted only,0.161616519,DIDL tool,Not Applicable
hsa-miR-1274a,MAPK8,Predicted only,0.114004783,DIDL tool,Not Applicable
hsa-miR-1274a,PIK3R1,Predicted only,0.352235079,DIDL tool,Not Applicable
hsa-miR-1275,MECP2,Experimentally validated,Not Applicable,Luciferase reporter assay,33251277
hsa-miR-1280,ARG2,Predicted only,0.115829043,DIDL tool,Not Applicable
hsa-miR-1280,BECN1,Predicted only,0.374245137,DIDL tool,Not Applicable
hsa-miR-1280,EDNRA,Predicted only,0.185961291,DIDL tool,Not Applicable
hsa-miR-1280,PODXL,Predicted only,0.14931111,DIDL tool,Not Applicable
hsa-miR-1280,ROCK1,Predicted only,0.430312604,DIDL tool,Not Applicable
hsa-miR-1280,RORA,Predicted only,0.129342303,DIDL tool,Not Applicable
hsa-miR-1280,SMURF1,Predicted only,0.178797483,DIDL tool,Not Applicable
hsa-miR-1280,VIM,Predicted only,0.400505215,DIDL tool,Not Applicable
hsa-miR-139-5p,BCL2,Both predicted and validated,0.974182944,Luciferase reporter assay,27244080
hsa-miR-139-5p,CTNNB1,Experimentally validated,Not Applicable,Luciferase reporter assay,32641995
hsa-miR-139-5p,FOS,Both predicted and validated,0.938443581,qRT-PCR,23001723
hsa-miR-139-5p,FOXO1,Experimentally validated,Not Applicable,Western blotting,34249000
hsa-miR-139-5p,IFNG,Predicted only,0.859594941,DIDL tool,Not Applicable
hsa-miR-139-5p,IGF1R,Both predicted and validated,0.98542736,Luciferase reporter assay,22580051
hsa-miR-139-5p,IL10,Predicted only,0.727813363,DIDL tool,Not Applicable
hsa-miR-139-5p,JUN,Both predicted and validated,0.770183603,ChIP-seq,25499265
hsa-miR-139-5p,NFKB1,Both predicted and validated,0.841610491,Luciferase reporter assay,24158791
hsa-miR-139-5p,NOTCH1,Both predicted and validated,0.98175019,Luciferase reporter assay,27738333
hsa-miR-139-5p,PIK3CA,Both predicted and validated,0.882000566,Luciferase reporter assay,24158791
hsa-miR-139-5p,RAP1A,Predicted only,0.592943013,DIDL tool,Not Applicable
hsa-miR-139-5p,ROCK2,Both predicted and validated,0.847214778,Luciferase reporter assay,24942287
hsa-miR-139-5p,SMAD1,Predicted only,0.849002957,DIDL tool,Not Applicable
hsa-miR-139-5p,SRC,Predicted only,0.76563251,DIDL tool,Not Applicable
hsa-miR-139-5p,WNT1,Predicted only,0.922406574,DIDL tool,Not Applicable
hsa-miR-142-3p,CTNNB1,Experimentally validated,Not Applicable,Immunocytochemistry (ICC),33643894
hsa-miR-142-3p,DPYSL2,Predicted only,0.693513811,DIDL tool,Not Applicable
hsa-miR-142-3p,HMGB1,Both predicted and validated,0.93403856,Luciferase reporter assay,26617792
hsa-miR-142-3p,IL1A,Both predicted and validated,0.609697541,Luciferase reporter assay,22870299
hsa-miR-142-3p,PRKCA,Predicted only,0.617552837,DIDL tool,Not Applicable
hsa-miR-142-3p,PROM1,Both predicted and validated,0.595663329,Luciferase reporter assay,23619912
hsa-miR-142-3p,RAC1,Both predicted and validated,0.913444857,Luciferase reporter assay,24743945
hsa-miR-142-3p,ROCK2,Both predicted and validated,0.865187069,Luciferase reporter assay,24743945
hsa-miR-142-3p,TEK,Predicted only,0.585672677,DIDL tool,Not Applicable
hsa-miR-142-3p,TGFBR1,Both predicted and validated,0.933609287,Luciferase reporter assay,24558198
hsa-miR-142-3p,THBS2,Predicted only,0.601673722,DIDL tool,Not Applicable
hsa-miR-142-5p,DKK1,Predicted only,0.749551237,DIDL tool,Not Applicable
hsa-miR-142-5p,DUSP1,Predicted only,0.559002817,DIDL tool,Not Applicable
hsa-miR-142-5p,HIF1A,Both predicted and validated,0.889758627,Luciferase reporter assay,28069592
hsa-miR-142-5p,NFE2L2,Both predicted and validated,0.587756038,Luciferase reporter assay,23236440
hsa-miR-142-5p,PTEN,Both predicted and validated,0.955791116,Luciferase reporter assay,27796281
hsa-miR-142-5p,RAC1,Both predicted and validated,0.765978833,Western blot,25530132
hsa-miR-142-5p,SIRT1,Both predicted and validated,0.909274201,Immunofluorescence,23752207
hsa-miR-142-5p,SMAD3,Both predicted and validated,0.826823672,Luciferase reporter assay,27683030
hsa-miR-142-5p,SOCS1,Both predicted and validated,0.741242806,ChIP-seq,26436920
hsa-miR-142-5p,TGFB2,Predicted only,0.796218197,DIDL tool,Not Applicable
hsa-miR-146b-5p,A2M,Experimentally validated,Not Applicable,Luciferase reporter assay,31422941
hsa-miR-146b-5p,CD40LG,Predicted only,0.419165999,DIDL tool,Not Applicable
hsa-miR-146b-5p,CDKN1A,Experimentally validated,Not Applicable,Luciferase reporter assay,20101223
hsa-miR-146b-5p,EGFR,Predicted only,0.936617017,DIDL tool,Not Applicable
hsa-miR-146b-5p,HMGB1,Predicted only,0.791798353,DIDL tool,Not Applicable
hsa-miR-146b-5p,IL6,Both predicted and validated,0.841341754,Luciferase reporter assay,26338965
hsa-miR-146b-5p,IRAK1,Both predicted and validated,0.550156772,Luciferase reporter assay,16885212
hsa-miR-146b-5p,MFN2,Predicted only,0.532585025,DIDL tool,Not Applicable
hsa-miR-146b-5p,NFKB1,Both predicted and validated,0.727800131,Luciferase reporter assay,18504431
hsa-miR-146b-5p,TLR3,Predicted only,0.399318248,DIDL tool,Not Applicable
hsa-miR-146b-5p,TLR4,Both predicted and validated,0.631400665,Luciferase reporter assay,23798430
hsa-miR-146b-5p,TRAF6,Both predicted and validated,0.545108169,Luciferase reporter assay,16885212
hsa-miR-199a-5p,APOE,Both predicted and validated,0.78832225,ELISA,23142051
hsa-miR-199a-5p,BECN1,Both predicted and validated,0.987858236,Luciferase reporter assay,23337876
hsa-miR-199a-5p,CDH1,Both predicted and validated,0.984000385,Immunofluorescence,25080937
hsa-miR-199a-5p,CLTC,Predicted only,0.772213141,DIDL tool,Not Applicable
hsa-miR-199a-5p,EDN1,Both predicted and validated,0.871444603,Luciferase reporter assay,19783678
hsa-miR-199a-5p,ERN1,Both predicted and validated,0.765787184,Luciferase reporter assay,23598416
hsa-miR-199a-5p,EZH2,Experimentally validated,Not Applicable,Luciferase reporter assay,19818710
hsa-miR-199a-5p,HIF1A,Both predicted and validated,0.960493028,Luciferase reporter assay,21847633
hsa-miR-199a-5p,HMOX1,Predicted only,0.844175756,DIDL tool,Not Applicable
hsa-miR-199a-5p,IKBKB,Both predicted and validated,0.969416102,Reporter assay,18408758
hsa-miR-199a-5p,JUNB,Both predicted and validated,0.765006304,Luciferase reporter assay,25938468
hsa-miR-199a-5p,KL,Both predicted and validated,0.793449879,Immunohistochemistry,24655788
hsa-miR-199a-5p,LDLR,Predicted only,0.870652437,DIDL tool,Not Applicable
hsa-miR-199a-5p,NFKB1,Both predicted and validated,0.963270545,Luciferase reporter assay,24299514
hsa-miR-199a-5p,PTGS2,Both predicted and validated,0.987972697,Luciferase reporter assay,24413338
hsa-miR-199a-5p,SIRT1,Both predicted and validated,0.947170317,qRT-PCR,23760629
hsa-miR-199a-5p,SMAD3,Both predicted and validated,0.986505946,Luciferase reporter assay,27038547
hsa-miR-199a-5p,SMAD4,Both predicted and validated,0.935597221,Luciferase reporter assay,22821565
hsa-miR-199a-5p,SNAI1,Both predicted and validated,0.971071998,Luciferase reporter assay,25041364
hsa-miR-199a-5p,SP1,Experimentally validated,Not Applicable,Immunofluorescence,33276722
hsa-miR-199a-5p,TGFB2,Both predicted and validated,0.988566538,Luciferase reporter assay,27842518
hsa-miR-199a-5p,TGFBR1,Predicted only,0.984845916,DIDL tool,Not Applicable
hsa-miR-199a-5p,VEGFA,Both predicted and validated,0.874344548,Luciferase reporter assay,24155090
hsa-miR-199b-5p,HES1,Experimentally validated,Not Applicable,Flow,19308264
hsa-miR-199b-5p,HIF1A,Experimentally validated,Not Applicable,Luciferase reporter assay,21557766
hsa-miR-199b-5p,MAP3K14,Predicted only,0.059557024,DIDL tool,Not Applicable
hsa-miR-199b-5p,PODXL,Experimentally validated,Not Applicable,Immunohistochemistry,22374871
hsa-miR-199b-5p,SNAI1,Experimentally validated,Not Applicable,Luciferase reporter assay,31705138
hsa-miR-199b-5p,THBS1,Predicted only,0.184510514,DIDL tool,Not Applicable
hsa-miR-199b-5p,VEGFA,Experimentally validated,Not Applicable,Western blotting,32178301
hsa-miR-28-5p,ALDH5A1,Predicted only,0.523695827,DIDL tool,Not Applicable
hsa-miR-28-5p,CDKN1A,Both predicted and validated,0.945827484,qRT-PCR,20190813
hsa-miR-28-5p,FGA,Predicted only,0.498932421,DIDL tool,Not Applicable
hsa-miR-28-5p,FOXO1,Experimentally validated,Not Applicable,Luciferase reporter assay,31934134
hsa-miR-28-5p,HSPG2,Predicted only,0.399908632,DIDL tool,Not Applicable
hsa-miR-28-5p,IGF1,Both predicted and validated,0.853733857,Luciferase reporter assay,26160280
hsa-miR-28-5p,LEPR,Predicted only,0.397776544,DIDL tool,Not Applicable
